"Status","Year","Age","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","60","60","38030","37320"
"In post","2021","20-29","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Counter Fraud","60","60","31700","33100"
"In post","2021","20-29","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Analysis","50","50","37770","36980"
"In post","2021","20-29","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Digital, Data & Technology","1590","1580","32750","31810"
"In post","2021","20-29","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","No function","40","40","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Project Delivery","70","70","32340","31340"
"In post","2021","20-29","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Unknown","180","180","37190","36550"
"In post","2021","20-29","Economics","Analysis","760","760","37240","34000"
"In post","2021","20-29","Economics","Finance","60","50","35420","32790"
"In post","2021","20-29","Economics","No function","230","230","38520","34710"
"In post","2021","20-29","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Unknown","120","120","36390","34800"
"In post","2021","20-29","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Debt","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Finance","1000","980","32670","30420"
"In post","2021","20-29","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","No function","50","50","35520","33610"
"In post","2021","20-29","Finance","Project Delivery","80","80","30650","30420"
"In post","2021","20-29","Finance","Unknown","60","60","30760","28850"
"In post","2021","20-29","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Human Resources","960","950","31000","28840"
"In post","2021","20-29","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","90","90","30790","28850"
"In post","2021","20-29","Intelligence Analysis","Analysis","70","70","46930","53360"
"In post","2021","20-29","Intelligence Analysis","Counter Fraud","40","40","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","No function","70","70","28870","26330"
"In post","2021","20-29","Intelligence Analysis","Security","50","50","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Unknown","310","310","31000","29250"
"In post","2021","20-29","Internal Audit","Internal Audit","50","50","[c]","[c]"
"In post","2021","20-29","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","International Trade","No function","460","450","37710","34960"
"In post","2021","20-29","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Commercial","90","80","26190","26350"
"In post","2021","20-29","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","No function","110","110","29100","28460"
"In post","2021","20-29","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Counter Fraud","470","470","27460","25560"
"In post","2021","20-29","Legal","Legal","750","740","37370","36160"
"In post","2021","20-29","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","140","130","29010","27420"
"In post","2021","20-29","Operational Delivery","Analysis","110","110","31130","29540"
"In post","2021","20-29","Operational Delivery","Commercial","70","70","32510","32400"
"In post","2021","20-29","Operational Delivery","Communications","290","280","28120","25560"
"In post","2021","20-29","Operational Delivery","Counter Fraud","270","260","27470","25560"
"In post","2021","20-29","Operational Delivery","Debt","570","550","21800","20140"
"In post","2021","20-29","Operational Delivery","Digital, Data & Technology","70","70","31490","31810"
"In post","2021","20-29","Operational Delivery","Finance","100","100","24300","21380"
"In post","2021","20-29","Operational Delivery","Grants Management","240","240","22390","21050"
"In post","2021","20-29","Operational Delivery","Human Resources","120","120","26180","25560"
"In post","2021","20-29","Operational Delivery","Legal","900","880","23980","23470"
"In post","2021","20-29","Operational Delivery","No function","20560","20150","25350","24120"
"In post","2021","20-29","Operational Delivery","Project Delivery","260","250","29620","28650"
"In post","2021","20-29","Operational Delivery","Property","220","210","23330","21100"
"In post","2021","20-29","Operational Delivery","Unknown","3850","3710","24680","24890"
"In post","2021","20-29","Operational Research","Analysis","180","180","34860","33900"
"In post","2021","20-29","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","No function","80","80","32390","28650"
"In post","2021","20-29","Operational Research","Unknown","70","70","35120","36590"
"In post","2021","20-29","Other","Analysis","60","60","36170","34730"
"In post","2021","20-29","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Legal","110","110","27420","27350"
"In post","2021","20-29","Other","No function","480","480","30940","28880"
"In post","2021","20-29","Other","Project Delivery","460","450","24680","22480"
"In post","2021","20-29","Other","Property","40","40","[c]","[c]"
"In post","2021","20-29","Other","Unknown","1400","1390","27650","26350"
"In post","2021","20-29","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Analysis","140","140","41720","39780"
"In post","2021","20-29","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Human Resources","30","30","[c]","[c]"
"In post","2021","20-29","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","No function","6090","6070","38240","34210"
"In post","2021","20-29","Policy","Project Delivery","290","290","40020","38600"
"In post","2021","20-29","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Unknown","970","970","38560","36500"
"In post","2021","20-29","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","No function","40","40","[c]","[c]"
"In post","2021","20-29","Project Delivery","Project Delivery","1800","1780","32610","31810"
"In post","2021","20-29","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","180","180","34580","35050"
"In post","2021","20-29","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Project Delivery","30","30","[c]","[c]"
"In post","2021","20-29","Property","Property","580","560","28340","26670"
"In post","2021","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Psychology","No function","350","350","27420","27380"
"In post","2021","20-29","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Analysis","110","110","27320","26480"
"In post","2021","20-29","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","20-29","Science and Engineering","No function","1490","1480","29160","28650"
"In post","2021","20-29","Science and Engineering","Project Delivery","880","880","27750","27540"
"In post","2021","20-29","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Unknown","200","200","32500","32960"
"In post","2021","20-29","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Security","1000","1000","26440","25680"
"In post","2021","20-29","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","Analysis","350","350","34950","32540"
"In post","2021","20-29","Social Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","Unknown","50","50","40370","41560"
"In post","2021","20-29","Statistics","Analysis","570","560","34970","33000"
"In post","2021","20-29","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Statistics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Statistics","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Statistics","Unknown","70","70","34850","33090"
"In post","2021","20-29","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Tax","Communications","750","740","26540","25560"
"In post","2021","20-29","Tax","Counter Fraud","190","190","35730","31810"
"In post","2021","20-29","Tax","Debt","450","440","20380","20140"
"In post","2021","20-29","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Tax","Legal","40","40","[c]","[c]"
"In post","2021","20-29","Tax","No function","2250","2190","27370","20140"
"In post","2021","20-29","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Analysis","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","Commercial","130","130","45810","43500"
"In post","2021","20-29","Unknown","Communications","280","270","31300","27570"
"In post","2021","20-29","Unknown","Counter Fraud","60","60","32670","29570"
"In post","2021","20-29","Unknown","Debt","40","40","[c]","[c]"
"In post","2021","20-29","Unknown","Digital, Data & Technology","280","280","38560","34550"
"In post","2021","20-29","Unknown","Finance","80","80","35560","35120"
"In post","2021","20-29","Unknown","Human Resources","280","280","30520","28000"
"In post","2021","20-29","Unknown","Legal","40","40","[c]","[c]"
"In post","2021","20-29","Unknown","No function","3520","3500","30940","29250"
"In post","2021","20-29","Unknown","Project Delivery","90","80","38170","34550"
"In post","2021","20-29","Unknown","Property","90","90","28260","26530"
"In post","2021","20-29","Unknown","Security","180","180","28170","26670"
"In post","2021","20-29","Unknown","Unknown","12580","12370","27120","27570"
"In post","2021","20-29","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Commercial","950","910","38510","37100"
"In post","2021","30-39","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","No function","60","60","44770","40640"
"In post","2021","30-39","Commercial","Project Delivery","230","220","36280","34770"
"In post","2021","30-39","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Communications","980","950","42950","40230"
"In post","2021","30-39","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","No function","40","30","[c]","[c]"
"In post","2021","30-39","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Unknown","120","120","45480","43160"
"In post","2021","30-39","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Corporate Finance","Finance","40","40","[c]","[c]"
"In post","2021","30-39","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Counter Fraud","140","140","39480","35600"
"In post","2021","30-39","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Unknown","40","30","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Analysis","70","70","40820","41990"
"In post","2021","30-39","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Digital, Data & Technology","2670","2620","40490","38000"
"In post","2021","30-39","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","No function","80","70","39320","36870"
"In post","2021","30-39","Digital, Data and Technology","Project Delivery","110","110","42870","45850"
"In post","2021","30-39","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Unknown","350","340","45300","41970"
"In post","2021","30-39","Economics","Analysis","290","270","57290","56360"
"In post","2021","30-39","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Economics","No function","140","140","56310","57850"
"In post","2021","30-39","Economics","Project Delivery","50","50","54760","55620"
"In post","2021","30-39","Economics","Unknown","40","40","[c]","[c]"
"In post","2021","30-39","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Finance","1520","1450","41140","38000"
"In post","2021","30-39","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","No function","110","110","42740","37300"
"In post","2021","30-39","Finance","Project Delivery","120","110","42600","42000"
"In post","2021","30-39","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Unknown","140","130","42970","37560"
"In post","2021","30-39","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Human Resources","1540","1450","36940","32840"
"In post","2021","30-39","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Unknown","160","150","39880","35200"
"In post","2021","30-39","Inspector of Education and Training","No function","80","80","61280","51360"
"In post","2021","30-39","Intelligence Analysis","Analysis","90","90","52480","53360"
"In post","2021","30-39","Intelligence Analysis","Counter Fraud","60","60","38820","36160"
"In post","2021","30-39","Intelligence Analysis","No function","150","150","31020","28350"
"In post","2021","30-39","Intelligence Analysis","Security","60","60","43400","39220"
"In post","2021","30-39","Intelligence Analysis","Unknown","540","520","32510","30830"
"In post","2021","30-39","Internal Audit","Internal Audit","130","130","42560","39980"
"In post","2021","30-39","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","International Trade","No function","440","430","49560","51970"
"In post","2021","30-39","International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Commercial","110","100","33790","33300"
"In post","2021","30-39","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","No function","210","200","38000","36330"
"In post","2021","30-39","Knowledge and Information Management","Project Delivery","40","40","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Unknown","50","50","35230","34490"
"In post","2021","30-39","Legal","Counter Fraud","730","710","29490","26980"
"In post","2021","30-39","Legal","Legal","2210","2110","51500","51250"
"In post","2021","30-39","Legal","No function","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Unknown","40","40","[c]","[c]"
"In post","2021","30-39","Medicine","No function","70","60","74370","83320"
"In post","2021","30-39","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Medicine","Unknown","500","450","38760","34840"
"In post","2021","30-39","Operational Delivery","Analysis","160","150","31630","29540"
"In post","2021","30-39","Operational Delivery","Commercial","90","90","40370","37240"
"In post","2021","30-39","Operational Delivery","Communications","440","420","29420","25560"
"In post","2021","30-39","Operational Delivery","Counter Fraud","560","540","29460","25560"
"In post","2021","30-39","Operational Delivery","Debt","610","550","22560","20140"
"In post","2021","30-39","Operational Delivery","Digital, Data & Technology","110","110","34690","31810"
"In post","2021","30-39","Operational Delivery","Finance","140","130","30600","28500"
"In post","2021","30-39","Operational Delivery","Grants Management","370","330","24270","21050"
"In post","2021","30-39","Operational Delivery","Human Resources","210","200","28970","25560"
"In post","2021","30-39","Operational Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Delivery","Legal","890","820","27120","25820"
"In post","2021","30-39","Operational Delivery","No function","26920","25240","28210","26000"
"In post","2021","30-39","Operational Delivery","Project Delivery","420","400","35020","32570"
"In post","2021","30-39","Operational Delivery","Property","280","260","28300","24500"
"In post","2021","30-39","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Delivery","Unknown","6390","5950","27550","25310"
"In post","2021","30-39","Operational Research","Analysis","210","200","45400","46080"
"In post","2021","30-39","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Research","Human Resources","[c]","[c]","[c]","[c]"
