"Status","Year","Responsibility_level","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Inner London - West","70","60","24590","24490"
"In post","2021","AA/AO","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Northumberland and Tyne and Wear","220","180","20830","20660"
"In post","2021","AA/AO","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","East Anglia","110","100","20690","20140"
"In post","2021","AA/AO","Counter Fraud","East Wales","40","30","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Greater Manchester","80","70","20720","20140"
"In post","2021","AA/AO","Counter Fraud","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Inner London - West","80","70","25070","25630"
"In post","2021","AA/AO","Counter Fraud","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Merseyside","50","40","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Northumberland and Tyne and Wear","40","30","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Outer London - South","40","40","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","West Central Scotland","80","60","20870","21440"
"In post","2021","AA/AO","Counter Fraud","West Midlands","80","60","20770","20780"
"In post","2021","AA/AO","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","West Yorkshire","80","70","20930","21440"
"In post","2021","AA/AO","Debt","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Derbyshire and Nottinghamshire","210","190","20350","20140"
"In post","2021","AA/AO","Debt","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","East Wales","210","190","20250","20140"
"In post","2021","AA/AO","Debt","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Eastern Scotland","520","490","20360","20140"
"In post","2021","AA/AO","Debt","Essex","40","30","[c]","[c]"
"In post","2021","AA/AO","Debt","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Inner London - East","180","150","25110","25630"
"In post","2021","AA/AO","Debt","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Merseyside","230","210","20660","20140"
"In post","2021","AA/AO","Debt","Northumberland and Tyne and Wear","480","440","20360","20140"
"In post","2021","AA/AO","Debt","Outer London - South","180","160","24590","24120"
"In post","2021","AA/AO","Debt","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Southern Scotland","250","230","20240","20140"
"In post","2021","AA/AO","Debt","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","West Central Scotland","400","340","20500","20140"
"In post","2021","AA/AO","Debt","West Midlands","330","300","20430","20140"
"In post","2021","AA/AO","Debt","West Yorkshire","270","240","20440","20140"
"In post","2021","AA/AO","Digital, Data & Technology","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Devon","60","60","21140","21040"
"In post","2021","AA/AO","Digital, Data & Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","West Wales and The Valleys","50","50","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","East Anglia","30","20","[c]","[c]"
"In post","2021","AA/AO","Finance","East Wales","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","Essex","70","60","20750","20140"
"In post","2021","AA/AO","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","21330","21130"
"In post","2021","AA/AO","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","AA/AO","Finance","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Inner London - West","50","50","23730","23820"
"In post","2021","AA/AO","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Merseyside","70","70","21150","21270"
"In post","2021","AA/AO","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Northumberland and Tyne and Wear","50","40","20280","20070"
"In post","2021","AA/AO","Finance","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Southern Scotland","30","30","[c]","[c]"
"In post","2021","AA/AO","Finance","Surrey, East and West Sussex","80","70","21250","21440"
"In post","2021","AA/AO","Finance","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","West Central Scotland","410","320","20720","20140"
"In post","2021","AA/AO","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","West Yorkshire","280","220","20620","20140"
"In post","2021","AA/AO","Grants Management","Berkshire, Buckinghamshire and Oxfordshire","70","60","21050","21050"
"In post","2021","AA/AO","Grants Management","Cheshire","50","40","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Cumbria","430","370","20990","21050"
"In post","2021","AA/AO","Grants Management","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Devon","80","70","21020","21050"
"In post","2021","AA/AO","Grants Management","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Herefordshire, Worcestershire and Warwickshire","60","60","20950","21050"
"In post","2021","AA/AO","Grants Management","North Yorkshire","50","40","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Northumberland and Tyne and Wear","130","120","21050","21050"
"In post","2021","AA/AO","Grants Management","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","East Wales","40","30","[c]","[c]"
"In post","2021","AA/AO","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Eastern Scotland","60","60","22390","22220"
"In post","2021","AA/AO","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","130","120","20990","20920"
"In post","2021","AA/AO","Human Resources","Greater Manchester","130","120","21040","20920"
"In post","2021","AA/AO","Human Resources","Hampshire and Isle of Wight","50","50","21160","20920"
"In post","2021","AA/AO","Human Resources","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Inner London - West","60","50","24480","24370"
"In post","2021","AA/AO","Human Resources","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Lancashire","80","70","20920","21030"
"In post","2021","AA/AO","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Merseyside","70","60","21200","21320"
"In post","2021","AA/AO","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Northumberland and Tyne and Wear","220","190","20790","20800"
"In post","2021","AA/AO","Human Resources","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Surrey, East and West Sussex","50","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","West Central Scotland","400","360","21330","21130"
"In post","2021","AA/AO","Human Resources","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","West Wales and The Valleys","30","30","[c]","[c]"
"In post","2021","AA/AO","Human Resources","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Bedfordshire and Hertfordshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Berkshire, Buckinghamshire and Oxfordshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Derbyshire and Nottinghamshire","90","80","21150","21440"
"In post","2021","AA/AO","Legal","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","East Anglia","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal","East Wales","60","60","21880","21950"
"In post","2021","AA/AO","Legal","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Eastern Scotland","510","460","21780","22820"
"In post","2021","AA/AO","Legal","Essex","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Greater Manchester","80","70","21760","21950"
"In post","2021","AA/AO","Legal","Hampshire and Isle of Wight","60","60","22210","23520"
"In post","2021","AA/AO","Legal","Highlands and Islands","50","30","21470","21830"
"In post","2021","AA/AO","Legal","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Inner London - West","370","340","23420","23520"
"In post","2021","AA/AO","Legal","Kent","30","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Lancashire","50","50","21730","21950"
"In post","2021","AA/AO","Legal","Leicestershire, Rutland and Northamptonshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Merseyside","90","80","21830","21950"
"In post","2021","AA/AO","Legal","North Eastern Scotland","50","40","21540","22820"
"In post","2021","AA/AO","Legal","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Northumberland and Tyne and Wear","70","60","21750","21950"
