"Status","Year","Sex","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","Unknown","160","160","30540","28130"
"In post","2021","Male","Cheshire","AA/AO","510","490","24210","22030"
"In post","2021","Male","Cheshire","EO","610","600","30330","28840"
"In post","2021","Male","Cheshire","G6/G7","100","100","57940","55740"
"In post","2021","Male","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cheshire","SEO/HEO","440","430","40550","40210"
"In post","2021","Male","Cheshire","Unknown","40","40","[c]","[c]"
"In post","2021","Male","Cornwall and Isles of Scilly","AA/AO","310","300","20970","21010"
"In post","2021","Male","Cornwall and Isles of Scilly","EO","270","260","27020","27570"
"In post","2021","Male","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cornwall and Isles of Scilly","SEO/HEO","120","110","36450","35480"
"In post","2021","Male","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cumbria","AA/AO","370","350","22920","21050"
"In post","2021","Male","Cumbria","EO","220","210","26150","25990"
"In post","2021","Male","Cumbria","G6/G7","40","40","[c]","[c]"
"In post","2021","Male","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cumbria","SEO/HEO","140","140","35560","35840"
"In post","2021","Male","Cumbria","Unknown","140","140","41820","40670"
"In post","2021","Male","Derbyshire and Nottinghamshire","AA/AO","1690","1610","23010","21010"
"In post","2021","Male","Derbyshire and Nottinghamshire","EO","1480","1430","26950","27130"
"In post","2021","Male","Derbyshire and Nottinghamshire","G6/G7","580","560","58010","53330"
"In post","2021","Male","Derbyshire and Nottinghamshire","SCS","40","30","[c]","[c]"
"In post","2021","Male","Derbyshire and Nottinghamshire","SEO/HEO","1460","1420","35670","33610"
"In post","2021","Male","Derbyshire and Nottinghamshire","Unknown","120","110","33000","33670"
"In post","2021","Male","Devon","AA/AO","1460","1390","23500","21050"
"In post","2021","Male","Devon","EO","1120","1080","27020","27380"
"In post","2021","Male","Devon","G6/G7","530","510","55660","52580"
"In post","2021","Male","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Devon","SEO/HEO","1400","1360","38420","38450"
"In post","2021","Male","Devon","Unknown","140","140","37070","37170"
"In post","2021","Male","Dorset and Somerset","AA/AO","900","880","23240","21130"
"In post","2021","Male","Dorset and Somerset","EO","750","720","27750","27570"
"In post","2021","Male","Dorset and Somerset","G6/G7","120","120","59160","55460"
"In post","2021","Male","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Dorset and Somerset","SEO/HEO","870","840","37210","35340"
"In post","2021","Male","Dorset and Somerset","Unknown","60","50","29550","30210"
"In post","2021","Male","East Anglia","AA/AO","2460","2360","24790","22500"
"In post","2021","Male","East Anglia","EO","1520","1470","28100","27570"
"In post","2021","Male","East Anglia","G6/G7","390","380","58760","54990"
"In post","2021","Male","East Anglia","SCS","40","40","[c]","[c]"
"In post","2021","Male","East Anglia","SEO/HEO","1570","1520","36420","34610"
"In post","2021","Male","East Anglia","Unknown","120","110","31040","30210"
"In post","2021","Male","East Wales","AA/AO","2520","2420","21820","21010"
"In post","2021","Male","East Wales","EO","2470","2400","27060","27460"
"In post","2021","Male","East Wales","G6/G7","1250","1220","58220","57920"
"In post","2021","Male","East Wales","SCS","160","150","89330","80100"
"In post","2021","Male","East Wales","SEO/HEO","2850","2780","36510","36030"
"In post","2021","Male","East Wales","Unknown","120","110","31540","31420"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","AA/AO","1090","1040","25570","24920"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","EO","880","840","28140","27370"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","G6/G7","40","40","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","SEO/HEO","320","300","38250","36460"
"In post","2021","Male","East Yorkshire and Northern Lincolnshire","Unknown","60","60","30650","29280"
"In post","2021","Male","Eastern Scotland","AA/AO","2710","2630","22360","21010"
"In post","2021","Male","Eastern Scotland","EO","2420","2330","29530","28410"
"In post","2021","Male","Eastern Scotland","G6/G7","1180","1150","62110","61010"
"In post","2021","Male","Eastern Scotland","SCS","120","110","90760","83230"
"In post","2021","Male","Eastern Scotland","SEO/HEO","2670","2580","38800","38540"
"In post","2021","Male","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","AA/AO","650","630","25190","23270"
"In post","2021","Male","Essex","EO","950","890","28810","28340"
"In post","2021","Male","Essex","G6/G7","140","140","60860","54850"
"In post","2021","Male","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Essex","SEO/HEO","550","530","37730","35000"
"In post","2021","Male","Essex","Unknown","50","50","29320","29200"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","1660","1610","23050","21010"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","EO","2760","2680","26120","26670"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","3200","3120","56600","54940"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","190","190","99580","92370"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","6770","6630","36670","36880"
"In post","2021","Male","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1090","1070","42700","39860"
"In post","2021","Male","Greater Manchester","AA/AO","2400","2300","21850","21010"
"In post","2021","Male","Greater Manchester","EO","2670","2590","26610","26480"
"In post","2021","Male","Greater Manchester","G6/G7","1070","1050","57100","52580"
"In post","2021","Male","Greater Manchester","SCS","80","70","88170","81120"
"In post","2021","Male","Greater Manchester","SEO/HEO","2540","2480","34780","32300"
"In post","2021","Male","Greater Manchester","Unknown","210","200","30380","29770"
"In post","2021","Male","Hampshire and Isle of Wight","AA/AO","2240","2010","23220","20920"
"In post","2021","Male","Hampshire and Isle of Wight","EO","1780","1730","27440","26780"
"In post","2021","Male","Hampshire and Isle of Wight","G6/G7","1180","1150","56430","54540"
"In post","2021","Male","Hampshire and Isle of Wight","SCS","50","50","[c]","[c]"
"In post","2021","Male","Hampshire and Isle of Wight","SEO/HEO","2380","2330","36160","35480"
"In post","2021","Male","Hampshire and Isle of Wight","Unknown","120","110","39280","37170"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","AA/AO","870","850","24710","22850"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","EO","510","500","27370","27570"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","G6/G7","50","50","59800","59080"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","320","310","37520","36520"
"In post","2021","Male","Herefordshire, Worcestershire and Warwickshire","Unknown","80","70","29760","28200"
"In post","2021","Male","Highlands and Islands","AA/AO","400","390","22890","21450"
"In post","2021","Male","Highlands and Islands","EO","310","300","29630","29140"
"In post","2021","Male","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Highlands and Islands","SEO/HEO","200","200","38950","37530"
