"Status","Year","Ethnicity","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared non-disabled","Ministry of Housing, Communities and Local Government","180","170","40720","36340"
"In post","2021","Asian","Declared non-disabled","Ministry of Justice","3200","2970","28430","24440"
"In post","2021","Asian","Declared non-disabled","National Crime Agency","70","70","42090","40170"
"In post","2021","Asian","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Office for Standards in Education","90","80","41400","35010"
"In post","2021","Asian","Declared non-disabled","Office of Gas and Electricity Markets","100","100","44340","39150"
"In post","2021","Asian","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Government","120","110","36490","32930"
"In post","2021","Asian","Declared non-disabled","The National Archives","30","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","UK Export Finance","60","60","49580","43160"
"In post","2021","Asian","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","United Kingdom Statistics Authority","50","50","33060","31710"
"In post","2021","Asian","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Welsh Government","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Work and Pensions","350","320","27990","27570"
"In post","2021","Asian","Undeclared","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","HM Revenue and Customs","150","140","31150","29570"
"In post","2021","Asian","Undeclared","HM Treasury","40","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Home Office","140","130","31470","28990"
"In post","2021","Asian","Undeclared","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Asian","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Ministry of Justice","260","240","29570","26650"
"In post","2021","Asian","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Attorney General's Departments","150","140","37080","38000"
"In post","2021","Asian","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Business, Energy and Industrial Strategy","100","100","38900","34500"
"In post","2021","Asian","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Education","80","80","37230","34020"
"In post","2021","Asian","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for International Trade","50","50","43850","38540"
"In post","2021","Asian","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Work and Pensions","60","60","29970","27570"
"In post","2021","Asian","Unknown","Department of Health and Social Care","370","360","46110","37880"
"In post","2021","Asian","Unknown","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Asian","Unknown","HM Land Registry","60","60","27940","22350"
"In post","2021","Asian","Unknown","HM Revenue and Customs","540","490","30560","28130"
"In post","2021","Asian","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Home Office","50","50","33200","28650"
"In post","2021","Asian","Unknown","Ministry of Defence","140","130","35310","30180"
"In post","2021","Asian","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Ministry of Justice","50","50","27780","26410"
"In post","2021","Asian","Unknown","National Crime Agency","160","150","33830","33420"
"In post","2021","Asian","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Scottish Government","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","United Kingdom Statistics Authority","70","60","28540","26050"
"In post","2021","Asian","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Attorney General's Departments","60","60","40660","35020"
"In post","2021","Black","Declared disabled","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Black","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Department for Business, Energy and Industrial Strategy","60","50","39570","35460"
"In post","2021","Black","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Department for Work and Pensions","580","530","29360","30330"
"In post","2021","Black","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Black","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","HM Revenue and Customs","150","140","32270","31810"
"In post","2021","Black","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Home Office","190","180","32140","29080"
"In post","2021","Black","Declared disabled","Ministry of Defence","80","70","32190","28650"
"In post","2021","Black","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Ministry of Justice","450","430","30870","27730"
"In post","2021","Black","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Attorney General's Departments","420","400","41460","33310"
"In post","2021","Black","Declared non-disabled","Cabinet Office","200","200","42270","35590"
"In post","2021","Black","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Department for Business, Energy and Industrial Strategy","280","270","38300","33960"
"In post","2021","Black","Declared non-disabled","Department for Digital, Culture, Media and Sport","70","70","40520","34020"
"In post","2021","Black","Declared non-disabled","Department for Education","220","220","39800","36780"
"In post","2021","Black","Declared non-disabled","Department for Environment, Food and Rural Affairs","170","170","35360","32560"
"In post","2021","Black","Declared non-disabled","Department for International Trade","90","90","39150","33320"
"In post","2021","Black","Declared non-disabled","Department for Transport","200","200","37530","35060"
"In post","2021","Black","Declared non-disabled","Department for Work and Pensions","3120","2960","29220","29540"
"In post","2021","Black","Declared non-disabled","Department of Health and Social Care","450","420","37400","32790"
"In post","2021","Black","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Foreign, Commonwealth and Development Office","190","190","38860","34770"
"In post","2021","Black","Declared non-disabled","HM Land Registry","40","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","HM Revenue and Customs","1090","1050","32080","30000"
"In post","2021","Black","Declared non-disabled","HM Treasury","70","70","38940","34090"
"In post","2021","Black","Declared non-disabled","Home Office","1630","1530","32620","29080"
"In post","2021","Black","Declared non-disabled","Ministry of Defence","590","580","32890","31230"
"In post","2021","Black","Declared non-disabled","Ministry of Housing, Communities and Local Government","120","120","41460","38140"
"In post","2021","Black","Declared non-disabled","Ministry of Justice","2750","2660","29790","26810"
"In post","2021","Black","Declared non-disabled","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Office for Standards in Education","50","50","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Scottish Government","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","UK Export Finance","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Department for Work and Pensions","160","150","28970","30690"
"In post","2021","Black","Undeclared","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Black","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","HM Revenue and Customs","50","50","32370","31430"
"In post","2021","Black","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Home Office","50","50","29860","28850"
"In post","2021","Black","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Ministry of Justice","340","320","30920","31300"
"In post","2021","Black","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Attorney General's Departments","70","70","33190","26970"
"In post","2021","Black","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Department for Business, Energy and Industrial Strategy","60","60","38350","37230"
"In post","2021","Black","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Department for Education","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Department of Health and Social Care","170","160","44030","36230"
"In post","2021","Black","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","HM Revenue and Customs","170","160","32100","29570"
"In post","2021","Black","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Ministry of Defence","60","60","32200","27870"
"In post","2021","Black","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Ministry of Justice","60","60","27450","26550"
"In post","2021","Black","Unknown","National Crime Agency","60","60","36370","36200"
"In post","2021","Black","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Black","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Department for Business, Energy and Industrial Strategy","50","50","41770","40050"
"In post","2021","Chinese","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Department for Education","30","30","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Department for Work and Pensions","130","120","29150","27570"
"In post","2021","Chinese","Declared non-disabled","Department of Health and Social Care","50","50","49100","42190"
"In post","2021","Chinese","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
