"Status","Year","Disability","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Barnet","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","No function","60","60","34670","30780"
"In post","2021","Declared disabled","Barnet","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","60","50","34340","31060"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","No function","150","140","29480","26810"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","250","210","24980","27570"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","70","70","42950","40580"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","[c]","[c]","[c]","[c]"
