"Status","Year","Disability","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","No function","850","790","28970","26780"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Property","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Leicestershire CC and Rutland","Unknown","430","400","29030","26930"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","No function","410","390","34960","31930"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lewisham and Southwark","Unknown","530","520","31040","31060"
"In post","2021","Declared non-disabled","Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","No function","700","660","28380","26750"
"In post","2021","Declared non-disabled","Lincolnshire","Project Delivery","230","230","34600","33300"
"In post","2021","Declared non-disabled","Lincolnshire","Property","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Security","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Lincolnshire","Unknown","850","790","26100","25730"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Property","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Security","50","50","22740","20310"
"In post","2021","Declared non-disabled","Lisburn and Castlereagh","Unknown","170","160","26370","22970"
"In post","2021","Declared non-disabled","Liverpool","Analysis","60","50","41240","38630"
"In post","2021","Declared non-disabled","Liverpool","Commercial","60","60","45810","37190"
"In post","2021","Declared non-disabled","Liverpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Liverpool","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Liverpool","Debt","180","170","23610","21440"
"In post","2021","Declared non-disabled","Liverpool","Digital, Data & Technology","60","60","38940","33300"
"In post","2021","Declared non-disabled","Liverpool","Finance","90","90","32470","28660"
"In post","2021","Declared non-disabled","Liverpool","Human Resources","90","80","31650","27160"
"In post","2021","Declared non-disabled","Liverpool","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Liverpool","Legal","240","230","39130","33310"
"In post","2021","Declared non-disabled","Liverpool","No function","1710","1580","29750","26130"
"In post","2021","Declared non-disabled","Liverpool","Project Delivery","310","290","40250","38630"
"In post","2021","Declared non-disabled","Liverpool","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Liverpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Liverpool","Unknown","4340","3980","26330","24890"
"In post","2021","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Property","130","120","29210","27320"
"In post","2021","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Unknown","90","90","29450","27570"
"In post","2021","Declared non-disabled","Luton","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Luton","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Luton","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Luton","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Luton","No function","140","130","23790","22570"
"In post","2021","Declared non-disabled","Luton","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Luton","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Luton","Unknown","260","220","27750","27570"
"In post","2021","Declared non-disabled","Manchester","Analysis","140","140","39220","38630"
"In post","2021","Declared non-disabled","Manchester","Commercial","100","90","42160","37960"
"In post","2021","Declared non-disabled","Manchester","Communications","80","80","33070","30420"
"In post","2021","Declared non-disabled","Manchester","Counter Fraud","210","190","33390","31810"
"In post","2021","Declared non-disabled","Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Manchester","Digital, Data & Technology","160","160","41170","38630"
"In post","2021","Declared non-disabled","Manchester","Finance","170","160","41820","39240"
"In post","2021","Declared non-disabled","Manchester","Human Resources","140","140","37710","32010"
"In post","2021","Declared non-disabled","Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Manchester","Legal","350","320","41560","38000"
"In post","2021","Declared non-disabled","Manchester","No function","2550","2410","32750","28200"
"In post","2021","Declared non-disabled","Manchester","Project Delivery","230","220","42960","38630"
"In post","2021","Declared non-disabled","Manchester","Property","140","130","40080","37750"
"In post","2021","Declared non-disabled","Manchester","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Manchester","Unknown","1780","1690","32100","27570"
"In post","2021","Declared non-disabled","Medway","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","No function","640","610","30830","29810"
"In post","2021","Declared non-disabled","Medway","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medway","Unknown","220","200","28990","29290"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","No function","180","170","29870","26840"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Merton, Kingston upon Thames and Sutton","Unknown","240","230","30790","31060"
"In post","2021","Declared non-disabled","Mid and East Antrim","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid and East Antrim","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","No function","440","410","29790","27380"
"In post","2021","Declared non-disabled","Mid Kent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Kent","Unknown","170","160","29620","29290"
"In post","2021","Declared non-disabled","Mid Lancashire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Legal","180","160","37960","31810"
"In post","2021","Declared non-disabled","Mid Lancashire","No function","1730","1540","27700","25560"
"In post","2021","Declared non-disabled","Mid Lancashire","Project Delivery","270","250","38720","38630"
"In post","2021","Declared non-disabled","Mid Lancashire","Property","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mid Lancashire","Unknown","1240","1100","24120","21010"
"In post","2021","Declared non-disabled","Milton Keynes","Commercial","70","60","43940","40330"
"In post","2021","Declared non-disabled","Milton Keynes","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Milton Keynes","Digital, Data & Technology","90","90","45100","40670"
"In post","2021","Declared non-disabled","Milton Keynes","Finance","70","60","38260","28130"
"In post","2021","Declared non-disabled","Milton Keynes","Human Resources","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Milton Keynes","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Milton Keynes","Legal","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Milton Keynes","No function","680","660","29190","27380"
"In post","2021","Declared non-disabled","Milton Keynes","Project Delivery","50","50","38830","34420"
"In post","2021","Declared non-disabled","Milton Keynes","Property","160","160","36130","34640"
"In post","2021","Declared non-disabled","Milton Keynes","Security","210","200","35020","33300"
"In post","2021","Declared non-disabled","Milton Keynes","Unknown","210","190","27120","27570"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Analysis","530","500","38830","36840"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Commercial","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Communications","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Digital, Data & Technology","290","280","44220","44860"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Finance","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Human Resources","150","140","35720","31090"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Legal","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","No function","1470","1350","34030","29890"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Project Delivery","90","90","44960","44900"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Property","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Monmouthshire and Newport","Unknown","570","500","26870","27570"
"In post","2021","Declared non-disabled","Na h-Eileanan Siar","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Na h-Eileanan Siar","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Na h-Eileanan Siar","Unknown","110","100","24150","21010"
"In post","2021","Declared non-disabled","Newry, Mourne and Down","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Newry, Mourne and Down","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Newry, Mourne and Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and North East Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and North East Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and North East Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and North East Lincolnshire","No function","120","110","27010","23840"
"In post","2021","Declared non-disabled","North and North East Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and North East Lincolnshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and North East Lincolnshire","Unknown","500","440","25660","27280"
"In post","2021","Declared non-disabled","North and West Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and West Norfolk","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and West Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and West Norfolk","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and West Norfolk","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and West Norfolk","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and West Norfolk","No function","290","270","28720","27380"
"In post","2021","Declared non-disabled","North and West Norfolk","Project Delivery","90","80","33560","32300"
"In post","2021","Declared non-disabled","North and West Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North and West Norfolk","Security","60","60","28960","26350"
"In post","2021","Declared non-disabled","North and West Norfolk","Unknown","240","220","24570","21580"
"In post","2021","Declared non-disabled","North Hampshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Human Resources","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","No function","210","190","39200","29460"
"In post","2021","Declared non-disabled","North Hampshire","Project Delivery","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Security","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","North Hampshire","Unknown","330","300","28910","27570"
"In post","2021","Declared non-disabled","North Lanarkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Lanarkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Lanarkshire","Counter Fraud","200","190","31000","28130"
"In post","2021","Declared non-disabled","North Lanarkshire","Debt","260","220","22790","20640"
"In post","2021","Declared non-disabled","North Lanarkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Lanarkshire","Finance","320","260","23570","21440"
"In post","2021","Declared non-disabled","North Lanarkshire","Human Resources","110","100","28030","25560"
"In post","2021","Declared non-disabled","North Lanarkshire","Legal","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","North Lanarkshire","No function","120","110","28130","25560"
"In post","2021","Declared non-disabled","North Lanarkshire","Project Delivery","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","North Lanarkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Lanarkshire","Unknown","600","510","23970","21010"
"In post","2021","Declared non-disabled","North Northamptonshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Northamptonshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Northamptonshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Northamptonshire","No function","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","North Northamptonshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Northamptonshire","Unknown","310","270","25230","27570"
"In post","2021","Declared non-disabled","North Nottinghamshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","No function","440","410","28760","26810"
"In post","2021","Declared non-disabled","North Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Nottinghamshire","Unknown","180","170","29350","27570"
"In post","2021","Declared non-disabled","North Yorkshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North Yorkshire CC","No function","270","250","31790","29180"
"In post","2021","Declared non-disabled","North Yorkshire CC","Project Delivery","70","70","35990","33300"
"In post","2021","Declared non-disabled","North Yorkshire CC","Property","90","90","32060","33300"
"In post","2021","Declared non-disabled","North Yorkshire CC","Security","160","160","31050","28890"
"In post","2021","Declared non-disabled","North Yorkshire CC","Unknown","710","670","27600","26670"
"In post","2021","Declared non-disabled","Northumberland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","No function","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northumberland","Unknown","200","170","27710","27570"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Commercial","50","50","43130","38440"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Human Resources","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Legal","60","50","36470","29520"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","No function","560","530","27780","24920"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Property","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Norwich and East Norfolk","Unknown","450","380","26240","27570"
"In post","2021","Declared non-disabled","Nottingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Nottingham","Commercial","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Nottingham","Communications","230","230","30950","26520"
"In post","2021","Declared non-disabled","Nottingham","Counter Fraud","320","300","34730","31810"
"In post","2021","Declared non-disabled","Nottingham","Debt","100","90","22500","20140"
"In post","2021","Declared non-disabled","Nottingham","Digital, Data & Technology","100","100","42840","40080"
"In post","2021","Declared non-disabled","Nottingham","Finance","120","110","38030","32430"
"In post","2021","Declared non-disabled","Nottingham","Grants Management","60","60","25260","25100"
"In post","2021","Declared non-disabled","Nottingham","Human Resources","260","250","38900","33840"
"In post","2021","Declared non-disabled","Nottingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Nottingham","Legal","240","210","37890","31810"
"In post","2021","Declared non-disabled","Nottingham","No function","2530","2350","31810","27680"
"In post","2021","Declared non-disabled","Nottingham","Project Delivery","160","150","44170","38630"
"In post","2021","Declared non-disabled","Nottingham","Property","200","180","38210","37750"
"In post","2021","Declared non-disabled","Nottingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Nottingham","Unknown","570","520","26340","27570"
"In post","2021","Declared non-disabled","Orkney Islands","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Orkney Islands","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Orkney Islands","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Orkney Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","No function","1340","1330","52450","53370"
"In post","2021","Declared non-disabled","Overseas","Project Delivery","390","390","55590","55620"
"In post","2021","Declared non-disabled","Overseas","Property","160","160","39470","37950"
"In post","2021","Declared non-disabled","Overseas","Security","100","100","40010","34450"
"In post","2021","Declared non-disabled","Overseas","Unknown","490","480","39130","33230"
"In post","2021","Declared non-disabled","Oxfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
