"Status","Year","Organisation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cornwall and Isles of Scilly","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cumbria","120","110","23220","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Devon","150","140","24580","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Anglia","70","60","28990","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Wales","90","80","26210","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Essex","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","26650","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","110","100","26990","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Kent","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Lancashire","60","50","27560","25210"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North Yorkshire","130","130","26880","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Outer London - West and North West","70","70","32550","31690"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Shropshire and Staffordshire","80","70","24790","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Southern Scotland","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Surrey, East and West Sussex","100","90","30430","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Wales and The Valleys","160","140","24340","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Devon","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Surrey, East and West Sussex","460","430","32740","28630"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Inner London - West","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Berkshire, Buckinghamshire and Oxfordshire","120","110","35550","33300"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East Anglia","110","100","47460","40250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East Wales","60","60","38710","30620"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","170","170","55310","52580"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Greater Manchester","260","260","45480","38890"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Hampshire and Isle of Wight","90","90","51790","51480"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Inner London - East","890","870","52000","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Inner London - West","5470","5400","49530","40600"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Lancashire","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Merseyside","130","120","49120","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North Yorkshire","450","420","29430","26670"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Northumberland and Tyne and Wear","400","370","28430","23850"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Outer London - South","50","50","43890","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South Yorkshire","100","100","46980","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","600","590","36190","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Midlands","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Yorkshire","190","180","47020","40250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","East Anglia","50","50","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Dorset and Somerset","120","110","33040","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East Anglia","350","330","34260","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Merseyside","40","40","[c]","[c]"
"In post","2021","Charity Commission","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
