"Status","Year","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Tees Valley and Durham","South Teesside","1130","1010","26410","25310"
"In post","2021","Unknown","Unknown","3730","3650","35670","32100"
"In post","2021","West Central Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","2420","2310","30550","27570"
"In post","2021","West Central Scotland","Glasgow City","11650","10850","31820","27570"
"In post","2021","West Central Scotland","Inverclyde, East Renfrewshire and Renfrewshire","1040","940","29630","27570"
"In post","2021","West Central Scotland","North Lanarkshire","2800","2450","26180","22820"
"In post","2021","West Midlands","Birmingham","11600","10800","31170","27570"
"In post","2021","West Midlands","Coventry","2430","2300","36870","32300"
"In post","2021","West Midlands","Dudley","1150","990","25080","26080"
"In post","2021","West Midlands","Sandwell","440","400","27170","27570"
"In post","2021","West Midlands","Solihull","1100","1020","28910","26620"
"In post","2021","West Midlands","Walsall","600","520","25100","26120"
"In post","2021","West Midlands","Wolverhampton","880","770","24990","26110"
"In post","2021","West Wales and The Valleys","Bridgend and Neath Port Talbot","710","630","27110","27570"
"In post","2021","West Wales and The Valleys","Central Valleys","1710","1590","34570","28850"
"In post","2021","West Wales and The Valleys","Conwy and Denbighshire","690","640","35060","30210"
"In post","2021","West Wales and The Valleys","Gwent Valleys","1080","980","28350","27570"
"In post","2021","West Wales and The Valleys","Gwynedd","740","680","25100","21050"
"In post","2021","West Wales and The Valleys","Isle of Anglesey","250","230","27690","26670"
"In post","2021","West Wales and The Valleys","South West Wales","1470","1360","30230","27570"
"In post","2021","West Wales and The Valleys","Swansea","9070","8080","27290","21590"
"In post","2021","West Yorkshire","Bradford","3100","2750","27200","25560"
"In post","2021","West Yorkshire","Calderdale and Kirklees","1060","940","27030","27570"
"In post","2021","West Yorkshire","Leeds","11410","10740","33110","28790"
"In post","2021","West Yorkshire","Wakefield","1680","1550","30270","27570"
"In post","2022","Bedfordshire and Hertfordshire","Bedford","860","800","30670","28140"
"In post","2022","Bedfordshire and Hertfordshire","Central Bedfordshire","440","430","31600","28500"
"In post","2022","Bedfordshire and Hertfordshire","Hertfordshire CC","2840","2690","35860","31620"
"In post","2022","Bedfordshire and Hertfordshire","Luton","560","510","27820","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","2930","2790","34450","30810"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","1690","1600","33220","30450"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","2250","2140","33030","28950"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","2670","2510","33260","30460"
"In post","2022","Cheshire","Cheshire East","1230","1140","30230","27120"
"In post","2022","Cheshire","Cheshire West and Chester","510","470","28600","27570"
"In post","2022","Cheshire","Warrington","2650","2510","33450","31650"
"In post","2022","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","1770","1620","27790","26750"
"In post","2022","Cumbria","East Cumbria","1020","940","28660","25190"
"In post","2022","Cumbria","West Cumbria","1300","1190","28880","25190"
"In post","2022","Derbyshire and Nottinghamshire","Derby","1120","1000","27240","25120"
"In post","2022","Derbyshire and Nottinghamshire","East Derbyshire","420","370","28240","27570"
"In post","2022","Derbyshire and Nottinghamshire","North Nottinghamshire","1100","1020","30030","27570"
"In post","2022","Derbyshire and Nottinghamshire","Nottingham","8830","8290","32620","28290"
"In post","2022","Derbyshire and Nottinghamshire","South and West Derbyshire","1200","1090","34000","28730"
"In post","2022","Derbyshire and Nottinghamshire","South Nottinghamshire","1050","980","32480","28640"
"In post","2022","Devon","Devon CC","5680","5210","32620","27570"
"In post","2022","Devon","Plymouth","3280","3050","31620","27570"
"In post","2022","Devon","Torbay","360","310","27240","26310"
"In post","2022","Dorset and Somerset","Bournemouth, Christchurch and Poole","780","710","28090","27570"
"In post","2022","Dorset and Somerset","Dorset","2210","2070","29850","27130"
"In post","2022","Dorset and Somerset","Somerset CC","2470","2310","31860","27720"
"In post","2022","East Anglia","Breckland and South Norfolk","520","480","29530","27120"
"In post","2022","East Anglia","Cambridgeshire CC","3480","3320","33510","31550"
"In post","2022","East Anglia","North and West Norfolk","940","870","28420","27570"
"In post","2022","East Anglia","Norwich and East Norfolk","2010","1830","29570","27570"
"In post","2022","East Anglia","Peterborough","1640","1480","28980","26620"
"In post","2022","East Anglia","Suffolk CC","4330","4040","29760","27570"
"In post","2022","East Wales","Cardiff and Vale of Glamorgan","11940","11220","34500","29430"
"In post","2022","East Wales","Flintshire and Wrexham","2250","2130","28530","27020"
"In post","2022","East Wales","Monmouthshire and Newport","6070","5700","35070","30770"
"In post","2022","East Wales","Powys","600","560","30570","27570"
"In post","2022","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","1990","1870","29300","26930"
"In post","2022","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","2110","1900","28410","27130"
"In post","2022","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","850","770","26810","27240"
"In post","2022","Eastern Scotland","Angus and Dundee City","2080","1950","27320","24400"
"In post","2022","Eastern Scotland","City of Edinburgh","13700","13090","38900","34040"
"In post","2022","Eastern Scotland","Clackmannanshire and Fife","1330","1240","30770","27570"
"In post","2022","Eastern Scotland","East Lothian and Midlothian","120","110","31130","27570"
