"Status","Year","Region_ITL3","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","570","540","25280","23130"
"In post","2021","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","EO","490","470","28760","28350"
"In post","2021","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","70","70","64150","59540"
"In post","2021","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","450","430","38730","36800"
"In post","2021","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","Unknown","90","90","29700","31310"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","AA/AO","80","70","23780","22920"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","EO","90","90","29660","28120"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","West Yorkshire","AA/AO","230","190","20570","21010"
"In post","2021","Calderdale and Kirklees","West Yorkshire","EO","610","550","27310","27570"
"In post","2021","Calderdale and Kirklees","West Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","West Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","West Yorkshire","SEO/HEO","90","80","34150","32850"
"In post","2021","Calderdale and Kirklees","West Yorkshire","Unknown","110","100","28530","28200"
"In post","2021","Cambridgeshire CC","East Anglia","AA/AO","1140","1060","25360","23490"
"In post","2021","Cambridgeshire CC","East Anglia","EO","710","670","27980","27570"
"In post","2021","Cambridgeshire CC","East Anglia","G6/G7","310","290","60520","57110"
"In post","2021","Cambridgeshire CC","East Anglia","SCS","40","40","[c]","[c]"
"In post","2021","Cambridgeshire CC","East Anglia","SEO/HEO","1080","1040","37200","35480"
"In post","2021","Cambridgeshire CC","East Anglia","Unknown","100","90","30530","30210"
"In post","2021","Camden and City of London","Inner London - West","AA/AO","860","810","23580","23270"
"In post","2021","Camden and City of London","Inner London - West","EO","930","880","29720","29570"
"In post","2021","Camden and City of London","Inner London - West","G6/G7","600","570","67710","60070"
"In post","2021","Camden and City of London","Inner London - West","SCS","40","40","[c]","[c]"
"In post","2021","Camden and City of London","Inner London - West","SEO/HEO","1190","1160","38710","36750"
"In post","2021","Camden and City of London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","East Wales","AA/AO","3400","3050","21330","20880"
"In post","2021","Cardiff and Vale of Glamorgan","East Wales","EO","3320","3110","26860","26930"
"In post","2021","Cardiff and Vale of Glamorgan","East Wales","G6/G7","1350","1290","59620","60830"
"In post","2021","Cardiff and Vale of Glamorgan","East Wales","SCS","190","180","90280","82200"
"In post","2021","Cardiff and Vale of Glamorgan","East Wales","SEO/HEO","3520","3350","36750","37410"
"In post","2021","Cardiff and Vale of Glamorgan","East Wales","Unknown","290","270","31110","30210"
"In post","2021","Causeway Coast and Glens","Northern Ireland","AA/AO","70","70","20410","20310"
"In post","2021","Causeway Coast and Glens","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Bedfordshire and Hertfordshire","AA/AO","140","140","20780","20920"
"In post","2021","Central Bedfordshire","Bedfordshire and Hertfordshire","EO","130","120","28060","27390"
"In post","2021","Central Bedfordshire","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Bedfordshire and Hertfordshire","SEO/HEO","140","140","37110","36300"
"In post","2021","Central Bedfordshire","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","Hampshire and Isle of Wight","AA/AO","810","780","23220","20920"
"In post","2021","Central Hampshire","Hampshire and Isle of Wight","EO","720","680","27210","26670"
"In post","2021","Central Hampshire","Hampshire and Isle of Wight","G6/G7","950","910","53350","53500"
"In post","2021","Central Hampshire","Hampshire and Isle of Wight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","Hampshire and Isle of Wight","SEO/HEO","1650","1600","35810","35390"
"In post","2021","Central Hampshire","Hampshire and Isle of Wight","Unknown","40","40","[c]","[c]"
"In post","2021","Central Valleys","West Wales and The Valleys","AA/AO","360","320","21620","21010"
"In post","2021","Central Valleys","West Wales and The Valleys","EO","550","500","27760","27570"
"In post","2021","Central Valleys","West Wales and The Valleys","G6/G7","170","170","62270","60830"
"In post","2021","Central Valleys","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Central Valleys","West Wales and The Valleys","SEO/HEO","520","500","40030","37410"
"In post","2021","Central Valleys","West Wales and The Valleys","Unknown","90","80","29500","28750"
"In post","2021","Cheshire East","Cheshire","AA/AO","290","260","23870","21710"
"In post","2021","Cheshire East","Cheshire","EO","240","220","27510","27570"
"In post","2021","Cheshire East","Cheshire","G6/G7","40","40","[c]","[c]"
"In post","2021","Cheshire East","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire East","Cheshire","SEO/HEO","130","120","38860","37410"
"In post","2021","Cheshire East","Cheshire","Unknown","50","50","29630","30150"
"In post","2021","Cheshire West and Chester","Cheshire","AA/AO","160","150","20670","21010"
"In post","2021","Cheshire West and Chester","Cheshire","EO","180","160","27190","27570"
"In post","2021","Cheshire West and Chester","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Cheshire","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cheshire West and Chester","Cheshire","Unknown","80","70","28740","28200"
"In post","2021","Chorley and West Lancashire","Lancashire","AA/AO","730","670","25550","25300"
"In post","2021","Chorley and West Lancashire","Lancashire","EO","320","290","29650","27570"
"In post","2021","Chorley and West Lancashire","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Lancashire","SEO/HEO","210","200","39500","38160"
"In post","2021","Chorley and West Lancashire","Lancashire","Unknown","50","50","32280","33360"
"In post","2021","City of Edinburgh","Eastern Scotland","AA/AO","3150","2980","22180","21480"
"In post","2021","City of Edinburgh","Eastern Scotland","EO","2630","2500","28470","28130"
"In post","2021","City of Edinburgh","Eastern Scotland","G6/G7","2290","2190","61730","61010"
"In post","2021","City of Edinburgh","Eastern Scotland","SCS","210","200","90920","83230"
"In post","2021","City of Edinburgh","Eastern Scotland","SEO/HEO","4520","4320","38400","37580"
"In post","2021","City of Edinburgh","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Eastern Scotland","AA/AO","470","430","22350","21010"
"In post","2021","Clackmannanshire and Fife","Eastern Scotland","EO","550","510","29470","27570"
"In post","2021","Clackmannanshire and Fife","Eastern Scotland","G6/G7","40","40","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Eastern Scotland","SEO/HEO","260","250","38090","37730"
"In post","2021","Clackmannanshire and Fife","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","West Wales and The Valleys","AA/AO","130","110","22020","23250"
"In post","2021","Conwy and Denbighshire","West Wales and The Valleys","EO","170","160","27720","27570"
"In post","2021","Conwy and Denbighshire","West Wales and The Valleys","G6/G7","70","70","61550","60830"
"In post","2021","Conwy and Denbighshire","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","West Wales and The Valleys","SEO/HEO","240","230","40300","37410"
"In post","2021","Conwy and Denbighshire","West Wales and The Valleys","Unknown","70","70","30100","28200"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","710","640","20860","21010"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","50","40","58500","54990"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","210","200","35630","34160"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","50","40","29330","28200"
"In post","2021","Coventry","West Midlands","AA/AO","290","260","20920","21010"
"In post","2021","Coventry","West Midlands","EO","580","540","27010","27130"
"In post","2021","Coventry","West Midlands","G6/G7","540","530","54700","50630"
"In post","2021","Coventry","West Midlands","SCS","50","50","90900","85180"
"In post","2021","Coventry","West Midlands","SEO/HEO","900","860","35060","36370"
"In post","2021","Coventry","West Midlands","Unknown","60","60","29850","30210"
"In post","2021","Croydon","Outer London - South","AA/AO","1740","1580","24510","25630"
"In post","2021","Croydon","Outer London - South","EO","2600","2450","29660","29370"
"In post","2021","Croydon","Outer London - South","G6/G7","1590","1540","63460","61000"
"In post","2021","Croydon","Outer London - South","SCS","80","70","91460","82690"
"In post","2021","Croydon","Outer London - South","SEO/HEO","3520","3400","39250","37380"
"In post","2021","Croydon","Outer London - South","Unknown","100","90","35410","34100"
"In post","2021","Darlington","Tees Valley and Durham","AA/AO","100","90","21000","21000"
"In post","2021","Darlington","Tees Valley and Durham","EO","190","170","26370","26000"
"In post","2021","Darlington","Tees Valley and Durham","G6/G7","190","190","54080","50630"
"In post","2021","Darlington","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Darlington","Tees Valley and Durham","SEO/HEO","430","410","34540","36500"
"In post","2021","Darlington","Tees Valley and Durham","Unknown","50","50","[c]","[c]"
"In post","2021","Derby","Derbyshire and Nottinghamshire","AA/AO","490","420","21470","21010"
"In post","2021","Derby","Derbyshire and Nottinghamshire","EO","300","270","27480","27570"
"In post","2021","Derby","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Derbyshire and Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derby","Derbyshire and Nottinghamshire","SEO/HEO","60","50","35330","34290"
"In post","2021","Derby","Derbyshire and Nottinghamshire","Unknown","140","130","30130","29930"
"In post","2021","Derry City and Strabane","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Devon","AA/AO","1950","1720","22200","21010"
"In post","2021","Devon CC","Devon","EO","1330","1210","26930","27570"
"In post","2021","Devon CC","Devon","G6/G7","680","640","53650","49960"
"In post","2021","Devon CC","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon CC","Devon","SEO/HEO","1520","1440","37130","37420"
"In post","2021","Devon CC","Devon","Unknown","80","80","32470","31420"
"In post","2021","Dorset CC","Dorset and Somerset","AA/AO","990","940","23860","22350"
"In post","2021","Dorset CC","Dorset and Somerset","EO","560","520","28090","27130"
"In post","2021","Dorset CC","Dorset and Somerset","G6/G7","60","60","61970","60520"
"In post","2021","Dorset CC","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Dorset CC","Dorset and Somerset","SEO/HEO","460","440","37100","35950"
"In post","2021","Dorset CC","Dorset and Somerset","Unknown","60","50","28640","30210"
"In post","2021","Dudley","West Midlands","AA/AO","530","440","20750","21010"
"In post","2021","Dudley","West Midlands","EO","480","420","27300","27570"
"In post","2021","Dudley","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Dudley","West Midlands","SEO/HEO","80","70","34500","34290"
"In post","2021","Dudley","West Midlands","Unknown","50","50","29550","28200"
"In post","2021","Dumfries and Galloway","Southern Scotland","AA/AO","250","230","23780","22920"
"In post","2021","Dumfries and Galloway","Southern Scotland","EO","220","200","30370","29190"
"In post","2021","Dumfries and Galloway","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Dumfries and Galloway","Southern Scotland","SEO/HEO","90","80","38720","37530"
"In post","2021","Durham CC","Tees Valley and Durham","AA/AO","3340","2940","23210","21430"
"In post","2021","Durham CC","Tees Valley and Durham","EO","1250","1130","27690","27130"
"In post","2021","Durham CC","Tees Valley and Durham","G6/G7","110","100","59670","56750"
"In post","2021","Durham CC","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Durham CC","Tees Valley and Durham","SEO/HEO","750","710","37130","36410"
"In post","2021","Durham CC","Tees Valley and Durham","Unknown","140","130","30430","30880"
"In post","2021","Ealing","Outer London - West and North West","AA/AO","70","60","24880","25110"
"In post","2021","Ealing","Outer London - West and North West","EO","350","330","31200","31060"
"In post","2021","Ealing","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ealing","Outer London - West and North West","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Ealing","Outer London - West and North West","Unknown","40","40","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","Southern Scotland","AA/AO","300","250","21870","21010"
"In post","2021","East Ayrshire and North Ayrshire mainland","Southern Scotland","EO","470","430","25690","27570"
"In post","2021","East Ayrshire and North Ayrshire mainland","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","Southern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Ayrshire and North Ayrshire mainland","Southern Scotland","SEO/HEO","170","170","34410","33180"
"In post","2021","East Cumbria","Cumbria","AA/AO","340","310","21450","21050"
"In post","2021","East Cumbria","Cumbria","EO","300","280","25240","25740"
"In post","2021","East Cumbria","Cumbria","G6/G7","60","50","53310","51470"
"In post","2021","East Cumbria","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Cumbria","Cumbria","SEO/HEO","180","170","34470","33300"
"In post","2021","East Cumbria","Cumbria","Unknown","60","50","29900","28200"
"In post","2021","East Derbyshire","Derbyshire and Nottinghamshire","AA/AO","100","90","20350","20300"
"In post","2021","East Derbyshire","Derbyshire and Nottinghamshire","EO","200","180","27320","27570"
"In post","2021","East Derbyshire","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Derbyshire","Derbyshire and Nottinghamshire","SEO/HEO","40","30","[c]","[c]"
"In post","2021","East Derbyshire","Derbyshire and Nottinghamshire","Unknown","50","40","[c]","[c]"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","AA/AO","1370","1300","26510","22430"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","EO","620","590","30790","28210"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","G6/G7","50","40","[c]","[c]"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","SEO/HEO","320","310","40440","39500"
"In post","2021","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","Unknown","70","70","39680","41960"
"In post","2021","East Kent","Kent","AA/AO","1010","930","22620","21440"
"In post","2021","East Kent","Kent","EO","2380","2150","27420","27370"
"In post","2021","East Kent","Kent","G6/G7","100","100","56720","52580"
"In post","2021","East Kent","Kent","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Kent","Kent","SEO/HEO","630","610","34730","33370"
"In post","2021","East Kent","Kent","Unknown","110","100","28990","25620"
"In post","2021","East Lancashire","Lancashire","AA/AO","160","130","20320","21010"
