"Status","Year","Sexual_orientation","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","London","Ministry of Defence","2850","2790","41100","37640"
"In post","2021","Heterosexual / straight","London","Ministry of Housing, Communities and Local Government","1410","1380","48750","53130"
"In post","2021","Heterosexual / straight","London","Ministry of Justice","9630","9260","36300","32870"
"In post","2021","Heterosexual / straight","London","National Crime Agency","1220","1190","43960","40170"
"In post","2021","Heterosexual / straight","London","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Office for Standards in Education","350","340","56610","51360"
"In post","2021","Heterosexual / straight","London","Office of Gas and Electricity Markets","260","250","48600","44430"
"In post","2021","Heterosexual / straight","London","Office of Rail and Road","100","100","52010","54890"
"In post","2021","Heterosexual / straight","London","Other Cabinet Office Agencies","110","110","51340","49300"
"In post","2021","Heterosexual / straight","London","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","The National Archives","220","210","36510","34220"
"In post","2021","Heterosexual / straight","London","UK Export Finance","320","320","52510","47230"
"In post","2021","Heterosexual / straight","London","UK Supreme Court","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","London","United Kingdom Statistics Authority","220","220","43560","32540"
"In post","2021","Heterosexual / straight","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Attorney General's Departments","240","220","38110","33310"
"In post","2021","Heterosexual / straight","North East (England)","Cabinet Office","310","290","28550","23850"
"In post","2021","Heterosexual / straight","North East (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Business, Energy and Industrial Strategy","110","110","32970","30950"
"In post","2021","Heterosexual / straight","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","Department for Education","630","600","38230","36780"
