"Status","Year","Disability","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Scottish Government","120","110","40460","37710"
"In post","2022","Declared non-disabled","Digital, Data and Technology","The National Archives","90","80","39930","39780"
"In post","2022","Declared non-disabled","Digital, Data and Technology","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data and Technology","UK Statistics Authority","270","260","43470","40750"
"In post","2022","Declared non-disabled","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Welsh Government","180","180","39640","38160"
"In post","2022","Declared non-disabled","Economics","Competition and Markets Authority","80","80","63860","57840"
"In post","2022","Declared non-disabled","Economics","Department for Business, Energy and Industrial Strategy","200","200","45860","39570"
"In post","2022","Declared non-disabled","Economics","Department for Digital, Culture, Media and Sport","60","60","47580","51070"
"In post","2022","Declared non-disabled","Economics","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Department for International Trade","80","80","44350","32730"
"In post","2022","Declared non-disabled","Economics","Department for Levelling Up, Housing and Communities","50","50","48840","53130"
"In post","2022","Declared non-disabled","Economics","Department for Transport","100","90","50270","54110"
"In post","2022","Declared non-disabled","Economics","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Foreign, Commonwealth and Development Office","90","90","51680","52430"
"In post","2022","Declared non-disabled","Economics","HM Revenue and Customs","110","110","49770","43430"
"In post","2022","Declared non-disabled","Economics","HM Treasury","160","160","47670","39900"
"In post","2022","Declared non-disabled","Economics","Home Office","80","80","54220","61260"
"In post","2022","Declared non-disabled","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Ministry of Justice","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","UK Statistics Authority","90","80","37770","30710"
"In post","2022","Declared non-disabled","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","Welsh Government","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Attorney General's Departments","160","150","31810","27710"
"In post","2022","Declared non-disabled","Finance","Cabinet Office","60","60","49760","44000"
"In post","2022","Declared non-disabled","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy","270","260","46280","43940"
"In post","2022","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","60","60","51540","54540"
"In post","2022","Declared non-disabled","Finance","Department for Education","580","560","43820","40300"
"In post","2022","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","320","310","42120","37700"
"In post","2022","Declared non-disabled","Finance","Department for International Trade","60","60","48820","49580"
"In post","2022","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities","110","110","49670","48200"
"In post","2022","Declared non-disabled","Finance","Department for Transport","360","340","41060","38650"
"In post","2022","Declared non-disabled","Finance","Department for Work and Pensions","970","900","38650","35310"
"In post","2022","Declared non-disabled","Finance","Department of Health and Social Care","210","200","43400","40650"
"In post","2022","Declared non-disabled","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","150","140","43050","38600"
"In post","2022","Declared non-disabled","Finance","HM Land Registry","50","50","46890","43180"
"In post","2022","Declared non-disabled","Finance","HM Revenue and Customs","750","700","43380","40520"
"In post","2022","Declared non-disabled","Finance","HM Treasury","80","80","48700","48780"
"In post","2022","Declared non-disabled","Finance","Home Office","240","230","46750","42170"
"In post","2022","Declared non-disabled","Finance","Ministry of Defence","3100","3010","37600","33300"
"In post","2022","Declared non-disabled","Finance","Ministry of Justice","480","470","43420","41100"
"In post","2022","Declared non-disabled","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Scottish Government","60","60","36140","32380"
"In post","2022","Declared non-disabled","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Welsh Government","290","270","43650","38160"
"In post","2022","Declared non-disabled","Geography","Ministry of Defence","300","280","31790","33290"
"In post","2022","Declared non-disabled","Geography","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Attorney General's Departments","160","160","37160","31640"
"In post","2022","Declared non-disabled","Human Resources","Cabinet Office","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy","310","300","41880","39750"
"In post","2022","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","60","60","44820","35520"
"In post","2022","Declared non-disabled","Human Resources","Department for Education","100","90","38400","36500"
"In post","2022","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","220","210","41710","37360"
"In post","2022","Declared non-disabled","Human Resources","Department for International Trade","80","70","45410","48100"
"In post","2022","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities","80","80","42280","37170"
"In post","2022","Declared non-disabled","Human Resources","Department for Transport","350","330","36920","33350"
"In post","2022","Declared non-disabled","Human Resources","Department for Work and Pensions","600","560","38970","35310"
"In post","2022","Declared non-disabled","Human Resources","Department of Health and Social Care","240","230","42260","35880"
"In post","2022","Declared non-disabled","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office","240","230","48700","44230"
"In post","2022","Declared non-disabled","Human Resources","HM Land Registry","80","70","40820","38550"
"In post","2022","Declared non-disabled","Human Resources","HM Revenue and Customs","540","500","43790","40520"
"In post","2022","Declared non-disabled","Human Resources","HM Treasury","70","60","45720","49500"
"In post","2022","Declared non-disabled","Human Resources","Home Office","440","420","42210","37450"
"In post","2022","Declared non-disabled","Human Resources","Ministry of Defence","1490","1400","32820","26930"
"In post","2022","Declared non-disabled","Human Resources","Ministry of Justice","710","690","41980","37920"
"In post","2022","Declared non-disabled","Human Resources","National Crime Agency","60","60","42820","40600"
"In post","2022","Declared non-disabled","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Scottish Government","100","100","37910","35000"
"In post","2022","Declared non-disabled","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","UK Statistics Authority","80","70","40510","36840"
"In post","2022","Declared non-disabled","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Welsh Government","160","150","35500","29430"
"In post","2022","Declared non-disabled","Inspector of Education and Training","Estyn","60","50","75040","75480"
"In post","2022","Declared non-disabled","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","740","730","65690","70500"
"In post","2022","Declared non-disabled","Intelligence Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","Foreign, Commonwealth and Development Office","140","130","46350","39770"
"In post","2022","Declared non-disabled","Intelligence Analysis","HM Revenue and Customs","160","150","40090","37610"
"In post","2022","Declared non-disabled","Intelligence Analysis","Home Office","1080","1020","29670","27370"
"In post","2022","Declared non-disabled","Intelligence Analysis","Ministry of Defence","580","560","36860","34610"
"In post","2022","Declared non-disabled","Intelligence Analysis","Ministry of Justice","290","280","30580","27380"
"In post","2022","Declared non-disabled","Internal Audit","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","HM Revenue and Customs","50","50","47270","43560"
"In post","2022","Declared non-disabled","Internal Audit","HM Treasury","260","250","50470","48780"
"In post","2022","Declared non-disabled","Internal Audit","Ministry of Defence","100","100","38110","36050"
"In post","2022","Declared non-disabled","Internal Audit","Ministry of Justice","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","Department for International Trade","770","760","49080","51710"
"In post","2022","Declared non-disabled","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","HM Revenue and Customs","70","70","36410","33370"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Attorney General's Departments","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department for Levelling Up, Housing and Communities","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department for Transport","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department for Work and Pensions","350","330","35560","31990"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Foreign, Commonwealth and Development Office","90","90","43860","38350"
"In post","2022","Declared non-disabled","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Home Office","70","60","41700","38560"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Ministry of Defence","560","540","32600","30070"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Ministry of Justice","110","110","30200","25570"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","The National Archives","60","60","34410","31150"
"In post","2022","Declared non-disabled","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Welsh Government","100","90","35460","33740"
"In post","2022","Declared non-disabled","Legal","Attorney General's Departments","3770","3490","57380","55610"
"In post","2022","Declared non-disabled","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Competition and Markets Authority","130","120","68460","71370"
"In post","2022","Declared non-disabled","Legal","Department for Business, Energy and Industrial Strategy","90","90","48360","43740"
"In post","2022","Declared non-disabled","Legal","Department for Education","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Foreign, Commonwealth and Development Office","110","90","56570","57540"
"In post","2022","Declared non-disabled","Legal","HM Land Registry","170","150","49730","56870"
"In post","2022","Declared non-disabled","Legal","HM Revenue and Customs","2270","2170","36040","33370"
"In post","2022","Declared non-disabled","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Ministry of Justice","940","840","45570","44780"
"In post","2022","Declared non-disabled","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Office of Gas and Electricity Markets","80","70","61840","62690"
"In post","2022","Declared non-disabled","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Scottish Government","640","610","54060","53490"
"In post","2022","Declared non-disabled","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Welsh Government","140","130","57880","61440"
"In post","2022","Declared non-disabled","Medicine","Department for Transport","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Medicine","Department of Health and Social Care","290","250","78500","80540"
"In post","2022","Declared non-disabled","Medicine","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Medicine","Ministry of Defence","1040","910","46740","39030"
"In post","2022","Declared non-disabled","Medicine","Welsh Government","160","150","46750","47470"
"In post","2022","Declared non-disabled","Operational Delivery","Attorney General's Departments","1940","1790","27560","26090"
"In post","2022","Declared non-disabled","Operational Delivery","Cabinet Office","80","80","44000","39670"
"In post","2022","Declared non-disabled","Operational Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Charity Commission","140","140","33680","29160"
"In post","2022","Declared non-disabled","Operational Delivery","Department for Business, Energy and Industrial Strategy","2390","2250","33760","28750"
"In post","2022","Declared non-disabled","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Department for Education","1140","1100","43930","40230"
"In post","2022","Declared non-disabled","Operational Delivery","Department for Environment, Food and Rural Affairs","3710","3460","26830","24920"
"In post","2022","Declared non-disabled","Operational Delivery","Department for International Trade","80","80","35810","32120"
"In post","2022","Declared non-disabled","Operational Delivery","Department for Levelling Up, Housing and Communities","520","500","35360","33210"
"In post","2022","Declared non-disabled","Operational Delivery","Department for Transport","6440","5810","26700","26130"
"In post","2022","Declared non-disabled","Operational Delivery","Department for Work and Pensions","51390","45820","26940","27570"
"In post","2022","Declared non-disabled","Operational Delivery","Department of Health and Social Care","1930","1750","36530","32310"
"In post","2022","Declared non-disabled","Operational Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Food Standards Agency","450","430","32320","28800"
"In post","2022","Declared non-disabled","Operational Delivery","Foreign, Commonwealth and Development Office","380","360","34240","29300"
"In post","2022","Declared non-disabled","Operational Delivery","HM Land Registry","3250","2870","30050","27130"
"In post","2022","Declared non-disabled","Operational Delivery","HM Revenue and Customs","16780","15110","28300","26590"
"In post","2022","Declared non-disabled","Operational Delivery","HM Treasury","130","120","31140","28500"
"In post","2022","Declared non-disabled","Operational Delivery","Home Office","18620","17080","28510","25630"
"In post","2022","Declared non-disabled","Operational Delivery","Ministry of Defence","690","650","36410","32420"
"In post","2022","Declared non-disabled","Operational Delivery","Ministry of Justice","50200","46970","29140","26850"
"In post","2022","Declared non-disabled","Operational Delivery","National Crime Agency","1380","1340","43750","41000"
"In post","2022","Declared non-disabled","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Office for Standards in Education, Children's Services and Skills","170","150","30080","25880"
"In post","2022","Declared non-disabled","Operational Delivery","Office of Gas and Electricity Markets","170","170","30010","25750"
"In post","2022","Declared non-disabled","Operational Delivery","Office of Qualifications and Examinations Regulation","70","70","42290","38000"
"In post","2022","Declared non-disabled","Operational Delivery","Office of Rail and Road","130","120","53790","52310"
"In post","2022","Declared non-disabled","Operational Delivery","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Scottish Government","2270","2140","28760","25050"
"In post","2022","Declared non-disabled","Operational Delivery","The National Archives","90","80","31570","28460"
"In post","2022","Declared non-disabled","Operational Delivery","UK Export Finance","250","250","52010","44720"
"In post","2022","Declared non-disabled","Operational Delivery","UK Statistics Authority","1540","1290","29180","24250"
"In post","2022","Declared non-disabled","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Delivery","Welsh Government","1390","1300","38200","29430"
"In post","2022","Declared non-disabled","Operational Research","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Department for Transport","50","50","36950","33350"
"In post","2022","Declared non-disabled","Operational Research","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Foreign, Commonwealth and Development Office","40","30","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","HM Revenue and Customs","110","100","45650","40520"
"In post","2022","Declared non-disabled","Operational Research","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Home Office","50","50","51600","46640"
"In post","2022","Declared non-disabled","Operational Research","Ministry of Defence","480","450","44120","47010"
"In post","2022","Declared non-disabled","Operational Research","Ministry of Justice","70","70","49770","50430"
"In post","2022","Declared non-disabled","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Attorney General's Departments","360","340","33900","27580"
"In post","2022","Declared non-disabled","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Chancellor's other departments","200","190","69150","59900"
"In post","2022","Declared non-disabled","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Department for Business, Energy and Industrial Strategy","60","60","44140","39910"
"In post","2022","Declared non-disabled","Other","Department for Digital, Culture, Media and Sport","70","70","41410","34020"
"In post","2022","Declared non-disabled","Other","Department for Environment, Food and Rural Affairs","80","70","37980","32560"
"In post","2022","Declared non-disabled","Other","Department for International Trade","80","80","47840","39820"
"In post","2022","Declared non-disabled","Other","Department for Levelling Up, Housing and Communities","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Department for Transport","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Department for Work and Pensions","5750","5220","26570","27570"
"In post","2022","Declared non-disabled","Other","Department of Health and Social Care","120","110","50700","50040"
"In post","2022","Declared non-disabled","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Foreign, Commonwealth and Development Office","180","170","64960","67370"
"In post","2022","Declared non-disabled","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","HM Revenue and Customs","300","280","48060","43810"
"In post","2022","Declared non-disabled","Other","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Home Office","1080","1040","36060","30980"
"In post","2022","Declared non-disabled","Other","Ministry of Defence","9860","9490","27610","23340"
"In post","2022","Declared non-disabled","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Office for Standards in Education, Children's Services and Skills","210","200","30250","25880"
"In post","2022","Declared non-disabled","Other","Office of Gas and Electricity Markets","540","530","44080","36250"
"In post","2022","Declared non-disabled","Other","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","The National Archives","60","60","39210","34770"
"In post","2022","Declared non-disabled","Other","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","Welsh Government","540","510","43560","41980"
"In post","2022","Declared non-disabled","Planning","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","Department for Levelling Up, Housing and Communities","110","100","46550","41290"
"In post","2022","Declared non-disabled","Planning","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","Welsh Government","60","60","44770","38160"
"In post","2022","Declared non-disabled","Planning Inspectors","Department for Levelling Up, Housing and Communities","270","240","56300","58810"
"In post","2022","Declared non-disabled","Policy","Attorney General's Departments","70","60","48950","51850"
"In post","2022","Declared non-disabled","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
