"Status","Year","Parent_department","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Department for Transport","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Operational Delivery","Declared disabled","70","50","23120","21590"
"Leaver CS","2021","Department for Transport","Operational Delivery","Declared non-disabled","290","240","26310","21590"
"Leaver CS","2021","Department for Transport","Operational Delivery","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Department for Transport","Operational Delivery","Unknown","100","90","23450","21590"
"Leaver CS","2021","Department for Transport","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Unknown","Declared non-disabled","60","60","47230","42490"
"Leaver CS","2021","Department for Transport","Unknown","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Operational Delivery","Declared non-disabled","80","70","44810","44800"
"Leaver CS","2021","Department for Work and Pensions","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Declared disabled","660","530","26430","26890"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Declared non-disabled","2910","2420","26260","25110"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Undeclared","130","110","26650","25180"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Unknown","700","670","27220","27570"
"Leaver CS","2021","Department of Health and Social Care","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Knowledge and Information Management","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicine","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Operational Delivery","Declared non-disabled","190","180","38740","32650"
"Leaver CS","2021","Department of Health and Social Care","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Operational Delivery","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Science and Engineering","Declared non-disabled","190","180","32210","29070"
"Leaver CS","2021","Department of Health and Social Care","Science and Engineering","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Science and Engineering","Unknown","70","60","39580","35610"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Declared non-disabled","40","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Unknown","Unknown","210","60","44710","40010"
"Leaver CS","2021","ESTYN","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Veterinarian","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Declared non-disabled","60","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Operational Delivery","Declared non-disabled","110","80","29660","27130"
"Leaver CS","2021","HM Land Registry","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Operational Delivery","Unknown","60","50","23280","22350"
"Leaver CS","2021","HM Land Registry","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Property","Declared non-disabled","110","90","31940","26500"
"Leaver CS","2021","HM Revenue and Customs","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Property","Unknown","60","40","28000","25500"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Declared disabled","620","500","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Declared non-disabled","2700","2240","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Undeclared","340","290","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Unknown","1780","1530","[c]","[c]"
"Leaver CS","2021","HM Treasury","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Policy","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","HM Treasury","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
