"Status","Year","Responsibility_level","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","110","100","22490","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","60","60","22940","24370"
"In post","2021","AA/AO","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Female","50","50","24440","25730"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Male","100","80","30340","32740"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Female","19630","15900","21160","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Male","9690","9200","21190","21010"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Female","90","80","21990","22230"
"In post","2021","AA/AO","Disclosure Scotland","Male","90","90","21890","22230"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Female","2730","2170","20490","21590"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Male","1360","1290","20950","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Female","370","320","21790","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Male","750","730","25860","26580"
"In post","2021","AA/AO","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Female","50","50","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Male","90","90","25630","23340"
"In post","2021","AA/AO","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Female","260","250","25750","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Male","180","180","25910","25430"
"In post","2021","AA/AO","Forestry and Land Scotland","Female","130","120","23730","22920"
"In post","2021","AA/AO","Forestry and Land Scotland","Male","340","330","25390","26530"
"In post","2021","AA/AO","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Female","200","170","22140","22160"
"In post","2021","AA/AO","Health and Safety Executive","Male","90","80","21960","22160"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Female","7460","6330","19980","19930"
"In post","2021","AA/AO","HM Courts and Tribunals Service","Male","3020","2880","19980","19930"
"In post","2021","AA/AO","HM Land Registry","Female","1140","1060","22470","22350"
"In post","2021","AA/AO","HM Land Registry","Male","710","690","22460","22350"
"In post","2021","AA/AO","HM Prison and Probation Service","Female","11680","10820","24900","23700"
"In post","2021","AA/AO","HM Prison and Probation Service","Male","16730","16050","27350","26810"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Female","12270","9960","20840","20140"
"In post","2021","AA/AO","HM Revenue and Customs (excl. agencies)","Male","8490","8010","20600","20140"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office (incl. agencies)","Female","4840","4080","22060","21430"
"In post","2021","AA/AO","Home Office (incl. agencies)","Male","3490","3300","21900","21430"
"In post","2021","AA/AO","Insolvency Service","Female","400","370","21290","20880"
"In post","2021","AA/AO","Insolvency Service","Male","240","230","21060","20880"
"In post","2021","AA/AO","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal Aid Agency","Female","290","260","19840","19930"
"In post","2021","AA/AO","Legal Aid Agency","Male","160","150","19540","19860"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Female","150","130","23230","21590"
"In post","2021","AA/AO","Maritime and Coastguard Agency","Male","140","140","25310","26590"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Met Office","Female","50","50","23740","21280"
"In post","2021","AA/AO","Met Office","Male","50","50","[c]","[c]"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Female","6850","6390","21540","21030"
"In post","2021","AA/AO","Ministry of Defence (excl. agencies)","Male","8760","8610","23920","20920"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","30","30","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","30","30","[c]","[c]"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Female","170","150","21070","20890"
"In post","2021","AA/AO","Ministry of Justice (excl. agencies)","Male","110","100","21520","21710"
"In post","2021","AA/AO","National Crime Agency","Female","200","180","23570","24220"
"In post","2021","AA/AO","National Crime Agency","Male","130","120","24050","24220"
"In post","2021","AA/AO","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Records of Scotland","Female","80","70","22620","22230"
"In post","2021","AA/AO","National Records of Scotland","Male","80","70","22510","22230"
"In post","2021","AA/AO","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Female","160","140","21230","21160"
"In post","2021","AA/AO","Office for Standards in Education, Children's Services and Skills","Male","70","70","21300","21160"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of the Public Guardian","Female","480","420","19770","19930"
"In post","2021","AA/AO","Office of the Public Guardian","Male","380","360","19740","19930"
"In post","2021","AA/AO","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning Inspectorate","Female","100","90","21400","21270"
"In post","2021","AA/AO","Planning Inspectorate","Male","70","70","21720","21270"
"In post","2021","AA/AO","Public Health England","Female","660","570","21270","21020"
"In post","2021","AA/AO","Public Health England","Male","240","220","20960","20150"
"In post","2021","AA/AO","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Registers of Scotland","Female","170","150","24010","24130"
"In post","2021","AA/AO","Registers of Scotland","Male","190","180","24020","24130"
"In post","2021","AA/AO","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Rural Payments Agency","Female","580","490","21000","21050"
"In post","2021","AA/AO","Rural Payments Agency","Male","400","390","21010","21050"
"In post","2021","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Female","630","540","21870","22820"
"In post","2021","AA/AO","Scottish Courts and Tribunals Service","Male","290","270","21290","20850"
"In post","2021","AA/AO","Scottish Forestry","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government (excl. agencies)","Female","510","480","23130","23340"
"In post","2021","AA/AO","Scottish Government (excl. agencies)","Male","410","400","24480","23340"
"In post","2021","AA/AO","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Prison Service","Female","700","640","23280","22430"
"In post","2021","AA/AO","Scottish Prison Service","Male","850","820","24150","25870"
"In post","2021","AA/AO","Scottish Public Pensions Agency","Female","80","60","24050","24110"
"In post","2021","AA/AO","Scottish Public Pensions Agency","Male","60","60","23990","24110"
"In post","2021","AA/AO","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Security Scotland","Female","230","210","21020","20060"
"In post","2021","AA/AO","Social Security Scotland","Male","170","170","21170","20060"
"In post","2021","AA/AO","Student Awards Agency for Scotland","Female","70","60","21720","22230"
"In post","2021","AA/AO","Student Awards Agency for Scotland","Male","50","50","[c]","[c]"
"In post","2021","AA/AO","Teaching Regulation Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Male","60","50","21000","20650"
"In post","2021","AA/AO","Transport Scotland","Female","30","30","[c]","[c]"
"In post","2021","AA/AO","Transport Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Hydrographic Office","Female","30","30","[c]","[c]"
"In post","2021","AA/AO","UK Hydrographic Office","Male","50","50","[c]","[c]"
"In post","2021","AA/AO","UK Intellectual Property Office","Female","120","100","20910","21140"
"In post","2021","AA/AO","UK Intellectual Property Office","Male","80","80","20660","21140"
"In post","2021","AA/AO","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Female","830","590","19540","19520"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Male","630","450","19760","19520"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Valuation Office Agency","Female","550","470","21320","21100"
"In post","2021","AA/AO","Valuation Office Agency","Male","300","290","21210","21100"
"In post","2021","AA/AO","Vehicle Certification Agency","Female","30","30","[c]","[c]"
"In post","2021","AA/AO","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinary Medicines Directorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government (excl. agencies)","Female","610","540","23340","23830"
"In post","2021","AA/AO","Welsh Government (excl. agencies)","Male","350","340","23370","23830"
"In post","2021","AA/AO","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Accountant in Bankruptcy","Female","30","30","[c]","[c]"
"In post","2021","EO","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Advisory, Conciliation and Arbitration Service","Female","210","200","25100","24250"
"In post","2021","EO","Advisory, Conciliation and Arbitration Service","Male","140","140","25000","24250"
"In post","2021","EO","Animal and Plant Health Agency","Female","460","430","26380","25380"
"In post","2021","EO","Animal and Plant Health Agency","Male","320","300","26820","26440"
"In post","2021","EO","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Cabinet Office (excl. agencies)","Female","530","510","27150","27500"
"In post","2021","EO","Cabinet Office (excl. agencies)","Male","350","350","27300","27500"
"In post","2021","EO","Centre for Environment, Fisheries and Aquaculture Science","Female","70","60","25050","24920"
"In post","2021","EO","Centre for Environment, Fisheries and Aquaculture Science","Male","50","50","25120","24920"
"In post","2021","EO","Charity Commission","Female","70","60","24740","24440"
"In post","2021","EO","Charity Commission","Male","40","40","[c]","[c]"
"In post","2021","EO","Companies House","Female","140","120","26910","27460"
"In post","2021","EO","Companies House","Male","150","140","28760","27460"
"In post","2021","EO","Competition and Markets Authority","Female","40","40","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Male","40","40","[c]","[c]"
"In post","2021","EO","Criminal Injuries Compensation Authority","Female","50","40","[c]","[c]"
"In post","2021","EO","Criminal Injuries Compensation Authority","Male","40","40","[c]","[c]"
"In post","2021","EO","Crown Commercial Service","Female","60","60","23380","22230"
"In post","2021","EO","Crown Commercial Service","Male","50","50","[c]","[c]"
"In post","2021","EO","Crown Office and Procurator Fiscal Service","Female","240","220","27320","26570"
"In post","2021","EO","Crown Office and Procurator Fiscal Service","Male","80","80","27340","26570"
"In post","2021","EO","Crown Prosecution Service","Female","980","880","27970","28430"
"In post","2021","EO","Crown Prosecution Service","Male","380","370","27910","28430"
"In post","2021","EO","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Defence Electronics and Components Agency","Male","240","230","28100","28750"
"In post","2021","EO","Defence Equipment and Support","Female","1020","930","22180","21470"
"In post","2021","EO","Defence Equipment and Support","Male","1590","1570","22290","21120"
"In post","2021","EO","Defence Science and Technology Laboratory","Female","150","130","22850","22780"
"In post","2021","EO","Defence Science and Technology Laboratory","Male","100","90","23380","22780"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","250","240","27870","27680"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","150","150","28510","27690"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Female","120","120","27470","26180"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Male","60","60","27240","26180"
"In post","2021","EO","Department for Education (excl. agencies)","Female","450","430","26960","26000"
"In post","2021","EO","Department for Education (excl. agencies)","Male","290","280","26740","26000"
"In post","2021","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","300","280","26720","25910"
"In post","2021","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","220","210","26790","26300"
"In post","2021","EO","Department for International Trade","Female","140","140","27400","26510"
"In post","2021","EO","Department for International Trade","Male","110","110","27300","26510"
"In post","2021","EO","Department for Transport (excl. agencies)","Female","230","220","28640","30270"
"In post","2021","EO","Department for Transport (excl. agencies)","Male","160","160","28900","30270"
"In post","2021","EO","Department for Work and Pensions (excl. agencies)","Female","32260","28270","28110","27570"
"In post","2021","EO","Department for Work and Pensions (excl. agencies)","Male","16310","15680","28140","27570"
"In post","2021","EO","Department of Health and Social Care (excl. agencies)","Female","280","270","27030","27270"
"In post","2021","EO","Department of Health and Social Care (excl. agencies)","Male","160","160","26430","27270"
"In post","2021","EO","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Disclosure Scotland","Male","30","30","[c]","[c]"
"In post","2021","EO","Driver and Vehicle Licensing Agency","Female","500","450","26600","26780"
"In post","2021","EO","Driver and Vehicle Licensing Agency","Male","400","390","26860","26670"
"In post","2021","EO","Driver and Vehicle Standards Agency","Female","680","620","27400","26780"
"In post","2021","EO","Driver and Vehicle Standards Agency","Male","1910","1800","28600","26780"
"In post","2021","EO","Education and Skills Funding Agency","Female","110","100","25940","26000"
"In post","2021","EO","Education and Skills Funding Agency","Male","70","70","26060","26000"
"In post","2021","EO","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","FCDO Services","Female","80","80","27680","26590"
"In post","2021","EO","FCDO Services","Male","130","130","28670","27280"
"In post","2021","EO","Food Standards Agency","Female","90","80","27140","26750"
"In post","2021","EO","Food Standards Agency","Male","350","330","27320","26750"
"In post","2021","EO","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Food Standards Scotland","Male","60","60","28870","29190"
"In post","2021","EO","Foreign, Commonwealth and Development Office (excl. agencies)","Female","450","440","29910","30300"
"In post","2021","EO","Foreign, Commonwealth and Development Office (excl. agencies)","Male","280","270","29930","30300"
"In post","2021","EO","Forestry and Land Scotland","Female","100","90","30470","30160"
"In post","2021","EO","Forestry and Land Scotland","Male","160","160","32040","30160"
"In post","2021","EO","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Government Legal Department","Female","210","200","28450","27580"
"In post","2021","EO","Government Legal Department","Male","120","120","28730","27580"
"In post","2021","EO","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Health and Safety Executive","Female","280","260","28150","28210"
"In post","2021","EO","Health and Safety Executive","Male","160","160","27690","26680"
"In post","2021","EO","HM Courts and Tribunals Service","Female","1940","1790","24010","23700"
"In post","2021","EO","HM Courts and Tribunals Service","Male","710","700","24210","23730"
"In post","2021","EO","HM Land Registry","Female","1460","1220","27380","27130"
"In post","2021","EO","HM Land Registry","Male","700","660","27750","27130"
"In post","2021","EO","HM Prison and Probation Service","Female","2400","2290","29630","28400"
"In post","2021","EO","HM Prison and Probation Service","Male","3840","3680","31930","33520"
"In post","2021","EO","HM Revenue and Customs (excl. agencies)","Female","7830","6960","26480","25560"
"In post","2021","EO","HM Revenue and Customs (excl. agencies)","Male","6850","6590","26330","25560"
"In post","2021","EO","HM Treasury (excl. agencies)","Female","130","130","27130","26780"
"In post","2021","EO","HM Treasury (excl. agencies)","Male","80","80","26440","26750"
"In post","2021","EO","Home Office (incl. agencies)","Female","7200","6450","26860","25990"
"In post","2021","EO","Home Office (incl. agencies)","Male","7170","6730","27050","26160"
"In post","2021","EO","Insolvency Service","Female","130","130","25990","26290"
"In post","2021","EO","Insolvency Service","Male","80","80","26220","26290"
"In post","2021","EO","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal Aid Agency","Female","190","180","23690","22570"
"In post","2021","EO","Legal Aid Agency","Male","140","130","23860","22570"
"In post","2021","EO","Maritime and Coastguard Agency","Female","110","100","27950","26700"
"In post","2021","EO","Maritime and Coastguard Agency","Male","130","130","29930","31470"
"In post","2021","EO","Medicines and Healthcare Products Regulatory Agency","Female","150","140","27880","27510"
"In post","2021","EO","Medicines and Healthcare Products Regulatory Agency","Male","70","70","27700","27400"
"In post","2021","EO","Met Office","Female","90","80","25630","25630"
"In post","2021","EO","Met Office","Male","100","100","26690","26630"
"In post","2021","EO","Ministry of Defence (excl. agencies)","Female","3270","3110","27850","26670"
"In post","2021","EO","Ministry of Defence (excl. agencies)","Male","3990","3940","29220","26930"
"In post","2021","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","150","140","28030","27850"
"In post","2021","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","120","120","28860","27850"
"In post","2021","EO","Ministry of Justice (excl. agencies)","Female","460","430","26010","26410"
"In post","2021","EO","Ministry of Justice (excl. agencies)","Male","300","300","26010","26410"
"In post","2021","EO","National Crime Agency","Female","1260","1210","32730","32770"
"In post","2021","EO","National Crime Agency","Male","1210","1200","34240","34520"
"In post","2021","EO","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Records of Scotland","Female","30","30","[c]","[c]"
"In post","2021","EO","National Records of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education, Children's Services and Skills","Female","120","110","26190","25880"
"In post","2021","EO","Office for Standards in Education, Children's Services and Skills","Male","80","80","26440","25880"
"In post","2021","EO","Office of Gas and Electricity Markets","Female","140","130","26110","25610"
"In post","2021","EO","Office of Gas and Electricity Markets","Male","130","130","25540","25300"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of the Public Guardian","Female","210","200","22320","22570"
"In post","2021","EO","Office of the Public Guardian","Male","160","150","22320","22570"
