"Status","Year","Parent_department","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","G6/G7","130","120","80370","73600"
"In post","2021","Chancellor's other departments","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","SEO/HEO","100","90","42070","42470"
"In post","2021","Charity Commission","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Charity Commission","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","EO","80","70","24830","24440"
"In post","2021","Charity Commission","White","G6/G7","50","40","[c]","[c]"
"In post","2021","Charity Commission","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","SEO/HEO","180","170","32820","29550"
"In post","2021","Competition and Markets Authority","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","G6/G7","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","G6/G7","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","EO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","G6/G7","310","300","65940","62890"
"In post","2021","Competition and Markets Authority","White","SCS","90","90","107800","99920"
"In post","2021","Competition and Markets Authority","White","SEO/HEO","110","110","37540","34940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","AA/AO","90","80","21900","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","EO","120","120","27610","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","G6/G7","160","160","57700","54560"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","SEO/HEO","320","320","37360","36110"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","AA/AO","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","EO","70","70","28260","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","G6/G7","80","80","55990","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","SEO/HEO","190","190","36920","35520"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","EO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","G6/G7","100","100","57460","55500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","SEO/HEO","140","130","37740","37820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","G6/G7","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","AA/AO","50","50","22060","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","EO","70","60","27510","26750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","G6/G7","230","220","58100","55730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","SEO/HEO","250","250","39330","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","AA/AO","450","440","21110","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","EO","500","490","25370","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","380","370","57540","56040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","SEO/HEO","940","910","37480","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","AA/AO","830","740","21770","21140"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","EO","1130","1070","26620","26380"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","G6/G7","2620","2520","57900","56960"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","SCS","310","300","83960","75450"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","SEO/HEO","3790","3650","37900","38550"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","G6/G7","50","50","58340","55800"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","SEO/HEO","50","50","37640","35090"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","G6/G7","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","G6/G7","80","80","58980","58600"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","SEO/HEO","80","80","36760","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","White","EO","100","100","27570","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","White","G6/G7","580","570","58550","56540"
"In post","2021","Department for Digital, Culture, Media and Sport","White","SCS","100","100","87150","76320"
"In post","2021","Department for Digital, Culture, Media and Sport","White","SEO/HEO","430","430","36820","34020"
"In post","2021","Department for Education","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","EO","130","130","26530","25000"
"In post","2021","Department for Education","Asian","G6/G7","170","170","55390","53420"
"In post","2021","Department for Education","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","SEO/HEO","380","370","35800","36500"
"In post","2021","Department for Education","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","EO","60","60","28160","28500"
"In post","2021","Department for Education","Black","G6/G7","70","70","55640","54160"
"In post","2021","Department for Education","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","SEO/HEO","150","140","37030","36750"
"In post","2021","Department for Education","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","EO","40","40","[c]","[c]"
"In post","2021","Department for Education","Mixed","G6/G7","70","60","56280","53760"
"In post","2021","Department for Education","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","SEO/HEO","80","80","37160","37100"
"In post","2021","Department for Education","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","G6/G7","110","110","57540","54400"
"In post","2021","Department for Education","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","SEO/HEO","150","150","36090","36530"
"In post","2021","Department for Education","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","EO","150","150","26730","26000"
"In post","2021","Department for Education","Unknown","G6/G7","310","300","56570","53810"
"In post","2021","Department for Education","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","SEO/HEO","400","390","35690","36500"
"In post","2021","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
