"Status","Year","Region_ITL2","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Crown Prosecution Service","130","110","43930","40800"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Department for Work and Pensions (excl. agencies)","840","760","28810","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Driver and Vehicle Standards Agency","90","90","30410","30580"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Health and Safety Executive","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","HM Courts and Tribunals Service","250","220","24070","21310"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","HM Prison and Probation Service","680","650","30670","30400"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Home Office (incl. agencies)","220","190","28840","26490"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","110","110","47130","43790"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Ministry of Defence (excl. agencies)","520","510","35800","33300"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","HM Prison and Probation Service","70","60","31050","30540"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Ministry of Defence (excl. agencies)","50","50","36730","35550"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","HM Prison and Probation Service","130","130","25590","24020"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Medicines and Healthcare Products Regulatory Agency","190","180","42450","40850"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Defence (excl. agencies)","100","100","34960","34000"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","National Crime Agency","70","70","37570","37040"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Department for Work and Pensions (excl. agencies)","200","170","28460","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","FCDO Services","60","60","34870","30720"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","HM Prison and Probation Service","240","230","30110","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Ministry of Defence (excl. agencies)","240","240","33270","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Cabinet Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Crown Prosecution Service","90","80","44880","40280"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Defence Equipment and Support","100","90","35960","34140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","110","110","42480","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Department for International Trade","90","80","47720","51970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Department for Work and Pensions (excl. agencies)","840","770","28230","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","FCDO Services","650","620","38950","34770"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","220","210","31680","27060"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","HM Courts and Tribunals Service","230","200","24910","22080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","HM Prison and Probation Service","1430","1370","31000","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","HM Revenue and Customs (excl. agencies)","240","230","32150","30260"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Home Office (incl. agencies)","70","70","28880","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Met Office","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Ministry of Defence (excl. agencies)","1730","1690","32250","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Public Health England","180","150","39990","38200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Rural Payments Agency","160","150","30200","25660"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Department for Work and Pensions (excl. agencies)","50","50","28470","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","FCDO Services","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","HM Prison and Probation Service","330","310","32960","33520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Ministry of Defence (excl. agencies)","180","170","33760","34640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Cabinet Office (excl. agencies)","50","50","38940","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Crown Prosecution Service","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Work and Pensions (excl. agencies)","60","60","28100","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","FCDO Services","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","HM Prison and Probation Service","290","270","27350","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","HM Revenue and Customs (excl. agencies)","140","130","28520","25560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Ministry of Defence (excl. agencies)","510","500","32920","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","National Crime Agency","80","70","38260","37750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Public Health England","150","140","49770","47090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Department for Work and Pensions (excl. agencies)","170","150","25430","27570"
"In post","2021","Cheshire","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","HM Prison and Probation Service","110","90","29020","28200"
"In post","2021","Cheshire","Declared disabled","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","43250","47550"
"In post","2021","Cheshire","Declared non-disabled","Department for Work and Pensions (excl. agencies)","690","620","25460","27570"
"In post","2021","Cheshire","Declared non-disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","HM Courts and Tribunals Service","90","80","26700","20100"
"In post","2021","Cheshire","Declared non-disabled","HM Prison and Probation Service","680","640","29920","27380"
"In post","2021","Cheshire","Declared non-disabled","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","National Crime Agency","380","370","39230","36740"
"In post","2021","Cheshire","Declared non-disabled","Rural Payments Agency","100","90","25130","24920"
"In post","2021","Cheshire","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","HM Prison and Probation Service","180","170","30610","31650"
"In post","2021","Cheshire","Undeclared","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Cheshire","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","HM Prison and Probation Service","120","120","22900","22850"
"In post","2021","Cheshire","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","National Crime Agency","770","760","35050","34140"
"In post","2021","Cheshire","Unknown","Rural Payments Agency","[c]","[c]","[c]","[c]"
