"Status","Year","Responsibility_level","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","Heterosexual / straight","2340","2170","22980","22230"
"In post","2021","AA/AO","Scottish Government","LGBO","180","180","22660","22230"
"In post","2021","AA/AO","Scottish Government","Undeclared","1010","890","21890","22820"
"In post","2021","AA/AO","Scottish Government","Unknown","2600","2460","23510","22920"
"In post","2021","AA/AO","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Unknown","50","50","21550","21100"
"In post","2021","AA/AO","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Heterosexual / straight","910","620","19590","19520"
"In post","2021","AA/AO","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Undeclared","60","40","19450","19130"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Unknown","460","350","19730","19520"
"In post","2021","AA/AO","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government","Heterosexual / straight","790","720","23410","23830"
"In post","2021","AA/AO","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government","Undeclared","100","90","23620","23830"
"In post","2021","AA/AO","Welsh Government","Unknown","60","50","22180","22160"
"In post","2021","EO","Attorney General's Departments","Heterosexual / straight","1210","1140","27930","27760"
"In post","2021","EO","Attorney General's Departments","LGBO","100","90","28370","27500"
"In post","2021","EO","Attorney General's Departments","Undeclared","60","60","28230","27710"
"In post","2021","EO","Attorney General's Departments","Unknown","390","350","28350","28430"
"In post","2021","EO","Cabinet Office","Heterosexual / straight","570","550","27130","27500"
"In post","2021","EO","Cabinet Office","LGBO","60","60","26950","27500"
"In post","2021","EO","Cabinet Office","Undeclared","60","60","27560","27500"
"In post","2021","EO","Cabinet Office","Unknown","190","180","27410","27500"
"In post","2021","EO","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Heterosexual / straight","60","50","24590","24440"
"In post","2021","EO","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Unknown","40","40","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Heterosexual / straight","60","60","28520","28160"
"In post","2021","EO","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","970","920","26850","26860"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","LGBO","100","90","26550","26860"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","Undeclared","110","100","27620","27460"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","Unknown","780","740","25830","25270"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Heterosexual / straight","130","130","27360","26180"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Education","Heterosexual / straight","670","640","26600","26000"
"In post","2021","EO","Department for Education","LGBO","50","50","26300","26000"
"In post","2021","EO","Department for Education","Undeclared","60","50","27450","26000"
"In post","2021","EO","Department for Education","Unknown","190","180","26820","26000"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","Heterosexual / straight","1250","1170","26380","25560"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","LGBO","110","110","26100","25190"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","Undeclared","160","150","26420","25670"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","Unknown","550","510","25860","25190"
"In post","2021","EO","Department for International Trade","Heterosexual / straight","140","140","27320","26510"
"In post","2021","EO","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for International Trade","Unknown","90","90","27370","26510"
"In post","2021","EO","Department for Transport","Heterosexual / straight","2520","2380","28080","26780"
"In post","2021","EO","Department for Transport","LGBO","130","130","28040","26780"
"In post","2021","EO","Department for Transport","Undeclared","840","750","28000","26780"
"In post","2021","EO","Department for Transport","Unknown","680","670","27810","26700"
"In post","2021","EO","Department for Work and Pensions","Heterosexual / straight","32360","29490","28120","27570"
"In post","2021","EO","Department for Work and Pensions","LGBO","2080","2000","28160","27570"
"In post","2021","EO","Department for Work and Pensions","Undeclared","3790","3390","28060","27570"
"In post","2021","EO","Department for Work and Pensions","Unknown","10790","9490","28100","27570"
"In post","2021","EO","Department of Health and Social Care","Heterosexual / straight","950","890","26230","26880"
"In post","2021","EO","Department of Health and Social Care","LGBO","70","70","25970","26880"
"In post","2021","EO","Department of Health and Social Care","Undeclared","130","120","26280","26880"
"In post","2021","EO","Department of Health and Social Care","Unknown","420","400","27150","27270"
"In post","2021","EO","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Food Standards Agency","Heterosexual / straight","210","210","27130","26750"
"In post","2021","EO","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Food Standards Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","EO","Food Standards Agency","Unknown","180","170","27310","26750"
"In post","2021","EO","Foreign, Commonwealth and Development Office","Heterosexual / straight","740","710","29580","29300"
"In post","2021","EO","Foreign, Commonwealth and Development Office","LGBO","30","30","[c]","[c]"
"In post","2021","EO","Foreign, Commonwealth and Development Office","Undeclared","70","70","30720","30300"
"In post","2021","EO","Foreign, Commonwealth and Development Office","Unknown","130","130","28400","27860"
"In post","2021","EO","HM Land Registry","Heterosexual / straight","1220","1070","27490","27130"
"In post","2021","EO","HM Land Registry","LGBO","30","30","[c]","[c]"
"In post","2021","EO","HM Land Registry","Undeclared","320","270","27430","27130"
"In post","2021","EO","HM Land Registry","Unknown","590","510","27580","27130"
"In post","2021","EO","HM Revenue and Customs","Heterosexual / straight","8580","7880","26460","25560"
"In post","2021","EO","HM Revenue and Customs","LGBO","530","510","26270","25560"
"In post","2021","EO","HM Revenue and Customs","Undeclared","1120","1000","27050","26000"
"In post","2021","EO","HM Revenue and Customs","Unknown","5410","5050","26300","25560"
"In post","2021","EO","HM Treasury","Heterosexual / straight","160","160","26770","26750"
"In post","2021","EO","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","HM Treasury","Undeclared","40","30","[c]","[c]"
"In post","2021","EO","HM Treasury","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Home Office","Heterosexual / straight","11420","10470","26910","25900"
"In post","2021","EO","Home Office","LGBO","450","430","26410","25310"
"In post","2021","EO","Home Office","Undeclared","1820","1640","27480","27370"
"In post","2021","EO","Home Office","Unknown","670","650","26670","24890"
"In post","2021","EO","Ministry of Defence","Heterosexual / straight","8080","7810","26750","26670"
"In post","2021","EO","Ministry of Defence","LGBO","290","290","26530","26670"
"In post","2021","EO","Ministry of Defence","Undeclared","1280","1220","28090","26930"
"In post","2021","EO","Ministry of Defence","Unknown","950","920","26360","26670"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Heterosexual / straight","270","260","28030","27850"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Unknown","60","60","27870","27620"
"In post","2021","EO","Ministry of Justice","Heterosexual / straight","7410","7070","27990","27380"
"In post","2021","EO","Ministry of Justice","LGBO","460","450","28410","27380"
"In post","2021","EO","Ministry of Justice","Undeclared","1050","1000","28480","27380"
"In post","2021","EO","Ministry of Justice","Unknown","1500","1420","29700","29180"
"In post","2021","EO","National Crime Agency","Heterosexual / straight","1840","1800","33320","32770"
"In post","2021","EO","National Crime Agency","LGBO","110","100","32360","32770"
"In post","2021","EO","National Crime Agency","Undeclared","170","170","32390","32770"
"In post","2021","EO","National Crime Agency","Unknown","360","340","35080","35930"
"In post","2021","EO","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Heterosexual / straight","150","140","26320","25880"
"In post","2021","EO","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Heterosexual / straight","110","110","25430","25600"
"In post","2021","EO","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Unknown","130","120","26290","25750"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Heterosexual / straight","90","90","24140","23050"
"In post","2021","EO","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Heterosexual / straight","2590","2480","29700","29190"
"In post","2021","EO","Scottish Government","LGBO","160","160","29110","28410"
"In post","2021","EO","Scottish Government","Undeclared","590","550","28900","29350"
"In post","2021","EO","Scottish Government","Unknown","2150","2030","31320","33650"
"In post","2021","EO","The National Archives","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","EO","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Unknown","40","40","[c]","[c]"
"In post","2021","EO","UK Export Finance","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","EO","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Heterosexual / straight","480","450","24020","23050"
"In post","2021","EO","United Kingdom Statistics Authority","LGBO","40","40","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Unknown","230","220","23900","23050"
"In post","2021","EO","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Heterosexual / straight","840","780","28730","28850"
"In post","2021","EO","Welsh Government","LGBO","40","40","[c]","[c]"
"In post","2021","EO","Welsh Government","Undeclared","100","100","28780","28850"
"In post","2021","EO","Welsh Government","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","Attorney General's Departments","Heterosexual / straight","3180","2960","57650","55610"
"In post","2021","G6/G7","Attorney General's Departments","LGBO","200","190","59600","56300"
"In post","2021","G6/G7","Attorney General's Departments","Undeclared","210","190","59040","55610"
"In post","2021","G6/G7","Attorney General's Departments","Unknown","1190","1070","60560","59930"
"In post","2021","G6/G7","Cabinet Office","Heterosexual / straight","1640","1610","58780","56340"
"In post","2021","G6/G7","Cabinet Office","LGBO","170","160","58020","56340"
"In post","2021","G6/G7","Cabinet Office","Undeclared","190","190","58830","56680"
"In post","2021","G6/G7","Cabinet Office","Unknown","1030","1010","61310","56340"
"In post","2021","G6/G7","Chancellor's other departments","Heterosexual / straight","140","130","78020","71810"
"In post","2021","G6/G7","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Heterosexual / straight","350","330","65870","62890"
"In post","2021","G6/G7","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","2140","2070","58870","57620"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","LGBO","220","220","57870","56280"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Undeclared","340","330","59300","57620"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Unknown","920","880","54760","53380"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Heterosexual / straight","560","550","58670","56040"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","LGBO","80","80","58660","58750"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Undeclared","50","50","58050","56750"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Unknown","100","100","58890","57730"
"In post","2021","G6/G7","Department for Education","Heterosexual / straight","2000","1920","56470","54120"
"In post","2021","G6/G7","Department for Education","LGBO","140","130","56360","54160"
"In post","2021","G6/G7","Department for Education","Undeclared","210","210","56610","53760"
"In post","2021","G6/G7","Department for Education","Unknown","540","520","56580","54160"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Heterosexual / straight","1590","1540","54470","53200"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","LGBO","110","100","53850","53200"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Undeclared","190","180","54620","53870"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Unknown","450","440","54780","53370"
"In post","2021","G6/G7","Department for International Trade","Heterosexual / straight","640","630","55520","52660"
"In post","2021","G6/G7","Department for International Trade","LGBO","80","80","54630","51970"
