"Status","Year","Sex","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Essex","Digital, Data & Technology","80","80","38710","35000"
"In post","2021","Female","Essex","Finance","150","130","29730","28130"
"In post","2021","Female","Essex","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Legal","160","140","39820","35640"
"In post","2021","Female","Essex","No function","830","740","28240","25560"
"In post","2021","Female","Essex","Project Delivery","120","110","37800","38630"
"In post","2021","Female","Essex","Property","50","50","29200","26670"
"In post","2021","Female","Essex","Security","60","50","34650","28750"
"In post","2021","Female","Essex","Unknown","1640","1460","28190","29290"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","160","150","38950","37320"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","500","470","39590","34800"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","120","110","36550","33950"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","160","150","34140","31810"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","280","260","36860","33390"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","630","580","37030","33300"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","680","620","35180","32490"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","40","30","[c]","[c]"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","230","200","41170","38630"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","No function","4160","3780","33260","29690"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","3710","3490","36090","33300"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Property","310","290","34990","33300"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Security","100","100","29530","26670"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","2570","2290","28530","27570"
"In post","2021","Female","Greater Manchester","Analysis","100","90","38060","33190"
"In post","2021","Female","Greater Manchester","Commercial","170","160","43050","38630"
"In post","2021","Female","Greater Manchester","Communications","210","200","30080","27510"
"In post","2021","Female","Greater Manchester","Counter Fraud","490","450","32650","31810"
"In post","2021","Female","Greater Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Greater Manchester","Digital, Data & Technology","130","130","41390","38630"
"In post","2021","Female","Greater Manchester","Finance","140","130","39950","36900"
"In post","2021","Female","Greater Manchester","Human Resources","450","420","34820","31930"
"In post","2021","Female","Greater Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Greater Manchester","Legal","410","360","39930","37240"
"In post","2021","Female","Greater Manchester","No function","4190","3840","29070","25000"
"In post","2021","Female","Greater Manchester","Project Delivery","290","270","40250","38630"
"In post","2021","Female","Greater Manchester","Property","100","100","36840","32100"
"In post","2021","Female","Greater Manchester","Security","40","40","[c]","[c]"
"In post","2021","Female","Greater Manchester","Unknown","4020","3590","27120","27570"
"In post","2021","Female","Hampshire and Isle of Wight","Analysis","350","320","37300","37020"
"In post","2021","Female","Hampshire and Isle of Wight","Commercial","210","200","34880","33300"
"In post","2021","Female","Hampshire and Isle of Wight","Communications","120","110","33500","33000"
"In post","2021","Female","Hampshire and Isle of Wight","Counter Fraud","70","60","31840","31810"
"In post","2021","Female","Hampshire and Isle of Wight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Hampshire and Isle of Wight","Digital, Data & Technology","130","130","35250","32100"
"In post","2021","Female","Hampshire and Isle of Wight","Finance","250","230","36240","33300"
"In post","2021","Female","Hampshire and Isle of Wight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Hampshire and Isle of Wight","Human Resources","210","200","34020","30500"
"In post","2021","Female","Hampshire and Isle of Wight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Hampshire and Isle of Wight","Legal","200","180","42110","39650"
"In post","2021","Female","Hampshire and Isle of Wight","No function","2800","2360","27210","23050"
"In post","2021","Female","Hampshire and Isle of Wight","Project Delivery","790","750","36020","33300"
"In post","2021","Female","Hampshire and Isle of Wight","Property","180","170","33050","33250"
"In post","2021","Female","Hampshire and Isle of Wight","Security","140","130","28780","26670"
"In post","2021","Female","Hampshire and Isle of Wight","Unknown","2120","1890","27840","27570"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Grants Management","80","70","24700","22980"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Human Resources","60","60","36650","30450"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","No function","960","890","27150","23970"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Project Delivery","60","60","26480","25780"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Unknown","840","720","25220","26560"
"In post","2021","Female","Highlands and Islands","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Legal","70","60","32020","29350"
"In post","2021","Female","Highlands and Islands","No function","130","120","27640","25980"
"In post","2021","Female","Highlands and Islands","Project Delivery","50","50","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Property","90","90","28940","28120"
"In post","2021","Female","Highlands and Islands","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","Unknown","610","550","26920","27570"
"In post","2021","Female","Inner London - East","Analysis","300","280","49880","45730"
"In post","2021","Female","Inner London - East","Commercial","110","100","51000","50470"
"In post","2021","Female","Inner London - East","Communications","140","130","44990","40810"
"In post","2021","Female","Inner London - East","Counter Fraud","100","90","38350","36160"
"In post","2021","Female","Inner London - East","Debt","150","130","27070","25630"
"In post","2021","Female","Inner London - East","Digital, Data & Technology","560","550","48230","46350"
"In post","2021","Female","Inner London - East","Finance","200","190","45240","40850"
"In post","2021","Female","Inner London - East","Human Resources","310","300","47910","42270"
"In post","2021","Female","Inner London - East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inner London - East","Legal","280","270","55760","56650"
"In post","2021","Female","Inner London - East","No function","4100","3830","39320","35310"
"In post","2021","Female","Inner London - East","Project Delivery","540","520","51590","42290"
"In post","2021","Female","Inner London - East","Property","170","160","39550","33740"
"In post","2021","Female","Inner London - East","Security","40","30","[c]","[c]"
"In post","2021","Female","Inner London - East","Unknown","2640","2420","33930","31060"
"In post","2021","Female","Inner London - West","Analysis","1170","1120","48040","44300"
"In post","2021","Female","Inner London - West","Commercial","670","650","56720","53360"
"In post","2021","Female","Inner London - West","Communications","1170","1130","45870","41890"
"In post","2021","Female","Inner London - West","Counter Fraud","620","580","38150","36160"
"In post","2021","Female","Inner London - West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inner London - West","Digital, Data & Technology","740","720","47400","44500"
"In post","2021","Female","Inner London - West","Finance","960","920","46880","41870"
"In post","2021","Female","Inner London - West","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inner London - West","Human Resources","1410","1360","46100","41000"
"In post","2021","Female","Inner London - West","Internal Audit","80","70","51350","49370"
"In post","2021","Female","Inner London - West","Legal","2950","2700","51470","51830"
"In post","2021","Female","Inner London - West","No function","14910","14410","44000","38750"
"In post","2021","Female","Inner London - West","Project Delivery","2010","1940","50720","51970"
"In post","2021","Female","Inner London - West","Property","210","200","43840","37930"
"In post","2021","Female","Inner London - West","Security","350","340","42990","38080"
"In post","2021","Female","Inner London - West","Unknown","5050","4810","44570","39960"
"In post","2021","Female","Kent","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Counter Fraud","80","80","29150","28130"
"In post","2021","Female","Kent","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Kent","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Legal","100","90","37640","33000"
"In post","2021","Female","Kent","No function","1630","1500","28850","27150"
"In post","2021","Female","Kent","Project Delivery","50","40","[c]","[c]"
"In post","2021","Female","Kent","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","Unknown","2250","2010","27920","27370"
"In post","2021","Female","Lancashire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Finance","50","40","[c]","[c]"
"In post","2021","Female","Lancashire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Human Resources","170","150","27810","26670"
"In post","2021","Female","Lancashire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Legal","200","180","36610","31810"
"In post","2021","Female","Lancashire","No function","2490","2190","26730","23840"
"In post","2021","Female","Lancashire","Project Delivery","260","240","36050","33300"
"In post","2021","Female","Lancashire","Property","50","40","[c]","[c]"
"In post","2021","Female","Lancashire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lancashire","Unknown","4920","4280","26930","27570"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Legal","140","120","38660","38470"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","No function","1970","1730","25680","22850"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Project Delivery","[c]","[c]","[c]","[c]"
