"Status","Year","Sexual_orientation","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","20-29","260","250","30200","30860"
"In post","2021","Heterosexual / straight","Barnet","30-39","270","260","38320","33330"
"In post","2021","Heterosexual / straight","Barnet","40-49","220","210","42040","39480"
"In post","2021","Heterosexual / straight","Barnet","50-59","270","250","40440","35300"
"In post","2021","Heterosexual / straight","Barnet","60-64","80","80","40680","32090"
"In post","2021","Heterosexual / straight","Barnet","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","20-29","280","270","24690","25300"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","30-39","380","340","27000","26810"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","40-49","460","410","28010","27570"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","50-59","670","600","28660","27570"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","60-64","190","150","26260","26680"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","65+","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","70","70","18660","19040"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","2130","2110","27690","27540"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","2490","2370","36500","34850"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","2250","2160","41820","40200"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","2560","2500","43680","40980"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","630","560","41900","40440"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","170","140","37590","36310"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","20-29","110","110","28170","29650"
"In post","2021","Heterosexual / straight","Bedford","30-39","110","110","29070","27570"
"In post","2021","Heterosexual / straight","Bedford","40-49","130","120","31050","29750"
"In post","2021","Heterosexual / straight","Bedford","50-59","180","170","33780","29140"
"In post","2021","Heterosexual / straight","Bedford","60-64","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","20-29","180","170","24500","21430"
"In post","2021","Heterosexual / straight","Belfast","30-39","460","440","29510","25560"
"In post","2021","Heterosexual / straight","Belfast","40-49","480","450","30230","25560"
"In post","2021","Heterosexual / straight","Belfast","50-59","530","500","32790","30980"
"In post","2021","Heterosexual / straight","Belfast","60-64","110","90","28770","26740"
"In post","2021","Heterosexual / straight","Belfast","65+","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","20-29","260","260","29410","27680"
"In post","2021","Heterosexual / straight","Berkshire","30-39","420","410","34680","31670"
"In post","2021","Heterosexual / straight","Berkshire","40-49","460","430","36210","32570"
"In post","2021","Heterosexual / straight","Berkshire","50-59","590","570","36110","33230"
"In post","2021","Heterosexual / straight","Berkshire","60-64","160","150","33250","30200"
"In post","2021","Heterosexual / straight","Berkshire","65+","60","50","31540","27910"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","20-29","210","210","29670","31060"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","30-39","270","260","32440","32600"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","40-49","240","230","32660","31380"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","50-59","310","300","33020","31880"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","60-64","80","70","32020","31060"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Birmingham","20-29","1040","1020","25960","24890"
"In post","2021","Heterosexual / straight","Birmingham","30-39","1840","1740","29860","27570"
"In post","2021","Heterosexual / straight","Birmingham","40-49","1770","1660","34540","30190"
"In post","2021","Heterosexual / straight","Birmingham","50-59","2040","1920","34080","28200"
"In post","2021","Heterosexual / straight","Birmingham","60-64","540","450","31040","27570"
"In post","2021","Heterosexual / straight","Birmingham","65+","110","90","30520","27530"
"In post","2021","Heterosexual / straight","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","20-29","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","30-39","70","60","26580","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","40-49","100","90","27200","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","50-59","100","90","28000","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Blackpool","20-29","390","380","24260","21010"
"In post","2021","Heterosexual / straight","Blackpool","30-39","470","440","27690","27570"
"In post","2021","Heterosexual / straight","Blackpool","40-49","830","760","30240","27570"
"In post","2021","Heterosexual / straight","Blackpool","50-59","1220","1120","31170","27570"
"In post","2021","Heterosexual / straight","Blackpool","60-64","270","210","28040","27570"
"In post","2021","Heterosexual / straight","Blackpool","65+","100","70","26120","22260"
"In post","2021","Heterosexual / straight","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","20-29","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","30-39","70","70","25880","27420"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","40-49","110","100","27170","27570"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","50-59","190","170","27740","27370"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","60-64","70","60","26140","26270"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","65+","30","20","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bradford","20-29","250","240","24380","22920"
"In post","2021","Heterosexual / straight","Bradford","30-39","350","320","27070","25560"
"In post","2021","Heterosexual / straight","Bradford","40-49","400","360","29210","27570"
"In post","2021","Heterosexual / straight","Bradford","50-59","590","530","30400","27570"
"In post","2021","Heterosexual / straight","Bradford","60-64","170","130","27530","25560"
"In post","2021","Heterosexual / straight","Bradford","65+","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","20-29","80","80","24320","24440"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","30-39","90","80","28540","26810"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","40-49","80","70","30900","27570"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","50-59","100","90","31630","28520"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","60-64","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","20-29","80","80","29570","31060"
"In post","2021","Heterosexual / straight","Brent","30-39","60","60","29670","31060"
"In post","2021","Heterosexual / straight","Brent","40-49","70","60","32860","31060"
"In post","2021","Heterosexual / straight","Brent","50-59","120","110","33170","30690"
"In post","2021","Heterosexual / straight","Brent","60-64","30","20","[c]","[c]"
"In post","2021","Heterosexual / straight","Brent","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","20-29","60","60","24450","21010"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","30-39","90","90","26660","27570"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","40-49","120","110","29210","27570"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","50-59","170","160","28020","27570"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","60-64","60","50","26830","22690"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","20-29","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","30-39","60","50","30040","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","40-49","90","80","33690","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","50-59","150","130","33810","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","60-64","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Brighton and Hove","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bristol, City of","20-29","680","670","27890","25920"
"In post","2021","Heterosexual / straight","Bristol, City of","30-39","1050","990","35830","31940"
"In post","2021","Heterosexual / straight","Bristol, City of","40-49","1120","1040","39730","36460"
"In post","2021","Heterosexual / straight","Bristol, City of","50-59","1140","1070","38870","33180"
"In post","2021","Heterosexual / straight","Bristol, City of","60-64","290","240","38250","31900"
"In post","2021","Heterosexual / straight","Bristol, City of","65+","110","80","40060","32480"
"In post","2021","Heterosexual / straight","Bromley","20-29","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","30-39","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","40-49","60","50","30380","31060"
"In post","2021","Heterosexual / straight","Bromley","50-59","130","120","29640","31060"
"In post","2021","Heterosexual / straight","Bromley","60-64","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bromley","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","20-29","190","180","27980","27850"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","30-39","260","250","31670","30400"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","40-49","260","250","33590","31810"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","50-59","370","360","34640","31810"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","60-64","110","100","31520","28610"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","65+","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","50-59","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","20-29","70","70","25990","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","30-39","130","120","27120","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","40-49","160","150","27200","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","50-59","230","210","28290","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","60-64","70","60","26250","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","20-29","320","310","27120","26970"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","30-39","490","470","32970","31220"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","40-49","540","510","36490","33300"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","50-59","740","720","37710","33300"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","60-64","210","180","33050","30870"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","65+","80","60","30750","27570"
"In post","2021","Heterosexual / straight","Camden and City of London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Camden and City of London","20-29","310","300","31780","29570"
"In post","2021","Heterosexual / straight","Camden and City of London","30-39","500","480","39470","35070"
"In post","2021","Heterosexual / straight","Camden and City of London","40-49","490","460","42870","36160"
"In post","2021","Heterosexual / straight","Camden and City of London","50-59","640","620","37510","32520"
"In post","2021","Heterosexual / straight","Camden and City of London","60-64","180","160","34880","29040"
"In post","2021","Heterosexual / straight","Camden and City of London","65+","60","50","33570","26410"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","20-29","1180","1160","26110","25560"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","30-39","1950","1840","32810","29410"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","40-49","1960","1850","38040","32420"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","50-59","2210","2080","36450","31420"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","60-64","600","490","34530","28130"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","65+","190","140","34380","27570"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","20-29","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Bedfordshire","30-39","50","50","30360","27570"
"In post","2021","Heterosexual / straight","Central Bedfordshire","40-49","70","60","31270","27800"
"In post","2021","Heterosexual / straight","Central Bedfordshire","50-59","130","120","31590","27570"
"In post","2021","Heterosexual / straight","Central Bedfordshire","60-64","50","50","27760","26780"
"In post","2021","Heterosexual / straight","Central Bedfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Hampshire","20-29","450","450","29250","28650"
"In post","2021","Heterosexual / straight","Central Hampshire","30-39","560","540","36020","33300"
"In post","2021","Heterosexual / straight","Central Hampshire","40-49","720","690","37750","36460"
"In post","2021","Heterosexual / straight","Central Hampshire","50-59","930","910","36980","33370"
"In post","2021","Heterosexual / straight","Central Hampshire","60-64","290","260","36850","35170"
"In post","2021","Heterosexual / straight","Central Hampshire","65+","120","100","34690","33300"
"In post","2021","Heterosexual / straight","Central Valleys","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Central Valleys","20-29","120","110","25800","23840"
"In post","2021","Heterosexual / straight","Central Valleys","30-39","250","240","31790","28850"
"In post","2021","Heterosexual / straight","Central Valleys","40-49","350","340","37220","34490"
"In post","2021","Heterosexual / straight","Central Valleys","50-59","410","380","37790","33180"
"In post","2021","Heterosexual / straight","Central Valleys","60-64","110","80","36460","28850"
"In post","2021","Heterosexual / straight","Central Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire East","20-29","60","60","25260","24920"
"In post","2021","Heterosexual / straight","Cheshire East","30-39","80","70","30560","27570"
"In post","2021","Heterosexual / straight","Cheshire East","40-49","100","90","34950","29980"
"In post","2021","Heterosexual / straight","Cheshire East","50-59","150","150","32920","27570"
"In post","2021","Heterosexual / straight","Cheshire East","60-64","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire East","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","20-29","50","50","22880","21010"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","30-39","50","50","27380","27570"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","40-49","70","60","25800","24260"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","50-59","120","110","26250","27570"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","20-29","120","120","25290","25300"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","30-39","220","210","29570","27380"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","40-49","200","190","32190","31300"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","50-59","240","220","31110","30420"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","60-64","80","60","30070","29540"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","City of Edinburgh","16-19","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","City of Edinburgh","20-29","1050","1040","28950","27150"
"In post","2021","Heterosexual / straight","City of Edinburgh","30-39","1780","1710","38600","34830"
"In post","2021","Heterosexual / straight","City of Edinburgh","40-49","1850","1760","44500","39660"
"In post","2021","Heterosexual / straight","City of Edinburgh","50-59","1810","1740","42740","37890"
"In post","2021","Heterosexual / straight","City of Edinburgh","60-64","390","340","37660","32120"
"In post","2021","Heterosexual / straight","City of Edinburgh","65+","110","90","35780","29190"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","20-29","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","30-39","110","110","30400","27570"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","40-49","170","160","31370","27570"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","50-59","350","340","30570","27570"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","60-64","110","90","30430","27570"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","20-29","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","30-39","90","90","32110","29530"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","40-49","150","150","36410","37410"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","50-59","190","180","37560","37410"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","60-64","60","40","34730","28850"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","20-29","90","90","23640","21010"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","30-39","150","140","26490","26670"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","40-49","250","230","27440","27570"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","50-59","470","440","27260","26670"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","60-64","130","110","26050","26550"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Coventry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Coventry","20-29","290","280","29460","27570"
"In post","2021","Heterosexual / straight","Coventry","30-39","350","330","35750","32300"
"In post","2021","Heterosexual / straight","Coventry","40-49","400","380","41640","37730"
"In post","2021","Heterosexual / straight","Coventry","50-59","400","390","39090","33840"
"In post","2021","Heterosexual / straight","Coventry","60-64","90","70","34530","27880"
"In post","2021","Heterosexual / straight","Coventry","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Croydon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Croydon","20-29","760","760","33240","30120"
"In post","2021","Heterosexual / straight","Croydon","30-39","1330","1270","38800","35200"
"In post","2021","Heterosexual / straight","Croydon","40-49","1740","1650","41320","36160"
"In post","2021","Heterosexual / straight","Croydon","50-59","2230","2130","39730","35200"
"In post","2021","Heterosexual / straight","Croydon","60-64","570","500","36330","30460"
"In post","2021","Heterosexual / straight","Croydon","65+","230","190","31270","28130"
"In post","2021","Heterosexual / straight","Darlington","20-29","80","80","30150","29360"
"In post","2021","Heterosexual / straight","Darlington","30-39","150","140","33710","30230"
"In post","2021","Heterosexual / straight","Darlington","40-49","220","210","37800","36590"
"In post","2021","Heterosexual / straight","Darlington","50-59","280","260","37500","36500"
"In post","2021","Heterosexual / straight","Darlington","60-64","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Darlington","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derby","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derby","20-29","90","90","24820","25090"
"In post","2021","Heterosexual / straight","Derby","30-39","130","110","25760","24400"
"In post","2021","Heterosexual / straight","Derby","40-49","170","150","28320","27570"
"In post","2021","Heterosexual / straight","Derby","50-59","190","170","27660","23760"
"In post","2021","Heterosexual / straight","Derby","60-64","60","40","27830","22260"
"In post","2021","Heterosexual / straight","Derby","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derry City and Strabane","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derry City and Strabane","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derry City and Strabane","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derry City and Strabane","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon CC","16-19","[c]","[c]","[c]","[c]"
