"Status","Year","Profession_of_post","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Economics","Declared disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","London","1170","1140","49360","51970"
"In post","2021","Economics","Declared non-disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Wales","90","90","47790","49100"
"In post","2021","Economics","Declared non-disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","London","110","110","44870","37090"
"In post","2021","Economics","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","London","410","400","44540","36160"
"In post","2021","Economics","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Wales","70","70","30060","29540"
"In post","2021","Economics","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","East of England","30","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","London","180","170","47780","43610"
"In post","2021","Finance","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","North West (England)","70","70","35590","33260"
"In post","2021","Finance","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Scotland","60","50","25350","21440"
"In post","2021","Finance","Declared disabled","South East (England)","80","70","34800","32950"
"In post","2021","Finance","Declared disabled","South West (England)","120","110","37560","34490"
"In post","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Wales","40","40","[c]","[c]"
"In post","2021","Finance","Declared disabled","West Midlands (England)","50","50","42150","38630"
"In post","2021","Finance","Declared disabled","Yorkshire and The Humber","80","70","32210","26190"
"In post","2021","Finance","Declared non-disabled","East Midlands (England)","150","140","36250","32010"
"In post","2021","Finance","Declared non-disabled","East of England","280","260","38180","35780"
"In post","2021","Finance","Declared non-disabled","London","1800","1760","50250","46230"
"In post","2021","Finance","Declared non-disabled","North East (England)","280","270","39090","37100"
"In post","2021","Finance","Declared non-disabled","North West (England)","430","420","39410","36760"
"In post","2021","Finance","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Overseas","30","30","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Scotland","400","340","27870","21440"
"In post","2021","Finance","Declared non-disabled","South East (England)","660","630","36930","33300"
"In post","2021","Finance","Declared non-disabled","South West (England)","980","940","39920","36460"
"In post","2021","Finance","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Wales","560","530","38400","35620"
"In post","2021","Finance","Declared non-disabled","West Midlands (England)","390","370","41160","37500"
"In post","2021","Finance","Declared non-disabled","Yorkshire and The Humber","480","450","36040","31060"
"In post","2021","Finance","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","London","160","160","47570","45650"
"In post","2021","Finance","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","North West (England)","50","50","[c]","[c]"
"In post","2021","Finance","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","South East (England)","60","60","37110","34440"
"In post","2021","Finance","Undeclared","South West (England)","70","60","41830","38150"
"In post","2021","Finance","Undeclared","Wales","30","30","[c]","[c]"
"In post","2021","Finance","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","East of England","60","50","31540","25560"
"In post","2021","Finance","Unknown","London","420","410","45650","40650"
"In post","2021","Finance","Unknown","North East (England)","50","50","[c]","[c]"
"In post","2021","Finance","Unknown","North West (England)","90","90","36070","33570"
"In post","2021","Finance","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Scotland","220","190","29720","25560"
"In post","2021","Finance","Unknown","South East (England)","100","100","39650","35000"
"In post","2021","Finance","Unknown","South West (England)","140","130","38990","36320"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Wales","70","60","35780","28850"
"In post","2021","Finance","Unknown","West Midlands (England)","60","60","37860","31810"
"In post","2021","Finance","Unknown","Yorkshire and The Humber","190","180","33760","28970"
"In post","2021","Human Resources","Declared disabled","East Midlands (England)","50","50","35290","32620"
"In post","2021","Human Resources","Declared disabled","East of England","30","30","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","London","300","290","47690","42230"
"In post","2021","Human Resources","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","North West (England)","120","120","37150","31810"
"In post","2021","Human Resources","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Scotland","90","80","29490","25000"
"In post","2021","Human Resources","Declared disabled","South East (England)","60","60","38670","33300"
"In post","2021","Human Resources","Declared disabled","South West (England)","120","110","36330","32980"
"In post","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Wales","80","70","36060","31840"
"In post","2021","Human Resources","Declared disabled","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Yorkshire and The Humber","70","70","41060","38380"
"In post","2021","Human Resources","Declared non-disabled","East Midlands (England)","240","230","39350","35000"
"In post","2021","Human Resources","Declared non-disabled","East of England","130","120","33920","31400"
"In post","2021","Human Resources","Declared non-disabled","London","1640","1580","47530","42770"
"In post","2021","Human Resources","Declared non-disabled","North East (England)","90","80","37730","33810"
"In post","2021","Human Resources","Declared non-disabled","North West (England)","650","620","33910","30820"
"In post","2021","Human Resources","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
