"Status","Year","Region_ITL1","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","International Trade","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Nottingham","60","50","37120","36340"
"In post","2021","East Midlands (England)","Legal","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Leicester","110","100","47650","48830"
"In post","2021","East Midlands (England)","Legal","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Nottingham","350","320","40270","34480"
"In post","2021","East Midlands (England)","Legal","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Leicestershire CC and Rutland","120","110","40800","37890"
"In post","2021","East Midlands (England)","Medicine","Lincolnshire","50","50","44110","37890"
"In post","2021","East Midlands (England)","Medicine","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Derby","280","250","25400","22920"
"In post","2021","East Midlands (England)","Operational Delivery","East Derbyshire","70","60","28420","26750"
"In post","2021","East Midlands (England)","Operational Delivery","Leicester","1390","1260","25620","22350"
"In post","2021","East Midlands (England)","Operational Delivery","Leicestershire CC and Rutland","1280","1190","27870","26300"
"In post","2021","East Midlands (England)","Operational Delivery","Lincolnshire","1050","990","28130","26630"
"In post","2021","East Midlands (England)","Operational Delivery","North Northamptonshire","60","60","28460","27680"
"In post","2021","East Midlands (England)","Operational Delivery","North Nottinghamshire","620","590","27800","26780"
"In post","2021","East Midlands (England)","Operational Delivery","Nottingham","3540","3270","27100","25560"
"In post","2021","East Midlands (England)","Operational Delivery","South and West Derbyshire","530","490","29950","27380"
"In post","2021","East Midlands (England)","Operational Delivery","South Nottinghamshire","480","450","31000","28080"
"In post","2021","East Midlands (England)","Operational Delivery","West Northamptonshire","800","730","24720","22850"
"In post","2021","East Midlands (England)","Operational Research","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Leicestershire CC and Rutland","140","130","22670","20920"
"In post","2021","East Midlands (England)","Other","Lincolnshire","480","460","23220","20920"
"In post","2021","East Midlands (England)","Other","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Nottingham","70","70","31700","25880"
"In post","2021","East Midlands (England)","Other","South Nottinghamshire","80","70","22160","21130"
"In post","2021","East Midlands (England)","Other","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Nottingham","220","210","40820","36960"
"In post","2021","East Midlands (England)","Policy","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Lincolnshire","120","120","33940","33300"
"In post","2021","East Midlands (England)","Project Delivery","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Nottingham","150","150","44350","39530"
"In post","2021","East Midlands (England)","Project Delivery","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Leicestershire CC and Rutland","80","80","20380","18760"
"In post","2021","East Midlands (England)","Property","Lincolnshire","70","70","27370","26670"
"In post","2021","East Midlands (England)","Property","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Nottingham","280","260","39440","38630"
"In post","2021","East Midlands (England)","Property","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Leicestershire CC and Rutland","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","South Nottinghamshire","70","60","32930","29750"
"In post","2021","East Midlands (England)","Psychology","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Leicestershire CC and Rutland","60","60","40210","38510"
"In post","2021","East Midlands (England)","Science and Engineering","Lincolnshire","160","160","33890","33690"
"In post","2021","East Midlands (England)","Science and Engineering","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Nottingham","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","South and West Derbyshire","220","200","43020","40020"
"In post","2021","East Midlands (England)","Science and Engineering","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Derby","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Lincolnshire","60","50","20830","19560"
"In post","2021","East Midlands (England)","Security","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Leicester","100","90","30530","31810"
"In post","2021","East Midlands (England)","Tax","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Nottingham","1280","1210","33120","31810"
"In post","2021","East Midlands (England)","Tax","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Derby","620","540","24300","21010"
"In post","2021","East Midlands (England)","Unknown","East Derbyshire","320","270","26040","27570"
"In post","2021","East Midlands (England)","Unknown","Leicester","930","820","24980","27570"
"In post","2021","East Midlands (England)","Unknown","Leicestershire CC and Rutland","110","100","28250","27570"
"In post","2021","East Midlands (England)","Unknown","Lincolnshire","580","510","26430","27570"
"In post","2021","East Midlands (England)","Unknown","North Northamptonshire","440","390","25140","27570"
"In post","2021","East Midlands (England)","Unknown","North Nottinghamshire","260","230","27960","27570"
"In post","2021","East Midlands (England)","Unknown","Nottingham","1060","990","28340","27570"
"In post","2021","East Midlands (England)","Unknown","South and West Derbyshire","320","270","27950","27570"
"In post","2021","East Midlands (England)","Unknown","South Nottinghamshire","50","50","27350","27570"
"In post","2021","East Midlands (England)","Unknown","West Northamptonshire","180","170","27890","27570"
"In post","2021","East Midlands (England)","Veterinarian","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Cambridgeshire CC","60","60","36180","34800"
"In post","2021","East of England","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Norwich and East Norfolk","90","90","35650","34800"
"In post","2021","East of England","Commercial","Peterborough","40","40","[c]","[c]"
"In post","2021","East of England","Commercial","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Cambridgeshire CC","40","40","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Hertfordshire","30","30","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Norwich and East Norfolk","50","50","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Peterborough","40","40","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Southend-on-Sea","260","240","37660","35000"
"In post","2021","East of England","Digital, Data and Technology","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Cambridgeshire CC","50","50","[c]","[c]"
"In post","2021","East of England","Finance","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Hertfordshire","100","90","45090","39600"
"In post","2021","East of England","Finance","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Peterborough","50","50","[c]","[c]"
"In post","2021","East of England","Finance","Southend-on-Sea","120","110","32890","31810"
"In post","2021","East of England","Finance","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Norwich and East Norfolk","30","30","[c]","[c]"
"In post","2021","East of England","Human Resources","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Suffolk","30","30","[c]","[c]"
"In post","2021","East of England","Human Resources","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Cambridgeshire CC","90","90","65420","75500"
"In post","2021","East of England","Intelligence Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Cambridgeshire CC","280","280","33370","33300"
"In post","2021","East of England","Intelligence Analysis","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Suffolk","70","70","29640","27370"
"In post","2021","East of England","Intelligence Analysis","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Cambridgeshire CC","130","120","36080","33300"
"In post","2021","East of England","Knowledge and Information Management","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Heart of Essex","110","100","51150","51120"
"In post","2021","East of England","Legal","Hertfordshire","110","100","53060","54390"
"In post","2021","East of England","Legal","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Norwich and East Norfolk","40","30","[c]","[c]"
"In post","2021","East of England","Legal","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Suffolk","330","300","28430","25560"
"In post","2021","East of England","Medicine","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Essex Haven Gateway","40","30","[c]","[c]"
"In post","2021","East of England","Medicine","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Suffolk","30","30","[c]","[c]"
"In post","2021","East of England","Medicine","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Bedford","600","560","30330","28990"
"In post","2021","East of England","Operational Delivery","Breckland and South Norfolk","410","390","27710","25790"
"In post","2021","East of England","Operational Delivery","Cambridgeshire CC","1500","1400","29940","29300"
"In post","2021","East of England","Operational Delivery","Central Bedfordshire","30","30","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Essex Haven Gateway","240","230","28640","26130"
"In post","2021","East of England","Operational Delivery","Essex Thames Gateway","210","190","25120","22920"
"In post","2021","East of England","Operational Delivery","Heart of Essex","800","750","29390","28340"
"In post","2021","East of England","Operational Delivery","Hertfordshire","1080","1020","30860","29750"
"In post","2021","East of England","Operational Delivery","Luton","350","310","25550","24890"
"In post","2021","East of England","Operational Delivery","North and West Norfolk","370","330","28320","27150"
"In post","2021","East of England","Operational Delivery","Norwich and East Norfolk","810","760","27470","24920"
"In post","2021","East of England","Operational Delivery","Peterborough","930","820","25580","22350"
"In post","2021","East of England","Operational Delivery","Southend-on-Sea","360","320","25680","21440"
