"Status","Year","Sexual_orientation","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","Enfield","50","50","30540","31060"
"In post","2021","Heterosexual / straight","Asian","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Essex Thames Gateway","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Glasgow City","160","150","28770","25560"
"In post","2021","Heterosexual / straight","Asian","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Greater Manchester North East","90","90","27570","27570"
"In post","2021","Heterosexual / straight","Asian","Greater Manchester North West","60","50","24670","23860"
"In post","2021","Heterosexual / straight","Asian","Greater Manchester South East","70","60","24820","21920"
"In post","2021","Heterosexual / straight","Asian","Greater Manchester South West","380","360","29200","25560"
"In post","2021","Heterosexual / straight","Asian","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Hackney and Newham","460","420","31890","31060"
"In post","2021","Heterosexual / straight","Asian","Haringey and Islington","130","120","28820","31060"
"In post","2021","Heterosexual / straight","Asian","Harrow and Hillingdon","1060","980","29920","29080"
"In post","2021","Heterosexual / straight","Asian","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Heart of Essex","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Hertfordshire","260","250","33960","30750"
"In post","2021","Heterosexual / straight","Asian","Hounslow and Richmond upon Thames","530","490","30090","29080"
"In post","2021","Heterosexual / straight","Asian","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Kensington & Chelsea and Hammersmith & Fulham","90","90","33070","31060"
"In post","2021","Heterosexual / straight","Asian","Kent Thames Gateway","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Lambeth","330","310","40590","34950"
"In post","2021","Heterosexual / straight","Asian","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Leeds","770","720","29840","27570"
"In post","2021","Heterosexual / straight","Asian","Leicester","610","550","24920","21440"
"In post","2021","Heterosexual / straight","Asian","Leicestershire CC and Rutland","110","100","26740","24890"
"In post","2021","Heterosexual / straight","Asian","Lewisham and Southwark","130","130","32310","30850"
"In post","2021","Heterosexual / straight","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Liverpool","70","70","34250","25040"
"In post","2021","Heterosexual / straight","Asian","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Luton","100","90","25460","25260"
"In post","2021","Heterosexual / straight","Asian","Manchester","530","510","30660","27570"
"In post","2021","Heterosexual / straight","Asian","Medway","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Merton, Kingston upon Thames and Sutton","60","60","29810","31060"
"In post","2021","Heterosexual / straight","Asian","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Mid Lancashire","500","450","23870","21010"
"In post","2021","Heterosexual / straight","Asian","Milton Keynes","110","100","29800","26920"
"In post","2021","Heterosexual / straight","Asian","Monmouthshire and Newport","70","70","33760","30550"
"In post","2021","Heterosexual / straight","Asian","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","North Hampshire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Nottingham","390","360","30970","28200"
"In post","2021","Heterosexual / straight","Asian","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Overseas","130","130","45910","41090"
"In post","2021","Heterosexual / straight","Asian","Oxfordshire","70","60","32860","27570"
"In post","2021","Heterosexual / straight","Asian","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Peterborough","200","160","23760","21430"
"In post","2021","Heterosexual / straight","Asian","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Portsmouth","50","50","28990","27570"
"In post","2021","Heterosexual / straight","Asian","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Redbridge and Waltham Forest","270","250","29310","31060"
"In post","2021","Heterosexual / straight","Asian","Sandwell","70","70","26250","27570"
"In post","2021","Heterosexual / straight","Asian","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Sefton","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Sheffield","340","320","27900","24890"
"In post","2021","Heterosexual / straight","Asian","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Solihull","250","230","26900","25310"
"In post","2021","Heterosexual / straight","Asian","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","South Hampshire","60","50","29540","23780"
"In post","2021","Heterosexual / straight","Asian","South Lanarkshire","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Southampton","50","50","35570","28620"
"In post","2021","Heterosexual / straight","Asian","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Staffordshire CC","130","120","32410","27570"
"In post","2021","Heterosexual / straight","Asian","Stoke-on-Trent","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Suffolk","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Swansea","60","60","27580","21590"
"In post","2021","Heterosexual / straight","Asian","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Telford and Wrekin","80","70","37240","31810"
"In post","2021","Heterosexual / straight","Asian","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Tower Hamlets","870","840","40600","34870"
"In post","2021","Heterosexual / straight","Asian","Tyneside","190","180","28790","25560"
"In post","2021","Heterosexual / straight","Asian","Unknown","130","120","30270","27570"
"In post","2021","Heterosexual / straight","Asian","Wakefield","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Walsall","70","70","25380","27570"
"In post","2021","Heterosexual / straight","Asian","Wandsworth","60","50","31460","31060"
"In post","2021","Heterosexual / straight","Asian","Warrington","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Warwickshire","110","100","26240","24970"
"In post","2021","Heterosexual / straight","Asian","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","West Essex","60","50","35670","29290"
"In post","2021","Heterosexual / straight","Asian","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","West Northamptonshire","50","50","26440","23730"
"In post","2021","Heterosexual / straight","Asian","West Surrey","130","120","30530","29290"
"In post","2021","Heterosexual / straight","Asian","West Sussex (North East)","70","60","28060","26990"
"In post","2021","Heterosexual / straight","Asian","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Westminster","4550","4420","42590","38160"
"In post","2021","Heterosexual / straight","Asian","Wiltshire","110","100","36500","33000"
"In post","2021","Heterosexual / straight","Asian","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Wolverhampton","120","100","24620","24800"
"In post","2021","Heterosexual / straight","Asian","Worcestershire","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","York","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Barking & Dagenham and Havering","80","80","31110","31060"
"In post","2021","Heterosexual / straight","Black","Barnet","170","170","33300","31060"
"In post","2021","Heterosexual / straight","Black","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Bath and North East Somerset, North Somerset and South Gloucestershire","260","250","34060","33270"
"In post","2021","Heterosexual / straight","Black","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Berkshire","80","80","32840","29290"
"In post","2021","Heterosexual / straight","Black","Bexley and Greenwich","220","220","31030","31060"
"In post","2021","Heterosexual / straight","Black","Birmingham","600","570","28910","26550"
"In post","2021","Heterosexual / straight","Black","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Brent","110","100","29530","31060"
"In post","2021","Heterosexual / straight","Black","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Bristol, City of","100","100","29980","27850"
"In post","2021","Heterosexual / straight","Black","Bromley","90","90","29500","31060"
"In post","2021","Heterosexual / straight","Black","Buckinghamshire CC","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Cambridgeshire CC","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Camden and City of London","360","350","30070","28670"
"In post","2021","Heterosexual / straight","Black","Cardiff and Vale of Glamorgan","90","80","28050","25560"
"In post","2021","Heterosexual / straight","Black","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Central Hampshire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","City of Edinburgh","60","60","34240","30650"
"In post","2021","Heterosexual / straight","Black","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Coventry","60","60","33160","30150"
"In post","2021","Heterosexual / straight","Black","Croydon","1230","1180","33580","29570"
"In post","2021","Heterosexual / straight","Black","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Dudley","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Ealing","70","70","31050","31060"
"In post","2021","Heterosexual / straight","Black","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Kent","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","East Surrey","80","80","32530","33590"
"In post","2021","Heterosexual / straight","Black","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Enfield","80","80","30160","31060"
"In post","2021","Heterosexual / straight","Black","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Essex Thames Gateway","60","60","26700","24180"
"In post","2021","Heterosexual / straight","Black","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Glasgow City","80","80","28870","27570"
"In post","2021","Heterosexual / straight","Black","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Greater Manchester North East","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Greater Manchester South West","130","130","27220","25560"
"In post","2021","Heterosexual / straight","Black","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Hackney and Newham","410","390","30610","31060"
"In post","2021","Heterosexual / straight","Black","Haringey and Islington","270","260","30560","31060"
"In post","2021","Heterosexual / straight","Black","Harrow and Hillingdon","240","220","29970","29170"
"In post","2021","Heterosexual / straight","Black","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Heart of Essex","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Hertfordshire","120","120","33230","29290"
"In post","2021","Heterosexual / straight","Black","Hounslow and Richmond upon Thames","150","150","30960","31060"
"In post","2021","Heterosexual / straight","Black","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Kensington & Chelsea and Hammersmith & Fulham","160","160","31060","31060"
"In post","2021","Heterosexual / straight","Black","Kent Thames Gateway","60","50","30300","29290"
"In post","2021","Heterosexual / straight","Black","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Lambeth","440","430","35630","31880"
"In post","2021","Heterosexual / straight","Black","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Leeds","220","210","29030","27570"
"In post","2021","Heterosexual / straight","Black","Leicester","70","60","26290","22850"
"In post","2021","Heterosexual / straight","Black","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Lewisham and Southwark","330","320","30580","31060"
"In post","2021","Heterosexual / straight","Black","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Liverpool","60","50","28390","24890"
"In post","2021","Heterosexual / straight","Black","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Luton","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Manchester","230","220","30570","27570"
"In post","2021","Heterosexual / straight","Black","Medway","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Merton, Kingston upon Thames and Sutton","80","80","30720","31060"
"In post","2021","Heterosexual / straight","Black","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Milton Keynes","80","80","29350","27570"
"In post","2021","Heterosexual / straight","Black","Monmouthshire and Newport","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Nottingham","190","180","26790","25520"
"In post","2021","Heterosexual / straight","Black","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Overseas","60","60","42250","37500"
"In post","2021","Heterosexual / straight","Black","Oxfordshire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Portsmouth","[c]","[c]","[c]","[c]"
