"Status","Year","Parent_department","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","2600","2510","47560","44370"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","2720","2700","50170","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Female","1030","960","31260","26410"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Male","780","770","34540","32060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Female","790","730","38220","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Male","1310","1270","41220","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Female","700","650","33730","28240"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Male","810","780","41280","40640"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Female","130","130","44310","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Male","120","120","49660","49100"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","960","930","48180","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","820","810","50260","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Female","3370","3180","43730","40230"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Male","2330","2310","45310","40940"
"In post","2021","Department for Education","Education and Skills Funding Agency","Female","1020","960","41100","36960"
"In post","2021","Department for Education","Education and Skills Funding Agency","Male","800","790","42880","37100"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Female","130","130","47190","49960"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Male","80","80","52500","50630"
"In post","2021","Department for Education","Standards and Testing Agency","Female","90","80","43820","41400"
"In post","2021","Department for Education","Standards and Testing Agency","Male","40","40","[c]","[c]"
"In post","2021","Department for Education","Teaching Regulation Agency","Female","50","40","[c]","[c]"
"In post","2021","Department for Education","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Female","1610","1490","29560","25730"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Male","1070","1040","32290","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Female","290","260","31560","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Male","330","320","36330","30660"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","2960","2790","41630","37240"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","2450","2420","43480","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Female","1240","1080","26110","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Male","940","910","27230","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Female","100","100","39100","36590"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Male","70","70","47750","52290"
"In post","2021","Department for International Trade","Department for International Trade","Female","1270","1250","44620","38690"
"In post","2021","Department for International Trade","Department for International Trade","Male","1420","1420","46910","41180"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Female","1540","1480","45810","42890"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Male","1980","1940","49280","44030"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Female","3770","3110","24230","21590"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Male","2460","2380","28950","21590"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Female","1430","1310","29020","26780"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Male","3360","3210","29930","27680"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","Female","480","440","32430","30730"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","Male","760","740","39980","36180"
"In post","2021","Department for Transport","Vehicle Certification Agency","Female","70","60","28900","27250"
"In post","2021","Department for Transport","Vehicle Certification Agency","Male","140","140","39480","37790"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Female","59540","51290","27230","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Male","31410","30130","28440","27570"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","Female","1300","1180","38460","35910"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","Male","1280","1240","48180","45870"
"In post","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Female","2100","2030","45460","40650"
"In post","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Male","1420","1410","48550","45550"
"In post","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","Female","790","760","46740","41010"
"In post","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","Male","540","530","50140","44230"
"In post","2021","Department of Health and Social Care","Public Health England","Female","4790","4310","41900","36690"
"In post","2021","Department of Health and Social Care","Public Health England","Male","2110","2010","48440","41170"
"In post","2021","ESTYN","ESTYN","Female","70","60","53760","63880"
"In post","2021","ESTYN","ESTYN","Male","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","Female","530","510","39290","37910"
"In post","2021","Food Standards Agency","Food Standards Agency","Male","780","760","35880","30810"
"In post","2021","Foreign, Commonwealth and Development Office","FCDO Services","Female","310","290","38480","31800"
"In post","2021","Foreign, Commonwealth and Development Office","FCDO Services","Male","770","750","41120","39410"
"In post","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Female","3850","3740","46990","41810"
"In post","2021","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","Male","3620","3600","50260","49920"
"In post","2021","Foreign, Commonwealth and Development Office","Wilton Park","Female","60","50","33030","28640"
"In post","2021","Foreign, Commonwealth and Development Office","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","HM Land Registry","Female","3810","3360","30140","27130"
"In post","2021","HM Land Registry","HM Land Registry","Male","2540","2410","32510","27130"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Female","33230","29280","30100","25560"
"In post","2021","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","Male","29720","28540","32380","29570"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","Female","1820","1630","31610","26500"
"In post","2021","HM Revenue and Customs","Valuation Office Agency","Male","1710","1650","35940","32100"
"In post","2021","HM Treasury","Debt Management Office","Female","40","40","[c]","[c]"
"In post","2021","HM Treasury","Debt Management Office","Male","80","70","63150","58810"
"In post","2021","HM Treasury","Government Internal Audit Agency","Female","240","220","46000","43160"
"In post","2021","HM Treasury","Government Internal Audit Agency","Male","220","220","51410","49750"
"In post","2021","HM Treasury","HM Treasury (excl. agencies)","Female","990","950","45840","41270"
"In post","2021","HM Treasury","HM Treasury (excl. agencies)","Male","1030","1030","48580","52500"
"In post","2021","HM Treasury","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Home Office (incl. agencies)","Female","18320","16540","31370","27370"
"In post","2021","Home Office","Home Office (incl. agencies)","Male","17060","16340","32630","28060"
"In post","2021","Ministry of Defence","Defence Electronics and Components Agency","Female","70","70","28060","25200"
"In post","2021","Ministry of Defence","Defence Electronics and Components Agency","Male","370","350","28480","28750"
"In post","2021","Ministry of Defence","Defence Equipment and Support","Female","3650","3410","34100","31950"
"In post","2021","Ministry of Defence","Defence Equipment and Support","Male","7050","6920","37570","35610"
"In post","2021","Ministry of Defence","Defence Science and Technology Laboratory","Female","1540","1440","37730","37320"
"In post","2021","Ministry of Defence","Defence Science and Technology Laboratory","Male","2840","2780","41880","41200"
"In post","2021","Ministry of Defence","Ministry of Defence (excl. agencies)","Female","16540","15630","31090","26670"
"In post","2021","Ministry of Defence","Ministry of Defence (excl. agencies)","Male","21160","20810","33090","30750"
"In post","2021","Ministry of Defence","Royal Fleet Auxiliary","Female","160","160","33120","32700"
"In post","2021","Ministry of Defence","Royal Fleet Auxiliary","Male","1670","1670","38060","34460"
"In post","2021","Ministry of Defence","Submarine Delivery Agency","Female","560","540","37990","34550"
"In post","2021","Ministry of Defence","Submarine Delivery Agency","Male","1230","1210","43170","41000"
"In post","2021","Ministry of Defence","UK Hydrographic Office","Female","290","270","33920","33290"
"In post","2021","Ministry of Defence","UK Hydrographic Office","Male","550","540","35200","33290"
"In post","2021","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","1290","1240","45380","40190"
"In post","2021","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","1210","1200","46630","42870"
"In post","2021","Ministry of Housing, Communities and Local Government","Planning Inspectorate","Female","380","340","40110","34860"
"In post","2021","Ministry of Housing, Communities and Local Government","Planning Inspectorate","Male","470","440","46130","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Criminal Injuries Compensation Authority","Female","160","140","26500","22570"
"In post","2021","Ministry of Justice","Criminal Injuries Compensation Authority","Male","140","140","25680","22860"
"In post","2021","Ministry of Justice","HM Courts and Tribunals Service","Female","11740","10320","24390","21170"
"In post","2021","Ministry of Justice","HM Courts and Tribunals Service","Male","4870","4690","25550","21300"
"In post","2021","Ministry of Justice","HM Prison and Probation Service","Female","26970","25060","29450","27370"
"In post","2021","Ministry of Justice","HM Prison and Probation Service","Male","27070","25970","30990","30720"
"In post","2021","Ministry of Justice","Legal Aid Agency","Female","710","650","27190","22570"
"In post","2021","Ministry of Justice","Legal Aid Agency","Male","480","470","30350","22970"
"In post","2021","Ministry of Justice","Ministry of Justice (excl. agencies)","Female","3060","2940","40570","36800"
"In post","2021","Ministry of Justice","Ministry of Justice (excl. agencies)","Male","2290","2260","43860","39870"
"In post","2021","Ministry of Justice","Office of the Public Guardian","Female","800","720","22070","19930"
"In post","2021","Ministry of Justice","Office of the Public Guardian","Male","620","590","22080","19930"
"In post","2021","National Crime Agency","National Crime Agency","Female","2450","2340","37450","36410"
"In post","2021","National Crime Agency","National Crime Agency","Male","3040","3010","42180","40170"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Female","90","90","42530","36800"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Male","70","70","45720","38870"
"In post","2021","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","Female","1190","1130","48570","51360"
"In post","2021","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","Male","590","590","50840","42850"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","540","520","43060","37300"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","640","640","46290","39550"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","150","150","43160","39250"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","110","100","48970","46660"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Female","140","130","49310","49580"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Male","190","190","57610","58450"
"In post","2021","Other Cabinet Office Agencies","Crown Commercial Service","Female","410","390","36580","34800"
"In post","2021","Other Cabinet Office Agencies","Crown Commercial Service","Male","380","380","39050","34800"
"In post","2021","Other Cabinet Office Agencies","Government Property Agency","Female","90","90","45580","42050"
"In post","2021","Other Cabinet Office Agencies","Government Property Agency","Male","120","120","51910","49700"
"In post","2021","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","70","70","48330","48930"
"In post","2021","Scotland Office","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","40","40","[c]","[c]"
"In post","2021","Scottish Government","Accountant in Bankruptcy","Female","80","70","30250","29190"
"In post","2021","Scottish Government","Accountant in Bankruptcy","Male","40","40","[c]","[c]"
"In post","2021","Scottish Government","Crown Office and Procurator Fiscal Service","Female","1460","1330","34880","29040"
"In post","2021","Scottish Government","Crown Office and Procurator Fiscal Service","Male","560","550","37880","32930"
"In post","2021","Scottish Government","Disclosure Scotland","Female","160","140","28010","24110"
"In post","2021","Scottish Government","Disclosure Scotland","Male","160","150","28210","22230"
"In post","2021","Scottish Government","Education Scotland","Female","230","220","54330","56120"
"In post","2021","Scottish Government","Education Scotland","Male","80","80","60070","66290"
"In post","2021","Scottish Government","Food Standards Scotland","Female","110","110","35010","32140"
"In post","2021","Scottish Government","Food Standards Scotland","Male","140","140","35170","30650"
"In post","2021","Scottish Government","Forestry and Land Scotland","Female","330","310","31430","29140"
"In post","2021","Scottish Government","Forestry and Land Scotland","Male","660","650","31520","30160"
"In post","2021","Scottish Government","National Records of Scotland","Female","240","220","34740","32140"
"In post","2021","Scottish Government","National Records of Scotland","Male","200","190","34260","31150"
"In post","2021","Scottish Government","Office of the Scottish Charity Regulator","Female","30","30","[c]","[c]"
"In post","2021","Scottish Government","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Registers of Scotland","Female","580","540","32830","30080"
"In post","2021","Scottish Government","Registers of Scotland","Male","580","570","32930","30080"
"In post","2021","Scottish Government","Revenue Scotland","Female","30","30","[c]","[c]"
"In post","2021","Scottish Government","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Scottish Courts and Tribunals Service","Female","1210","1070","27580","22820"
"In post","2021","Scottish Government","Scottish Courts and Tribunals Service","Male","590","560","28630","22820"
"In post","2021","Scottish Government","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Scottish Forestry","Female","100","90","30690","29650"
"In post","2021","Scottish Government","Scottish Forestry","Male","100","90","39880","37530"
"In post","2021","Scottish Government","Scottish Government (excl. agencies)","Female","4300","4040","42560","38540"
"In post","2021","Scottish Government","Scottish Government (excl. agencies)","Male","3520","3450","43750","39110"
"In post","2021","Scottish Government","Scottish Housing Regulator","Female","30","30","[c]","[c]"
"In post","2021","Scottish Government","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Scottish Prison Service","Female","1520","1440","30120","28410"
"In post","2021","Scottish Government","Scottish Prison Service","Male","2970","2770","32590","33650"
"In post","2021","Scottish Government","Scottish Public Pensions Agency","Female","160","130","28590","26160"
"In post","2021","Scottish Government","Scottish Public Pensions Agency","Male","130","130","30910","26160"
"In post","2021","Scottish Government","Social Security Scotland","Female","660","620","30650","26160"
"In post","2021","Scottish Government","Social Security Scotland","Male","480","480","32930","28170"
"In post","2021","Scottish Government","Student Awards Agency for Scotland","Female","130","120","28540","24910"
"In post","2021","Scottish Government","Student Awards Agency for Scotland","Male","110","110","31230","27150"
"In post","2021","Scottish Government","Transport Scotland","Female","210","200","40780","38060"
"In post","2021","Scottish Government","Transport Scotland","Male","280","280","46830","46600"
"In post","2021","The National Archives","The National Archives","Female","290","270","35110","32290"
"In post","2021","The National Archives","The National Archives","Male","250","250","36130","34260"
"In post","2021","UK Export Finance","UK Export Finance","Female","150","150","49040","43000"
"In post","2021","UK Export Finance","UK Export Finance","Male","250","240","56280","50530"
"In post","2021","UK Supreme Court","UK Supreme Court","Female","30","30","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","3110","2730","31370","29540"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","2380","2170","33990","30130"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","50","50","35520","32540"
"In post","2021","Wales Office","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","Female","130","120","55630","48850"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","Male","120","120","56660","51630"
"In post","2021","Welsh Government","Welsh Government (excl. agencies)","Female","3380","3120","39780","37410"
"In post","2021","Welsh Government","Welsh Government (excl. agencies)","Male","2330","2270","42740","37410"
"In post","2021","Welsh Government","Welsh Revenue Authority","Female","40","40","[c]","[c]"
"In post","2021","Welsh Government","Welsh Revenue Authority","Male","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Crown Prosecution Service","Female","4730","4310","39760","33120"
"In post","2022","Attorney General's Departments","Crown Prosecution Service","Male","2310","2260","44740","48080"
"In post","2022","Attorney General's Departments","Government Legal Department","Female","1710","1550","54070","51830"
"In post","2022","Attorney General's Departments","Government Legal Department","Male","920","900","54440","52040"
"In post","2022","Attorney General's Departments","HM Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","HM Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Serious Fraud Office","Female","200","190","45770","40700"
"In post","2022","Attorney General's Departments","Serious Fraud Office","Male","260","250","48390","42050"
"In post","2022","Cabinet Office","Cabinet Office (excl. agencies)","Female","5340","5190","44760","37300"
"In post","2022","Cabinet Office","Cabinet Office (excl. agencies)","Male","4590","4560","50080","42240"
"In post","2022","Cabinet Office","Crown Commercial Service","Female","430","410","39040","38330"
"In post","2022","Cabinet Office","Crown Commercial Service","Male","380","380","41240","38980"
"In post","2022","Cabinet Office","Government Property Agency","Female","140","130","46990","43400"
"In post","2022","Cabinet Office","Government Property Agency","Male","170","170","53850","54700"
"In post","2022","Chancellor's other departments","Government Actuary's Department","Female","90","80","62570","65470"
"In post","2022","Chancellor's other departments","Government Actuary's Department","Male","140","130","68050","57250"
"In post","2022","Chancellor's other departments","National Savings and Investments","Female","100","90","47380","44000"
"In post","2022","Chancellor's other departments","National Savings and Investments","Male","100","100","54210","49010"
"In post","2022","Chancellor's other departments","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Female","290","270","34020","29160"
"In post","2022","Charity Commission","Charity Commission","Male","180","180","33970","29160"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Female","430","410","58420","55860"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Male","430","420","64140","59450"
"In post","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Female","610","560","32240","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Male","420","400","34810","31140"
"In post","2022","Department for Business, Energy and Industrial Strategy","Companies House","Female","660","590","29590","24500"
"In post","2022","Department for Business, Energy and Industrial Strategy","Companies House","Male","520","510","32770","29910"
"In post","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","3000","2900","47700","44300"
"In post","2022","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","3010","2980","49960","53160"
"In post","2022","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","Female","820","750","34310","28750"
"In post","2022","Department for Business, Energy and Industrial Strategy","Intellectual Property Office","Male","900","870","42080","41420"
"In post","2022","Department for Business, Energy and Industrial Strategy","Met Office","Female","820","760","38010","37420"
"In post","2022","Department for Business, Energy and Industrial Strategy","Met Office","Male","1350","1300","40640","39650"
"In post","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","Female","990","920","31710","26410"
"In post","2022","Department for Business, Energy and Industrial Strategy","The Insolvency Service","Male","740","720","34990","33720"
"In post","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","Female","130","130","43540","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","UK Space Agency","Male","130","130","48390","49080"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","1100","1070","46410","46980"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","910","910","47640","51730"
"In post","2022","Department for Education","Department for Education (excl. agencies)","Female","3790","3590","43530","40230"
"In post","2022","Department for Education","Department for Education (excl. agencies)","Male","2510","2480","45170","41990"
"In post","2022","Department for Education","Education and Skills Funding Agency","Female","1070","1010","40330","36780"
"In post","2022","Department for Education","Education and Skills Funding Agency","Male","840","830","42720","37100"
"In post","2022","Department for Education","Institute for Apprenticeships and Technical Education","Female","180","170","47570","49960"
"In post","2022","Department for Education","Institute for Apprenticeships and Technical Education","Male","100","100","50750","50260"
"In post","2022","Department for Education","Standards and Testing Agency","Female","90","80","41790","41400"
"In post","2022","Department for Education","Standards and Testing Agency","Male","40","40","[c]","[c]"
"In post","2022","Department for Education","Teaching Regulation Agency","Female","50","50","29580","26000"
"In post","2022","Department for Education","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Female","1730","1610","29680","26450"
"In post","2022","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Male","1180","1140","31810","28680"
"In post","2022","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Female","320","290","32110","29750"
"In post","2022","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Male","330","330","36010","30660"
"In post","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","3600","3400","41120","37070"
"In post","2022","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","2900","2860","43170","38750"
"In post","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Female","1470","1300","25750","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Male","1090","1060","26650","24920"
"In post","2022","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Female","110","110","37820","35580"
"In post","2022","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Male","60","60","44760","47550"
"In post","2022","Department for International Trade","Department for International Trade","Female","1390","1370","45340","40600"
"In post","2022","Department for International Trade","Department for International Trade","Male","1490","1480","47770","44030"
"In post","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","1740","1680","45250","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","1570","1550","46180","42140"
"In post","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","Female","370","330","40140","34860"
"In post","2022","Department for Levelling Up, Housing and Communities","Planning Inspectorate","Male","440","410","45530","47660"
"In post","2022","Department for Levelling Up, Housing and Communities","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Queen Elizabeth II Centre","Male","30","30","[c]","[c]"
"In post","2022","Department for Transport","Department for Transport (excl. agencies)","Female","1630","1570","46470","42470"
"In post","2022","Department for Transport","Department for Transport (excl. agencies)","Male","2040","2000","50090","46710"
"In post","2022","Department for Transport","Driver and Vehicle Licensing Agency","Female","3800","3170","24500","21840"
"In post","2022","Department for Transport","Driver and Vehicle Licensing Agency","Male","2560","2470","29050","21840"
"In post","2022","Department for Transport","Driver and Vehicle Standards Agency","Female","1510","1390","28990","26780"
"In post","2022","Department for Transport","Driver and Vehicle Standards Agency","Male","3410","3260","29860","27930"
"In post","2022","Department for Transport","Maritime and Coastguard Agency","Female","470","440","33300","30730"
"In post","2022","Department for Transport","Maritime and Coastguard Agency","Male","760","760","39940","36040"
"In post","2022","Department for Transport","Vehicle Certification Agency","Female","80","70","28740","26710"
"In post","2022","Department for Transport","Vehicle Certification Agency","Male","130","130","40270","38150"
"In post","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Female","59040","50960","27510","27570"
"In post","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Male","32410","31130","29130","27570"
"In post","2022","Department for Work and Pensions","Health and Safety Executive","Female","1370","1260","38110","34830"
"In post","2022","Department for Work and Pensions","Health and Safety Executive","Male","1340","1300","47560","45130"
"In post","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Female","2640","2530","46650","41320"
"In post","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Male","1430","1410","48960","49530"
"In post","2022","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","Female","680","650","48760","41240"
"In post","2022","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","Male","450","450","49850","44460"
