"Status","Year","Ethnicity","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","SEO/HEO","60","60","35440","35490"
"In post","2021","Asian","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","EO","30","30","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","SEO/HEO","50","50","35520","35200"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","EO","130","130","28150","29570"
"In post","2021","Asian","Legal","G6/G7","470","430","57490","54800"
"In post","2021","Asian","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","SEO/HEO","260","250","38390","38640"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","AA/AO","30","30","[c]","[c]"
"In post","2021","Asian","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","G6/G7","60","50","71560","71600"
"In post","2021","Asian","Medicine","SCS","80","70","106250","101490"
"In post","2021","Asian","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","AA/AO","4460","3950","22480","21430"
"In post","2021","Asian","Operational Delivery","EO","3040","2820","27550","27790"
"In post","2021","Asian","Operational Delivery","G6/G7","260","260","57620","55930"
"In post","2021","Asian","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","SEO/HEO","1780","1690","36650","35200"
"In post","2021","Asian","Operational Delivery","Unknown","520","480","29170","28200"
"In post","2021","Asian","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","AA/AO","230","210","22490","21590"
"In post","2021","Asian","Other","EO","270","250","26620","27400"
"In post","2021","Asian","Other","G6/G7","90","90","61210","58420"
"In post","2021","Asian","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","SEO/HEO","260","250","36980","35470"
"In post","2021","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","AA/AO","80","70","23530","23500"
"In post","2021","Asian","Policy","EO","290","280","28770","28670"
"In post","2021","Asian","Policy","G6/G7","570","560","57830","56120"
"In post","2021","Asian","Policy","SCS","70","70","81410","76350"
"In post","2021","Asian","Policy","SEO/HEO","920","900","36950","36160"
"In post","2021","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","EO","130","130","27320","27170"
"In post","2021","Asian","Project Delivery","G6/G7","180","180","57930","57300"
"In post","2021","Asian","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","SEO/HEO","470","460","37280","37000"
"In post","2021","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","EO","90","90","28150","28330"
"In post","2021","Asian","Property","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SEO/HEO","90","90","38660","37450"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","AA/AO","70","60","22720","22830"
"In post","2021","Asian","Science and Engineering","EO","90","90","26300","27200"
"In post","2021","Asian","Science and Engineering","G6/G7","80","70","57500","55130"
"In post","2021","Asian","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","SEO/HEO","310","300","36840","37320"
"In post","2021","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","AA/AO","160","150","24210","22210"
"In post","2021","Asian","Security","EO","50","50","[c]","[c]"
"In post","2021","Asian","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SEO/HEO","60","60","40090","38630"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","SEO/HEO","80","80","37470","37340"
"In post","2021","Asian","Tax","AA/AO","280","250","20390","20140"
"In post","2021","Asian","Tax","EO","340","320","27540","25560"
"In post","2021","Asian","Tax","G6/G7","150","150","56100","52580"
"In post","2021","Asian","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","SEO/HEO","630","600","35110","36160"
"In post","2021","Asian","Unknown","AA/AO","2450","2070","21710","21010"
"In post","2021","Asian","Unknown","EO","4710","4360","28940","27570"
"In post","2021","Asian","Unknown","G6/G7","350","340","58410","56370"
"In post","2021","Asian","Unknown","SCS","50","50","91910","90000"
"In post","2021","Asian","Unknown","SEO/HEO","880","860","36370","36360"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","EO","30","30","[c]","[c]"
"In post","2021","Black","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SEO/HEO","100","100","38930","38160"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SEO/HEO","60","60","38090","37320"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","EO","70","70","28380","28440"
"In post","2021","Black","Digital, Data and Technology","G6/G7","90","90","57670","57460"
"In post","2021","Black","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","SEO/HEO","230","230","38070","36970"
"In post","2021","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","EO","70","60","28410","28830"
"In post","2021","Black","Finance","G6/G7","70","70","57950","57220"
"In post","2021","Black","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","SEO/HEO","200","200","38510","37710"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","EO","70","70","28860","28830"
"In post","2021","Black","Human Resources","G6/G7","50","50","[c]","[c]"
"In post","2021","Black","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","SEO/HEO","150","140","37610","36350"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","EO","30","30","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","EO","70","60","29070","29570"
"In post","2021","Black","Legal","G6/G7","220","210","59350","60110"
"In post","2021","Black","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","SEO/HEO","120","110","38200","38630"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","AA/AO","2590","2410","24840","23520"
"In post","2021","Black","Operational Delivery","EO","1460","1380","28660","28760"
"In post","2021","Black","Operational Delivery","G6/G7","140","130","56910","54160"
"In post","2021","Black","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","SEO/HEO","870","850","37240","35200"
"In post","2021","Black","Operational Delivery","Unknown","790","760","31040","28200"
"In post","2021","Black","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","AA/AO","150","150","23250","23090"
"In post","2021","Black","Other","EO","180","180","27290","27590"
"In post","2021","Black","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","SEO/HEO","160","150","36580","35200"
"In post","2021","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","AA/AO","90","90","24390","24100"
"In post","2021","Black","Policy","EO","240","230","29040","28990"
"In post","2021","Black","Policy","G6/G7","230","230","57000","54650"
"In post","2021","Black","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","SEO/HEO","520","510","37070","36300"
"In post","2021","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","EO","80","80","27860","28070"
"In post","2021","Black","Project Delivery","G6/G7","100","100","57570","57460"
"In post","2021","Black","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","SEO/HEO","300","290","37120","36980"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","EO","40","40","[c]","[c]"
"In post","2021","Black","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","SEO/HEO","60","50","38780","37220"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","AA/AO","40","40","[c]","[c]"
"In post","2021","Black","Science and Engineering","EO","40","40","[c]","[c]"
"In post","2021","Black","Science and Engineering","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","SEO/HEO","160","150","36940","37640"
"In post","2021","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","AA/AO","70","70","23530","22650"
"In post","2021","Black","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Black","Tax","AA/AO","70","60","20810","20140"
"In post","2021","Black","Tax","EO","130","120","28160","27570"
"In post","2021","Black","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Tax","SEO/HEO","220","210","35930","36160"
"In post","2021","Black","Unknown","AA/AO","920","840","22710","22640"
"In post","2021","Black","Unknown","EO","2800","2670","29800","31060"
"In post","2021","Black","Unknown","G6/G7","130","130","58790","56340"
"In post","2021","Black","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","490","490","36810","36650"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","SCS","[c]","[c]","[c]","[c]"
