"Status","Year","Responsibility_level","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","HM Revenue and Customs (excl. agencies)","840","730","21470","21440"
"In post","2021","AA/AO","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Debt","HM Revenue and Customs (excl. agencies)","3410","3070","20950","20140"
"In post","2021","AA/AO","Digital, Data & Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","HM Land Registry","60","50","21740","22350"
"In post","2021","AA/AO","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","60","60","20820","20140"
"In post","2021","AA/AO","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Ministry of Defence (excl. agencies)","120","110","21390","20920"
"In post","2021","AA/AO","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Revenue and Customs (excl. agencies)","920","730","20670","20140"
"In post","2021","AA/AO","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Ministry of Defence (excl. agencies)","220","210","21540","21130"
"In post","2021","AA/AO","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Scottish Prison Service","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Rural Payments Agency","950","860","21010","21050"
"In post","2021","AA/AO","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Cabinet Office (excl. agencies)","170","150","21010","20800"
"In post","2021","AA/AO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Revenue and Customs (excl. agencies)","290","250","20960","21330"
"In post","2021","AA/AO","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Defence (excl. agencies)","760","690","21280","21130"
"In post","2021","AA/AO","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Scottish Prison Service","40","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Crown Prosecution Service","1430","1310","22250","21950"
"In post","2021","AA/AO","Legal","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Government Legal Department","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Revenue and Customs (excl. agencies)","150","130","22110","21440"
"In post","2021","AA/AO","Legal","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Scottish Courts and Tribunals Service","900","780","21680","22820"
"In post","2021","AA/AO","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Advisory, Conciliation and Arbitration Service","50","40","[c]","[c]"
"In post","2021","AA/AO","No function","Animal and Plant Health Agency","780","730","21880","21050"
