"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared non-disabled","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Defence Equipment and Support","100","90","21200","20260"
"Leaver CS","2021","Declared non-disabled","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Department for Work and Pensions (excl. agencies)","1090","880","27830","27570"
"Leaver CS","2021","Declared non-disabled","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Driver and Vehicle Standards Agency","90","70","27820","26780"
"Leaver CS","2021","Declared non-disabled","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","HM Courts and Tribunals Service","90","80","24150","23970"
"Leaver CS","2021","Declared non-disabled","EO","HM Land Registry","60","40","27260","27130"
"Leaver CS","2021","Declared non-disabled","EO","HM Prison and Probation Service","190","180","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","HM Revenue and Customs (excl. agencies)","660","540","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Home Office (incl. agencies)","350","310","26910","27240"
"Leaver CS","2021","Declared non-disabled","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Ministry of Defence (excl. agencies)","320","300","29020","29200"
"Leaver CS","2021","Declared non-disabled","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Public Health England","70","70","25800","26100"
"Leaver CS","2021","Declared non-disabled","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Valuation Office Agency","60","50","25820","25930"
"Leaver CS","2021","Declared non-disabled","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Cabinet Office (excl. agencies)","50","50","61010","58250"
"Leaver CS","2021","Declared non-disabled","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Crown Prosecution Service","90","80","58920","55610"
"Leaver CS","2021","Declared non-disabled","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Defence Equipment and Support","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for Education (excl. agencies)","70","60","57420","54400"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department for Work and Pensions (excl. agencies)","80","70","58570","58140"
"Leaver CS","2021","Declared non-disabled","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Government Legal Department","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","HM Revenue and Customs (excl. agencies)","210","190","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Home Office (incl. agencies)","70","70","61830","59740"
"Leaver CS","2021","Declared non-disabled","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Ministry of Defence (excl. agencies)","80","70","65440","62530"
"Leaver CS","2021","Declared non-disabled","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Public Health England","100","90","54880","52610"
"Leaver CS","2021","Declared non-disabled","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Public Health England","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Defence Equipment and Support","170","160","35540","34590"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Defence Science and Technology Laboratory","50","50","30720","28650"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for Education (excl. agencies)","80","70","36810","36870"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department for Work and Pensions (excl. agencies)","260","220","35300","34290"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
