"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Welsh Government (excl. agencies)","70","60","23430","23830"
"In post","2021","Declared disabled","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","Declared disabled","EO","Animal and Plant Health Agency","100","100","26500","25330"
"In post","2021","Declared disabled","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Cabinet Office (excl. agencies)","120","110","27190","27500"
"In post","2021","Declared disabled","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Crown Prosecution Service","140","120","28210","28430"
"In post","2021","Declared disabled","EO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Defence Equipment and Support","290","270","22630","21850"
"In post","2021","Declared disabled","EO","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"In post","2021","Declared disabled","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","28290","27690"
"In post","2021","Declared disabled","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Department for Education (excl. agencies)","80","80","26690","26000"
"In post","2021","Declared disabled","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","26700","26050"
