"Status","Year","Region_ITL1","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Declared disabled","West Essex","70","60","29780","27850"
"In post","2021","East of England","Declared non-disabled","Bedford","570","540","30750","28610"
"In post","2021","East of England","Declared non-disabled","Breckland and South Norfolk","390","370","28390","26750"
"In post","2021","East of England","Declared non-disabled","Cambridgeshire CC","2210","2110","34110","31220"
"In post","2021","East of England","Declared non-disabled","Central Bedfordshire","320","300","29870","27570"
"In post","2021","East of England","Declared non-disabled","Essex Haven Gateway","820","780","31930","29290"
"In post","2021","East of England","Declared non-disabled","Essex Thames Gateway","680","610","27920","29050"
"In post","2021","East of England","Declared non-disabled","Heart of Essex","760","710","32610","29310"
"In post","2021","East of England","Declared non-disabled","Hertfordshire","1840","1720","34560","30750"
"In post","2021","East of England","Declared non-disabled","Luton","410","350","26540","27190"
"In post","2021","East of England","Declared non-disabled","North and West Norfolk","700","650","27930","27260"
"In post","2021","East of England","Declared non-disabled","Norwich and East Norfolk","1250","1120","28800","27570"
"In post","2021","East of England","Declared non-disabled","Peterborough","1210","1080","28060","25580"
"In post","2021","East of England","Declared non-disabled","Southend-on-Sea","790","710","32480","31810"
"In post","2021","East of England","Declared non-disabled","Suffolk","2770","2610","28600","27570"
"In post","2021","East of England","Declared non-disabled","Thurrock","260","250","26540","25310"
"In post","2021","East of England","Declared non-disabled","West Essex","530","470","29990","29290"
"In post","2021","East of England","Undeclared","Bedford","60","60","29620","28650"
"In post","2021","East of England","Undeclared","Breckland and South Norfolk","50","50","31510","27570"
"In post","2021","East of England","Undeclared","Cambridgeshire CC","440","410","33170","31650"
"In post","2021","East of England","Undeclared","Central Bedfordshire","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Essex Haven Gateway","80","80","33020","30890"
"In post","2021","East of England","Undeclared","Essex Thames Gateway","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Heart of Essex","90","80","31840","29810"
"In post","2021","East of England","Undeclared","Hertfordshire","140","130","34900","31040"
"In post","2021","East of England","Undeclared","Luton","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","North and West Norfolk","50","50","29400","31650"
"In post","2021","East of England","Undeclared","Norwich and East Norfolk","90","80","30300","27570"
"In post","2021","East of England","Undeclared","Peterborough","110","100","29820","27130"
"In post","2021","East of England","Undeclared","Southend-on-Sea","80","80","32130","31810"
"In post","2021","East of England","Undeclared","Suffolk","370","350","29110","28130"
"In post","2021","East of England","Undeclared","Thurrock","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","West Essex","50","40","[c]","[c]"
"In post","2021","East of England","Unknown","Bedford","100","100","27630","26850"
"In post","2021","East of England","Unknown","Breckland and South Norfolk","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Cambridgeshire CC","370","360","35260","30760"
"In post","2021","East of England","Unknown","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Essex Haven Gateway","100","90","34740","30040"
"In post","2021","East of England","Unknown","Essex Thames Gateway","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Heart of Essex","150","150","29170","26470"
"In post","2021","East of England","Unknown","Hertfordshire","460","450","36870","33090"
"In post","2021","East of England","Unknown","Luton","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","North and West Norfolk","60","60","26840","24810"
"In post","2021","East of England","Unknown","Norwich and East Norfolk","230","220","34680","28540"
"In post","2021","East of England","Unknown","Peterborough","140","130","28780","22350"
"In post","2021","East of England","Unknown","Southend-on-Sea","290","260","31800","31810"
"In post","2021","East of England","Unknown","Suffolk","620","580","29410","26820"
"In post","2021","East of England","Unknown","Thurrock","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","West Essex","50","50","33880","22430"
"In post","2021","London","Declared disabled","Barking & Dagenham and Havering","110","90","30690","31060"
"In post","2021","London","Declared disabled","Barnet","120","120","35020","31060"
"In post","2021","London","Declared disabled","Bexley and Greenwich","180","170","30780","31060"
"In post","2021","London","Declared disabled","Brent","60","60","31360","31060"
"In post","2021","London","Declared disabled","Bromley","70","60","31360","31060"
"In post","2021","London","Declared disabled","Camden and City of London","290","280","35160","30850"
"In post","2021","London","Declared disabled","Croydon","940","870","36830","32520"
"In post","2021","London","Declared disabled","Ealing","80","80","31600","31060"
"In post","2021","London","Declared disabled","Enfield","60","50","31500","31060"
"In post","2021","London","Declared disabled","Hackney and Newham","440","400","32960","31060"
"In post","2021","London","Declared disabled","Haringey and Islington","180","170","32360","31060"
"In post","2021","London","Declared disabled","Harrow and Hillingdon","360","310","31360","30410"
"In post","2021","London","Declared disabled","Hounslow and Richmond upon Thames","260","240","31750","31060"
"In post","2021","London","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","80","80","31750","31060"
"In post","2021","London","Declared disabled","Lambeth","270","250","36890","32090"
"In post","2021","London","Declared disabled","Lewisham and Southwark","170","160","32700","31060"
"In post","2021","London","Declared disabled","Merton, Kingston upon Thames and Sutton","70","60","30370","31060"
"In post","2021","London","Declared disabled","Redbridge and Waltham Forest","150","130","28740","30330"
"In post","2021","London","Declared disabled","Tower Hamlets","520","500","45780","40600"
"In post","2021","London","Declared disabled","Wandsworth","100","100","31720","31880"
"In post","2021","London","Declared disabled","Westminster","4700","4560","45830","40650"
"In post","2021","London","Declared non-disabled","Barking & Dagenham and Havering","440","400","30540","31060"
"In post","2021","London","Declared non-disabled","Barnet","1090","1030","36960","32330"
"In post","2021","London","Declared non-disabled","Bexley and Greenwich","1150","1090","32200","31060"
"In post","2021","London","Declared non-disabled","Brent","440","410","31350","31060"
"In post","2021","London","Declared non-disabled","Bromley","340","310","29090","31060"
"In post","2021","London","Declared non-disabled","Camden and City of London","2270","2170","38500","32520"
"In post","2021","London","Declared non-disabled","Croydon","6920","6560","38780","35070"
"In post","2021","London","Declared non-disabled","Ealing","360","340","31330","31060"
"In post","2021","London","Declared non-disabled","Enfield","270","250","30110","31060"
"In post","2021","London","Declared non-disabled","Hackney and Newham","2050","1900","34530","31060"
"In post","2021","London","Declared non-disabled","Haringey and Islington","920","870","31590","31060"
"In post","2021","London","Declared non-disabled","Harrow and Hillingdon","2620","2360","31250","29380"
"In post","2021","London","Declared non-disabled","Hounslow and Richmond upon Thames","1990","1880","32570","31060"
"In post","2021","London","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","600","580","32700","31060"
"In post","2021","London","Declared non-disabled","Lambeth","2460","2310","43690","38890"
"In post","2021","London","Declared non-disabled","Lewisham and Southwark","980","940","33200","31060"
"In post","2021","London","Declared non-disabled","Merton, Kingston upon Thames and Sutton","450","420","30850","31060"
"In post","2021","London","Declared non-disabled","Redbridge and Waltham Forest","760","690","29290","31060"
"In post","2021","London","Declared non-disabled","Tower Hamlets","4600","4450","49340","44670"
"In post","2021","London","Declared non-disabled","Wandsworth","550","520","32520","31540"
"In post","2021","London","Declared non-disabled","Westminster","36050","35040","49050","45200"
"In post","2021","London","Undeclared","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Barnet","80","70","44840","33620"
"In post","2021","London","Undeclared","Bexley and Greenwich","210","200","32470","33180"
"In post","2021","London","Undeclared","Brent","40","40","[c]","[c]"
"In post","2021","London","Undeclared","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Camden and City of London","250","240","35910","31670"
"In post","2021","London","Undeclared","Croydon","530","500","38940","35200"
"In post","2021","London","Undeclared","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Hackney and Newham","130","120","34990","31060"
"In post","2021","London","Undeclared","Haringey and Islington","160","150","32150","33030"
"In post","2021","London","Undeclared","Harrow and Hillingdon","210","190","32520","30410"
"In post","2021","London","Undeclared","Hounslow and Richmond upon Thames","200","190","33960","33090"
"In post","2021","London","Undeclared","Kensington & Chelsea and Hammersmith & Fulham","90","80","35550","34940"
"In post","2021","London","Undeclared","Lambeth","270","240","44360","38590"
"In post","2021","London","Undeclared","Lewisham and Southwark","150","130","33050","32740"
"In post","2021","London","Undeclared","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Redbridge and Waltham Forest","50","50","28270","30780"
"In post","2021","London","Undeclared","Tower Hamlets","300","290","46650","41800"
"In post","2021","London","Undeclared","Wandsworth","140","130","33350","34320"
"In post","2021","London","Undeclared","Westminster","3190","3130","46890","42470"
"In post","2021","London","Unknown","Barking & Dagenham and Havering","30","30","[c]","[c]"
"In post","2021","London","Unknown","Barnet","400","370","48480","44900"
"In post","2021","London","Unknown","Bexley and Greenwich","230","230","30100","30150"
"In post","2021","London","Unknown","Brent","60","60","30850","31060"
"In post","2021","London","Unknown","Bromley","30","30","[c]","[c]"
"In post","2021","London","Unknown","Camden and City of London","830","800","39470","36160"
"In post","2021","London","Unknown","Croydon","1240","1200","36840","32520"
"In post","2021","London","Unknown","Ealing","50","50","[c]","[c]"
"In post","2021","London","Unknown","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Hackney and Newham","430","410","36440","34100"
"In post","2021","London","Unknown","Haringey and Islington","250","250","27830","30220"
"In post","2021","London","Unknown","Harrow and Hillingdon","220","210","28600","28650"
"In post","2021","London","Unknown","Hounslow and Richmond upon Thames","410","390","32770","30720"
"In post","2021","London","Unknown","Kensington & Chelsea and Hammersmith & Fulham","80","80","30150","31060"
"In post","2021","London","Unknown","Lambeth","1390","1340","44740","40170"
"In post","2021","London","Unknown","Lewisham and Southwark","90","90","44110","31060"
"In post","2021","London","Unknown","Merton, Kingston upon Thames and Sutton","120","120","32850","31060"
"In post","2021","London","Unknown","Redbridge and Waltham Forest","90","90","27330","30470"
"In post","2021","London","Unknown","Tower Hamlets","1460","1420","46570","40600"
"In post","2021","London","Unknown","Wandsworth","170","160","29620","30220"
"In post","2021","London","Unknown","Westminster","11760","11540","46300","40650"
"In post","2021","North East (England)","Declared disabled","Darlington","100","100","34030","30200"
"In post","2021","North East (England)","Declared disabled","Durham CC","550","480","26620","25310"
"In post","2021","North East (England)","Declared disabled","Hartlepool and Stockton-on-Tees","230","200","26900","27570"
"In post","2021","North East (England)","Declared disabled","Northumberland","50","50","28210","27570"
"In post","2021","North East (England)","Declared disabled","South Teesside","220","190","26110","27570"
"In post","2021","North East (England)","Declared disabled","Sunderland","530","440","25210","21440"
"In post","2021","North East (England)","Declared disabled","Tyneside","1740","1540","27290","25560"
"In post","2021","North East (England)","Declared non-disabled","Darlington","700","660","35870","32300"
"In post","2021","North East (England)","Declared non-disabled","Durham CC","3780","3380","27370","25560"
"In post","2021","North East (England)","Declared non-disabled","Hartlepool and Stockton-on-Tees","1070","970","27070","27380"
"In post","2021","North East (England)","Declared non-disabled","Northumberland","300","260","28390","27570"
"In post","2021","North East (England)","Declared non-disabled","South Teesside","800","720","26740","25670"
"In post","2021","North East (England)","Declared non-disabled","Sunderland","2860","2420","25360","21440"
"In post","2021","North East (England)","Declared non-disabled","Tyneside","10810","9840","29960","26620"
"In post","2021","North East (England)","Undeclared","Darlington","60","60","36440","32560"
"In post","2021","North East (England)","Undeclared","Durham CC","530","460","29260","31650"
"In post","2021","North East (England)","Undeclared","Hartlepool and Stockton-on-Tees","160","150","29820","31530"
"In post","2021","North East (England)","Undeclared","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Undeclared","South Teesside","50","50","23850","21010"
"In post","2021","North East (England)","Undeclared","Sunderland","200","170","25330","21440"
"In post","2021","North East (England)","Undeclared","Tyneside","740","690","30090","27240"
"In post","2021","North East (England)","Unknown","Darlington","110","110","35510","29360"
"In post","2021","North East (England)","Unknown","Durham CC","740","700","23920","22350"
"In post","2021","North East (England)","Unknown","Hartlepool and Stockton-on-Tees","90","90","25660","24920"
"In post","2021","North East (England)","Unknown","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","South Teesside","50","50","25310","24880"
"In post","2021","North East (England)","Unknown","Sunderland","840","720","23950","21400"
"In post","2021","North East (England)","Unknown","Tyneside","3260","2950","27320","24880"
"In post","2021","North West (England)","Declared disabled","Blackburn with Darwen","70","60","27350","27570"
"In post","2021","North West (England)","Declared disabled","Blackpool","770","680","27480","27570"
"In post","2021","North West (England)","Declared disabled","Cheshire East","90","90","30400","27570"
"In post","2021","North West (England)","Declared disabled","Cheshire West and Chester","80","70","26000","27570"
"In post","2021","North West (England)","Declared disabled","Chorley and West Lancashire","120","110","28640","27470"
"In post","2021","North West (England)","Declared disabled","East Cumbria","100","90","28030","25930"
"In post","2021","North West (England)","Declared disabled","East Lancashire","90","80","25780","27570"
"In post","2021","North West (England)","Declared disabled","East Merseyside","170","150","27140","27570"
"In post","2021","North West (England)","Declared disabled","Greater Manchester North East","170","160","27520","27570"
"In post","2021","North West (England)","Declared disabled","Greater Manchester North West","290","250","24570","21590"
"In post","2021","North West (England)","Declared disabled","Greater Manchester South East","180","170","25630","21630"
"In post","2021","North West (England)","Declared disabled","Greater Manchester South West","560","520","29720","27570"
"In post","2021","North West (England)","Declared disabled","Lancaster and Wyre","120","110","27690","26780"
"In post","2021","North West (England)","Declared disabled","Liverpool","1080","970","28590","25560"
"In post","2021","North West (England)","Declared disabled","Manchester","950","880","32190","28130"
"In post","2021","North West (England)","Declared disabled","Mid Lancashire","770","680","26510","24920"
"In post","2021","North West (England)","Declared disabled","Sefton","640","570","28400","25560"
"In post","2021","North West (England)","Declared disabled","Warrington","230","210","29820","27570"
"In post","2021","North West (England)","Declared disabled","West Cumbria","140","120","27570","25230"
"In post","2021","North West (England)","Declared disabled","Wirral","380","330","25160","22350"
"In post","2021","North West (England)","Declared non-disabled","Blackburn with Darwen","370","330","26840","27570"
"In post","2021","North West (England)","Declared non-disabled","Blackpool","3930","3600","29310","27570"
"In post","2021","North West (England)","Declared non-disabled","Cheshire East","540","500","30380","27570"
"In post","2021","North West (England)","Declared non-disabled","Cheshire West and Chester","330","310","25960","26470"
"In post","2021","North West (England)","Declared non-disabled","Chorley and West Lancashire","820","760","29910","27570"
"In post","2021","North West (England)","Declared non-disabled","East Cumbria","740","670","27140","24920"
"In post","2021","North West (England)","Declared non-disabled","East Lancashire","350","310","25910","27570"
"In post","2021","North West (England)","Declared non-disabled","East Merseyside","770","690","27550","27570"
"In post","2021","North West (England)","Declared non-disabled","Greater Manchester North East","840","780","27650","27570"
"In post","2021","North West (England)","Declared non-disabled","Greater Manchester North West","1470","1320","25400","24440"
"In post","2021","North West (England)","Declared non-disabled","Greater Manchester South East","1030","940","25550","22080"
"In post","2021","North West (England)","Declared non-disabled","Greater Manchester South West","3700","3490","31370","27570"
"In post","2021","North West (England)","Declared non-disabled","Lancaster and Wyre","720","670","29190","26780"
"In post","2021","North West (England)","Declared non-disabled","Liverpool","7230","6680","28680","25040"
"In post","2021","North West (England)","Declared non-disabled","Manchester","6070","5760","34540","30200"
"In post","2021","North West (England)","Declared non-disabled","Mid Lancashire","3600","3230","28100","25560"
"In post","2021","North West (England)","Declared non-disabled","Sefton","3980","3630","29980","27280"
"In post","2021","North West (England)","Declared non-disabled","Warrington","1370","1290","32270","29180"
"In post","2021","North West (England)","Declared non-disabled","West Cumbria","940","860","28020","25100"
"In post","2021","North West (England)","Declared non-disabled","Wirral","1460","1260","26390","27130"
"In post","2021","North West (England)","Undeclared","Blackburn with Darwen","30","30","[c]","[c]"
"In post","2021","North West (England)","Undeclared","Blackpool","260","240","28490","27570"
"In post","2021","North West (England)","Undeclared","Cheshire East","60","60","31280","31650"
"In post","2021","North West (England)","Undeclared","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Undeclared","Chorley and West Lancashire","190","170","30800","31650"
"In post","2021","North West (England)","Undeclared","East Cumbria","40","40","[c]","[c]"
"In post","2021","North West (England)","Undeclared","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Undeclared","East Merseyside","40","30","[c]","[c]"
"In post","2021","North West (England)","Undeclared","Greater Manchester North East","130","120","28910","27570"
"In post","2021","North West (England)","Undeclared","Greater Manchester North West","150","140","26630","26320"
"In post","2021","North West (England)","Undeclared","Greater Manchester South East","100","90","25430","21750"
"In post","2021","North West (England)","Undeclared","Greater Manchester South West","290","270","30950","27570"
"In post","2021","North West (England)","Undeclared","Lancaster and Wyre","100","90","29240","27630"
"In post","2021","North West (England)","Undeclared","Liverpool","510","470","28970","26560"
"In post","2021","North West (England)","Undeclared","Manchester","530","490","32620","31530"
"In post","2021","North West (England)","Undeclared","Mid Lancashire","400","370","27710","25560"
"In post","2021","North West (England)","Undeclared","Sefton","250","220","32280","27570"
"In post","2021","North West (England)","Undeclared","Warrington","190","180","31000","31650"
"In post","2021","North West (England)","Undeclared","West Cumbria","70","60","30110","27570"
"In post","2021","North West (England)","Undeclared","Wirral","70","60","28340","27570"
"In post","2021","North West (England)","Unknown","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Blackpool","190","180","30840","27570"
"In post","2021","North West (England)","Unknown","Cheshire East","60","60","25340","23970"
"In post","2021","North West (England)","Unknown","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","Chorley and West Lancashire","190","190","28340","25790"
"In post","2021","North West (England)","Unknown","East Cumbria","50","50","32340","30600"
"In post","2021","North West (England)","Unknown","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Unknown","East Merseyside","60","60","28990","27570"
"In post","2021","North West (England)","Unknown","Greater Manchester North East","70","70","25190","27130"
"In post","2021","North West (England)","Unknown","Greater Manchester North West","80","80","23990","24440"
"In post","2021","North West (England)","Unknown","Greater Manchester South East","80","70","26940","26350"
"In post","2021","North West (England)","Unknown","Greater Manchester South West","1590","1510","28620","25560"
"In post","2021","North West (England)","Unknown","Lancaster and Wyre","110","110","24860","26510"
"In post","2021","North West (England)","Unknown","Liverpool","1410","1330","31610","25560"
"In post","2021","North West (England)","Unknown","Manchester","1440","1390","32060","29250"
"In post","2021","North West (England)","Unknown","Mid Lancashire","830","750","25410","22350"
"In post","2021","North West (England)","Unknown","Sefton","1190","1080","25490","21440"
"In post","2021","North West (England)","Unknown","Warrington","900","880","33910","32770"
"In post","2021","North West (England)","Unknown","West Cumbria","50","50","32150","27780"
"In post","2021","North West (England)","Unknown","Wirral","230","220","26360","22350"
"In post","2021","Northern Ireland","Declared disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Belfast","240","220","28350","25560"
"In post","2021","Northern Ireland","Declared disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Lisburn and Castlereagh","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared non-disabled","Antrim and Newtownabbey","130","130","25420","20310"
"In post","2021","Northern Ireland","Declared non-disabled","Ards and North Down","140","130","27100","21590"
"In post","2021","Northern Ireland","Declared non-disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared non-disabled","Belfast","1650","1540","29760","25560"
"In post","2021","Northern Ireland","Declared non-disabled","Causeway Coast and Glens","50","50","[c]","[c]"
"In post","2021","Northern Ireland","Declared non-disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared non-disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared non-disabled","Lisburn and Castlereagh","280","260","27700","24890"
"In post","2021","Northern Ireland","Declared non-disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Declared non-disabled","Newry, Mourne and Down","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Belfast","150","130","30500","28130"
"In post","2021","Northern Ireland","Undeclared","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Antrim and Newtownabbey","40","30","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Ards and North Down","50","50","23610","20310"
"In post","2021","Northern Ireland","Unknown","Belfast","780","740","26930","24880"
"In post","2021","Northern Ireland","Unknown","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Lisburn and Castlereagh","60","60","28390","23390"
"In post","2021","Northern Ireland","Unknown","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Declared disabled","Overseas","220","220","48160","45750"
"In post","2021","Overseas","Declared non-disabled","Overseas","2570","2560","49430","47490"
"In post","2021","Overseas","Undeclared","Overseas","160","160","47110","41800"
"In post","2021","Overseas","Unknown","Overseas","800","790","52670","51870"
"In post","2021","Scotland","Declared disabled","Aberdeen City and Aberdeenshire","130","130","33610","27570"
"In post","2021","Scotland","Declared disabled","Angus and Dundee City","260","240","24050","21010"
"In post","2021","Scotland","Declared disabled","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Declared disabled","City of Edinburgh","1100","1040","36250","31810"
"In post","2021","Scotland","Declared disabled","Clackmannanshire and Fife","170","160","30170","27570"
"In post","2021","Scotland","Declared disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Declared disabled","East Ayrshire and North Ayrshire mainland","80","70","25200","27150"
