"Status","Year","Profession_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Scotland","80","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","South West (England)","120","120","40240","38240"
"In post","2021","Commercial","The National Archives","London","40","40","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","London","30","30","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","London","30","30","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","South West (England)","40","40","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","130","130","48060","45270"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","London","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","London","130","130","42420","37760"
"In post","2021","Communications","Department for Education (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","North West (England)","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","London","130","130","44540","39910"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","30","30","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","London","140","130","43380","38540"
"In post","2021","Communications","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","London","110","110","47780","43360"
"In post","2021","Communications","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","London","160","160","41300","32790"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Wales","70","60","29810","26740"
"In post","2021","Communications","Driver and Vehicle Standards Agency","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","London","130","130","48800","45840"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
