"Status","Year","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Social Security Scotland","40","40","[c]","[c]"
"Leaver CS","2022","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Submarine Delivery Agency","140","140","38120","37670"
"Leaver CS","2022","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The Insolvency Service","100","90","32190","26000"
"Leaver CS","2022","The National Archives","70","60","31730","28460"
"Leaver CS","2022","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","50","50","[c]","[c]"
"Leaver CS","2022","UK Health Security Agency","780","720","40590","36330"
"Leaver CS","2022","UK Hydrographic Office","70","60","36890","34170"
"Leaver CS","2022","UK Space Agency","90","60","[c]","[c]"
"Leaver CS","2022","UK Statistics Authority","580","490","28270","23630"
"Leaver CS","2022","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Valuation Office Agency","270","230","29190","24500"
"Leaver CS","2022","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","50","50","[c]","[c]"
"Leaver CS","2022","Welsh Government (excl. agencies)","250","210","42770","37410"
"Leaver CS","2022","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"Leaver Dept.","2021","Animal and Plant Health Agency","50","50","23980","21050"
"Leaver Dept.","2021","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","1390","1380","39830","32320"
"Leaver Dept.","2021","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","70","70","37150","30610"
"Leaver Dept.","2021","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","380","380","33990","31950"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","60","60","39620","37320"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","460","420","46510","40220"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","200","200","46890","49600"
"Leaver Dept.","2021","Department for Education (excl. agencies)","210","210","43030","38770"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","420","410","41560","36970"
"Leaver Dept.","2021","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","270","270","43340","38540"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","200","200","45220","42460"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","1350","1300","30090","27570"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","170","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","100","100","26970","21590"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","60","60","30810","26700"
"Leaver Dept.","2021","Education and Skills Funding Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","40","40","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","90","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","230","70","51930","52190"
"Leaver Dept.","2021","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","90","90","45990","50570"
"Leaver Dept.","2021","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","40","40","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","370","360","26070","21320"
"Leaver Dept.","2021","HM Prison and Probation Service","400","380","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","1620","1570","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","120","120","[c]","[c]"
"Leaver Dept.","2021","Home Office (incl. agencies)","1070","1020","35760","29860"
"Leaver Dept.","2021","Insolvency Service","50","50","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","390","380","39490","36100"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","360","350","40960","34650"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","410","400","42230","36800"
"Leaver Dept.","2021","National Crime Agency","60","60","46620","43610"
"Leaver Dept.","2021","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","30","30","[c]","[c]"
"Leaver Dept.","2021","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","50","50","40420","32010"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","60","60","44550","37240"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","90","90","22300","21170"
"Leaver Dept.","2021","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","40","40","[c]","[c]"
"Leaver Dept.","2021","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Rural Payments Agency","60","60","29230","25190"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Space Agency","40","40","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","160","150","37070","33250"
"Leaver Dept.","2021","Valuation Office Agency","80","70","34200","26500"
"Leaver Dept.","2021","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","50","50","[c]","[c]"
"Leaver Dept.","2022","Animal and Plant Health Agency","50","40","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office (excl. agencies)","1820","1800","42010","34550"
"Leaver Dept.","2022","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","30","30","[c]","[c]"
"Leaver Dept.","2022","Companies House","40","40","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","40","40","[c]","[c]"
"Leaver Dept.","2022","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Crown Commercial Service","40","40","[c]","[c]"
"Leaver Dept.","2022","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Crown Prosecution Service","110","110","33720","26970"
"Leaver Dept.","2022","Defence Equipment and Support","440","430","34500","32120"
"Leaver Dept.","2022","Defence Science and Technology Laboratory","70","70","39730","38070"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","580","560","45850","40050"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","210","210","44650","38020"
"Leaver Dept.","2022","Department for Education (excl. agencies)","430","420","43110","39780"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","380","370","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","220","220","[c]","[c]"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","310","310","41560","36340"
"Leaver Dept.","2022","Department for Transport (excl. agencies)","310","310","43530","42470"
"Leaver Dept.","2022","Department for Work and Pensions (excl. agencies)","3040","2950","29770","27570"
"Leaver Dept.","2022","Department of Health and Social Care (excl. agencies)","1310","30","[c]","[c]"
"Leaver Dept.","2022","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Driver and Vehicle Licensing Agency","150","150","28950","26470"
"Leaver Dept.","2022","Driver and Vehicle Standards Agency","140","140","30790","27570"
"Leaver Dept.","2022","Education and Skills Funding Agency","60","60","37130","36500"
"Leaver Dept.","2022","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Food Standards Agency","70","70","41180","39390"
"Leaver Dept.","2022","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office (excl. agencies)","420","110","43970","39630"
"Leaver Dept.","2022","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Government Legal Department","100","90","48220","51250"
"Leaver Dept.","2022","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Health and Safety Executive","70","60","37170","31990"
"Leaver Dept.","2022","HM Courts and Tribunals Service","530","520","26510","22680"
"Leaver Dept.","2022","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Prison and Probation Service","570","560","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs (excl. agencies)","1340","1300","[c]","[c]"
"Leaver Dept.","2022","HM Treasury (excl. agencies)","190","190","[c]","[c]"
"Leaver Dept.","2022","Home Office","1400","1360","35550","28990"
"Leaver Dept.","2022","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Intellectual Property Office","30","30","[c]","[c]"
"Leaver Dept.","2022","Legal Aid Agency","50","50","[c]","[c]"
"Leaver Dept.","2022","Maritime and Coastguard Agency","50","50","[c]","[c]"
"Leaver Dept.","2022","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence (excl. agencies)","580","570","37450","33300"
"Leaver Dept.","2022","Ministry of Justice (excl. agencies)","440","430","40690","36800"
"Leaver Dept.","2022","National Crime Agency","110","100","42890","39840"
"Leaver Dept.","2022","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","50","50","41450","35920"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","100","100","37050","31720"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Public Guardian","140","130","24200","21170"
"Leaver Dept.","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Planning Inspectorate","60","60","39920","34860"
"Leaver Dept.","2022","Public Health England","6490","5950","43000","37470"
"Leaver Dept.","2022","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Rural Payments Agency","80","80","27120","24920"
"Leaver Dept.","2022","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2022","Serious Fraud Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The Insolvency Service","90","90","30230","24780"
"Leaver Dept.","2022","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Health Security Agency","40","40","[c]","[c]"
"Leaver Dept.","2022","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","230","230","35440","30810"
"Leaver Dept.","2022","Valuation Office Agency","60","60","31530","25500"
"Leaver Dept.","2022","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government (excl. agencies)","50","50","39940","36300"
"Leaver Dept.","2022","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Advisory, Conciliation and Arbitration Service","160","160","26270","24250"
"New entrant CS","2021","Animal and Plant Health Agency","490","470","25110","24370"
"New entrant CS","2021","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office (excl. agencies)","1740","1720","39710","28000"
"New entrant CS","2021","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","60","60","34470","29160"
"New entrant CS","2021","Companies House","70","70","34700","34170"
"New entrant CS","2021","Competition and Markets Authority","80","80","49340","53530"
"New entrant CS","2021","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Crown Commercial Service","170","160","35370","32000"
"New entrant CS","2021","Crown Office and Procurator Fiscal Service","150","140","25090","20760"
"New entrant CS","2021","Crown Prosecution Service","730","710","33410","26970"
"New entrant CS","2021","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Defence Equipment and Support","730","710","32060","29000"
"New entrant CS","2021","Defence Science and Technology Laboratory","220","220","32260","28650"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","730","720","38040","33570"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","400","400","39110","34020"
"New entrant CS","2021","Department for Education (excl. agencies)","620","610","35750","32870"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","1030","1010","36830","32560"
"New entrant CS","2021","Department for International Trade","390","390","34570","31800"
"New entrant CS","2021","Department for Transport (excl. agencies)","560","560","36850","34710"
"New entrant CS","2021","Department for Work and Pensions (excl. agencies)","16980","16660","26790","27570"
"New entrant CS","2021","Department of Health and Social Care (excl. agencies)","1110","1090","39780","32790"
"New entrant CS","2021","Disclosure Scotland","50","40","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","340","310","23790","21590"
"New entrant CS","2021","Driver and Vehicle Standards Agency","270","270","28680","26130"
"New entrant CS","2021","Education and Skills Funding Agency","100","100","35750","36280"
"New entrant CS","2021","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","100","90","34650","32350"
"New entrant CS","2021","Food Standards Scotland","50","50","31300","30650"
"New entrant CS","2021","Forestry and Land Scotland","100","90","27350","25140"
"New entrant CS","2021","Government Actuary's Department","40","40","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","40","40","[c]","[c]"
"New entrant CS","2021","Government Legal Department","260","250","41990","43920"
"New entrant CS","2021","Government Property Agency","50","40","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","190","190","32160","26370"
"New entrant CS","2021","HM Courts and Tribunals Service","2190","2130","21970","19930"
"New entrant CS","2021","HM Land Registry","700","680","26170","22350"
"New entrant CS","2021","HM Prison and Probation Service","5750","5550","23930","22850"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","5140","5030","24760","20140"
"New entrant CS","2021","HM Treasury (excl. agencies)","400","400","32480","28500"
"New entrant CS","2021","Home Office (incl. agencies)","2170","2130","31740","25770"
"New entrant CS","2021","Insolvency Service","210","200","24470","20880"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","40","40","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","60","60","21890","19930"
"New entrant CS","2021","Maritime and Coastguard Agency","210","200","33190","30730"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","180","180","39810","34150"
"New entrant CS","2021","Met Office","130","130","33550","30930"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","3010","2920","29280","26350"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","330","320","38900","33210"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","730","720","38040","34050"
"New entrant CS","2021","National Crime Agency","1050","1040","34310","32770"
"New entrant CS","2021","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","National Records of Scotland","40","40","[c]","[c]"
"New entrant CS","2021","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Office for Standards in Education, Children's Services and Skills","170","170","49340","46360"
"New entrant CS","2021","Office of Gas and Electricity Markets","310","310","34450","26750"
"New entrant CS","2021","Office of Qualifications and Examinations Regulation","40","40","[c]","[c]"
"New entrant CS","2021","Office of Rail and Road","40","30","[c]","[c]"
"New entrant CS","2021","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning Inspectorate","100","90","30280","26050"
"New entrant CS","2021","Public Health England","2020","1750","35090","31370"
"New entrant CS","2021","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Rural Payments Agency","60","60","24100","21050"
"New entrant CS","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Courts and Tribunals Service","100","100","23200","20850"
"New entrant CS","2021","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Government (excl. agencies)","790","770","37270","30650"
"New entrant CS","2021","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","280","270","22010","20810"
"New entrant CS","2021","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","30","30","[c]","[c]"
"New entrant CS","2021","Social Security Scotland","390","380","25920","20060"
"New entrant CS","2021","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","200","190","35750","32000"
"New entrant CS","2021","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","60","60","32670","31960"
"New entrant CS","2021","Transport Scotland","30","30","[c]","[c]"
"New entrant CS","2021","UK Export Finance","90","90","45700","44080"
"New entrant CS","2021","UK Hydrographic Office","70","70","28380","20820"
"New entrant CS","2021","UK Intellectual Property Office","180","180","28520","23320"
"New entrant CS","2021","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","1060","1020","31690","29540"
"New entrant CS","2021","Valuation Office Agency","260","260","25390","24500"
"New entrant CS","2021","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","40","40","[c]","[c]"
"New entrant CS","2021","Welsh Government (excl. agencies)","200","180","27640","20500"
"New entrant CS","2021","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","60","60","26820","24250"
"New entrant CS","2022","Animal and Plant Health Agency","490","480","26060","24920"
"New entrant CS","2022","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Cabinet Office (excl. agencies)","1760","1740","38650","28000"
"New entrant CS","2022","Centre for Environment, Fisheries and Aquaculture Science","90","90","26850","25460"
"New entrant CS","2022","Charity Commission","90","80","28330","24440"
"New entrant CS","2022","Companies House","170","160","28120","20100"
"New entrant CS","2022","Competition and Markets Authority","140","130","45260","36000"
"New entrant CS","2022","Criminal Injuries Compensation Authority","40","40","[c]","[c]"
"New entrant CS","2022","Crown Commercial Service","130","120","32820","30420"
"New entrant CS","2022","Crown Office and Procurator Fiscal Service","420","410","26460","21050"
"New entrant CS","2022","Crown Prosecution Service","680","670","31460","25480"
"New entrant CS","2022","Defence Equipment and Support","980","960","30680","27540"
"New entrant CS","2022","Defence Science and Technology Laboratory","650","630","30280","27010"
"New entrant CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","690","680","37660","33570"
"New entrant CS","2022","Department for Digital, Culture, Media and Sport","400","390","35500","34020"
"New entrant CS","2022","Department for Education (excl. agencies)","810","790","34620","30000"
"New entrant CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","1810","1770","37730","34710"
"New entrant CS","2022","Department for International Trade","440","430","36620","31800"
"New entrant CS","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","610","600","35600","33210"
"New entrant CS","2022","Department for Transport (excl. agencies)","730","730","42180","38650"
"New entrant CS","2022","Department for Work and Pensions (excl. agencies)","10260","10030","26230","27570"
"New entrant CS","2022","Department of Health and Social Care (excl. agencies)","950","620","36950","32790"
"New entrant CS","2022","Disclosure Scotland","60","60","24240","21050"
"New entrant CS","2022","Driver and Vehicle Licensing Agency","670","620","21850","21840"
"New entrant CS","2022","Driver and Vehicle Standards Agency","640","630","26370","26130"
"New entrant CS","2022","Education and Skills Funding Agency","180","180","33920","29360"
"New entrant CS","2022","Education Scotland","50","50","49830","49860"
"New entrant CS","2022","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Food Standards Agency","200","200","33440","30350"
"New entrant CS","2022","Food Standards Scotland","80","80","33020","31540"
"New entrant CS","2022","Government Actuary's Department","40","40","[c]","[c]"
"New entrant CS","2022","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Legal Department","320","310","40180","43920"
"New entrant CS","2022","Government Property Agency","80","80","46860","44000"
"New entrant CS","2022","Health and Safety Executive","300","300","34110","29010"
"New entrant CS","2022","HM Courts and Tribunals Service","1900","1840","24230","20970"
"New entrant CS","2022","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","510","500","27130","22600"
"New entrant CS","2022","HM Prison and Probation Service","15200","14440","26970","24800"
"New entrant CS","2022","HM Revenue and Customs (excl. agencies)","8010","7820","27040","26590"
"New entrant CS","2022","HM Treasury (excl. agencies)","300","290","32920","28500"
"New entrant CS","2022","Home Office","2570","2450","29780","24880"
"New entrant CS","2022","Institute for Apprenticeships and Technical Education","60","60","41420","36570"
"New entrant CS","2022","Intellectual Property Office","230","220","29050","24030"
"New entrant CS","2022","Legal Aid Agency","90","80","22610","20970"
"New entrant CS","2022","Maritime and Coastguard Agency","190","180","31410","26840"
"New entrant CS","2022","Medicines and Healthcare Products Regulatory Agency","50","50","[c]","[c]"
"New entrant CS","2022","Met Office","230","220","27900","24360"
"New entrant CS","2022","Ministry of Defence (excl. agencies)","2850","2760","30290","26350"
"New entrant CS","2022","Ministry of Justice (excl. agencies)","740","730","35910","34260"
