"Status","Year","Region_ITL2","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","20-29","240","230","28700","27570"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","30-39","360","340","33480","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","40-49","490","460","33540","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","50-59","680","620","31950","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","60-64","210","180","31960","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","65+","70","50","29860","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","30-39","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","40-49","60","60","45330","37170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","50-59","70","70","43200","41160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","40-49","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","50-59","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","50-59","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","30-39","50","50","37710","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","40-49","80","80","46160","44970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","50-59","70","70","44760","40670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","20-29","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","30-39","70","60","36550","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","40-49","70","70","39970","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","50-59","100","100","42550","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","40-49","50","50","25930","21050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","50-59","60","50","31940","26520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","40-49","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","50-59","50","50","43130","40190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","20-29","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","30-39","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","40-49","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","50-59","60","50","46330","45100"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","60-64","30","20","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","20-29","770","760","27420","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","30-39","770","730","31010","30810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","40-49","770","730","34050","32040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","50-59","1050","1000","33630","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","60-64","270","230","32400","27550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","65+","110","80","29480","25560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","20-29","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","30-39","80","80","37270","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","40-49","120","110","40170","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","50-59","190","190","41320","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","60-64","50","50","39420","37640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","20-29","50","50","25580","26550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","30-39","60","60","34430","33510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","40-49","70","70","34610","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","50-59","110","100","38260","36050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","60-64","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","20-29","200","200","27580","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","30-39","250","250","34420","33410"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","40-49","220","220","36740","41070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","50-59","300","290","36930","39070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","60-64","80","70","33190","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","20-29","240","240","26250","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","30-39","400","380","29620","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","40-49","500","470","29870","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","50-59","790","750","29230","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","60-64","290","260","27910","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","65+","130","110","29010","25110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","30-39","30","30","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","40-49","50","50","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","50-59","40","40","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","20-29","450","440","27200","26300"
"In post","2021","Cheshire","No function","30-39","580","560","32070","31580"
"In post","2021","Cheshire","No function","40-49","540","520","34210","32990"
"In post","2021","Cheshire","No function","50-59","670","640","34510","31920"
"In post","2021","Cheshire","No function","60-64","150","120","31160","30800"
"In post","2021","Cheshire","No function","65+","30","20","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","20-29","130","130","25380","27570"
"In post","2021","Cheshire","Unknown","30-39","170","150","25440","27570"
"In post","2021","Cheshire","Unknown","40-49","200","180","25820","27570"
"In post","2021","Cheshire","Unknown","50-59","370","330","25650","27570"
"In post","2021","Cheshire","Unknown","60-64","90","80","24880","26840"
"In post","2021","Cheshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","30-39","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","40-49","60","60","31560","29180"
"In post","2021","Cornwall and Isles of Scilly","No function","50-59","110","100","29110","26750"
"In post","2021","Cornwall and Isles of Scilly","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","60-64","[c]","[c]","[c]","[c]"
