"Status","Year","Ethnicity","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","North West (England)","SEO/HEO","490","470","34370","31990"
"In post","2021","Asian","North West (England)","Unknown","70","60","28330","27100"
"In post","2021","Asian","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Scotland","AA/AO","190","170","21390","21010"
"In post","2021","Asian","Scotland","EO","130","130","26990","27570"
"In post","2021","Asian","Scotland","G6/G7","50","50","[c]","[c]"
"In post","2021","Asian","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","SEO/HEO","140","130","41330","38160"
"In post","2021","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","AA/AO","470","420","23080","21800"
"In post","2021","Asian","South East (England)","EO","530","490","28520","28350"
"In post","2021","Asian","South East (England)","G6/G7","80","70","58550","57230"
"In post","2021","Asian","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","SEO/HEO","260","250","36970","36330"
"In post","2021","Asian","South East (England)","Unknown","40","30","[c]","[c]"
"In post","2021","Asian","South West (England)","AA/AO","120","110","21260","21010"
"In post","2021","Asian","South West (England)","EO","180","170","25650","26670"
"In post","2021","Asian","South West (England)","G6/G7","90","80","56750","54540"
"In post","2021","Asian","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","SEO/HEO","340","320","35700","34530"
"In post","2021","Asian","South West (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","60","50","23580","25110"
"In post","2021","Asian","Unknown","EO","70","70","29010","27570"
"In post","2021","Asian","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","AA/AO","170","150","20780","20640"
"In post","2021","Asian","Wales","EO","120","110","26570","26240"
"In post","2021","Asian","Wales","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","SEO/HEO","90","90","36080","34750"
"In post","2021","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","AA/AO","1450","1300","20720","20180"
"In post","2021","Asian","West Midlands (England)","EO","1470","1380","26490","27570"
"In post","2021","Asian","West Midlands (England)","G6/G7","210","200","54320","52580"
"In post","2021","Asian","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","SEO/HEO","790","770","34750","32300"
"In post","2021","Asian","West Midlands (England)","Unknown","130","120","28570","28200"
"In post","2021","Asian","Yorkshire and The Humber","AA/AO","790","690","20870","21010"
"In post","2021","Asian","Yorkshire and The Humber","EO","840","780","26480","27570"
"In post","2021","Asian","Yorkshire and The Humber","G6/G7","120","120","54330","52580"
"In post","2021","Asian","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","SEO/HEO","490","480","34070","31870"
"In post","2021","Asian","Yorkshire and The Humber","Unknown","60","50","29350","28200"
"In post","2021","Black","East Midlands (England)","AA/AO","210","190","21610","21010"
"In post","2021","Black","East Midlands (England)","EO","160","150","26820","27570"
"In post","2021","Black","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","SEO/HEO","80","70","35140","32730"
"In post","2021","Black","East Midlands (England)","Unknown","50","40","[c]","[c]"
"In post","2021","Black","East of England","AA/AO","150","140","23650","22750"
"In post","2021","Black","East of England","EO","270","260","28810","29290"
"In post","2021","Black","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","SEO/HEO","110","100","36120","34800"
"In post","2021","Black","East of England","Unknown","30","30","[c]","[c]"
"In post","2021","Black","London","AA/AO","2290","2150","25710","25110"
"In post","2021","Black","London","EO","3540","3390","30170","31060"
"In post","2021","Black","London","G6/G7","970","960","58870","57460"
"In post","2021","Black","London","SCS","60","60","90840","80230"
"In post","2021","Black","London","SEO/HEO","2650","2620","38110","36800"
"In post","2021","Black","London","Unknown","450","440","32720","30670"
"In post","2021","Black","North East (England)","AA/AO","60","60","20860","21010"
"In post","2021","Black","North East (England)","EO","40","40","[c]","[c]"
"In post","2021","Black","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","AA/AO","240","220","20990","21010"
"In post","2021","Black","North West (England)","EO","250","240","26650","27570"
"In post","2021","Black","North West (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","SEO/HEO","160","150","35010","33300"
"In post","2021","Black","North West (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Black","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","AA/AO","80","70","21090","20140"
"In post","2021","Black","Scotland","EO","70","60","27680","27570"
"In post","2021","Black","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","SEO/HEO","70","70","38650","33460"
"In post","2021","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","AA/AO","300","280","25310","23580"
"In post","2021","Black","South East (England)","EO","320","300","28540","28670"
"In post","2021","Black","South East (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","SEO/HEO","140","140","37410","36970"
"In post","2021","Black","South East (England)","Unknown","50","40","[c]","[c]"
"In post","2021","Black","South West (England)","AA/AO","80","70","21630","21010"
"In post","2021","Black","South West (England)","EO","120","110","25740","27130"
"In post","2021","Black","South West (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","SEO/HEO","270","260","35240","33950"
"In post","2021","Black","South West (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales","AA/AO","70","60","21010","20140"
"In post","2021","Black","Wales","EO","60","60","26800","26470"
"In post","2021","Black","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","West Midlands (England)","AA/AO","420","390","21260","20880"
"In post","2021","Black","West Midlands (England)","EO","380","360","26660","27570"
"In post","2021","Black","West Midlands (England)","G6/G7","50","50","[c]","[c]"
"In post","2021","Black","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","West Midlands (England)","SEO/HEO","210","210","35410","32740"
"In post","2021","Black","West Midlands (England)","Unknown","130","120","28600","28200"
"In post","2021","Black","Yorkshire and The Humber","AA/AO","170","150","21710","21010"
"In post","2021","Black","Yorkshire and The Humber","EO","180","170","26740","27570"
"In post","2021","Black","Yorkshire and The Humber","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Yorkshire and The Humber","SEO/HEO","110","110","34590","33860"
"In post","2021","Black","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","AA/AO","50","50","25390","24520"
"In post","2021","Chinese","London","EO","120","120","29560","29500"
"In post","2021","Chinese","London","G6/G7","190","190","59200","57850"
"In post","2021","Chinese","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","SEO/HEO","220","210","38450","37680"
"In post","2021","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North West (England)","AA/AO","50","50","20910","21010"
"In post","2021","Chinese","North West (England)","EO","50","50","25610","25410"
"In post","2021","Chinese","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North West (England)","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Chinese","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","AA/AO","40","40","[c]","[c]"
"In post","2021","Chinese","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East Midlands (England)","AA/AO","120","110","22020","21010"
"In post","2021","Mixed","East Midlands (England)","EO","110","100","26790","27570"
"In post","2021","Mixed","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East Midlands (England)","SEO/HEO","70","60","35920","35790"
"In post","2021","Mixed","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East of England","AA/AO","130","120","23900","22390"
"In post","2021","Mixed","East of England","EO","140","130","28410","27570"
"In post","2021","Mixed","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","East of England","SEO/HEO","90","90","36510","35270"
"In post","2021","Mixed","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","London","AA/AO","430","410","25760","25110"
"In post","2021","Mixed","London","EO","780","750","29690","29970"
"In post","2021","Mixed","London","G6/G7","840","810","58750","57430"
"In post","2021","Mixed","London","SCS","100","100","83580","78630"
"In post","2021","Mixed","London","SEO/HEO","1150","1130","37800","36800"
"In post","2021","Mixed","London","Unknown","100","90","33020","33490"
"In post","2021","Mixed","North East (England)","AA/AO","100","90","22110","21010"
"In post","2021","Mixed","North East (England)","EO","50","40","[c]","[c]"
"In post","2021","Mixed","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","North East (England)","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Mixed","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","North West (England)","AA/AO","260","240","21420","21010"
"In post","2021","Mixed","North West (England)","EO","250","230","26520","27130"
"In post","2021","Mixed","North West (England)","G6/G7","60","60","57430","53580"
"In post","2021","Mixed","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","North West (England)","SEO/HEO","140","130","35380","34620"
"In post","2021","Mixed","North West (England)","Unknown","50","50","30530","30440"
"In post","2021","Mixed","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Overseas","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Overseas","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland","AA/AO","80","70","21730","21010"
"In post","2021","Mixed","Scotland","EO","60","60","27380","27570"
"In post","2021","Mixed","Scotland","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Scotland","SEO/HEO","80","80","37570","35110"
"In post","2021","Mixed","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","South East (England)","AA/AO","230","210","24100","21710"
"In post","2021","Mixed","South East (England)","EO","200","190","28630","27570"
"In post","2021","Mixed","South East (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","South East (England)","SEO/HEO","160","160","36990","35070"
"In post","2021","Mixed","South East (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Mixed","South West (England)","AA/AO","120","110","22460","21010"
"In post","2021","Mixed","South West (England)","EO","150","140","26380","27540"
"In post","2021","Mixed","South West (England)","G6/G7","80","70","55350","54270"
"In post","2021","Mixed","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","South West (England)","SEO/HEO","230","220","35200","34290"
"In post","2021","Mixed","South West (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales","AA/AO","120","100","21320","21010"
"In post","2021","Mixed","Wales","EO","110","110","26830","27150"
"In post","2021","Mixed","Wales","G6/G7","30","30","[c]","[c]"
"In post","2021","Mixed","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Wales","SEO/HEO","90","90","36030","35800"
"In post","2021","Mixed","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","West Midlands (England)","AA/AO","190","170","21780","21010"
"In post","2021","Mixed","West Midlands (England)","EO","180","170","27290","27570"
"In post","2021","Mixed","West Midlands (England)","G6/G7","40","40","[c]","[c]"
"In post","2021","Mixed","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","West Midlands (England)","SEO/HEO","90","80","34990","33150"
"In post","2021","Mixed","West Midlands (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Mixed","Yorkshire and The Humber","AA/AO","150","140","21950","21010"
"In post","2021","Mixed","Yorkshire and The Humber","EO","160","150","26900","27570"
"In post","2021","Mixed","Yorkshire and The Humber","G6/G7","60","60","55600","52150"
"In post","2021","Mixed","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Yorkshire and The Humber","SEO/HEO","110","100","34930","33300"
"In post","2021","Mixed","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East of England","AA/AO","40","30","[c]","[c]"
"In post","2021","Other ethnicity","East of England","EO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","London","AA/AO","180","160","25440","25110"
"In post","2021","Other ethnicity","London","EO","340","320","29850","30270"
"In post","2021","Other ethnicity","London","G6/G7","310","290","60940","59160"
"In post","2021","Other ethnicity","London","SCS","50","50","88470","83880"
"In post","2021","Other ethnicity","London","SEO/HEO","380","370","38310","37420"
"In post","2021","Other ethnicity","London","Unknown","30","30","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North West (England)","AA/AO","50","50","21830","21010"
"In post","2021","Other ethnicity","North West (England)","EO","60","60","26670","27470"
"In post","2021","Other ethnicity","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","North West (England)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Other ethnicity","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
