"Status","Year","Sex","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Crown Office and Procurator Fiscal Service","70","60","33900","30380"
"In post","2021","Female","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","630","550","24100","21010"
"In post","2021","Female","Angus and Dundee City","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","150","130","23880","21440"
"In post","2021","Female","Angus and Dundee City","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Scottish Courts and Tribunals Service","60","50","25150","22820"
"In post","2021","Female","Angus and Dundee City","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Social Security Scotland","170","160","28330","26160"
"In post","2021","Female","Antrim and Newtownabbey","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Ministry of Defence (excl. agencies)","60","50","26200","21670"
"In post","2021","Female","Ards and North Down","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Department for Work and Pensions (excl. agencies)","290","250","30770","31060"
"In post","2021","Female","Barking & Dagenham and Havering","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","HM Courts and Tribunals Service","60","50","24830","22450"
"In post","2021","Female","Barking & Dagenham and Havering","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Department for Work and Pensions (excl. agencies)","220","200","30620","31060"
"In post","2021","Female","Barnet","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Female","Barnet","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Female","Barnet","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","Barnet","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Public Health England","730","680","41440","35530"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Department for Work and Pensions (excl. agencies)","1030","830","25040","27570"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","HM Courts and Tribunals Service","70","60","21750","20100"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","HM Prison and Probation Service","670","620","27560","25300"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Equipment and Support","3000","2800","35050","32640"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions (excl. agencies)","210","180","27250","27570"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Courts and Tribunals Service","70","60","24630","20100"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Prison and Probation Service","390","340","29860","27150"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office (incl. agencies)","90","80","25560","24890"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence (excl. agencies)","880","820","36200","33300"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","230","210","33520","32770"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Submarine Delivery Agency","450","430","38530","35790"
"In post","2021","Female","Bedford","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Department for Work and Pensions (excl. agencies)","120","100","27940","27570"
"In post","2021","Female","Bedford","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Female","Bedford","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","HM Prison and Probation Service","190","180","28040","28030"
"In post","2021","Female","Bedford","Home Office (incl. agencies)","60","60","28850","26160"
"In post","2021","Female","Bedford","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Food Standards Agency","60","50","38740","37910"
"In post","2021","Female","Belfast","HM Revenue and Customs (excl. agencies)","1020","910","28140","25560"
"In post","2021","Female","Belfast","Home Office (incl. agencies)","220","190","24780","21430"
"In post","2021","Female","Belfast","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","National Crime Agency","60","50","39180","39480"
"In post","2021","Female","Belfast","Northern Ireland Office","50","50","36720","34990"
"In post","2021","Female","Berkshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Crown Prosecution Service","100","90","41740","36240"
"In post","2021","Female","Berkshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","39900","36520"
"In post","2021","Female","Berkshire","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Female","Berkshire","Department for Work and Pensions (excl. agencies)","320","290","29550","29290"
"In post","2021","Female","Berkshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","HM Courts and Tribunals Service","80","70","26100","22450"
"In post","2021","Female","Berkshire","HM Prison and Probation Service","110","110","28750","24800"
"In post","2021","Female","Berkshire","HM Revenue and Customs (excl. agencies)","170","150","33920","31810"
"In post","2021","Female","Berkshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Ministry of Defence (excl. agencies)","240","230","30710","26670"
"In post","2021","Female","Berkshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Female","Berkshire","Rural Payments Agency","90","80","28200","22430"
"In post","2021","Female","Berkshire","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Department for Work and Pensions (excl. agencies)","280","250","31090","31060"
"In post","2021","Female","Bexley and Greenwich","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","HM Courts and Tribunals Service","50","50","24720","23500"
"In post","2021","Female","Bexley and Greenwich","HM Prison and Probation Service","510","490","30660","30110"
"In post","2021","Female","Bexley and Greenwich","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Ministry of Defence (excl. agencies)","50","50","31090","24590"
"In post","2021","Female","Bexley and Greenwich","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Advisory, Conciliation and Arbitration Service","60","50","30520","30950"
"In post","2021","Female","Birmingham","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Crown Prosecution Service","330","300","38170","32290"
"In post","2021","Female","Birmingham","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","80","39300","36740"
"In post","2021","Female","Birmingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Department for Transport (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Female","Birmingham","Department for Work and Pensions (excl. agencies)","1360","1160","26740","27570"
"In post","2021","Female","Birmingham","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Food Standards Agency","40","30","[c]","[c]"
"In post","2021","Female","Birmingham","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Female","Birmingham","HM Courts and Tribunals Service","560","500","22610","20650"
"In post","2021","Female","Birmingham","HM Prison and Probation Service","600","550","29250","26240"
"In post","2021","Female","Birmingham","HM Revenue and Customs (excl. agencies)","1420","1290","29850","25560"
"In post","2021","Female","Birmingham","Home Office (incl. agencies)","70","60","28460","25580"
"In post","2021","Female","Birmingham","Insolvency Service","230","220","30340","26290"
"In post","2021","Female","Birmingham","Legal Aid Agency","80","70","24550","21170"
"In post","2021","Female","Birmingham","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Ministry of Defence (excl. agencies)","140","130","33550","33150"
"In post","2021","Female","Birmingham","Ministry of Housing, Communities and Local Government (excl. agencies)","70","70","40190","36340"
"In post","2021","Female","Birmingham","Ministry of Justice (excl. agencies)","60","60","40740","36830"
"In post","2021","Female","Birmingham","National Crime Agency","180","170","34930","34140"
"In post","2021","Female","Birmingham","Office for Standards in Education, Children's Services and Skills","100","100","52200","51360"
"In post","2021","Female","Birmingham","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Office of the Public Guardian","540","490","22300","19930"
"In post","2021","Female","Birmingham","Public Health England","340","300","40330","34530"
"In post","2021","Female","Birmingham","Valuation Office Agency","80","70","31460","27570"
"In post","2021","Female","Birmingham","Water Services Regulation Authority","90","90","49210","43240"
"In post","2021","Female","Blackburn with Darwen","Department for Work and Pensions (excl. agencies)","210","180","26560","27570"
"In post","2021","Female","Blackburn with Darwen","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Department for Work and Pensions (excl. agencies)","3040","2680","28040","27570"
"In post","2021","Female","Blackpool","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Female","Blackpool","HM Prison and Probation Service","50","50","28600","28200"
"In post","2021","Female","Blackpool","Insolvency Service","40","30","[c]","[c]"
"In post","2021","Female","Blackpool","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Department for Work and Pensions (excl. agencies)","190","150","27290","27570"
"In post","2021","Female","Bournemouth and Poole","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","HM Courts and Tribunals Service","80","70","23380","20100"
"In post","2021","Female","Bournemouth and Poole","HM Prison and Probation Service","80","70","30720","28200"
"In post","2021","Female","Bournemouth and Poole","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Department for Work and Pensions (excl. agencies)","560","470","25550","27570"
"In post","2021","Female","Bradford","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","HM Courts and Tribunals Service","160","130","21810","20100"
"In post","2021","Female","Bradford","HM Prison and Probation Service","90","80","30010","28200"
"In post","2021","Female","Bradford","HM Revenue and Customs (excl. agencies)","1050","880","28090","25560"
"In post","2021","Female","Bradford","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","HM Prison and Probation Service","170","160","27200","24440"
"In post","2021","Female","Breckland and South Norfolk","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Department for Work and Pensions (excl. agencies)","170","150","30230","31060"
"In post","2021","Female","Brent","HM Courts and Tribunals Service","110","90","27250","23500"
"In post","2021","Female","Brent","HM Prison and Probation Service","50","50","32110","28690"
"In post","2021","Female","Brent","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Valuation Office Agency","70","60","34980","29950"
"In post","2021","Female","Bridgend and Neath Port Talbot","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Department for Work and Pensions (excl. agencies)","330","280","25950","27570"
"In post","2021","Female","Bridgend and Neath Port Talbot","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","HM Courts and Tribunals Service","80","70","21440","20100"
"In post","2021","Female","Bridgend and Neath Port Talbot","HM Prison and Probation Service","60","50","32720","30210"
"In post","2021","Female","Bridgend and Neath Port Talbot","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Crown Prosecution Service","80","70","41200","32020"
"In post","2021","Female","Brighton and Hove","Department for Work and Pensions (excl. agencies)","170","150","27460","27570"
"In post","2021","Female","Brighton and Hove","HM Courts and Tribunals Service","80","70","25180","20650"
"In post","2021","Female","Brighton and Hove","HM Prison and Probation Service","70","60","29980","28200"
"In post","2021","Female","Brighton and Hove","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","Female","Bristol, City of","Animal and Plant Health Agency","30","30","[c]","[c]"
"In post","2021","Female","Bristol, City of","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","Bristol, City of","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Crown Prosecution Service","90","90","38230","30930"
"In post","2021","Female","Bristol, City of","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Department for Education (excl. agencies)","90","80","44150","41590"
"In post","2021","Female","Bristol, City of","Department for Environment, Food and Rural Affairs (excl. agencies)","460","420","39050","36520"
"In post","2021","Female","Bristol, City of","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Department for Work and Pensions (excl. agencies)","530","440","26070","27570"
"In post","2021","Female","Bristol, City of","Driver and Vehicle Standards Agency","160","140","36010","31770"
"In post","2021","Female","Bristol, City of","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","Female","Bristol, City of","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","HM Courts and Tribunals Service","150","140","23060","20650"
"In post","2021","Female","Bristol, City of","HM Prison and Probation Service","250","230","27750","24440"
"In post","2021","Female","Bristol, City of","HM Revenue and Customs (excl. agencies)","560","510","34150","31810"
"In post","2021","Female","Bristol, City of","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Legal Aid Agency","40","30","[c]","[c]"
"In post","2021","Female","Bristol, City of","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Bristol, City of","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Office for Standards in Education, Children's Services and Skills","180","170","43000","39850"
"In post","2021","Female","Bristol, City of","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Planning Inspectorate","370","330","40030","34860"
"In post","2021","Female","Bristol, City of","Public Health England","250","220","36230","30730"
"In post","2021","Female","Bristol, City of","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Valuation Office Agency","60","50","33090","30000"
"In post","2021","Female","Bristol, City of","Vehicle Certification Agency","40","40","[c]","[c]"
"In post","2021","Female","Bromley","Department for Work and Pensions (excl. agencies)","200","180","31070","31060"
"In post","2021","Female","Bromley","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bromley","HM Courts and Tribunals Service","110","90","25910","22450"
"In post","2021","Female","Bromley","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bromley","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Department for Work and Pensions (excl. agencies)","150","130","27930","27570"
"In post","2021","Female","Buckinghamshire CC","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","HM Prison and Probation Service","350","320","30330","29440"
"In post","2021","Female","Buckinghamshire CC","Ministry of Defence (excl. agencies)","450","430","32450","28670"
"In post","2021","Female","Buckinghamshire CC","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
