"Status","Year","Organisation","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","No function","470","430","34750","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Project Delivery","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","No function","780","730","21880","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","No function","740","700","26600","25750"
"In post","2021","Animal and Plant Health Agency","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","No function","200","190","55240","54350"
"In post","2021","Animal and Plant Health Agency","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","No function","820","780","36270","36180"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Project Delivery","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Human Resources","170","150","21010","20800"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","No function","110","110","24160","24490"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Security","240","220","20930","20920"
"In post","2021","Cabinet Office (excl. agencies)","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Communications","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Digital, Data & Technology","60","60","27450","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Human Resources","220","210","26240","25760"
"In post","2021","Cabinet Office (excl. agencies)","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","No function","340","330","27940","27500"
"In post","2021","Cabinet Office (excl. agencies)","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Security","140","140","26580","26670"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Commercial","800","780","63320","56920"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Communications","120","120","59330","56610"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Digital, Data & Technology","600","590","58330","56340"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Finance","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Human Resources","270","260","57550","56520"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","No function","950","930","58240","54700"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Project Delivery","70","70","60190","58940"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Property","50","50","56400","54700"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Security","90","80","58620","54700"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Commercial","480","470","93150","74000"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Human Resources","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Legal","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","No function","250","250","86750","77000"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Project Delivery","70","70","109830","108390"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Commercial","110","110","38140","38420"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Communications","150","150","38750","39370"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Digital, Data & Technology","270","270","37100","35590"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Finance","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Human Resources","420","410","36270","36310"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","No function","2530","2520","31970","32000"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Project Delivery","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Property","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Security","390","370","35290","33630"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Analysis","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Analysis","90","90","25060","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Analysis","90","80","51850","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Analysis","260","240","32850","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Unknown","80","70","24740","24440"
"In post","2021","Charity Commission","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Unknown","130","120","31960","29400"
"In post","2021","Companies House","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","No function","380","330","21730","22490"
"In post","2021","Companies House","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Digital, Data & Technology","80","80","32490","32900"
"In post","2021","Companies House","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Human Resources","30","30","[c]","[c]"
"In post","2021","Companies House","EO","No function","150","140","26100","25460"
"In post","2021","Companies House","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Digital, Data & Technology","160","150","40440","40010"
"In post","2021","Companies House","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","No function","60","60","35880","36240"
"In post","2021","Companies House","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Analysis","80","70","65500","61590"
"In post","2021","Competition and Markets Authority","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Legal","110","110","67860","72430"
"In post","2021","Competition and Markets Authority","G6/G7","Project Delivery","180","170","66220","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Project Delivery","60","60","110090","102030"
"In post","2021","Competition and Markets Authority","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Analysis","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Project Delivery","80","70","36250","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","No function","110","100","20260","20650"
"In post","2021","Criminal Injuries Compensation Authority","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","No function","80","80","23340","22710"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","No function","80","80","28960","27160"
"In post","2021","Crown Commercial Service","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Commercial","60","50","23490","22400"
"In post","2021","Crown Commercial Service","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Commercial","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","No function","70","70","54700","55000"
