"Status","Year","Region_ITL1","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","50","50","40360","36520"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Declared disabled","860","750","25800","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Declared non-disabled","3250","2870","25970","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Undeclared","230","210","25510","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Unknown","150","140","25980","27570"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Declared disabled","90","80","31070","26780"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Declared non-disabled","320","300","32520","27680"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Unknown","100","100","31250","26700"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Declared non-disabled","50","50","42670","37270"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Declared disabled","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Declared non-disabled","330","300","42820","40000"
"In post","2021","East Midlands (England)","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Declared disabled","200","170","21880","19830"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Declared non-disabled","970","850","22720","19930"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Undeclared","90","80","21870","19830"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Unknown","110","100","19400","18880"
"In post","2021","East Midlands (England)","HM Land Registry","Declared disabled","70","60","30630","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Declared non-disabled","540","480","32810","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Unknown","240","230","26970","22350"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Declared disabled","600","560","30070","28200"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Declared non-disabled","3440","3250","29090","26810"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Undeclared","590","540","30420","31650"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Unknown","390","370","24060","24120"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Declared disabled","330","300","31830","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Declared non-disabled","2080","1950","34250","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Undeclared","200","190","32370","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Unknown","1170","1100","27810","25560"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Declared non-disabled","190","180","28080","25390"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Declared non-disabled","120","110","24220","21170"
"In post","2021","East Midlands (England)","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Declared disabled","150","140","25810","21580"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Declared non-disabled","1070","1030","27220","21580"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Undeclared","120","110","26750","21830"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Unknown","250","240","27510","21580"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Declared non-disabled","110","110","36620","35290"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Declared non-disabled","60","60","40260","40210"
"In post","2021","East Midlands (England)","National Crime Agency","Unknown","90","90","34570","36410"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","140","140","45990","39850"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Declared disabled","70","70","22070","21170"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Declared non-disabled","270","250","21530","21170"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Undeclared","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Unknown","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Declared non-disabled","120","110","42660","36330"
"In post","2021","East Midlands (England)","Public Health England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Unknown","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","Declared non-disabled","70","60","25560","25150"
"In post","2021","East Midlands (England)","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Standards and Testing Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Standards and Testing Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","Declared non-disabled","110","100","35140","32100"
"In post","2021","East Midlands (England)","Valuation Office Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Declared non-disabled","60","50","37630","34470"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","Declared non-disabled","110","100","32120","29840"
"In post","2021","East of England","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office (excl. agencies)","Unknown","50","50","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","310","300","33150","29750"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","Unknown","120","110","39770","37280"
"In post","2021","East of England","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Commercial Service","Unknown","110","100","33760","31670"
"In post","2021","East of England","Crown Prosecution Service","Declared disabled","50","40","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","Declared non-disabled","340","300","42160","36240"
"In post","2021","East of England","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Crown Prosecution Service","Unknown","90","90","33550","26970"
"In post","2021","East of England","Defence Equipment and Support","Declared disabled","30","30","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","Declared non-disabled","160","160","34310","33180"
"In post","2021","East of England","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Science and Technology Laboratory","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Science and Technology Laboratory","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Declared non-disabled","50","50","46780","42250"
"In post","2021","East of England","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","120","110","37030","35900"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Declared disabled","850","760","27990","27570"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Declared non-disabled","3430","3070","28150","27570"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Undeclared","180","160","28560","29290"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","Unknown","110","110","27560","27570"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Declared disabled","40","30","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Declared non-disabled","250","240","29330","27680"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Driver and Vehicle Standards Agency","Unknown","60","60","27030","26700"
"In post","2021","East of England","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Education and Skills Funding Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Internal Audit Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Declared non-disabled","100","100","43690","43830"
"In post","2021","East of England","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Courts and Tribunals Service","Declared disabled","130","110","22850","20100"
"In post","2021","East of England","HM Courts and Tribunals Service","Declared non-disabled","820","720","23780","20440"
"In post","2021","East of England","HM Courts and Tribunals Service","Undeclared","70","60","23020","20420"
"In post","2021","East of England","HM Courts and Tribunals Service","Unknown","70","70","20440","19930"
"In post","2021","East of England","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Declared non-disabled","180","160","32890","33840"
"In post","2021","East of England","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Unknown","70","70","25390","22350"
"In post","2021","East of England","HM Prison and Probation Service","Declared disabled","570","530","29810","29300"
"In post","2021","East of England","HM Prison and Probation Service","Declared non-disabled","3590","3420","29890","29060"
"In post","2021","East of England","HM Prison and Probation Service","Undeclared","730","670","30940","31650"
"In post","2021","East of England","HM Prison and Probation Service","Unknown","480","460","25710","25790"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Declared disabled","180","160","31740","28130"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Declared non-disabled","950","870","32530","31810"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Undeclared","130","120","32370","31810"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","Unknown","420","380","30750","28130"
"In post","2021","East of England","HM Treasury (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office (incl. agencies)","Declared disabled","160","150","25300","25040"
"In post","2021","East of England","Home Office (incl. agencies)","Declared non-disabled","1570","1400","26620","25310"
"In post","2021","East of England","Home Office (incl. agencies)","Undeclared","130","120","28100","26910"
"In post","2021","East of England","Home Office (incl. agencies)","Unknown","100","100","23480","21430"
"In post","2021","East of England","Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Insolvency Service","Declared non-disabled","70","70","34320","34050"
"In post","2021","East of England","Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Insolvency Service","Unknown","40","40","[c]","[c]"
"In post","2021","East of England","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal Aid Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","110","110","47130","43790"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","Unknown","190","180","42450","40850"
"In post","2021","East of England","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Met Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Declared disabled","320","310","32510","30750"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Declared non-disabled","2400","2320","31460","27940"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Undeclared","290","280","32360","33000"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","Unknown","560","540","30550","26930"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","50","50","39790","37160"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Unknown","90","90","37240","36740"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","80","80","62110","64500"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Public Health England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Public Health England","Declared non-disabled","260","230","41760","32930"
"In post","2021","East of England","Public Health England","Undeclared","40","30","[c]","[c]"
"In post","2021","East of England","Public Health England","Unknown","90","80","50780","40430"
"In post","2021","East of England","Rural Payments Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Rural Payments Agency","Declared non-disabled","50","50","27580","25190"
"In post","2021","East of England","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","UK Hydrographic Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","UK Hydrographic Office","Declared non-disabled","[c]","[c]","[c]","[c]"
