"Status","Year","Region_ITL1","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Southend-on-Sea","Essex","1340","1210","32090","29360"
"In post","2021","East of England","Suffolk","East Anglia","4170","3910","28710","27570"
"In post","2021","East of England","Thurrock","Essex","360","340","26380","25310"
"In post","2021","East of England","West Essex","Essex","700","620","30400","28590"
"In post","2021","London","Barking & Dagenham and Havering","Outer London - East and North East","600","550","30460","31060"
"In post","2021","London","Barnet","Outer London - West and North West","1680","1580","39880","32650"
"In post","2021","London","Bexley and Greenwich","Outer London - East and North East","1760","1680","31820","31060"
"In post","2021","London","Brent","Outer London - West and North West","600","560","31430","31060"
"In post","2021","London","Bromley","Outer London - South","460","420","29400","31060"
"In post","2021","London","Camden and City of London","Inner London - West","3640","3480","38270","32520"
"In post","2021","London","Croydon","Outer London - South","9620","9140","38350","35070"
"In post","2021","London","Ealing","Outer London - West and North West","520","490","31310","31060"
"In post","2021","London","Enfield","Outer London - East and North East","360","340","30130","31060"
"In post","2021","London","Hackney and Newham","Inner London - East","3050","2830","34600","31060"
"In post","2021","London","Haringey and Islington","Inner London - East","1510","1440","31110","31060"
"In post","2021","London","Harrow and Hillingdon","Outer London - West and North West","3400","3080","31170","29250"
"In post","2021","London","Hounslow and Richmond upon Thames","Outer London - West and North West","2860","2710","32620","31060"
"In post","2021","London","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","850","810","32650","31060"
"In post","2021","London","Lambeth","Inner London - East","4380","4140","43650","39410"
"In post","2021","London","Lewisham and Southwark","Inner London - East","1390","1330","33830","31060"
"In post","2021","London","Merton, Kingston upon Thames and Sutton","Outer London - South","660","620","31120","31060"
"In post","2021","London","Redbridge and Waltham Forest","Outer London - East and North East","1060","970","28990","30780"
"In post","2021","London","Tower Hamlets","Inner London - East","6880","6650","48370","42070"
"In post","2021","London","Wandsworth","Inner London - West","960","910","32060","31060"
"In post","2021","London","Westminster","Inner London - West","55700","54270","48070","43360"
"In post","2021","North East (England)","Darlington","Tees Valley and Durham","980","920","35680","30900"
"In post","2021","North East (England)","Durham CC","Tees Valley and Durham","5590","5030","27020","25310"
"In post","2021","North East (England)","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","1550","1410","27240","27570"
"In post","2021","North East (England)","Northumberland","Northumberland and Tyne and Wear","400","350","28320","27570"
"In post","2021","North East (England)","South Teesside","Tees Valley and Durham","1130","1010","26410","25310"
"In post","2021","North East (England)","Sunderland","Northumberland and Tyne and Wear","4430","3750","25080","21440"
"In post","2021","North East (England)","Tyneside","Northumberland and Tyne and Wear","16540","15020","29160","25560"
"In post","2021","North West (England)","Blackburn with Darwen","Lancashire","490","440","26790","27570"
"In post","2021","North West (England)","Blackpool","Lancashire","5140","4700","29050","27570"
"In post","2021","North West (England)","Cheshire East","Cheshire","760","700","30050","27570"
"In post","2021","North West (England)","Cheshire West and Chester","Cheshire","460","420","26080","27300"
"In post","2021","North West (England)","Chorley and West Lancashire","Lancashire","1330","1230","29700","27570"
"In post","2021","North West (England)","East Cumbria","Cumbria","940","860","27620","24920"
"In post","2021","North West (England)","East Lancashire","Lancashire","480","430","25810","27570"
"In post","2021","North West (England)","East Merseyside","Merseyside","1040","930","27640","27570"
"In post","2021","North West (England)","Greater Manchester North East","Greater Manchester","1210","1120","27610","27570"
"In post","2021","North West (England)","Greater Manchester North West","Greater Manchester","1980","1780","25310","24440"
"In post","2021","North West (England)","Greater Manchester South East","Greater Manchester","1390","1280","25630","22080"
"In post","2021","North West (England)","Greater Manchester South West","Greater Manchester","6150","5790","30490","27100"
"In post","2021","North West (England)","Lancaster and Wyre","Lancashire","1060","980","28560","26670"
"In post","2021","North West (England)","Liverpool","Merseyside","10240","9450","29090","25310"
"In post","2021","North West (England)","Manchester","Greater Manchester","8990","8530","33780","29730"
"In post","2021","North West (England)","Mid Lancashire","Lancashire","5600","5030","27450","24980"
"In post","2021","North West (England)","Sefton","Merseyside","6060","5510","29020","25560"
"In post","2021","North West (England)","Warrington","Cheshire","2690","2560","32520","30640"
"In post","2021","North West (England)","West Cumbria","Cumbria","1200","1090","28270","25190"
"In post","2021","North West (England)","Wirral","Merseyside","2150","1870","26230","26120"
"In post","2021","Northern Ireland","Antrim and Newtownabbey","Northern Ireland","200","200","24570","20310"
"In post","2021","Northern Ireland","Ards and North Down","Northern Ireland","230","220","25880","21270"
"In post","2021","Northern Ireland","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Belfast","Northern Ireland","2820","2620","28890","25560"
"In post","2021","Northern Ireland","Causeway Coast and Glens","Northern Ireland","70","70","20720","20310"
"In post","2021","Northern Ireland","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Lisburn and Castlereagh","Northern Ireland","400","380","27540","24890"
"In post","2021","Northern Ireland","Mid and East Antrim","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Newry, Mourne and Down","Northern Ireland","60","60","21280","20310"
"In post","2021","Overseas","Overseas","Overseas","3750","3740","49990","49760"
"In post","2021","Scotland","Aberdeen City and Aberdeenshire","North Eastern Scotland","1870","1760","36180","30650"
"In post","2021","Scotland","Angus and Dundee City","Eastern Scotland","1900","1750","26230","22080"
"In post","2021","Scotland","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","220","200","29320","27570"
"In post","2021","Scotland","City of Edinburgh","Eastern Scotland","12800","12200","37390","32140"
"In post","2021","Scotland","Clackmannanshire and Fife","Eastern Scotland","1350","1250","29960","27570"
"In post","2021","Scotland","Dumfries and Galloway","Southern Scotland","570","520","29320","27570"
"In post","2021","Scotland","East Ayrshire and North Ayrshire mainland","Southern Scotland","960","870","26710","26570"
"In post","2021","Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","2420","2310","30550","27570"
"In post","2021","Scotland","East Lothian and Midlothian","Eastern Scotland","110","100","27940","27570"
"In post","2021","Scotland","Falkirk","Eastern Scotland","1820","1600","27580","27570"
"In post","2021","Scotland","Glasgow City","West Central Scotland","11650","10850","31820","27570"
"In post","2021","Scotland","Inverclyde, East Renfrewshire and Renfrewshire","West Central Scotland","1040","940","29630","27570"
"In post","2021","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","Highlands and Islands","1140","1070","29090","27570"
"In post","2021","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Highlands and Islands","330","310","28440","27570"
"In post","2021","Scotland","Na h-Eileanan Siar","Highlands and Islands","170","160","25840","22230"
"In post","2021","Scotland","North Lanarkshire","West Central Scotland","2800","2450","26180","22820"
"In post","2021","Scotland","Orkney Islands","Highlands and Islands","40","30","[c]","[c]"
"In post","2021","Scotland","Perth and Kinross and Stirling","Eastern Scotland","1350","1270","30970","29140"
"In post","2021","Scotland","Scottish Borders","Southern Scotland","480","440","29450","27570"
"In post","2021","Scotland","Shetland Islands","Highlands and Islands","60","60","30130","27570"
"In post","2021","Scotland","South Ayrshire","Southern Scotland","320","290","27970","27570"
"In post","2021","Scotland","South Lanarkshire","Southern Scotland","3700","3320","30270","26120"
"In post","2021","Scotland","West Lothian","Eastern Scotland","510","480","32720","27570"
"In post","2021","South East (England)","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","2950","2820","34390","30890"
"In post","2021","South East (England)","Brighton and Hove","Surrey, East and West Sussex","660","590","30600","27570"
"In post","2021","South East (England)","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","1680","1600","32150","29750"
"In post","2021","South East (England)","Central Hampshire","Hampshire and Isle of Wight","4190","4040","36180","33300"
"In post","2021","South East (England)","East Kent","Kent","4230","3890","28190","26670"
"In post","2021","South East (England)","East Surrey","Surrey, East and West Sussex","990","940","33430","33590"
"In post","2021","South East (England)","East Sussex CC","Surrey, East and West Sussex","2000","1790","26810","27570"
"In post","2021","South East (England)","Isle of Wight","Hampshire and Isle of Wight","900","830","27520","26810"
"In post","2021","South East (England)","Kent Thames Gateway","Kent","1610","1530","30150","30400"
"In post","2021","South East (England)","Medway","Kent","1410","1350","31050","29750"
"In post","2021","South East (England)","Mid Kent","Kent","880","820","30270","29290"
"In post","2021","South East (England)","Milton Keynes","Berkshire, Buckinghamshire and Oxfordshire","2210","2120","32440","28550"
"In post","2021","South East (England)","North Hampshire","Hampshire and Isle of Wight","1020","970","32770","27570"
"In post","2021","South East (England)","Oxfordshire","Berkshire, Buckinghamshire and Oxfordshire","2750","2590","32140","29530"
"In post","2021","South East (England)","Portsmouth","Hampshire and Isle of Wight","3910","3630","30590","27570"
"In post","2021","South East (England)","South Hampshire","Hampshire and Isle of Wight","4050","3520","30010","27570"
"In post","2021","South East (England)","Southampton","Hampshire and Isle of Wight","1290","1180","32820","27570"
"In post","2021","South East (England)","West Kent","Kent","400","380","36460","37320"
"In post","2021","South East (England)","West Surrey","Surrey, East and West Sussex","2110","1990","32810","29290"
"In post","2021","South East (England)","West Sussex (North East)","Surrey, East and West Sussex","1230","1100","30730","27570"
"In post","2021","South East (England)","West Sussex (South West)","Surrey, East and West Sussex","1320","1200","30150","27570"
"In post","2021","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","13360","12830","37750","34370"
"In post","2021","South West (England)","Bournemouth and Poole","Dorset and Somerset","720","640","26860","27370"
"In post","2021","South West (England)","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","6610","6140","35860","31810"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","1650","1500","26590","26670"
"In post","2021","South West (England)","Devon CC","Devon","5580","5120","31680","27570"
"In post","2021","South West (England)","Dorset CC","Dorset and Somerset","2140","2010","29140","27130"
"In post","2021","South West (England)","Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","1400","1260","29260","27570"
"In post","2021","South West (England)","Plymouth","Devon","3100","2890","31160","27570"
"In post","2021","South West (England)","Somerset","Dorset and Somerset","2350","2190","30960","27570"
"In post","2021","South West (England)","Swindon","Gloucestershire, Wiltshire and Bath/Bristol area","470","440","32310","27570"
"In post","2021","South West (England)","Torbay","Devon","340","290","25900","26120"
"In post","2021","South West (England)","Wiltshire","Gloucestershire, Wiltshire and Bath/Bristol area","7480","7170","36300","33300"
"In post","2021","Unknown","Unknown","Unknown","3730","3650","35670","32100"
"In post","2021","Wales","Bridgend and Neath Port Talbot","West Wales and The Valleys","710","630","27110","27570"
"In post","2021","Wales","Cardiff and Vale of Glamorgan","East Wales","12070","11260","32950","27570"
"In post","2021","Wales","Central Valleys","West Wales and The Valleys","1710","1590","34570","28850"
"In post","2021","Wales","Conwy and Denbighshire","West Wales and The Valleys","690","640","35060","30210"
"In post","2021","Wales","Flintshire and Wrexham","East Wales","2160","2030","27810","26300"
"In post","2021","Wales","Gwent Valleys","West Wales and The Valleys","1080","980","28350","27570"
"In post","2021","Wales","Gwynedd","West Wales and The Valleys","740","680","25100","21050"
"In post","2021","Wales","Isle of Anglesey","West Wales and The Valleys","250","230","27690","26670"
"In post","2021","Wales","Monmouthshire and Newport","East Wales","5610","5250","33790","29540"
"In post","2021","Wales","Powys","East Wales","550","520","29070","27570"
"In post","2021","Wales","South West Wales","West Wales and The Valleys","1470","1360","30230","27570"
"In post","2021","Wales","Swansea","West Wales and The Valleys","9070","8080","27290","21590"
"In post","2021","West Midlands (England)","Birmingham","West Midlands","11600","10800","31170","27570"
"In post","2021","West Midlands (England)","Coventry","West Midlands","2430","2300","36870","32300"
"In post","2021","West Midlands (England)","Dudley","West Midlands","1150","990","25080","26080"
"In post","2021","West Midlands (England)","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","440","420","27930","26670"
"In post","2021","West Midlands (England)","Sandwell","West Midlands","440","400","27170","27570"
"In post","2021","West Midlands (England)","Shropshire CC","Shropshire and Staffordshire","1170","1110","29090","27570"
"In post","2021","West Midlands (England)","Solihull","West Midlands","1100","1020","28910","26620"
"In post","2021","West Midlands (England)","Staffordshire CC","Shropshire and Staffordshire","3970","3730","29880","27570"
"In post","2021","West Midlands (England)","Stoke-on-Trent","Shropshire and Staffordshire","1240","1110","25180","21170"
"In post","2021","West Midlands (England)","Telford and Wrekin","Shropshire and Staffordshire","1930","1780","33330","27570"
"In post","2021","West Midlands (England)","Walsall","West Midlands","600","520","25100","26120"
"In post","2021","West Midlands (England)","Warwickshire","Herefordshire, Worcestershire and Warwickshire","1300","1190","26820","24890"
"In post","2021","West Midlands (England)","Wolverhampton","West Midlands","880","770","24990","26110"
"In post","2021","West Midlands (England)","Worcestershire","Herefordshire, Worcestershire and Warwickshire","2250","2120","28730","26780"
"In post","2021","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","South Yorkshire","3000","2670","27170","27150"
"In post","2021","Yorkshire and The Humber","Bradford","West Yorkshire","3100","2750","27200","25560"
"In post","2021","Yorkshire and The Humber","Calderdale and Kirklees","West Yorkshire","1060","940","27030","27570"
"In post","2021","Yorkshire and The Humber","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","1890","1780","28640","26810"
"In post","2021","Yorkshire and The Humber","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","2000","1800","27990","27130"
"In post","2021","Yorkshire and The Humber","Leeds","West Yorkshire","11410","10740","33110","28790"
"In post","2021","Yorkshire and The Humber","North and North East Lincolnshire","East Yorkshire and Northern Lincolnshire","810","720","25790","26470"
"In post","2021","Yorkshire and The Humber","North Yorkshire CC","North Yorkshire","1930","1830","29610","27570"
"In post","2021","Yorkshire and The Humber","Sheffield","South Yorkshire","6930","6400","33200","29360"
"In post","2021","Yorkshire and The Humber","Wakefield","West Yorkshire","1680","1550","30270","27570"
"In post","2021","Yorkshire and The Humber","York","North Yorkshire","2790","2640","36200","31710"
"In post","2022","East Midlands (England)","Derby","Derbyshire and Nottinghamshire","1120","1000","27240","25120"
"In post","2022","East Midlands (England)","East Derbyshire","Derbyshire and Nottinghamshire","420","370","28240","27570"
"In post","2022","East Midlands (England)","Leicester","Leicestershire, Rutland and Northamptonshire","2610","2380","27640","26120"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","1990","1860","29740","27370"
"In post","2022","East Midlands (England)","Lincolnshire CC","Lincolnshire","3020","2840","28870","26950"
"In post","2022","East Midlands (England)","North Northamptonshire","Leicestershire, Rutland and Northamptonshire","560","500","26090","26310"
"In post","2022","East Midlands (England)","North Nottinghamshire","Derbyshire and Nottinghamshire","1100","1020","30030","27570"
"In post","2022","East Midlands (England)","Nottingham","Derbyshire and Nottinghamshire","8830","8290","32620","28290"
"In post","2022","East Midlands (England)","South and West Derbyshire","Derbyshire and Nottinghamshire","1200","1090","34000","28730"
"In post","2022","East Midlands (England)","South Nottinghamshire","Derbyshire and Nottinghamshire","1050","980","32480","28640"
"In post","2022","East Midlands (England)","West Northamptonshire","Leicestershire, Rutland and Northamptonshire","1110","1030","28040","26120"
"In post","2022","East of England","Bedford","Bedfordshire and Hertfordshire","860","800","30670","28140"
"In post","2022","East of England","Breckland and South Norfolk","East Anglia","520","480","29530","27120"
"In post","2022","East of England","Cambridgeshire CC","East Anglia","3480","3320","33510","31550"
"In post","2022","East of England","Central Bedfordshire","Bedfordshire and Hertfordshire","440","430","31600","28500"
"In post","2022","East of England","Essex Haven Gateway","Essex","950","890","31710","29290"
"In post","2022","East of England","Essex Thames Gateway","Essex","960","860","27980","26780"
"In post","2022","East of England","Heart of Essex","Essex","1240","1180","32390","29290"
"In post","2022","East of England","Hertfordshire CC","Bedfordshire and Hertfordshire","2840","2690","35860","31620"
"In post","2022","East of England","Luton","Bedfordshire and Hertfordshire","560","510","27820","27570"
"In post","2022","East of England","North and West Norfolk","East Anglia","940","870","28420","27570"
"In post","2022","East of England","Norwich and East Norfolk","East Anglia","2010","1830","29570","27570"
"In post","2022","East of England","Peterborough","East Anglia","1640","1480","28980","26620"
"In post","2022","East of England","Southend-on-Sea","Essex","1100","1000","33580","30210"
"In post","2022","East of England","Suffolk CC","East Anglia","4330","4040","29760","27570"
"In post","2022","East of England","Thurrock","Essex","370","350","27300","25510"
"In post","2022","East of England","West Essex","Essex","690","620","31550","29290"
"In post","2022","London","Barking & Dagenham and Havering","Outer London - East and North East","700","640","31640","31060"
"In post","2022","London","Barnet","Outer London - West and North West","1800","1680","39640","32330"
"In post","2022","London","Bexley and Greenwich","Outer London - East and North East","1800","1710","32220","31060"
"In post","2022","London","Brent","Outer London - West and North West","620","580","32350","31060"
"In post","2022","London","Bromley","Outer London - South","570","520","32020","31060"
"In post","2022","London","Camden and City of London","Inner London - West","2100","2010","39190","31060"
"In post","2022","London","Croydon","Outer London - South","10550","10060","39640","35200"
"In post","2022","London","Ealing","Outer London - West and North West","500","470","33070","31060"
"In post","2022","London","Enfield","Outer London - East and North East","350","320","31880","31060"
"In post","2022","London","Hackney and Newham","Inner London - East","6570","6220","39970","37610"
"In post","2022","London","Haringey and Islington","Inner London - East","1600","1520","32310","31060"
"In post","2022","London","Harrow and Hillingdon","Outer London - West and North West","3260","3000","31590","29290"
"In post","2022","London","Hounslow and Richmond upon Thames","Outer London - West and North West","2950","2800","33070","31060"
"In post","2022","London","Kensington & Chelsea and Hammersmith & Fulham","Inner London - West","890","850","33110","31090"
"In post","2022","London","Lambeth","Inner London - East","3420","3290","42690","38060"
"In post","2022","London","Lewisham and Southwark","Inner London - East","1400","1340","34430","31060"
"In post","2022","London","Merton, Kingston upon Thames and Sutton","Outer London - South","690","660","33320","31060"
"In post","2022","London","Redbridge and Waltham Forest","Outer London - East and North East","1220","1120","30130","30780"
"In post","2022","London","Tower Hamlets","Inner London - East","6060","5870","49140","43880"
"In post","2022","London","Wandsworth","Inner London - West","990","940","32530","31060"
"In post","2022","London","Westminster","Inner London - West","56800","55350","48470","44450"
"In post","2022","North East (England)","Darlington","Tees Valley and Durham","1310","1250","36840","32570"
"In post","2022","North East (England)","Durham","Tees Valley and Durham","5720","5170","27880","26070"
"In post","2022","North East (England)","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","1670","1530","27830","27570"
"In post","2022","North East (England)","Northumberland","Northumberland, and Tyne and Wear","480","440","30350","27570"
"In post","2022","North East (England)","South Teesside","Tees Valley and Durham","1160","1050","27100","26120"
"In post","2022","North East (England)","Sunderland","Northumberland, and Tyne and Wear","4320","3690","26100","22080"
"In post","2022","North East (England)","Tyneside","Northumberland, and Tyne and Wear","18450","16950","30970","27570"
"In post","2022","North West (England)","Blackburn with Darwen","Lancashire","480","430","27310","27570"
"In post","2022","North West (England)","Blackpool","Lancashire","5550","5110","29940","27570"
"In post","2022","North West (England)","Cheshire East","Cheshire","1230","1140","30230","27120"
"In post","2022","North West (England)","Cheshire West and Chester","Cheshire","510","470","28600","27570"
"In post","2022","North West (England)","Chorley and West Lancashire","Lancashire","1430","1330","30220","27570"
"In post","2022","North West (England)","East Cumbria","Cumbria","1020","940","28660","25190"
"In post","2022","North West (England)","East Lancashire","Lancashire","550","490","27360","27570"
"In post","2022","North West (England)","East Merseyside","Merseyside","1150","1040","28810","27570"
"In post","2022","North West (England)","Greater Manchester North East","Greater Manchester","1250","1160","28380","27570"
"In post","2022","North West (England)","Greater Manchester North West","Greater Manchester","2140","1930","26030","25190"
"In post","2022","North West (England)","Greater Manchester South East","Greater Manchester","1060","970","26010","24800"
"In post","2022","North West (England)","Greater Manchester South West","Greater Manchester","7260","6890","32460","27940"
"In post","2022","North West (England)","Lancaster and Wyre","Lancashire","1100","1020","29060","26780"
"In post","2022","North West (England)","Liverpool","Merseyside","12500","11640","29580","26160"
"In post","2022","North West (England)","Manchester","Greater Manchester","9890","9430","34470","30830"
"In post","2022","North West (England)","Mid Lancashire","Lancashire","5660","5110","28690","26590"
"In post","2022","North West (England)","Sefton","Merseyside","5280","4880","30800","27570"
"In post","2022","North West (England)","Warrington","Cheshire","2650","2510","33450","31650"
"In post","2022","North West (England)","West Cumbria","Cumbria","1300","1190","28880","25190"
"In post","2022","North West (England)","Wirral","Merseyside","2290","2020","27060","26780"
"In post","2022","Northern Ireland","Antrim and Newtownabbey","Northern Ireland","210","200","26210","20810"
"In post","2022","Northern Ireland","Ards and North Down","Northern Ireland","240","230","27180","21920"
"In post","2022","Northern Ireland","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Belfast","Northern Ireland","3130","2960","30630","26820"
"In post","2022","Northern Ireland","Causeway Coast and Glens","Northern Ireland","70","70","22160","20560"
"In post","2022","Northern Ireland","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Lisburn and Castlereagh","Northern Ireland","450","440","28120","24890"
"In post","2022","Northern Ireland","Mid and East Antrim","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Mid Ulster","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Newry, Mourne and Down","Northern Ireland","80","80","23530","20560"
"In post","2022","Overseas","Overseas","Overseas","3690","3670","49440","48580"
"In post","2022","Scotland","Aberdeen City and Aberdeenshire","North Eastern Scotland","1930","1820","36780","31540"
"In post","2022","Scotland","Angus and Dundee City","Eastern Scotland","2080","1950","27320","24400"
"In post","2022","Scotland","Caithness and Sutherland, and Ross and Cromarty","Highlands and Islands","200","190","30480","27570"
"In post","2022","Scotland","City of Edinburgh","Eastern Scotland","13700","13090","38900","34040"
"In post","2022","Scotland","Clackmannanshire and Fife","Eastern Scotland","1330","1240","30770","27570"
"In post","2022","Scotland","Dumfries and Galloway","Southern Scotland","560","520","30320","27570"
"In post","2022","Scotland","East Ayrshire and North Ayrshire mainland","Southern Scotland","1030","950","27270","27230"
"In post","2022","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","West Central Scotland","2440","2320","31030","27570"
"In post","2022","Scotland","East Lothian and Midlothian","Eastern Scotland","120","110","31130","27570"
"In post","2022","Scotland","Falkirk","Eastern Scotland","1880","1660","28410","27570"
"In post","2022","Scotland","Glasgow City","West Central Scotland","13510","12710","33130","27570"
"In post","2022","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","West Central Scotland","1110","1000","30780","27570"
"In post","2022","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Highlands and Islands","1200","1130","30140","27570"
"In post","2022","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Highlands and Islands","350","320","29470","27570"
"In post","2022","Scotland","Na h-Eileanan Siar","Highlands and Islands","160","150","27790","27410"
"In post","2022","Scotland","North Lanarkshire","West Central Scotland","2790","2470","27580","26590"
"In post","2022","Scotland","Orkney Islands","Highlands and Islands","40","30","[c]","[c]"
"In post","2022","Scotland","Perth and Kinross, and Stirling","Eastern Scotland","1440","1350","31910","30040"
"In post","2022","Scotland","Scottish Borders","Southern Scotland","520","480","30550","27570"
"In post","2022","Scotland","Shetland Islands","Highlands and Islands","60","60","30540","27570"
"In post","2022","Scotland","South Ayrshire","Southern Scotland","330","300","28710","27570"
"In post","2022","Scotland","South Lanarkshire","Southern Scotland","3800","3440","31150","26820"
"In post","2022","Scotland","West Lothian","Eastern Scotland","440","410","34090","27570"
"In post","2022","South East (England)","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","2930","2790","34450","30810"
"In post","2022","South East (England)","Brighton and Hove","Surrey, East and West Sussex","740","660","32720","27570"
"In post","2022","South East (England)","Buckinghamshire","Berkshire, Buckinghamshire and Oxfordshire","1690","1600","33220","30450"
"In post","2022","South East (England)","Central Hampshire","Hampshire and Isle of Wight","4330","4170","37080","33300"
"In post","2022","South East (England)","East Kent","Kent","4450","4140","28680","26840"
"In post","2022","South East (England)","East Surrey","Surrey, East and West Sussex","1060","1000","33700","32800"
"In post","2022","South East (England)","East Sussex CC","Surrey, East and West Sussex","2030","1820","27600","27370"
"In post","2022","South East (England)","Isle of Wight","Hampshire and Isle of Wight","910","840","27740","27120"
"In post","2022","South East (England)","Kent Thames Gateway","Kent","1610","1510","30400","30610"
"In post","2022","South East (England)","Medway","Kent","1450","1380","31200","29290"
"In post","2022","South East (England)","Mid Kent","Kent","930","870","31290","29290"
"In post","2022","South East (England)","Milton Keynes","Berkshire, Buckinghamshire and Oxfordshire","2250","2140","33030","28950"
"In post","2022","South East (England)","North Hampshire","Hampshire and Isle of Wight","1060","1000","34200","27570"
"In post","2022","South East (England)","Oxfordshire CC","Berkshire, Buckinghamshire and Oxfordshire","2670","2510","33260","30460"
"In post","2022","South East (England)","Portsmouth","Hampshire and Isle of Wight","3810","3550","31730","27570"
"In post","2022","South East (England)","South Hampshire","Hampshire and Isle of Wight","4130","3570","30900","27570"
"In post","2022","South East (England)","Southampton","Hampshire and Isle of Wight","1330","1240","33380","27570"
"In post","2022","South East (England)","West Kent","Kent","320","300","37300","37920"
"In post","2022","South East (England)","West Surrey","Surrey, East and West Sussex","2280","2150","33810","30130"
"In post","2022","South East (England)","West Sussex (North East)","Surrey, East and West Sussex","1290","1160","31070","27570"
"In post","2022","South East (England)","West Sussex (South West)","Surrey, East and West Sussex","1370","1250","31930","27570"
