"Status","Year","Region_ITL1","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Legal","HM Revenue and Customs","190","180","31100","31810"
"In post","2021","East Midlands (England)","Legal","Ministry of Justice","70","60","41550","43160"
"In post","2021","East Midlands (England)","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Ministry of Defence","180","160","41560","37890"
"In post","2021","East Midlands (England)","Operational Delivery","Attorney General's Departments","190","180","25840","23470"
"In post","2021","East Midlands (England)","Operational Delivery","Department for Business, Energy and Industrial Strategy","150","140","29850","29190"
"In post","2021","East Midlands (England)","Operational Delivery","Department for Education","50","50","41790","37100"
"In post","2021","East Midlands (England)","Operational Delivery","Department for Environment, Food and Rural Affairs","110","110","27140","25830"
"In post","2021","East Midlands (England)","Operational Delivery","Department for Transport","310","290","28560","26780"
"In post","2021","East Midlands (England)","Operational Delivery","Department for Work and Pensions","130","110","40740","31660"
"In post","2021","East Midlands (England)","Operational Delivery","Department of Health and Social Care","80","80","33520","28590"
"In post","2021","East Midlands (England)","Operational Delivery","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","HM Land Registry","690","630","28260","27130"
"In post","2021","East Midlands (England)","Operational Delivery","HM Revenue and Customs","1400","1260","27300","25560"
"In post","2021","East Midlands (England)","Operational Delivery","Home Office","170","160","27270","25410"
"In post","2021","East Midlands (England)","Operational Delivery","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Ministry of Justice","6560","6090","26370","24000"
"In post","2021","East Midlands (England)","Operational Delivery","National Crime Agency","110","110","37760","36410"
"In post","2021","East Midlands (England)","Operational Delivery","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Ministry of Defence","750","720","23330","20920"
"In post","2021","East Midlands (England)","Other","Office for Standards in Education","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for Education","140","130","39920","36780"
"In post","2021","East Midlands (England)","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","HM Revenue and Customs","100","90","45020","38640"
"In post","2021","East Midlands (England)","Project Delivery","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Ministry of Defence","150","150","33540","33300"
"In post","2021","East Midlands (England)","Project Delivery","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","HM Revenue and Customs","210","200","39070","38630"
"In post","2021","East Midlands (England)","Property","Ministry of Defence","170","160","24500","18800"
"In post","2021","East Midlands (England)","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Ministry of Justice","180","170","34580","30450"
"In post","2021","East Midlands (England)","Science and Engineering","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Department for Transport","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Department for Work and Pensions","220","200","43090","40020"
"In post","2021","East Midlands (England)","Science and Engineering","Department of Health and Social Care","70","60","45820","39010"
"In post","2021","East Midlands (England)","Science and Engineering","Ministry of Defence","180","170","33410","33000"
"In post","2021","East Midlands (England)","Science and Engineering","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Ministry of Defence","120","120","27370","24070"
"In post","2021","East Midlands (England)","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","HM Revenue and Customs","1380","1310","32930","31810"
"In post","2021","East Midlands (England)","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Work and Pensions","4490","3970","25910","27570"
"In post","2021","East Midlands (England)","Unknown","HM Revenue and Customs","320","310","31930","31810"
"In post","2021","East Midlands (England)","Unknown","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Ministry of Defence","70","70","35910","34610"
"In post","2021","East of England","Commercial","Ministry of Justice","60","60","47520","46050"
"In post","2021","East of England","Commercial","Other Cabinet Office Agencies","90","80","34770","34800"
"In post","2021","East of England","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","East of England","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","HM Revenue and Customs","260","240","37690","35000"
"In post","2021","East of England","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Ministry of Defence","90","90","31790","32670"
"In post","2021","East of England","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","East of England","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","East of England","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","HM Revenue and Customs","130","110","32960","31810"
"In post","2021","East of England","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Ministry of Defence","150","140","36910","33000"
"In post","2021","East of England","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Ministry of Defence","60","60","33990","33300"
"In post","2021","East of England","Human Resources","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","East of England","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Office for Standards in Education","90","90","65420","75500"
"In post","2021","East of England","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Home Office","80","70","27840","27370"
"In post","2021","East of England","Intelligence Analysis","Ministry of Defence","280","280","33560","33300"
"In post","2021","East of England","Intelligence Analysis","Ministry of Justice","50","50","31480","27970"
"In post","2021","East of England","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Department of Health and Social Care","60","50","38020","34720"
"In post","2021","East of England","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Ministry of Defence","90","90","34170","33150"
"In post","2021","East of England","Legal","Attorney General's Departments","240","210","53510","54770"
"In post","2021","East of England","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","HM Revenue and Customs","330","300","26890","25560"
"In post","2021","East of England","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Ministry of Justice","90","80","40750","40910"
"In post","2021","East of England","Medicine","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","East of England","Medicine","Ministry of Defence","140","120","45210","37890"
"In post","2021","East of England","Operational Delivery","Attorney General's Departments","230","210","27200","25820"
"In post","2021","East of England","Operational Delivery","Department for Business, Energy and Industrial Strategy","150","140","29890","26410"
"In post","2021","East of England","Operational Delivery","Department for Education","50","40","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Department for Environment, Food and Rural Affairs","220","210","29800","28030"
"In post","2021","East of England","Operational Delivery","Department for Transport","360","340","29620","26780"
"In post","2021","East of England","Operational Delivery","Department for Work and Pensions","130","120","44120","44820"
"In post","2021","East of England","Operational Delivery","Department of Health and Social Care","270","250","38940","33100"
"In post","2021","East of England","Operational Delivery","Food Standards Agency","60","60","27660","26750"
"In post","2021","East of England","Operational Delivery","HM Land Registry","240","220","29040","27130"
"In post","2021","East of England","Operational Delivery","HM Revenue and Customs","490","440","26630","25560"
"In post","2021","East of England","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Home Office","1760","1590","25950","25190"
"In post","2021","East of England","Operational Delivery","Ministry of Defence","70","70","25250","22080"
"In post","2021","East of England","Operational Delivery","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Ministry of Justice","5970","5580","27840","27120"
"In post","2021","East of England","Operational Delivery","National Crime Agency","130","130","38120","37520"
"In post","2021","East of England","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Research","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","Home Office","50","30","28260","26430"
"In post","2021","East of England","Other","Ministry of Defence","1090","1050","24090","21130"
"In post","2021","East of England","Other","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","HM Revenue and Customs","60","60","40940","38630"
"In post","2021","East of England","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Ministry of Defence","60","50","46120","45200"
"In post","2021","East of England","Policy","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","HM Revenue and Customs","90","80","41480","38630"
