"Status","Year","Profession_of_post","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Shropshire and Staffordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","Commercial","70","70","38680","38000"
"In post","2021","Commercial","South Yorkshire","No function","40","30","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","Commercial","70","70","40210","39630"
"In post","2021","Commercial","Southern Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","No function","30","30","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","Commercial","110","110","34650","33300"
"In post","2021","Commercial","West Midlands","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands","Commercial","100","90","39240","38000"
"In post","2021","Commercial","West Midlands","No function","30","30","[c]","[c]"
"In post","2021","Commercial","West Midlands","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Wales and The Valleys","Commercial","170","160","33380","31040"
"In post","2021","Commercial","West Wales and The Valleys","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Yorkshire","Commercial","170","170","40790","36820"
"In post","2021","Commercial","West Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire, Buckinghamshire and Oxfordshire","Communications","80","80","32450","31200"
"In post","2021","Communications","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Derbyshire and Nottinghamshire","Communications","80","80","37020","36780"
"In post","2021","Communications","Derbyshire and Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Devon","Communications","50","50","[c]","[c]"
"In post","2021","Communications","Devon","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Dorset and Somerset","Communications","40","40","[c]","[c]"
"In post","2021","Communications","East Anglia","Communications","50","40","[c]","[c]"
"In post","2021","Communications","East Wales","Communications","120","110","37810","35640"
"In post","2021","Communications","East Wales","Unknown","140","130","39610","37410"
"In post","2021","Communications","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Eastern Scotland","Communications","40","40","[c]","[c]"
"In post","2021","Communications","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","190","180","36280","34290"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester","Communications","80","80","34240","31750"
"In post","2021","Communications","Greater Manchester","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hampshire and Isle of Wight","Communications","190","180","33120","31560"
"In post","2021","Communications","Herefordshire, Worcestershire and Warwickshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Highlands and Islands","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - East","Communications","210","200","47650","41840"
"In post","2021","Communications","Inner London - East","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - West","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - West","Communications","1520","1490","46230","42500"
"In post","2021","Communications","Inner London - West","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - West","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - West","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - West","No function","90","90","44070","40220"
"In post","2021","Communications","Inner London - West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inner London - West","Unknown","160","150","49750","44220"
"In post","2021","Communications","Kent","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lancashire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicestershire, Rutland and Northamptonshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicestershire, Rutland and Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Merseyside","Communications","70","70","39810","36780"
"In post","2021","Communications","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Yorkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland and Tyne and Wear","Communications","90","80","34370","31810"
"In post","2021","Communications","Outer London - East and North East","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - South","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outer London - West and North West","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Shropshire and Staffordshire","Communications","40","30","[c]","[c]"
"In post","2021","Communications","Shropshire and Staffordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Yorkshire","Communications","40","40","[c]","[c]"
"In post","2021","Communications","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Southern Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Surrey, East and West Sussex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Surrey, East and West Sussex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tees Valley and Durham","Communications","30","30","[c]","[c]"
"In post","2021","Communications","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Central Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Central Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands","Communications","70","70","42550","39670"
"In post","2021","Communications","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Wales and The Valleys","Communications","80","70","30930","26780"
"In post","2021","Communications","West Wales and The Valleys","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Yorkshire","Communications","60","50","49650","49530"
"In post","2021","Communications","West Yorkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Devon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East Anglia","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Hampshire and Isle of Wight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Hampshire and Isle of Wight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Inner London - East","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Inner London - West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Inner London - West","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Inner London - West","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Kent","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Merseyside","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Central Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Derbyshire and Nottinghamshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Anglia","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Eastern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Greater Manchester","Counter Fraud","60","60","38990","39330"
"In post","2021","Counter Fraud","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Hampshire and Isle of Wight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Inner London - East","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Inner London - East","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Inner London - West","Counter Fraud","280","280","44820","40000"
"In post","2021","Counter Fraud","Inner London - West","No function","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Lancashire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Leicestershire, Rutland and Northamptonshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Merseyside","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northumberland and Tyne and Wear","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outer London - East and North East","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outer London - South","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outer London - West and North West","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Shropshire and Staffordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Southern Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Surrey, East and West Sussex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Tees Valley and Durham","Unknown","30","30","[c]","[c]"
"In post","2021","Counter Fraud","West Central Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Central Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Central Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Central Scotland","Unknown","60","60","25480","25040"
"In post","2021","Counter Fraud","West Midlands","Counter Fraud","70","70","37270","36720"
"In post","2021","Counter Fraud","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Wales and The Valleys","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","West Yorkshire","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Bedfordshire and Hertfordshire","Digital, Data & Technology","70","70","36020","34820"
"In post","2021","Digital, Data and Technology","Bedfordshire and Hertfordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Bedfordshire and Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","240","230","41600","38600"
"In post","2021","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cheshire","Digital, Data & Technology","140","130","41990","41700"
"In post","2021","Digital, Data and Technology","Cornwall and Isles of Scilly","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cumbria","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Derbyshire and Nottinghamshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Derbyshire and Nottinghamshire","Digital, Data & Technology","170","170","38890","35900"
"In post","2021","Digital, Data and Technology","Derbyshire and Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Derbyshire and Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Devon","Digital, Data & Technology","890","850","37780","38450"
"In post","2021","Digital, Data and Technology","Dorset and Somerset","Digital, Data & Technology","230","230","38130","35340"
"In post","2021","Digital, Data and Technology","Dorset and Somerset","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Anglia","Digital, Data & Technology","150","150","34260","31090"
"In post","2021","Digital, Data and Technology","East Anglia","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Wales","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Wales","Digital, Data & Technology","950","930","40400","37940"
"In post","2021","Digital, Data and Technology","East Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Wales","Unknown","150","150","37780","37410"
"In post","2021","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Eastern Scotland","Digital, Data & Technology","220","220","38680","35230"
"In post","2021","Digital, Data and Technology","Essex","Digital, Data & Technology","270","250","37480","35000"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","570","560","39300","36460"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","380","370","43280","43380"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Property","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Greater Manchester","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Greater Manchester","Digital, Data & Technology","280","270","39740","36780"
"In post","2021","Digital, Data and Technology","Greater Manchester","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Greater Manchester","Unknown","140","140","43910","40450"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","Digital, Data & Technology","350","340","36450","33300"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","Digital, Data & Technology","80","80","38280","33150"
"In post","2021","Digital, Data and Technology","Highlands and Islands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - East","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - East","Digital, Data & Technology","590","580","49670","44930"
"In post","2021","Digital, Data and Technology","Inner London - East","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - East","No function","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - East","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - West","Analysis","80","70","46870","45250"
"In post","2021","Digital, Data and Technology","Inner London - West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Inner London - West","Digital, Data & Technology","1450","1420","48910","45430"
