"Status","Year","Ethnicity","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","AA/AO","60","50","21070","21430"
"In post","2021","Asian","Merseyside","EO","40","30","[c]","[c]"
"In post","2021","Asian","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Merseyside","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Asian","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","AA/AO","130","110","20620","20900"
"In post","2021","Asian","Northumberland and Tyne and Wear","EO","70","60","26420","25560"
"In post","2021","Asian","Northumberland and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northumberland and Tyne and Wear","SEO/HEO","60","60","34580","32570"
"In post","2021","Asian","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - East and North East","AA/AO","200","170","24640","25110"
"In post","2021","Asian","Outer London - East and North East","EO","430","400","30770","31060"
"In post","2021","Asian","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - East and North East","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Asian","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - South","AA/AO","450","400","24690","25630"
"In post","2021","Asian","Outer London - South","EO","570","520","29640","29370"
"In post","2021","Asian","Outer London - South","G6/G7","140","140","61630","59160"
"In post","2021","Asian","Outer London - South","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - South","SEO/HEO","540","520","38930","36620"
"In post","2021","Asian","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - West and North West","AA/AO","650","580","24760","25110"
"In post","2021","Asian","Outer London - West and North West","EO","1400","1280","29700","29760"
"In post","2021","Asian","Outer London - West and North West","G6/G7","80","80","59790","57680"
"In post","2021","Asian","Outer London - West and North West","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outer London - West and North West","SEO/HEO","460","440","37610","36350"
"In post","2021","Asian","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6/G7","40","40","[c]","[c]"
"In post","2021","Asian","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Shropshire and Staffordshire","AA/AO","90","80","21910","21010"
"In post","2021","Asian","Shropshire and Staffordshire","EO","90","90","27020","27570"
"In post","2021","Asian","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Shropshire and Staffordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Shropshire and Staffordshire","SEO/HEO","80","80","39130","38630"
"In post","2021","Asian","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South Yorkshire","AA/AO","170","150","21220","21430"
"In post","2021","Asian","South Yorkshire","EO","120","110","25970","25260"
"In post","2021","Asian","South Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South Yorkshire","SEO/HEO","90","90","34050","32740"
"In post","2021","Asian","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Southern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","AA/AO","100","90","22970","22360"
"In post","2021","Asian","Surrey, East and West Sussex","EO","150","140","28520","28280"
"In post","2021","Asian","Surrey, East and West Sussex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Asian","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","AA/AO","60","50","21190","21010"
"In post","2021","Asian","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","60","50","23580","25110"
"In post","2021","Asian","Unknown","EO","70","70","29010","27570"
"In post","2021","Asian","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Central Scotland","AA/AO","100","80","21360","21010"
"In post","2021","Asian","West Central Scotland","EO","70","60","26550","27340"
"In post","2021","Asian","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Central Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Central Scotland","SEO/HEO","50","50","37710","34780"
"In post","2021","Asian","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands","AA/AO","1270","1130","20570","20140"
"In post","2021","Asian","West Midlands","EO","1320","1230","26440","27570"
"In post","2021","Asian","West Midlands","G6/G7","180","170","53830","52570"
"In post","2021","Asian","West Midlands","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands","SEO/HEO","690","670","34230","31990"
"In post","2021","Asian","West Midlands","Unknown","100","100","27880","25560"
"In post","2021","Asian","West Wales and The Valleys","AA/AO","50","50","21050","21590"
"In post","2021","Asian","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Yorkshire","AA/AO","580","500","20690","20140"
"In post","2021","Asian","West Yorkshire","EO","700","650","26560","27570"
"In post","2021","Asian","West Yorkshire","G6/G7","80","80","54180","52580"
"In post","2021","Asian","West Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Yorkshire","SEO/HEO","380","360","33890","31810"
"In post","2021","Asian","West Yorkshire","Unknown","50","50","29640","29200"
"In post","2021","Black","Bedfordshire and Hertfordshire","AA/AO","60","50","24580","22980"
"In post","2021","Black","Bedfordshire and Hertfordshire","EO","110","100","28920","29290"
"In post","2021","Black","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Black","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","100","100","25500","23430"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","EO","100","100","28440","27570"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Black","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Derbyshire and Nottinghamshire","AA/AO","120","110","21460","21010"
"In post","2021","Black","Derbyshire and Nottinghamshire","EO","110","100","26570","27570"
"In post","2021","Black","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Derbyshire and Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Derbyshire and Nottinghamshire","SEO/HEO","50","50","35270","32950"
"In post","2021","Black","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Anglia","AA/AO","40","40","[c]","[c]"
"In post","2021","Black","East Anglia","EO","40","40","[c]","[c]"
"In post","2021","Black","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Anglia","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Anglia","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Black","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Wales","AA/AO","50","50","20990","20140"
"In post","2021","Black","East Wales","EO","50","50","[c]","[c]"
"In post","2021","Black","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Wales","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Black","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Yorkshire and Northern Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Essex","AA/AO","60","60","23660","24180"
"In post","2021","Black","Essex","EO","130","120","28930","29290"
"In post","2021","Black","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Black","Essex","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Black","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","60","60","21660","21010"
"In post","2021","Black","Gloucestershire, Wiltshire and Bath/Bristol area","EO","110","100","25550","26710"
"In post","2021","Black","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","40","40","[c]","[c]"
"In post","2021","Black","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","[c]","[c]","[c]","[c]"
