"Status","Year","Responsibility_level","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","HM Land Registry","Declared non-disabled","390","360","22560","22350"
"In post","2021","AA/AO","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Land Registry","Unknown","1320","1270","22450","22350"
"In post","2021","AA/AO","HM Revenue and Customs","Declared disabled","1980","1660","20990","20660"
"In post","2021","AA/AO","HM Revenue and Customs","Declared non-disabled","9920","8550","20820","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Undeclared","820","700","21140","21100"
"In post","2021","AA/AO","HM Revenue and Customs","Unknown","8880","7820","20610","20140"
"In post","2021","AA/AO","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Declared disabled","840","730","21870","21430"
"In post","2021","AA/AO","Home Office","Declared non-disabled","6630","5850","22010","21430"
"In post","2021","AA/AO","Home Office","Undeclared","290","250","22290","21430"
"In post","2021","AA/AO","Home Office","Unknown","570","550","21830","21430"
"In post","2021","AA/AO","Ministry of Defence","Declared disabled","1400","1330","22360","20920"
"In post","2021","AA/AO","Ministry of Defence","Declared non-disabled","10380","9980","22380","20920"
"In post","2021","AA/AO","Ministry of Defence","Undeclared","1120","1080","23030","21130"
"In post","2021","AA/AO","Ministry of Defence","Unknown","3020","2910","24430","21130"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Declared disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Declared non-disabled","140","130","22800","22560"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Unknown","50","50","21530","21270"
"In post","2021","AA/AO","Ministry of Justice","Declared disabled","3920","3580","23450","21550"
"In post","2021","AA/AO","Ministry of Justice","Declared non-disabled","26180","24260","24310","23240"
"In post","2021","AA/AO","Ministry of Justice","Undeclared","5160","4630","26420","25760"
"In post","2021","AA/AO","Ministry of Justice","Unknown","5310","5180","23870","22850"
"In post","2021","AA/AO","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Declared non-disabled","60","50","25750","25450"
"In post","2021","AA/AO","National Crime Agency","Unknown","240","230","23190","22600"
"In post","2021","AA/AO","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Declared non-disabled","180","160","21280","21160"
"In post","2021","AA/AO","Office for Standards in Education","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","Declared disabled","430","400","23250","22920"
"In post","2021","AA/AO","Scottish Government","Declared non-disabled","2240","2100","23000","22230"
"In post","2021","AA/AO","Scottish Government","Undeclared","60","60","22350","22220"
"In post","2021","AA/AO","Scottish Government","Unknown","3390","3140","23010","22820"
"In post","2021","AA/AO","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","AA/AO","The National Archives","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Declared disabled","150","100","19430","19520"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Declared non-disabled","620","420","19630","19520"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Undeclared","60","40","19370","19130"
"In post","2021","AA/AO","United Kingdom Statistics Authority","Unknown","640","470","19710","19130"
"In post","2021","AA/AO","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government","Declared disabled","70","60","23430","23830"
"In post","2021","AA/AO","Welsh Government","Declared non-disabled","780","710","23420","23830"
"In post","2021","AA/AO","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government","Unknown","100","90","22440","22160"
"In post","2021","EO","Attorney General's Departments","Declared disabled","180","160","28360","28430"
"In post","2021","EO","Attorney General's Departments","Declared non-disabled","1240","1160","28190","28430"
"In post","2021","EO","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Attorney General's Departments","Unknown","320","310","27390","26970"
"In post","2021","EO","Cabinet Office","Declared disabled","120","110","27190","27500"
"In post","2021","EO","Cabinet Office","Declared non-disabled","560","550","27260","27500"
"In post","2021","EO","Cabinet Office","Undeclared","40","30","[c]","[c]"
"In post","2021","EO","Cabinet Office","Unknown","170","170","27210","27500"
"In post","2021","EO","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Charity Commission","Declared non-disabled","50","50","24440","24440"
"In post","2021","EO","Charity Commission","Unknown","50","50","25010","24440"
"In post","2021","EO","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Declared non-disabled","70","60","28370","27920"
"In post","2021","EO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","Declared disabled","170","160","26810","26380"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","Declared non-disabled","1090","1030","26740","26750"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","Undeclared","50","50","[c]","[c]"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","Unknown","640","620","25800","24330"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Declared non-disabled","140","130","27470","26180"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Education","Declared disabled","110","100","26540","26000"
"In post","2021","EO","Department for Education","Declared non-disabled","540","510","26860","26000"
"In post","2021","EO","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for Education","Unknown","290","280","26330","25000"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","Declared disabled","230","210","26430","25640"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","Declared non-disabled","1580","1490","26200","25330"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","Undeclared","90","80","26300","25520"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","Unknown","160","150","26250","25190"
"In post","2021","EO","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for International Trade","Declared non-disabled","130","130","27650","27580"
"In post","2021","EO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Department for International Trade","Unknown","90","90","26730","26510"
"In post","2021","EO","Department for Transport","Declared disabled","410","360","27890","26780"
"In post","2021","EO","Department for Transport","Declared non-disabled","2830","2650","28100","26780"
"In post","2021","EO","Department for Transport","Undeclared","330","310","28060","26780"
"In post","2021","EO","Department for Transport","Unknown","620","600","27690","26700"
"In post","2021","EO","Department for Work and Pensions","Declared disabled","8440","7490","28060","27570"
"In post","2021","EO","Department for Work and Pensions","Declared non-disabled","36440","32960","28110","27570"
"In post","2021","EO","Department for Work and Pensions","Undeclared","2220","2080","28130","27570"
"In post","2021","EO","Department for Work and Pensions","Unknown","1920","1840","28340","27570"
"In post","2021","EO","Department of Health and Social Care","Declared disabled","80","70","26480","26880"
"In post","2021","EO","Department of Health and Social Care","Declared non-disabled","780","730","25960","26880"
"In post","2021","EO","Department of Health and Social Care","Undeclared","60","50","25600","25180"
"In post","2021","EO","Department of Health and Social Care","Unknown","660","630","27150","27270"
"In post","2021","EO","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Food Standards Agency","Declared disabled","30","30","[c]","[c]"
"In post","2021","EO","Food Standards Agency","Declared non-disabled","320","310","27330","26750"
"In post","2021","EO","Food Standards Agency","Undeclared","80","80","26990","26750"
"In post","2021","EO","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Foreign, Commonwealth and Development Office","Declared disabled","130","120","29730","29500"
"In post","2021","EO","Foreign, Commonwealth and Development Office","Declared non-disabled","660","640","29570","29300"
"In post","2021","EO","Foreign, Commonwealth and Development Office","Undeclared","40","40","[c]","[c]"
"In post","2021","EO","Foreign, Commonwealth and Development Office","Unknown","140","140","28680","28530"
"In post","2021","EO","HM Land Registry","Declared disabled","200","170","27440","27130"
"In post","2021","EO","HM Land Registry","Declared non-disabled","1550","1330","27430","27130"
"In post","2021","EO","HM Land Registry","Undeclared","100","90","27650","27130"
"In post","2021","EO","HM Land Registry","Unknown","310","300","27840","27130"
"In post","2021","EO","HM Revenue and Customs","Declared disabled","1290","1150","26760","25560"
"In post","2021","EO","HM Revenue and Customs","Declared non-disabled","8740","8030","26490","25560"
"In post","2021","EO","HM Revenue and Customs","Undeclared","760","690","27090","26000"
"In post","2021","EO","HM Revenue and Customs","Unknown","4860","4570","26170","25560"
"In post","2021","EO","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","HM Treasury","Declared non-disabled","170","160","26930","26750"
"In post","2021","EO","HM Treasury","Undeclared","30","30","[c]","[c]"
"In post","2021","EO","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Home Office","Declared disabled","1190","1080","27170","26910"
"In post","2021","EO","Home Office","Declared non-disabled","11640","10650","26920","25960"
"In post","2021","EO","Home Office","Undeclared","790","710","27390","27370"
"In post","2021","EO","Home Office","Unknown","750","730","26630","24890"
"In post","2021","EO","Ministry of Defence","Declared disabled","1090","1040","26870","26670"
"In post","2021","EO","Ministry of Defence","Declared non-disabled","7260","7020","26800","26670"
"In post","2021","EO","Ministry of Defence","Undeclared","830","800","27970","26740"
"In post","2021","EO","Ministry of Defence","Unknown","1430","1380","26610","26670"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Declared disabled","50","50","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Declared non-disabled","270","250","28050","27850"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","Unknown","40","40","[c]","[c]"
"In post","2021","EO","Ministry of Justice","Declared disabled","1170","1110","27600","26850"
"In post","2021","EO","Ministry of Justice","Declared non-disabled","7160","6830","28040","27380"
"In post","2021","EO","Ministry of Justice","Undeclared","1610","1520","30640","32040"
"In post","2021","EO","Ministry of Justice","Unknown","490","480","26250","26410"
"In post","2021","EO","National Crime Agency","Declared disabled","90","90","33570","33910"
"In post","2021","EO","National Crime Agency","Declared non-disabled","610","590","34740","34630"
"In post","2021","EO","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","National Crime Agency","Unknown","1770","1740","33020","32770"
"In post","2021","EO","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","Declared non-disabled","150","150","26230","25880"
"In post","2021","EO","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Gas and Electricity Markets","Declared non-disabled","220","220","25720","25260"
"In post","2021","EO","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","Unknown","90","80","23420","22230"
"In post","2021","EO","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","Declared disabled","460","440","30520","30080"
"In post","2021","EO","Scottish Government","Declared non-disabled","1770","1710","28710","29040"
"In post","2021","EO","Scottish Government","Undeclared","60","50","29550","29190"
"In post","2021","EO","Scottish Government","Unknown","3210","3030","31040","30930"
"In post","2021","EO","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","The National Archives","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","EO","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Export Finance","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","EO","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Declared disabled","70","70","24600","23520"
"In post","2021","EO","United Kingdom Statistics Authority","Declared non-disabled","340","310","24150","23520"
"In post","2021","EO","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","Unknown","350","340","23630","23050"
"In post","2021","EO","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Declared disabled","60","60","28790","28850"
"In post","2021","EO","Welsh Government","Declared non-disabled","870","810","28720","28850"
"In post","2021","EO","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Welsh Government","Unknown","70","60","28100","28850"
"In post","2021","G6/G7","Attorney General's Departments","Declared disabled","430","400","59530","56800"
"In post","2021","G6/G7","Attorney General's Departments","Declared non-disabled","3410","3150","58510","55610"
"In post","2021","G6/G7","Attorney General's Departments","Undeclared","80","70","61710","64680"
"In post","2021","G6/G7","Attorney General's Departments","Unknown","850","790","57720","55610"
"In post","2021","G6/G7","Cabinet Office","Declared disabled","240","230","58140","56340"
"In post","2021","G6/G7","Cabinet Office","Declared non-disabled","1710","1680","58890","56340"
"In post","2021","G6/G7","Cabinet Office","Undeclared","90","90","58780","56920"
"In post","2021","G6/G7","Cabinet Office","Unknown","990","970","61270","55910"
"In post","2021","G6/G7","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Declared non-disabled","150","140","76550","69690"
"In post","2021","G6/G7","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","G6/G7","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Declared non-disabled","360","350","65530","62100"
"In post","2021","G6/G7","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Competition and Markets Authority","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Declared disabled","250","240","58390","56430"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Declared non-disabled","2730","2640","57670","56630"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Undeclared","150","150","58620","55750"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","Unknown","490","470","57950","55520"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Declared disabled","40","40","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Declared non-disabled","610","600","58840","57580"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","Unknown","120","110","58390","55550"
"In post","2021","G6/G7","Department for Education","Declared disabled","200","200","56640","54170"
"In post","2021","G6/G7","Department for Education","Declared non-disabled","2230","2150","56590","54160"
"In post","2021","G6/G7","Department for Education","Undeclared","130","120","57270","54400"
"In post","2021","G6/G7","Department for Education","Unknown","330","320","55480","53420"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Declared disabled","210","200","53970","53200"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Declared non-disabled","1660","1610","54580","53270"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Undeclared","110","110","54050","52290"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","Unknown","360","340","54690","53310"
"In post","2021","G6/G7","Department for International Trade","Declared disabled","90","90","56420","53260"
"In post","2021","G6/G7","Department for International Trade","Declared non-disabled","580","570","55500","52400"
"In post","2021","G6/G7","Department for International Trade","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","Department for International Trade","Unknown","380","380","55010","51970"
"In post","2021","G6/G7","Department for Transport","Declared disabled","100","90","59890","54760"
"In post","2021","G6/G7","Department for Transport","Declared non-disabled","1400","1360","60530","56320"
"In post","2021","G6/G7","Department for Transport","Undeclared","240","230","59210","54760"
"In post","2021","G6/G7","Department for Transport","Unknown","150","140","60950","56490"
"In post","2021","G6/G7","Department for Work and Pensions","Declared disabled","340","320","56350","54070"
"In post","2021","G6/G7","Department for Work and Pensions","Declared non-disabled","2660","2550","57300","54590"
