"Status","Year","Region_ITL2","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Heterosexual / straight","970","970","27850","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","LGBO","100","100","26800","26640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Undeclared","90","90","27520","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Unknown","310","310","26920","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Heterosexual / straight","1290","1240","32400","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","LGBO","100","100","31190","29990"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Undeclared","110","110","33420","33220"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Unknown","340","320","32940","30890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Heterosexual / straight","1470","1400","34760","31460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","LGBO","60","60","32400","31330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Undeclared","190","180","34930","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","40-49","Unknown","360","340","36140","33520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Heterosexual / straight","2030","1950","34680","31800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","LGBO","70","70","36100","33520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Undeclared","350","340","34480","32520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","50-59","Unknown","500","460","34820","32520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Heterosexual / straight","600","540","32400","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Undeclared","100","90","33300","31880"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","60-64","Unknown","140","120","33590","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Heterosexual / straight","240","200","31300","26670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Undeclared","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","65+","Unknown","60","50","33380","28400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","20-29","Heterosexual / straight","440","430","27440","27570"
"In post","2021","Cheshire","20-29","LGBO","50","50","26440","27150"
"In post","2021","Cheshire","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","Cheshire","20-29","Unknown","100","100","24850","24040"
"In post","2021","Cheshire","30-39","Heterosexual / straight","590","560","31620","30640"
"In post","2021","Cheshire","30-39","LGBO","60","60","31240","30640"
"In post","2021","Cheshire","30-39","Undeclared","60","60","30590","30640"
"In post","2021","Cheshire","30-39","Unknown","140","130","29820","27570"
"In post","2021","Cheshire","40-49","Heterosexual / straight","610","580","34040","31650"
"In post","2021","Cheshire","40-49","LGBO","40","40","[c]","[c]"
"In post","2021","Cheshire","40-49","Undeclared","70","70","34040","33410"
"In post","2021","Cheshire","40-49","Unknown","160","150","30820","28400"
"In post","2021","Cheshire","50-59","Heterosexual / straight","840","790","33230","28840"
"In post","2021","Cheshire","50-59","LGBO","30","30","[c]","[c]"
"In post","2021","Cheshire","50-59","Undeclared","120","110","32140","30870"
"In post","2021","Cheshire","50-59","Unknown","210","190","30570","31500"
"In post","2021","Cheshire","60-64","Heterosexual / straight","180","150","29780","27570"
"In post","2021","Cheshire","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","60-64","Unknown","70","50","29190","27570"
"In post","2021","Cheshire","65+","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Cheshire","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Heterosexual / straight","90","90","23640","21010"
"In post","2021","Cornwall and Isles of Scilly","20-29","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Heterosexual / straight","150","140","26490","26670"
"In post","2021","Cornwall and Isles of Scilly","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","30-39","Unknown","70","50","24600","21010"
"In post","2021","Cornwall and Isles of Scilly","40-49","Heterosexual / straight","250","230","27440","27570"
"In post","2021","Cornwall and Isles of Scilly","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Undeclared","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","40-49","Unknown","80","70","29560","27570"
"In post","2021","Cornwall and Isles of Scilly","50-59","Heterosexual / straight","470","440","27260","26670"
"In post","2021","Cornwall and Isles of Scilly","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","50-59","Undeclared","70","60","27080","26670"
"In post","2021","Cornwall and Isles of Scilly","50-59","Unknown","100","90","25350","26720"
"In post","2021","Cornwall and Isles of Scilly","60-64","Heterosexual / straight","130","110","26050","26550"
"In post","2021","Cornwall and Isles of Scilly","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","65+","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","20-29","Heterosexual / straight","110","110","24470","23540"
"In post","2021","Cumbria","20-29","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","20-29","Unknown","80","80","22150","21050"
"In post","2021","Cumbria","30-39","Heterosexual / straight","220","200","28350","25240"
"In post","2021","Cumbria","30-39","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","30-39","Unknown","100","90","24580","21050"
"In post","2021","Cumbria","40-49","Heterosexual / straight","380","340","29310","26670"
"In post","2021","Cumbria","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","40-49","Undeclared","50","40","[c]","[c]"
"In post","2021","Cumbria","40-49","Unknown","200","170","26740","24920"
"In post","2021","Cumbria","50-59","Heterosexual / straight","450","420","29760","26810"
"In post","2021","Cumbria","50-59","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","50-59","Undeclared","70","70","29820","26520"
"In post","2021","Cumbria","50-59","Unknown","160","140","27520","21750"
"In post","2021","Cumbria","60-64","Heterosexual / straight","110","90","27300","25190"
"In post","2021","Cumbria","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","60-64","Unknown","50","40","24810","21050"
"In post","2021","Cumbria","65+","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Cumbria","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","20-29","Heterosexual / straight","1110","1090","26410","25560"
"In post","2021","Derbyshire and Nottinghamshire","20-29","LGBO","110","110","24770","24630"
"In post","2021","Derbyshire and Nottinghamshire","20-29","Undeclared","70","70","25950","25560"
"In post","2021","Derbyshire and Nottinghamshire","20-29","Unknown","570","560","25250","25560"
"In post","2021","Derbyshire and Nottinghamshire","30-39","Heterosexual / straight","1620","1520","30430","27570"
"In post","2021","Derbyshire and Nottinghamshire","30-39","LGBO","150","140","30060","27570"
"In post","2021","Derbyshire and Nottinghamshire","30-39","Undeclared","160","150","30490","28400"
"In post","2021","Derbyshire and Nottinghamshire","30-39","Unknown","540","500","28250","26000"
"In post","2021","Derbyshire and Nottinghamshire","40-49","Heterosexual / straight","1900","1760","33380","30130"
"In post","2021","Derbyshire and Nottinghamshire","40-49","LGBO","110","110","32880","31180"
"In post","2021","Derbyshire and Nottinghamshire","40-49","Undeclared","290","260","32330","31000"
"In post","2021","Derbyshire and Nottinghamshire","40-49","Unknown","630","580","31080","27570"
"In post","2021","Derbyshire and Nottinghamshire","50-59","Heterosexual / straight","2510","2350","33880","28130"
"In post","2021","Derbyshire and Nottinghamshire","50-59","LGBO","90","90","35030","31650"
"In post","2021","Derbyshire and Nottinghamshire","50-59","Undeclared","450","420","32700","28130"
"In post","2021","Derbyshire and Nottinghamshire","50-59","Unknown","830","760","30390","27570"
"In post","2021","Derbyshire and Nottinghamshire","60-64","Heterosexual / straight","580","470","29940","27570"
"In post","2021","Derbyshire and Nottinghamshire","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","60-64","Undeclared","100","80","31460","27570"
"In post","2021","Derbyshire and Nottinghamshire","60-64","Unknown","190","150","29340","27130"
"In post","2021","Derbyshire and Nottinghamshire","65+","Heterosexual / straight","140","110","31270","27570"
"In post","2021","Derbyshire and Nottinghamshire","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","65+","Undeclared","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","65+","Unknown","50","30","[c]","[c]"
"In post","2021","Devon","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Devon","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","20-29","Heterosexual / straight","510","500","25290","24440"
"In post","2021","Devon","20-29","LGBO","70","70","24800","23970"
"In post","2021","Devon","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","Devon","20-29","Unknown","420","410","26910","25630"
"In post","2021","Devon","30-39","Heterosexual / straight","880","810","28540","27150"
"In post","2021","Devon","30-39","LGBO","60","60","27670","26780"
"In post","2021","Devon","30-39","Undeclared","70","70","28650","27470"
"In post","2021","Devon","30-39","Unknown","790","740","34270","33860"
"In post","2021","Devon","40-49","Heterosexual / straight","1170","1080","31470","27570"
"In post","2021","Devon","40-49","LGBO","60","50","30040","27570"
"In post","2021","Devon","40-49","Undeclared","150","140","30570","27570"
"In post","2021","Devon","40-49","Unknown","850","780","37520","38450"
"In post","2021","Devon","50-59","Heterosexual / straight","1670","1550","30930","27570"
"In post","2021","Devon","50-59","LGBO","60","60","27150","27350"
"In post","2021","Devon","50-59","Undeclared","300","270","32920","29150"
"In post","2021","Devon","50-59","Unknown","850","790","36230","33860"
"In post","2021","Devon","60-64","Heterosexual / straight","500","420","27690","25150"
"In post","2021","Devon","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","60-64","Undeclared","110","90","29380","26670"
"In post","2021","Devon","60-64","Unknown","200","160","31050","27570"
"In post","2021","Devon","65+","Heterosexual / straight","140","100","26680","22080"
"In post","2021","Devon","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Devon","65+","Unknown","70","50","32640","27280"
"In post","2021","Devon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","20-29","Heterosexual / straight","360","360","25530","25830"
"In post","2021","Dorset and Somerset","20-29","LGBO","50","40","[c]","[c]"
"In post","2021","Dorset and Somerset","20-29","Undeclared","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","20-29","Unknown","110","110","24450","22850"
"In post","2021","Dorset and Somerset","30-39","Heterosexual / straight","590","560","28950","27570"
"In post","2021","Dorset and Somerset","30-39","LGBO","40","40","[c]","[c]"
"In post","2021","Dorset and Somerset","30-39","Undeclared","60","60","31110","30210"
"In post","2021","Dorset and Somerset","30-39","Unknown","160","150","29240","27570"
"In post","2021","Dorset and Somerset","40-49","Heterosexual / straight","790","750","31140","27570"
"In post","2021","Dorset and Somerset","40-49","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","40-49","Undeclared","120","120","30640","27570"
"In post","2021","Dorset and Somerset","40-49","Unknown","200","180","31980","27570"
"In post","2021","Dorset and Somerset","50-59","Heterosexual / straight","1290","1220","30710","27570"
"In post","2021","Dorset and Somerset","50-59","LGBO","40","40","[c]","[c]"
"In post","2021","Dorset and Somerset","50-59","Undeclared","240","220","31010","28830"
"In post","2021","Dorset and Somerset","50-59","Unknown","300","270","30930","27570"
"In post","2021","Dorset and Somerset","60-64","Heterosexual / straight","410","350","28100","27520"
"In post","2021","Dorset and Somerset","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","60-64","Undeclared","80","70","28770","27570"
"In post","2021","Dorset and Somerset","60-64","Unknown","80","60","30030","27570"
"In post","2021","Dorset and Somerset","65+","Heterosexual / straight","150","120","27750","27130"
"In post","2021","Dorset and Somerset","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","65+","Unknown","40","30","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","20-29","Heterosexual / straight","1000","980","25760","25560"
"In post","2021","East Anglia","20-29","LGBO","100","100","25390","24920"
"In post","2021","East Anglia","20-29","Undeclared","70","70","25390","24890"
"In post","2021","East Anglia","20-29","Unknown","330","320","25560","25300"
"In post","2021","East Anglia","30-39","Heterosexual / straight","1630","1520","29560","27570"
"In post","2021","East Anglia","30-39","LGBO","100","100","28180","26810"
"In post","2021","East Anglia","30-39","Undeclared","170","160","31660","30430"
"In post","2021","East Anglia","30-39","Unknown","410","380","29360","28070"
"In post","2021","East Anglia","40-49","Heterosexual / straight","2050","1910","31560","27570"
"In post","2021","East Anglia","40-49","LGBO","90","90","30050","27570"
"In post","2021","East Anglia","40-49","Undeclared","270","250","31300","28500"
"In post","2021","East Anglia","40-49","Unknown","540","490","31520","28270"
"In post","2021","East Anglia","50-59","Heterosexual / straight","2870","2740","31500","27570"
"In post","2021","East Anglia","50-59","LGBO","90","80","30390","27570"
"In post","2021","East Anglia","50-59","Undeclared","500","470","31100","28390"
"In post","2021","East Anglia","50-59","Unknown","670","620","31910","27570"
"In post","2021","East Anglia","60-64","Heterosexual / straight","820","710","29230","26930"
"In post","2021","East Anglia","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","60-64","Undeclared","160","140","29520","27370"
"In post","2021","East Anglia","60-64","Unknown","190","150","29780","27380"
"In post","2021","East Anglia","65+","Heterosexual / straight","260","200","28370","24730"
"In post","2021","East Anglia","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","65+","Undeclared","60","40","30430","26860"
"In post","2021","East Anglia","65+","Unknown","70","50","28350","26500"
"In post","2021","East Wales","16-19","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","East Wales","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","16-19","Unknown","30","30","[c]","[c]"
"In post","2021","East Wales","20-29","Heterosexual / straight","2010","1980","26750","25560"
"In post","2021","East Wales","20-29","LGBO","250","250","27200","25560"
"In post","2021","East Wales","20-29","Undeclared","140","140","27390","26290"
"In post","2021","East Wales","20-29","Unknown","1060","1050","25570","23840"
"In post","2021","East Wales","30-39","Heterosexual / straight","3240","3070","32640","29540"
"In post","2021","East Wales","30-39","LGBO","300","290","31720","27680"
"In post","2021","East Wales","30-39","Undeclared","300","290","33170","29540"
"In post","2021","East Wales","30-39","Unknown","1140","1070","29660","27290"
"In post","2021","East Wales","40-49","Heterosexual / straight","3250","3060","37000","31810"
"In post","2021","East Wales","40-49","LGBO","170","160","35770","29540"
"In post","2021","East Wales","40-49","Undeclared","400","380","36670","31810"
"In post","2021","East Wales","40-49","Unknown","880","810","33200","27570"
"In post","2021","East Wales","50-59","Heterosexual / straight","3490","3300","35250","29670"
"In post","2021","East Wales","50-59","LGBO","120","120","35860","28850"
"In post","2021","East Wales","50-59","Undeclared","630","600","34300","28850"
"In post","2021","East Wales","50-59","Unknown","1050","940","30680","26990"
"In post","2021","East Wales","60-64","Heterosexual / straight","930","750","33290","27570"
"In post","2021","East Wales","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","60-64","Undeclared","200","170","29820","27460"
"In post","2021","East Wales","60-64","Unknown","280","210","27740","22490"
"In post","2021","East Wales","65+","Heterosexual / straight","290","210","32390","27570"
"In post","2021","East Wales","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","65+","Undeclared","80","60","32500","28130"
"In post","2021","East Wales","65+","Unknown","80","50","29560","22770"
"In post","2021","East Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","20-29","Heterosexual / straight","430","420","24220","24440"
"In post","2021","East Yorkshire and Northern Lincolnshire","20-29","LGBO","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","20-29","Unknown","150","140","23460","22350"
"In post","2021","East Yorkshire and Northern Lincolnshire","30-39","Heterosexual / straight","590","530","27400","26590"
"In post","2021","East Yorkshire and Northern Lincolnshire","30-39","LGBO","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","30-39","Undeclared","60","60","29420","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","30-39","Unknown","140","130","26230","25930"
"In post","2021","East Yorkshire and Northern Lincolnshire","40-49","Heterosexual / straight","690","640","28770","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","40-49","LGBO","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","40-49","Undeclared","90","80","28660","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","40-49","Unknown","170","150","27820","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","50-59","Heterosexual / straight","1150","1050","29020","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","50-59","LGBO","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","50-59","Undeclared","230","210","28820","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","50-59","Unknown","290","270","28920","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","60-64","Heterosexual / straight","320","260","28970","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","60-64","Undeclared","70","60","29160","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","60-64","Unknown","60","40","27480","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","65+","Heterosexual / straight","60","50","26710","26930"
"In post","2021","East Yorkshire and Northern Lincolnshire","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","16-19","Heterosexual / straight","50","50","21400","21150"
"In post","2021","Eastern Scotland","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","16-19","Unknown","30","30","[c]","[c]"
"In post","2021","Eastern Scotland","20-29","Heterosexual / straight","1440","1410","27850","26570"
"In post","2021","Eastern Scotland","20-29","LGBO","210","210","27500","26160"
"In post","2021","Eastern Scotland","20-29","Undeclared","250","250","25910","23340"
"In post","2021","Eastern Scotland","20-29","Unknown","1070","1040","25630","24110"
"In post","2021","Eastern Scotland","30-39","Heterosexual / straight","2540","2420","35450","31810"
"In post","2021","Eastern Scotland","30-39","LGBO","240","240","35730","32060"
"In post","2021","Eastern Scotland","30-39","Undeclared","430","410","31720","29350"
"In post","2021","Eastern Scotland","30-39","Unknown","1270","1210","31550","28410"
"In post","2021","Eastern Scotland","40-49","Heterosexual / straight","2800","2650","39370","33650"
"In post","2021","Eastern Scotland","40-49","LGBO","150","150","39070","31990"
"In post","2021","Eastern Scotland","40-49","Undeclared","460","420","33410","29350"
"In post","2021","Eastern Scotland","40-49","Unknown","1300","1210","34480","30160"
"In post","2021","Eastern Scotland","50-59","Heterosexual / straight","3190","3030","37540","32690"
"In post","2021","Eastern Scotland","50-59","LGBO","130","130","37520","29270"
"In post","2021","Eastern Scotland","50-59","Undeclared","630","590","33520","29190"
"In post","2021","Eastern Scotland","50-59","Unknown","1720","1620","35640","33620"
"In post","2021","Eastern Scotland","60-64","Heterosexual / straight","770","640","33080","27570"
