"Status","Year","Parent_department","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared non-disabled","100","100","33640","29160"
"In post","2021","Charity Commission","Unknown","Unknown","130","120","31850","29160"
"In post","2021","Competition and Markets Authority","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Declared non-disabled","110","110","58380","56360"
"In post","2021","Competition and Markets Authority","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Declared non-disabled","60","60","57480","55860"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Declared non-disabled","140","140","68830","71900"
"In post","2021","Competition and Markets Authority","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Declared non-disabled","310","300","59310","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Unknown","50","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Declared non-disabled","210","210","44830","37890"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Unknown","80","80","38600","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Declared non-disabled","220","210","43370","41870"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Declared non-disabled","140","130","43720","39810"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Unknown","80","70","44230","40480"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Declared non-disabled","200","190","40490","39490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Unknown","50","50","34690","34390"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Declared disabled","90","90","38600","36070"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Declared non-disabled","1280","1230","41530","39670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Unknown","190","190","40860","39120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Declared non-disabled","240","220","45620","42550"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Unknown","50","50","38850","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Declared non-disabled","300","280","39530","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Unknown","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Declared non-disabled","70","60","50350","48020"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Declared disabled","740","710","39330","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Declared non-disabled","5370","5140","43120","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Undeclared","300","290","44380","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Unknown","2210","2110","33880","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Declared disabled","60","50","39800","36110"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Declared non-disabled","680","660","44210","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Unknown","150","140","44360","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Declared non-disabled","70","60","33550","28240"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Declared non-disabled","110","110","52410","50400"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Declared non-disabled","60","60","57330","61730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Declared non-disabled","50","50","49010","37360"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Declared disabled","70","70","44970","36670"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Declared non-disabled","870","860","48560","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Undeclared","50","50","43900","37640"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Unknown","190","180","47680","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Declared non-disabled","150","150","48720","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","Declared disabled","30","30","[c]","[c]"
"In post","2021","Department for Education","Analysis","Declared non-disabled","300","280","45660","45250"
"In post","2021","Department for Education","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","Unknown","60","60","39490","36980"
"In post","2021","Department for Education","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Commercial","Declared non-disabled","140","140","41880","38280"
"In post","2021","Department for Education","Commercial","Undeclared","[c]","[c]","[c]","[c]"
