"Status","Year","Organisation","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Competition and Markets Authority","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","EO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","G6/G7","210","210","66870","65340"
"In post","2021","Competition and Markets Authority","Male","SCS","60","60","111010","102520"
"In post","2021","Competition and Markets Authority","Male","SEO/HEO","90","90","37910","35000"
"In post","2021","Criminal Injuries Compensation Authority","Female","AA/AO","60","60","20380","20650"
"In post","2021","Criminal Injuries Compensation Authority","Female","EO","50","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","AA/AO","50","50","20120","20480"
"In post","2021","Criminal Injuries Compensation Authority","Male","EO","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","EO","60","60","23380","22230"
"In post","2021","Crown Commercial Service","Female","G6/G7","110","110","51650","49300"
"In post","2021","Crown Commercial Service","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","SEO/HEO","220","210","32800","34800"
"In post","2021","Crown Commercial Service","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","EO","50","50","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","G6/G7","90","90","53970","55020"
"In post","2021","Crown Commercial Service","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","SEO/HEO","210","210","33500","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","AA/AO","540","470","21900","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","EO","240","220","27320","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","G6/G7","140","130","66610","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","SEO/HEO","530","490","41680","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","AA/AO","170","160","22050","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","EO","80","80","27340","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","G6/G7","60","50","66500","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","SEO/HEO","240","230","42700","38150"
"In post","2021","Crown Prosecution Service","Female","AA/AO","1070","950","22250","21950"
"In post","2021","Crown Prosecution Service","Female","EO","980","880","27970","28430"
"In post","2021","Crown Prosecution Service","Female","G6/G7","1740","1560","56880","55610"
"In post","2021","Crown Prosecution Service","Female","SCS","50","50","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","SEO/HEO","650","620","36210","36240"
"In post","2021","Crown Prosecution Service","Male","AA/AO","390","380","22200","21950"
"In post","2021","Crown Prosecution Service","Male","EO","380","370","27910","28430"
"In post","2021","Crown Prosecution Service","Male","G6/G7","1140","1100","58780","55610"
"In post","2021","Crown Prosecution Service","Male","SCS","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","SEO/HEO","330","330","35970","36240"
"In post","2021","Crown Prosecution Service Inspectorate","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","G6/G7","50","50","[c]","[c]"
"In post","2021","Debt Management Office","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","AA/AO","60","60","19510","19810"
"In post","2021","Defence Electronics and Components Agency","Male","EO","240","230","28100","28750"
"In post","2021","Defence Electronics and Components Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","SEO/HEO","60","50","36560","32850"
"In post","2021","Defence Equipment and Support","Female","EO","1020","930","22180","21470"
"In post","2021","Defence Equipment and Support","Female","G6/G7","480","460","55700","54530"
"In post","2021","Defence Equipment and Support","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","SEO/HEO","2130","2000","34130","33450"
"In post","2021","Defence Equipment and Support","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","EO","1590","1570","22290","21120"
"In post","2021","Defence Equipment and Support","Male","G6/G7","1180","1170","57330","55480"
"In post","2021","Defence Equipment and Support","Male","SCS","90","80","105710","96140"
"In post","2021","Defence Equipment and Support","Male","SEO/HEO","4180","4100","36390","36550"
"In post","2021","Defence Equipment and Support","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","AA/AO","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","EO","150","130","22850","22780"
"In post","2021","Defence Science and Technology Laboratory","Female","G6/G7","580","540","49470","46090"
"In post","2021","Defence Science and Technology Laboratory","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","SEO/HEO","770","720","32830","30350"
"In post","2021","Defence Science and Technology Laboratory","Male","AA/AO","90","90","19130","17710"
"In post","2021","Defence Science and Technology Laboratory","Male","EO","100","90","23380","22780"
"In post","2021","Defence Science and Technology Laboratory","Male","G6/G7","1390","1350","51840","47140"
"In post","2021","Defence Science and Technology Laboratory","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","SEO/HEO","1260","1240","33480","36900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","AA/AO","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","EO","250","240","27870","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","G6/G7","1080","1030","58280","56220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","SCS","150","140","81660","74880"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","SEO/HEO","1080","1050","37680","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","AA/AO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","EO","150","150","28510","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","G6/G7","1260","1240","59050","57380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","SCS","180","170","84420","75540"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","SEO/HEO","1100","1090","38390","38620"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","EO","120","120","27470","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","G6/G7","420","400","58320","55220"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","SCS","70","60","85910","75500"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","SEO/HEO","350","350","36730","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","EO","60","60","27240","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","G6/G7","390","390","59020","58600"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","SCS","60","60","87040","78180"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","SEO/HEO","310","310","37360","34240"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Female","AA/AO","50","50","22180","21000"
"In post","2021","Department for Education (excl. agencies)","Female","EO","450","430","26960","26000"
"In post","2021","Department for Education (excl. agencies)","Female","G6/G7","1210","1140","56410","54160"
"In post","2021","Department for Education (excl. agencies)","Female","SCS","140","130","82660","74100"
"In post","2021","Department for Education (excl. agencies)","Female","SEO/HEO","1510","1440","35870","36500"
"In post","2021","Department for Education (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Male","EO","290","280","26740","26000"
"In post","2021","Department for Education (excl. agencies)","Male","G6/G7","920","910","57430","54400"
"In post","2021","Department for Education (excl. agencies)","Male","SCS","100","100","84470","76110"
"In post","2021","Department for Education (excl. agencies)","Male","SEO/HEO","1000","990","36060","36500"
"In post","2021","Department for Education (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","AA/AO","110","100","22490","21050"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","EO","300","280","26720","25910"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","G6/G7","940","890","54280","53200"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","SCS","110","100","83650","76070"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","SEO/HEO","1500","1420","35030","35900"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","AA/AO","60","60","22940","24370"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","EO","220","210","26790","26300"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","G6/G7","910","900","54860","53420"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","SCS","100","100","83500","77390"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","SEO/HEO","1160","1140","35120","35890"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","EO","140","140","27400","26510"
"In post","2021","Department for International Trade","Female","G6/G7","490","480","54780","51970"
"In post","2021","Department for International Trade","Female","SCS","80","80","80110","74600"
"In post","2021","Department for International Trade","Female","SEO/HEO","540","530","35310","34750"
"In post","2021","Department for International Trade","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","EO","110","110","27300","26510"
"In post","2021","Department for International Trade","Male","G6/G7","590","590","55980","53750"
"In post","2021","Department for International Trade","Male","SCS","100","90","91420","82780"
"In post","2021","Department for International Trade","Male","SEO/HEO","610","610","35390","34950"
"In post","2021","Department for Transport (excl. agencies)","Female","AA/AO","50","50","24440","25730"
"In post","2021","Department for Transport (excl. agencies)","Female","EO","230","220","28640","30270"
"In post","2021","Department for Transport (excl. agencies)","Female","G6/G7","530","510","58350","54760"
"In post","2021","Department for Transport (excl. agencies)","Female","SCS","90","80","84230","78580"
"In post","2021","Department for Transport (excl. agencies)","Female","SEO/HEO","630","620","38060","35980"
"In post","2021","Department for Transport (excl. agencies)","Male","AA/AO","100","80","30340","32740"
"In post","2021","Department for Transport (excl. agencies)","Male","EO","160","160","28900","30270"
"In post","2021","Department for Transport (excl. agencies)","Male","G6/G7","770","760","60990","57600"
"In post","2021","Department for Transport (excl. agencies)","Male","SCS","120","120","91110","82900"
"In post","2021","Department for Transport (excl. agencies)","Male","SEO/HEO","830","820","38650","37660"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","AA/AO","19630","15900","21160","21010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","EO","32260","28270","28110","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","G6/G7","1360","1280","55520","54000"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","SCS","120","110","85880","78110"
"In post","2021","Department for Work and Pensions (excl. agencies)","Female","SEO/HEO","6170","5710","34580","34290"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","AA/AO","9690","9200","21190","21010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","EO","16310","15680","28140","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","G6/G7","1410","1370","57850","56230"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","SCS","120","120","93600","85500"
"In post","2021","Department for Work and Pensions (excl. agencies)","Male","SEO/HEO","3890","3760","35170","34290"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","EO","280","270","27030","27270"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","G6/G7","790","750","57590","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","SCS","130","130","84030","76350"
"In post","2021","Department of Health and Social Care (excl. agencies)","Female","SEO/HEO","890","860","35120","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","EO","160","160","26430","27270"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","G6/G7","570","560","57530","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","SCS","140","140","91410","79630"
"In post","2021","Department of Health and Social Care (excl. agencies)","Male","SEO/HEO","550","540","35480","33000"
"In post","2021","Disclosure Scotland","Female","AA/AO","90","80","21990","22230"
"In post","2021","Disclosure Scotland","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Male","AA/AO","90","90","21890","22230"
"In post","2021","Disclosure Scotland","Male","EO","30","30","[c]","[c]"
"In post","2021","Disclosure Scotland","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Female","AA/AO","2730","2170","20490","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Female","EO","500","450","26600","26780"
"In post","2021","Driver and Vehicle Licensing Agency","Female","G6/G7","100","90","63630","55320"
"In post","2021","Driver and Vehicle Licensing Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Female","SEO/HEO","430","400","35360","32980"
"In post","2021","Driver and Vehicle Licensing Agency","Male","AA/AO","1360","1290","20950","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Male","EO","400","390","26860","26670"
"In post","2021","Driver and Vehicle Licensing Agency","Male","G6/G7","180","180","64820","62490"
"In post","2021","Driver and Vehicle Licensing Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Male","SEO/HEO","520","510","38630","39040"
"In post","2021","Driver and Vehicle Standards Agency","Female","AA/AO","370","320","21790","21590"
"In post","2021","Driver and Vehicle Standards Agency","Female","EO","680","620","27400","26780"
"In post","2021","Driver and Vehicle Standards Agency","Female","G6/G7","50","50","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Female","SEO/HEO","330","320","35820","33350"
"In post","2021","Driver and Vehicle Standards Agency","Male","AA/AO","750","730","25860","26580"
"In post","2021","Driver and Vehicle Standards Agency","Male","EO","1910","1800","28600","26780"
"In post","2021","Driver and Vehicle Standards Agency","Male","G6/G7","70","70","55560","53840"
"In post","2021","Driver and Vehicle Standards Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Male","SEO/HEO","620","610","35690","34020"
"In post","2021","Education and Skills Funding Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Female","EO","110","100","25940","26000"
"In post","2021","Education and Skills Funding Agency","Female","G6/G7","320","310","54990","50790"
"In post","2021","Education and Skills Funding Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Female","SEO/HEO","550","520","34690","36500"
"In post","2021","Education and Skills Funding Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Male","EO","70","70","26060","26000"
"In post","2021","Education and Skills Funding Agency","Male","G6/G7","270","270","55800","53420"
"In post","2021","Education and Skills Funding Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Education and Skills Funding Agency","Male","SEO/HEO","430","430","35020","36500"
"In post","2021","Education Scotland","Female","AA/AO","40","40","[c]","[c]"
"In post","2021","Education Scotland","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Female","G6/G7","140","130","68300","70160"
"In post","2021","Education Scotland","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Female","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Education Scotland","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Male","G6/G7","60","50","68670","71160"
"In post","2021","Education Scotland","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","G6/G7","30","30","[c]","[c]"
"In post","2021","ESTYN","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","G6/G7","40","30","[c]","[c]"
"In post","2021","ESTYN","Male","SCS","[c]","[c]","[c]","[c]"
