"Status","Year","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Cabinet Office","3030","2970","59600","56340"
"In post","2021","G6/G7","Chancellor's other departments","180","170","76450","70720"
"In post","2021","G6/G7","Charity Commission","70","60","55710","52700"
"In post","2021","G6/G7","Competition and Markets Authority","430","410","66300","62980"
"In post","2021","G6/G7","Department for Business, Energy and Industrial Strategy","3620","3500","57800","56410"
"In post","2021","G6/G7","Department for Digital, Culture, Media and Sport","800","790","58650","56730"
"In post","2021","G6/G7","Department for Education","2890","2780","56490","54160"
"In post","2021","G6/G7","Department for Environment, Food and Rural Affairs","2340","2260","54520","53200"
"In post","2021","G6/G7","Department for International Trade","1080","1060","55440","52460"
"In post","2021","G6/G7","Department for Transport","1880","1830","60360","55640"
"In post","2021","G6/G7","Department for Work and Pensions","3280","3150","57380","54640"
"In post","2021","G6/G7","Department of Health and Social Care","3660","3500","58140","54230"
"In post","2021","G6/G7","ESTYN","70","60","73880","74730"
"In post","2021","G6/G7","Food Standards Agency","220","220","56380","56130"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office","3280","3190","59580","58030"
"In post","2021","G6/G7","HM Land Registry","300","280","62580","60520"
"In post","2021","G6/G7","HM Revenue and Customs","7700","7410","57290","53210"
"In post","2021","G6/G7","HM Treasury","1120","1090","59020","56840"
"In post","2021","G6/G7","Home Office","3370","3290","60820","57680"
"In post","2021","G6/G7","Ministry of Defence","6340","6100","57640","55820"
"In post","2021","G6/G7","Ministry of Housing, Communities and Local Government","1420","1350","57250","54400"
"In post","2021","G6/G7","Ministry of Justice","3020","2940","61930","59900"
"In post","2021","G6/G7","National Crime Agency","370","360","64650","61860"
"In post","2021","G6/G7","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","G6/G7","Office for Standards in Education","580","570","73050","75500"
"In post","2021","G6/G7","Office of Gas and Electricity Markets","440","430","60360","59140"
"In post","2021","G6/G7","Office of Qualifications and Examinations Regulation","100","90","53040","48350"
"In post","2021","G6/G7","Office of Rail and Road","180","170","62280","61150"
"In post","2021","G6/G7","Other Cabinet Office Agencies","290","290","54050","54140"
"In post","2021","G6/G7","Scotland Office","50","50","[c]","[c]"
"In post","2021","G6/G7","Scottish Government","3260","3130","62580","61010"
"In post","2021","G6/G7","The National Archives","90","90","53110","50710"
"In post","2021","G6/G7","UK Export Finance","120","120","67800","66690"
"In post","2021","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","United Kingdom Statistics Authority","930","900","52820","50090"
"In post","2021","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Water Services Regulation Authority","70","60","78840","76800"
"In post","2021","G6/G7","Welsh Government","1050","1020","61660","60830"
"In post","2021","SCS","Attorney General's Departments","310","300","87560","82500"
"In post","2021","SCS","Cabinet Office","970","950","92190","78420"
"In post","2021","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Competition and Markets Authority","110","110","109380","101280"
"In post","2021","SCS","Department for Business, Energy and Industrial Strategy","390","380","83560","75540"
"In post","2021","SCS","Department for Digital, Culture, Media and Sport","120","120","86600","76510"
"In post","2021","SCS","Department for Education","300","290","84160","75030"
"In post","2021","SCS","Department for Environment, Food and Rural Affairs","230","230","83690","76850"
"In post","2021","SCS","Department for International Trade","180","170","86280","76730"
"In post","2021","SCS","Department for Transport","230","220","88940","80530"
"In post","2021","SCS","Department for Work and Pensions","280","270","89630","80800"
"In post","2021","SCS","Department of Health and Social Care","890","800","98740","93000"
"In post","2021","SCS","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Foreign, Commonwealth and Development Office","560","550","86520","78010"
"In post","2021","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","SCS","HM Revenue and Customs","510","500","85610","78860"
"In post","2021","SCS","HM Treasury","190","180","86580","77660"
"In post","2021","SCS","Home Office","290","280","91800","83790"
"In post","2021","SCS","Ministry of Defence","420","410","93020","86450"
"In post","2021","SCS","Ministry of Housing, Communities and Local Government","140","140","86070","77510"
"In post","2021","SCS","Ministry of Justice","330","320","90280","86110"
"In post","2021","SCS","National Crime Agency","30","30","[c]","[c]"
"In post","2021","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","SCS","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","SCS","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Scottish Government","260","250","89460","83230"
"In post","2021","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SCS","United Kingdom Statistics Authority","90","80","84910","76380"
"In post","2021","SCS","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Welsh Government","180","170","89800","81760"
"In post","2021","SEO/HEO","Attorney General's Departments","1450","1410","36610","37730"
"In post","2021","SEO/HEO","Cabinet Office","4020","3970","33650","33300"
"In post","2021","SEO/HEO","Chancellor's other departments","150","140","41470","41310"
"In post","2021","SEO/HEO","Charity Commission","240","230","33030","30350"
"In post","2021","SEO/HEO","Competition and Markets Authority","200","200","37820","35400"
"In post","2021","SEO/HEO","Department for Business, Energy and Industrial Strategy","5710","5510","37820","38320"
"In post","2021","SEO/HEO","Department for Digital, Culture, Media and Sport","660","660","37010","34020"
"In post","2021","SEO/HEO","Department for Education","3660","3540","35660","36500"
"In post","2021","SEO/HEO","Department for Environment, Food and Rural Affairs","4380","4190","34930","35890"
"In post","2021","SEO/HEO","Department for International Trade","1150","1140","35350","34830"
"In post","2021","SEO/HEO","Department for Transport","3990","3880","37760","36180"
"In post","2021","SEO/HEO","Department for Work and Pensions","11350","10690","35950","34290"
"In post","2021","SEO/HEO","Department of Health and Social Care","4650","4380","36220","36330"
"In post","2021","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Food Standards Agency","620","610","36010","37350"
"In post","2021","SEO/HEO","Foreign, Commonwealth and Development Office","3190","3140","37960","37560"
"In post","2021","SEO/HEO","HM Land Registry","2030","1820","37410","33840"
"In post","2021","SEO/HEO","HM Revenue and Customs","21030","20020","34950","32100"
"In post","2021","SEO/HEO","HM Treasury","1060","1030","36240","34320"
"In post","2021","SEO/HEO","Home Office","8780","8490","36640","35200"
"In post","2021","SEO/HEO","Ministry of Defence","20320","19700","37000","36500"
"In post","2021","SEO/HEO","Ministry of Housing, Communities and Local Government","1220","1190","36330","35740"
"In post","2021","SEO/HEO","Ministry of Justice","12400","11890","38200","36800"
"In post","2021","SEO/HEO","National Crime Agency","2290","2240","44630","43710"
"In post","2021","SEO/HEO","Northern Ireland Office","70","70","34980","34990"
"In post","2021","SEO/HEO","Office for Standards in Education","730","710","43110","42850"
"In post","2021","SEO/HEO","Office of Gas and Electricity Markets","370","370","36480","35720"
"In post","2021","SEO/HEO","Office of Qualifications and Examinations Regulation","110","110","36160","36540"
"In post","2021","SEO/HEO","Office of Rail and Road","90","90","39730","39430"
"In post","2021","SEO/HEO","Other Cabinet Office Agencies","510","490","33620","34800"
"In post","2021","SEO/HEO","Scotland Office","40","30","[c]","[c]"
"In post","2021","SEO/HEO","Scottish Government","7090","6740","39360","38540"
"In post","2021","SEO/HEO","The National Archives","280","270","35920","34770"
"In post","2021","SEO/HEO","UK Export Finance","200","200","42550","42240"
"In post","2021","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","United Kingdom Statistics Authority","2300","2220","33500","32540"
"In post","2021","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Water Services Regulation Authority","130","130","47680","46920"
"In post","2021","SEO/HEO","Welsh Government","2560","2420","40840","37410"
"In post","2021","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","Unknown","Home Office","250","250","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","4100","4050","39600","36970"
"In post","2021","Unknown","Ministry of Justice","12150","11230","30000","28690"
"In post","2021","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Attorney General's Departments","1530","1400","22720","22200"
"In post","2022","AA/AO","Cabinet Office","500","460","21810","21050"
"In post","2022","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Department for Business, Energy and Industrial Strategy","1500","1380","21580","21130"
"In post","2022","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Department for Education","130","120","21980","21250"
"In post","2022","AA/AO","Department for Environment, Food and Rural Affairs","2400","2210","21720","21300"
"In post","2022","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Department for Levelling Up, Housing and Communities","220","200","22570","22560"
"In post","2022","AA/AO","Department for Transport","5720","4980","22010","21840"
"In post","2022","AA/AO","Department for Work and Pensions","29330","25280","21410","21260"
"In post","2022","AA/AO","Department of Health and Social Care","830","720","21640","21820"
"In post","2022","AA/AO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Foreign, Commonwealth and Development Office","520","500","25810","25000"
"In post","2022","AA/AO","HM Land Registry","1750","1640","22690","22600"
"In post","2022","AA/AO","HM Revenue and Customs","20300","17720","21710","21250"
"In post","2022","AA/AO","HM Treasury","60","60","22600","22750"
"In post","2022","AA/AO","Home Office","7370","6560","22200","21680"
"In post","2022","AA/AO","Ministry of Defence","15300","14680","23190","21170"
"In post","2022","AA/AO","Ministry of Justice","39710","36840","24910","23720"
"In post","2022","AA/AO","National Crime Agency","270","250","24040","24470"
"In post","2022","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","200","180","21210","21410"
"In post","2022","AA/AO","Office of Gas and Electricity Markets","60","60","19980","19750"
"In post","2022","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Scottish Government","6840","6400","23750","23230"
"In post","2022","AA/AO","The National Archives","100","90","21560","20900"
"In post","2022","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","UK Statistics Authority","1520","1090","20340","20350"
"In post","2022","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Welsh Government","870","800","24260","24630"
"In post","2022","EO","Attorney General's Departments","1880","1760","27830","27580"
"In post","2022","EO","Cabinet Office","1050","1020","26570","27500"
"In post","2022","EO","Chancellor's other departments","40","40","[c]","[c]"
"In post","2022","EO","Charity Commission","120","110","25080","24440"
"In post","2022","EO","Competition and Markets Authority","70","70","28170","27920"
"In post","2022","EO","Department for Business, Energy and Industrial Strategy","1960","1870","26490","25880"
"In post","2022","EO","Department for Digital, Culture, Media and Sport","190","180","26790","26180"
"In post","2022","EO","Department for Education","930","900","26310","25000"
"In post","2022","EO","Department for Environment, Food and Rural Affairs","2300","2170","26130","25190"
"In post","2022","EO","Department for International Trade","270","270","27530","26510"
"In post","2022","EO","Department for Levelling Up, Housing and Communities","440","430","27640","27850"
"In post","2022","EO","Department for Transport","4270","4010","27850","26780"
"In post","2022","EO","Department for Work and Pensions","48390","43760","28110","27570"
"In post","2022","EO","Department of Health and Social Care","1560","1470","26510","26910"
"In post","2022","EO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","EO","Food Standards Agency","430","410","27170","26750"
"In post","2022","EO","Foreign, Commonwealth and Development Office","860","830","29560","29300"
"In post","2022","EO","HM Land Registry","2360","2110","27470","27130"
"In post","2022","EO","HM Revenue and Customs","16760","15640","27420","26820"
"In post","2022","EO","HM Treasury","250","240","26930","26750"
"In post","2022","EO","Home Office","14920","13810","26920","25690"
"In post","2022","EO","Ministry of Defence","10100","9750","27110","26670"
"In post","2022","EO","Ministry of Justice","10750","10260","29130","28310"
"In post","2022","EO","National Crime Agency","2490","2430","34250","34140"
"In post","2022","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","EO","Office for Standards in Education, Children's Services and Skills","200","190","26330","25880"
"In post","2022","EO","Office of Gas and Electricity Markets","350","340","26070","25750"
"In post","2022","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","EO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","EO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","EO","Scottish Government","6190","5900","30850","30040"
"In post","2022","EO","The National Archives","80","70","25130","24630"
"In post","2022","EO","UK Export Finance","60","60","29410","29000"
"In post","2022","EO","UK Statistics Authority","730","690","24600","23880"
"In post","2022","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","EO","Water Services Regulation Authority","50","50","[c]","[c]"
"In post","2022","EO","Welsh Government","1110","1040","28830","29430"
"In post","2022","G6/G7","Attorney General's Departments","5030","4660","58180","55610"
"In post","2022","G6/G7","Cabinet Office","4010","3940","59930","56720"
"In post","2022","G6/G7","Chancellor's other departments","210","190","75260","67730"
"In post","2022","G6/G7","Charity Commission","70","70","54510","51070"
"In post","2022","G6/G7","Competition and Markets Authority","450","430","65830","62890"
"In post","2022","G6/G7","Department for Business, Energy and Industrial Strategy","4020","3880","57520","56380"
"In post","2022","G6/G7","Department for Digital, Culture, Media and Sport","910","900","56230","54300"
"In post","2022","G6/G7","Department for Education","3250","3140","55890","53420"
"In post","2022","G6/G7","Department for Environment, Food and Rural Affairs","2700","2600","54300","53040"
"In post","2022","G6/G7","Department for International Trade","1160","1150","56450","53600"
"In post","2022","G6/G7","Department for Levelling Up, Housing and Communities","1740","1660","56430","53820"
"In post","2022","G6/G7","Department for Transport","2050","2000","59990","55320"
"In post","2022","G6/G7","Department for Work and Pensions","4090","3950","57340","54070"
"In post","2022","G6/G7","Department of Health and Social Care","3840","3690","58100","53860"
"In post","2022","G6/G7","Estyn","70","70","73860","75480"
"In post","2022","G6/G7","Food Standards Agency","260","250","55890","55300"
"In post","2022","G6/G7","Foreign, Commonwealth and Development Office","3230","3140","59630","58030"
"In post","2022","G6/G7","HM Land Registry","300","290","62080","60520"
"In post","2022","G6/G7","HM Revenue and Customs","8740","8440","59940","55610"
"In post","2022","G6/G7","HM Treasury","1190","1160","58730","56400"
"In post","2022","G6/G7","Home Office","3890","3800","60490","57680"
"In post","2022","G6/G7","Ministry of Defence","6770","6520","57950","56000"
"In post","2022","G6/G7","Ministry of Justice","3370","3290","62230","60280"
"In post","2022","G6/G7","National Crime Agency","380","380","65240","64410"
"In post","2022","G6/G7","Northern Ireland Office","50","50","56030","54850"
"In post","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","630","610","72830","75500"
"In post","2022","G6/G7","Office of Gas and Electricity Markets","470","460","59090","57980"
"In post","2022","G6/G7","Office of Qualifications and Examinations Regulation","110","110","53040","48680"
"In post","2022","G6/G7","Office of Rail and Road","190","190","61770","60200"
"In post","2022","G6/G7","Office of the Secretary of State for Scotland","50","40","[c]","[c]"
"In post","2022","G6/G7","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Scottish Government","3690","3540","63570","62170"
"In post","2022","G6/G7","The National Archives","100","90","52640","50840"
"In post","2022","G6/G7","UK Export Finance","170","170","66020","64890"
"In post","2022","G6/G7","UK Statistics Authority","1080","1050","53810","51210"
"In post","2022","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Water Services Regulation Authority","70","60","81520","77110"
"In post","2022","G6/G7","Welsh Government","1110","1060","62460","61440"
"In post","2022","SCS","Attorney General's Departments","310","300","87210","82500"
"In post","2022","SCS","Cabinet Office","770","760","100190","93000"
"In post","2022","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Competition and Markets Authority","130","120","107650","99920"
"In post","2022","SCS","Department for Business, Energy and Industrial Strategy","400","380","88070","81390"
"In post","2022","SCS","Department for Digital, Culture, Media and Sport","120","120","83590","75700"
"In post","2022","SCS","Department for Education","300","290","82800","74120"
"In post","2022","SCS","Department for Environment, Food and Rural Affairs","220","210","83160","77240"
"In post","2022","SCS","Department for International Trade","180","170","86550","76790"
"In post","2022","SCS","Department for Levelling Up, Housing and Communities","180","180","86020","77320"
"In post","2022","SCS","Department for Transport","260","250","88160","79910"
"In post","2022","SCS","Department for Work and Pensions","300","290","87970","80000"
"In post","2022","SCS","Department of Health and Social Care","820","760","96460","92470"
"In post","2022","SCS","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Foreign, Commonwealth and Development Office","540","540","86240","77860"
"In post","2022","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","HM Revenue and Customs","510","500","85810","79420"
"In post","2022","SCS","HM Treasury","190","190","87680","78000"
"In post","2022","SCS","Home Office","310","300","89940","82550"
"In post","2022","SCS","Ministry of Defence","480","460","93470","87210"
"In post","2022","SCS","Ministry of Justice","330","320","88950","84490"
"In post","2022","SCS","National Crime Agency","30","30","[c]","[c]"
"In post","2022","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","SCS","Office of Gas and Electricity Markets","60","50","98060","91110"
"In post","2022","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Scottish Government","290","280","88410","83230"
"In post","2022","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","UK Statistics Authority","80","80","84820","76380"
"In post","2022","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Welsh Government","190","190","87010","79790"
"In post","2022","SEO/HEO","Attorney General's Departments","1460","1410","36280","36240"
"In post","2022","SEO/HEO","Cabinet Office","4720","4660","34050","33300"
"In post","2022","SEO/HEO","Chancellor's other departments","140","140","40940","40290"
"In post","2022","SEO/HEO","Charity Commission","250","240","32520","29370"
"In post","2022","SEO/HEO","Competition and Markets Authority","200","200","37530","35400"
"In post","2022","SEO/HEO","Department for Business, Energy and Industrial Strategy","6200","5990","37790","38200"
"In post","2022","SEO/HEO","Department for Digital, Culture, Media and Sport","780","770","35420","34020"
"In post","2022","SEO/HEO","Department for Education","4090","3950","35480","36500"
"In post","2022","SEO/HEO","Department for Environment, Food and Rural Affairs","5140","4940","34960","35900"
"In post","2022","SEO/HEO","Department for International Trade","1240","1230","36340","38160"
"In post","2022","SEO/HEO","Department for Levelling Up, Housing and Communities","1580","1540","35960","35780"
"In post","2022","SEO/HEO","Department for Transport","4100","4000","37640","36180"
"In post","2022","SEO/HEO","Department for Work and Pensions","12050","11370","36080","34340"
"In post","2022","SEO/HEO","Department of Health and Social Care","4770","4550","36240","36330"
"In post","2022","SEO/HEO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Food Standards Agency","730","720","35720","37350"
"In post","2022","SEO/HEO","Foreign, Commonwealth and Development Office","3030","2970","38060","37560"
"In post","2022","SEO/HEO","HM Land Registry","2200","1980","37330","33840"
"In post","2022","SEO/HEO","HM Revenue and Customs","25050","24020","36550","33510"
"In post","2022","SEO/HEO","HM Treasury","1080","1050","36070","34090"
"In post","2022","SEO/HEO","Home Office","9840","9540","36440","35200"
"In post","2022","SEO/HEO","Ministry of Defence","21300","20650","37110","37000"
"In post","2022","SEO/HEO","Ministry of Justice","13500","12960","38940","37840"
"In post","2022","SEO/HEO","National Crime Agency","2370","2320","44470","43710"
"In post","2022","SEO/HEO","Northern Ireland Office","90","90","37350","36720"
"In post","2022","SEO/HEO","Office for Standards in Education, Children's Services and Skills","770","740","43410","46360"
"In post","2022","SEO/HEO","Office of Gas and Electricity Markets","420","410","36100","35000"
"In post","2022","SEO/HEO","Office of Qualifications and Examinations Regulation","130","130","35970","38000"
"In post","2022","SEO/HEO","Office of Rail and Road","100","90","39970","39800"
"In post","2022","SEO/HEO","Office of the Secretary of State for Scotland","30","30","[c]","[c]"
