"Status","Year","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Defence Science and Technology Laboratory","50","50","39680","37760"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","60","60","39060","37910"
"In post","2021","Counter Fraud","Government Internal Audit Agency","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Home Office (incl. agencies)","180","160","26930","25310"
"In post","2021","Counter Fraud","Insolvency Service","260","250","39230","39170"
"In post","2021","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","280","270","45240","40080"
"In post","2021","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","60","60","45550","43750"
"In post","2021","Digital, Data and Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Companies House","260","250","38840","38000"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Digital, Data and Technology","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Crown Commercial Service","120","110","41230","35760"
"In post","2021","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Crown Prosecution Service","120","120","39820","38180"
"In post","2021","Digital, Data and Technology","Debt Management Office","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","370","360","41030","40640"
"In post","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","120","120","45900","46080"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","120","45390","40050"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education (excl. agencies)","580","560","40690","37100"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","670","650","43890","47550"
"In post","2021","Digital, Data and Technology","Department for International Trade","120","120","47030","44020"
"In post","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","120","120","42370","40280"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","170","170","43630","36820"
"In post","2021","Digital, Data and Technology","Driver and Vehicle Licensing Agency","730","720","39810","38230"
"In post","2021","Digital, Data and Technology","Driver and Vehicle Standards Agency","190","190","36190","32180"
"In post","2021","Digital, Data and Technology","Education and Skills Funding Agency","300","290","37910","36500"
"In post","2021","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","FCDO Services","120","120","44710","40670"
"In post","2021","Digital, Data and Technology","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","200","190","40910","39190"
"In post","2021","Digital, Data and Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Health and Safety Executive","60","60","39240","33460"
"In post","2021","Digital, Data and Technology","HM Courts and Tribunals Service","140","140","35510","30990"
"In post","2021","Digital, Data and Technology","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","1930","1850","39680","38630"
"In post","2021","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Home Office (incl. agencies)","1220","1200","50060","45550"
"In post","2021","Digital, Data and Technology","Insolvency Service","50","50","42440","41060"
"In post","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Maritime and Coastguard Agency","110","100","38370","34040"
"In post","2021","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","70","70","46880","41040"
"In post","2021","Digital, Data and Technology","Met Office","350","340","37300","34170"
"In post","2021","Digital, Data and Technology","Ministry of Defence (excl. agencies)","700","680","32410","29670"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","70","70","50630","53130"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","870","860","48150","46550"
"In post","2021","Digital, Data and Technology","National Crime Agency","260","250","41070","37750"
"In post","2021","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","80","80","45050","39850"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","100","100","51190","46140"
"In post","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Planning Inspectorate","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Public Health England","140","130","44310","41500"
"In post","2021","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Registers of Scotland","70","60","42130","36780"
"In post","2021","Digital, Data and Technology","Scottish Courts and Tribunals Service","60","60","34360","29350"
"In post","2021","Digital, Data and Technology","Scottish Prison Service","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Serious Fraud Office","50","50","41680","39270"
"In post","2021","Digital, Data and Technology","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","The National Archives","100","100","40050","39000"
"In post","2021","Digital, Data and Technology","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Hydrographic Office","190","190","38770","35340"
"In post","2021","Digital, Data and Technology","UK Intellectual Property Office","190","190","44760","42860"
"In post","2021","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","United Kingdom Statistics Authority","600","590","40840","36840"
"In post","2021","Digital, Data and Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Government (excl. agencies)","210","210","37690","37410"
"In post","2021","Digital, Data and Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Economics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","300","290","46610","39570"
"In post","2021","Economics","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","160","160","44720","47550"
"In post","2021","Economics","Department for International Trade","150","150","43500","33220"
"In post","2021","Economics","Department for Transport (excl. agencies)","170","170","47750","54110"
"In post","2021","Economics","Department of Health and Social Care (excl. agencies)","90","90","43100","36820"
"In post","2021","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","180","170","50950","54320"
"In post","2021","Economics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Revenue and Customs (excl. agencies)","120","120","48270","37190"
"In post","2021","Economics","HM Treasury (excl. agencies)","170","160","42720","34320"
"In post","2021","Economics","Home Office (incl. agencies)","110","110","46610","35070"
"In post","2021","Economics","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","44560","35060"
"In post","2021","Economics","Ministry of Justice (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office for Budget Responsibility","30","30","[c]","[c]"
"In post","2021","Economics","Office of Gas and Electricity Markets","60","50","47370","47000"
"In post","2021","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Economics","United Kingdom Statistics Authority","150","150","37150","32540"
"In post","2021","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Welsh Government (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Companies House","60","50","30930","27460"
"In post","2021","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Prosecution Service","90","90","32650","30130"
"In post","2021","Finance","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Defence Equipment and Support","460","440","38920","32860"
"In post","2021","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","170","170","52940","54880"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","70","70","56710","58490"
"In post","2021","Finance","Department for Education (excl. agencies)","470","450","43130","40940"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","400","390","43210","38060"
"In post","2021","Finance","Department for International Trade","90","90","49850","51970"
"In post","2021","Finance","Department for Transport (excl. agencies)","200","200","48680","49010"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","340","330","39300","36070"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","140","130","32910","30730"
"In post","2021","Finance","Driver and Vehicle Standards Agency","90","80","38780","34040"
"In post","2021","Finance","Education and Skills Funding Agency","320","310","41700","37100"
"In post","2021","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","60","50","37800","29760"
"In post","2021","Finance","Food Standards Agency","50","50","41000","37910"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","190","190","43240","38600"
"In post","2021","Finance","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Government Legal Department","40","40","[c]","[c]"
"In post","2021","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Courts and Tribunals Service","200","190","39520","36420"
"In post","2021","Finance","HM Land Registry","70","70","48120","46060"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","1510","1330","33630","29570"
"In post","2021","Finance","HM Treasury (excl. agencies)","90","90","47810","52500"
"In post","2021","Finance","Home Office (incl. agencies)","280","270","45650","41970"
"In post","2021","Finance","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","60","60","31350","28350"
"In post","2021","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","1600","1540","38050","33300"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","110","100","52450","53130"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","530","520","44670","41500"
"In post","2021","Finance","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Finance","National Savings and Investments","30","30","[c]","[c]"
"In post","2021","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","40","30","[c]","[c]"
"In post","2021","Finance","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Public Health England","140","140","42330","38200"
"In post","2021","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","70","70","31400","25870"
"In post","2021","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Submarine Delivery Agency","120","120","41000","39980"
"In post","2021","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
