"Status","Year","Organisation","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","50-59","North East (England)","80","80","35440","26160"
"In post","2021","Cabinet Office (excl. agencies)","50-59","North West (England)","130","130","51070","49700"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","South East (England)","80","80","44890","36240"
"In post","2021","Cabinet Office (excl. agencies)","50-59","South West (England)","60","60","60370","53320"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Unknown","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Yorkshire and The Humber","200","190","38810","33300"
"In post","2021","Cabinet Office (excl. agencies)","60-64","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","London","130","120","66010","57980"
"In post","2021","Cabinet Office (excl. agencies)","60-64","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","Yorkshire and The Humber","50","40","35720","33300"
"In post","2021","Cabinet Office (excl. agencies)","65+","London","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","65+","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","65+","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","65+","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","East of England","70","70","25360","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","East of England","130","120","32570","29750"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","South West (England)","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","East of England","120","110","35740","35900"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","South West (England)","60","50","34290","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","East of England","110","110","39470","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","65+","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","65+","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","North West (England)","30","30","[c]","[c]"
"In post","2021","Charity Commission","20-29","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","North West (England)","80","80","31390","29160"
"In post","2021","Charity Commission","30-39","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","North West (England)","90","80","36470","29400"
"In post","2021","Charity Commission","40-49","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","North West (England)","80","70","34010","29320"
"In post","2021","Charity Commission","50-59","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","London","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Wales","120","110","27160","24500"
"In post","2021","Companies House","30-39","London","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Wales","230","210","31410","30660"
"In post","2021","Companies House","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Wales","250","230","34550","30690"
"In post","2021","Companies House","50-59","London","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Wales","300","270","31620","27460"
"In post","2021","Companies House","60-64","Wales","100","80","27760","22490"
"In post","2021","Companies House","65+","Wales","40","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","London","140","140","37810","33610"
"In post","2021","Competition and Markets Authority","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","London","280","270","59830","56630"
"In post","2021","Competition and Markets Authority","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","30-39","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","London","200","190","72040","72430"
"In post","2021","Competition and Markets Authority","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","40-49","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","London","140","140","68870","61210"
"In post","2021","Competition and Markets Authority","50-59","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","50-59","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","London","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","20-29","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","30-39","Scotland","80","80","25520","22710"
"In post","2021","Criminal Injuries Compensation Authority","40-49","Scotland","80","70","26610","22710"
"In post","2021","Criminal Injuries Compensation Authority","50-59","Scotland","90","90","27600","23810"
"In post","2021","Criminal Injuries Compensation Authority","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","65+","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","East of England","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","North West (England)","60","60","27930","27770"
"In post","2021","Crown Commercial Service","20-29","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","20-29","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
