"Status","Year","Responsibility_level","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Declared disabled","Derby","80","70","20600","21010"
"In post","2021","AA/AO","Declared disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Devon CC","240","200","22010","21010"
"In post","2021","AA/AO","Declared disabled","Dorset CC","100","90","24100","22350"
"In post","2021","AA/AO","Declared disabled","Dudley","80","70","20710","21010"
"In post","2021","AA/AO","Declared disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Durham CC","290","250","22330","21430"
"In post","2021","AA/AO","Declared disabled","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Cumbria","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","80","70","25090","21010"
"In post","2021","AA/AO","Declared disabled","East Kent","140","120","22910","24180"
"In post","2021","AA/AO","Declared disabled","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Merseyside","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Riding of Yorkshire","70","60","24300","21580"
"In post","2021","AA/AO","Declared disabled","East Surrey","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","East Sussex CC","120","100","21030","21010"
"In post","2021","AA/AO","Declared disabled","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Essex Haven Gateway","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Essex Thames Gateway","70","60","23780","24180"
"In post","2021","AA/AO","Declared disabled","Falkirk","80","70","21360","21010"
"In post","2021","AA/AO","Declared disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Flintshire and Wrexham","90","70","21380","21010"
"In post","2021","AA/AO","Declared disabled","Glasgow City","480","420","20920","21010"
"In post","2021","AA/AO","Declared disabled","Gloucestershire","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Greater Manchester North East","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Greater Manchester North West","150","130","21140","21010"
"In post","2021","AA/AO","Declared disabled","Greater Manchester South East","90","80","20770","21010"
"In post","2021","AA/AO","Declared disabled","Greater Manchester South West","160","140","20560","20650"
"In post","2021","AA/AO","Declared disabled","Gwent Valleys","50","40","20650","21010"
"In post","2021","AA/AO","Declared disabled","Gwynedd","50","40","21070","21010"
"In post","2021","AA/AO","Declared disabled","Hackney and Newham","140","120","24310","25110"
"In post","2021","AA/AO","Declared disabled","Haringey and Islington","60","60","28350","25450"
"In post","2021","AA/AO","Declared disabled","Harrow and Hillingdon","60","60","25460","25630"
"In post","2021","AA/AO","Declared disabled","Hartlepool and Stockton-on-Tees","110","90","23380","21010"
"In post","2021","AA/AO","Declared disabled","Heart of Essex","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Hertfordshire","70","60","23990","24180"
"In post","2021","AA/AO","Declared disabled","Hounslow and Richmond upon Thames","90","90","26140","24660"
"In post","2021","AA/AO","Declared disabled","Inverclyde, East Renfrewshire and Renfrewshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Isle of Wight","60","60","22890","21550"
"In post","2021","AA/AO","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Kent Thames Gateway","100","90","25910","24180"
"In post","2021","AA/AO","Declared disabled","Kingston upon Hull, City of","100","80","21910","21010"
"In post","2021","AA/AO","Declared disabled","Lambeth","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Lancaster and Wyre","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Leeds","260","230","21700","21010"
"In post","2021","AA/AO","Declared disabled","Leicester","160","140","20650","20180"
"In post","2021","AA/AO","Declared disabled","Leicestershire CC and Rutland","90","80","22550","21010"
"In post","2021","AA/AO","Declared disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Lincolnshire","150","140","21760","21010"
"In post","2021","AA/AO","Declared disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Liverpool","410","350","21310","21430"
"In post","2021","AA/AO","Declared disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Luton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Manchester","220","200","21360","21010"
"In post","2021","AA/AO","Declared disabled","Medway","50","50","23030","21710"
"In post","2021","AA/AO","Declared disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Mid Kent","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Mid Lancashire","370","320","21330","21010"
"In post","2021","AA/AO","Declared disabled","Milton Keynes","80","70","24440","23290"
"In post","2021","AA/AO","Declared disabled","Monmouthshire and Newport","90","80","20530","19830"
"In post","2021","AA/AO","Declared disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","North and West Norfolk","50","50","24850","21650"
"In post","2021","AA/AO","Declared disabled","North Hampshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","North Lanarkshire","160","120","20930","21010"
"In post","2021","AA/AO","Declared disabled","North Northamptonshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","North Nottinghamshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","North Yorkshire CC","60","60","22080","20920"
"In post","2021","AA/AO","Declared disabled","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Norwich and East Norfolk","70","60","21690","21010"
"In post","2021","AA/AO","Declared disabled","Nottingham","240","210","21260","20600"
"In post","2021","AA/AO","Declared disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Oxfordshire","100","90","23880","21580"
"In post","2021","AA/AO","Declared disabled","Perth and Kinross and Stirling","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Peterborough","90","80","20670","21090"
"In post","2021","AA/AO","Declared disabled","Plymouth","100","90","21690","21010"
"In post","2021","AA/AO","Declared disabled","Portsmouth","160","140","21800","20920"
"In post","2021","AA/AO","Declared disabled","Powys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Redbridge and Waltham Forest","50","50","23700","25110"
"In post","2021","AA/AO","Declared disabled","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Sefton","260","210","20650","21010"
"In post","2021","AA/AO","Declared disabled","Sheffield","200","170","20820","21010"
"In post","2021","AA/AO","Declared disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Shropshire CC","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Somerset","70","60","20720","21010"
"In post","2021","AA/AO","Declared disabled","South and West Derbyshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","South Hampshire","150","100","19860","19520"
"In post","2021","AA/AO","Declared disabled","South Lanarkshire","110","90","20780","20640"
"In post","2021","AA/AO","Declared disabled","South Nottinghamshire","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","South Teesside","90","80","20380","21010"
"In post","2021","AA/AO","Declared disabled","South West Wales","60","50","21450","21010"
"In post","2021","AA/AO","Declared disabled","Southampton","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Southend-on-Sea","50","40","21530","21440"
"In post","2021","AA/AO","Declared disabled","Staffordshire CC","170","160","23920","21710"
"In post","2021","AA/AO","Declared disabled","Stoke-on-Trent","110","100","19720","19540"
"In post","2021","AA/AO","Declared disabled","Suffolk","160","140","22110","21010"
"In post","2021","AA/AO","Declared disabled","Sunderland","270","210","20850","21010"
"In post","2021","AA/AO","Declared disabled","Swansea","630","510","20600","21590"
"In post","2021","AA/AO","Declared disabled","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Telford and Wrekin","70","60","21600","21010"
"In post","2021","AA/AO","Declared disabled","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Tower Hamlets","50","50","23640","23550"
"In post","2021","AA/AO","Declared disabled","Tyneside","790","670","20740","21010"
"In post","2021","AA/AO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Wakefield","50","50","24500","21550"
"In post","2021","AA/AO","Declared disabled","Walsall","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Wandsworth","60","60","28860","27490"
"In post","2021","AA/AO","Declared disabled","Warrington","80","70","22110","21010"
"In post","2021","AA/AO","Declared disabled","Warwickshire","70","60","20890","21010"
"In post","2021","AA/AO","Declared disabled","West Cumbria","70","60","21460","21050"
"In post","2021","AA/AO","Declared disabled","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","West Northamptonshire","70","60","20610","20100"
"In post","2021","AA/AO","Declared disabled","West Surrey","80","80","24560","24370"
"In post","2021","AA/AO","Declared disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","West Sussex (South West)","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Westminster","310","290","24760","24490"
"In post","2021","AA/AO","Declared disabled","Wiltshire","130","120","21950","20920"
"In post","2021","AA/AO","Declared disabled","Wirral","190","160","20850","21010"
"In post","2021","AA/AO","Declared disabled","Wolverhampton","60","50","20270","20690"
"In post","2021","AA/AO","Declared disabled","Worcestershire","110","90","23540","21050"
"In post","2021","AA/AO","Declared disabled","York","60","60","21490","21050"
"In post","2021","AA/AO","Declared non-disabled","Aberdeen City and Aberdeenshire","250","230","26080","22230"
"In post","2021","AA/AO","Declared non-disabled","Angus and Dundee City","610","560","21090","21010"
"In post","2021","AA/AO","Declared non-disabled","Antrim and Newtownabbey","90","90","20800","20310"
"In post","2021","AA/AO","Declared non-disabled","Ards and North Down","100","100","21110","20310"
"In post","2021","AA/AO","Declared non-disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Barking & Dagenham and Havering","80","70","23450","23210"
"In post","2021","AA/AO","Declared non-disabled","Barnet","180","150","23840","23530"
"In post","2021","AA/AO","Declared non-disabled","Barnsley, Doncaster and Rotherham","1050","920","23040","21010"
"In post","2021","AA/AO","Declared non-disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","500","460","23020","21130"
"In post","2021","AA/AO","Declared non-disabled","Bedford","180","170","26280","27850"
"In post","2021","AA/AO","Declared non-disabled","Belfast","520","460","20770","21430"
"In post","2021","AA/AO","Declared non-disabled","Berkshire","580","550","26500","24180"
"In post","2021","AA/AO","Declared non-disabled","Bexley and Greenwich","520","500","28430","28590"
"In post","2021","AA/AO","Declared non-disabled","Birmingham","2180","1950","21030","20180"
"In post","2021","AA/AO","Declared non-disabled","Blackburn with Darwen","120","100","21240","21010"
"In post","2021","AA/AO","Declared non-disabled","Blackpool","1300","1170","20840","21010"
"In post","2021","AA/AO","Declared non-disabled","Bournemouth and Poole","140","130","20360","20350"
"In post","2021","AA/AO","Declared non-disabled","Bradford","750","620","20480","20140"
"In post","2021","AA/AO","Declared non-disabled","Breckland and South Norfolk","230","210","24230","23240"
"In post","2021","AA/AO","Declared non-disabled","Brent","120","100","23550","23500"
"In post","2021","AA/AO","Declared non-disabled","Bridgend and Neath Port Talbot","210","170","20520","21010"
"In post","2021","AA/AO","Declared non-disabled","Brighton and Hove","100","90","20540","20650"
"In post","2021","AA/AO","Declared non-disabled","Bristol, City of","820","750","21630","21050"
"In post","2021","AA/AO","Declared non-disabled","Bromley","120","100","22410","22450"
"In post","2021","AA/AO","Declared non-disabled","Buckinghamshire CC","380","360","24950","23050"
"In post","2021","AA/AO","Declared non-disabled","Caithness and Sutherland and Ross and Cromarty","60","60","24030","22920"
"In post","2021","AA/AO","Declared non-disabled","Calderdale and Kirklees","150","120","20510","21010"
"In post","2021","AA/AO","Declared non-disabled","Cambridgeshire CC","690","650","24920","21940"
"In post","2021","AA/AO","Declared non-disabled","Camden and City of London","510","480","23560","23500"
"In post","2021","AA/AO","Declared non-disabled","Cardiff and Vale of Glamorgan","1980","1790","21480","21010"
"In post","2021","AA/AO","Declared non-disabled","Causeway Coast and Glens","50","50","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Central Bedfordshire","100","100","20920","20920"
"In post","2021","AA/AO","Declared non-disabled","Central Hampshire","530","510","23170","20920"
"In post","2021","AA/AO","Declared non-disabled","Central Valleys","270","240","21620","21010"
"In post","2021","AA/AO","Declared non-disabled","Cheshire East","190","170","23640","21550"
"In post","2021","AA/AO","Declared non-disabled","Cheshire West and Chester","130","120","20700","21010"
"In post","2021","AA/AO","Declared non-disabled","Chorley and West Lancashire","440","400","25240","24920"
"In post","2021","AA/AO","Declared non-disabled","City of Edinburgh","1200","1140","22090","21440"
"In post","2021","AA/AO","Declared non-disabled","Clackmannanshire and Fife","240","210","21260","21010"
"In post","2021","AA/AO","Declared non-disabled","Conwy and Denbighshire","110","100","22110","23830"
"In post","2021","AA/AO","Declared non-disabled","Cornwall and Isles of Scilly","490","440","20810","21010"
"In post","2021","AA/AO","Declared non-disabled","Coventry","190","160","20570","21010"
"In post","2021","AA/AO","Declared non-disabled","Croydon","1210","1100","24590","25630"
"In post","2021","AA/AO","Declared non-disabled","Darlington","70","60","21010","21000"
"In post","2021","AA/AO","Declared non-disabled","Derby","340","290","21300","21010"
"In post","2021","AA/AO","Declared non-disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Devon CC","1360","1210","22250","21010"
"In post","2021","AA/AO","Declared non-disabled","Dorset CC","640","610","23810","21710"
"In post","2021","AA/AO","Declared non-disabled","Dudley","380","310","20750","21010"
"In post","2021","AA/AO","Declared non-disabled","Dumfries and Galloway","130","130","24270","22920"
"In post","2021","AA/AO","Declared non-disabled","Durham CC","2130","1850","23050","21430"
"In post","2021","AA/AO","Declared non-disabled","Ealing","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","East Ayrshire and North Ayrshire mainland","220","180","21460","21010"
"In post","2021","AA/AO","Declared non-disabled","East Cumbria","280","250","21140","21050"
"In post","2021","AA/AO","Declared non-disabled","East Derbyshire","80","60","20420","20300"
"In post","2021","AA/AO","Declared non-disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","780","730","25670","21600"
"In post","2021","AA/AO","Declared non-disabled","East Kent","690","640","22650","21580"
"In post","2021","AA/AO","Declared non-disabled","East Lancashire","120","100","20410","21010"
"In post","2021","AA/AO","Declared non-disabled","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","East Merseyside","210","180","20700","20180"
"In post","2021","AA/AO","Declared non-disabled","East Riding of Yorkshire","700","650","25130","24440"
"In post","2021","AA/AO","Declared non-disabled","East Surrey","330","310","30630","33220"
"In post","2021","AA/AO","Declared non-disabled","East Sussex CC","670","590","22560","21010"
"In post","2021","AA/AO","Declared non-disabled","Enfield","50","50","23370","23130"
"In post","2021","AA/AO","Declared non-disabled","Essex Haven Gateway","220","210","24440","21430"
"In post","2021","AA/AO","Declared non-disabled","Essex Thames Gateway","240","210","23460","24180"
"In post","2021","AA/AO","Declared non-disabled","Falkirk","530","450","21110","21010"
"In post","2021","AA/AO","Declared non-disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Flintshire and Wrexham","750","710","22350","21010"
"In post","2021","AA/AO","Declared non-disabled","Glasgow City","2300","2060","20890","21010"
"In post","2021","AA/AO","Declared non-disabled","Gloucestershire","250","220","23100","21010"
"In post","2021","AA/AO","Declared non-disabled","Greater Manchester North East","220","190","22280","21010"
"In post","2021","AA/AO","Declared non-disabled","Greater Manchester North West","760","670","21350","21010"
"In post","2021","AA/AO","Declared non-disabled","Greater Manchester South East","510","450","20830","21010"
"In post","2021","AA/AO","Declared non-disabled","Greater Manchester South West","860","780","20530","20140"
"In post","2021","AA/AO","Declared non-disabled","Gwent Valleys","270","230","21040","21010"
"In post","2021","AA/AO","Declared non-disabled","Gwynedd","330","290","21150","21010"
"In post","2021","AA/AO","Declared non-disabled","Hackney and Newham","530","460","24180","25060"
"In post","2021","AA/AO","Declared non-disabled","Haringey and Islington","360","340","27560","25110"
"In post","2021","AA/AO","Declared non-disabled","Harrow and Hillingdon","450","410","25110","25630"
"In post","2021","AA/AO","Declared non-disabled","Hartlepool and Stockton-on-Tees","560","500","22890","21010"
"In post","2021","AA/AO","Declared non-disabled","Heart of Essex","280","250","25690","25400"
"In post","2021","AA/AO","Declared non-disabled","Herefordshire, County of","140","130","24070","20920"
"In post","2021","AA/AO","Declared non-disabled","Hertfordshire","490","450","25560","24670"
"In post","2021","AA/AO","Declared non-disabled","Hounslow and Richmond upon Thames","590","550","26770","25110"
"In post","2021","AA/AO","Declared non-disabled","Inverclyde, East Renfrewshire and Renfrewshire","180","150","20850","21010"
"In post","2021","AA/AO","Declared non-disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","330","310","21610","21010"
"In post","2021","AA/AO","Declared non-disabled","Isle of Anglesey","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Isle of Wight","340","320","23950","22850"
"In post","2021","AA/AO","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","310","300","30520","31550"
"In post","2021","AA/AO","Declared non-disabled","Kent Thames Gateway","570","540","27760","30400"
"In post","2021","AA/AO","Declared non-disabled","Kingston upon Hull, City of","540","480","23230","21550"
"In post","2021","AA/AO","Declared non-disabled","Lambeth","260","250","28150","25860"
"In post","2021","AA/AO","Declared non-disabled","Lancaster and Wyre","310","290","22730","21030"
"In post","2021","AA/AO","Declared non-disabled","Leeds","1610","1470","22100","21010"
"In post","2021","AA/AO","Declared non-disabled","Leicester","730","640","21100","21010"
"In post","2021","AA/AO","Declared non-disabled","Leicestershire CC and Rutland","630","590","23230","21580"
"In post","2021","AA/AO","Declared non-disabled","Lewisham and Southwark","150","140","24460","25110"
"In post","2021","AA/AO","Declared non-disabled","Lincolnshire","900","840","22230","21010"
"In post","2021","AA/AO","Declared non-disabled","Lisburn and Castlereagh","140","130","21450","21670"
"In post","2021","AA/AO","Declared non-disabled","Liverpool","2530","2260","21430","21430"
"In post","2021","AA/AO","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","130","120","24320","22920"
"In post","2021","AA/AO","Declared non-disabled","Luton","100","90","20410","20650"
"In post","2021","AA/AO","Declared non-disabled","Manchester","1170","1080","21480","20920"
"In post","2021","AA/AO","Declared non-disabled","Medway","430","410","25570","25110"
"In post","2021","AA/AO","Declared non-disabled","Merton, Kingston upon Thames and Sutton","90","80","22450","22450"
"In post","2021","AA/AO","Declared non-disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Mid Kent","250","230","24400","23240"
"In post","2021","AA/AO","Declared non-disabled","Mid Lancashire","1690","1470","21530","21010"
"In post","2021","AA/AO","Declared non-disabled","Milton Keynes","580","560","25290","24750"
"In post","2021","AA/AO","Declared non-disabled","Monmouthshire and Newport","650","560","21330","21010"
"In post","2021","AA/AO","Declared non-disabled","Na h-Eileanan Siar","80","70","21500","21010"
"In post","2021","AA/AO","Declared non-disabled","Newry, Mourne and Down","40","40","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","North and North East Lincolnshire","220","190","20800","21010"
"In post","2021","AA/AO","Declared non-disabled","North and West Norfolk","370","350","23730","21130"
"In post","2021","AA/AO","Declared non-disabled","North Hampshire","220","200","21310","20920"
"In post","2021","AA/AO","Declared non-disabled","North Lanarkshire","860","710","20720","21010"
"In post","2021","AA/AO","Declared non-disabled","North Northamptonshire","140","110","21210","21010"
"In post","2021","AA/AO","Declared non-disabled","North Nottinghamshire","270","250","24050","23970"
"In post","2021","AA/AO","Declared non-disabled","North Yorkshire CC","550","520","22620","20920"
"In post","2021","AA/AO","Declared non-disabled","Northumberland","70","60","20550","20920"
"In post","2021","AA/AO","Declared non-disabled","Norwich and East Norfolk","470","410","22240","21010"
"In post","2021","AA/AO","Declared non-disabled","Nottingham","1170","1070","21370","21010"
"In post","2021","AA/AO","Declared non-disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Overseas","50","50","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Oxfordshire","740","700","23810","21180"
"In post","2021","AA/AO","Declared non-disabled","Perth and Kinross and Stirling","150","140","22930","22220"
"In post","2021","AA/AO","Declared non-disabled","Peterborough","490","410","20900","21430"
"In post","2021","AA/AO","Declared non-disabled","Plymouth","520","470","22360","21010"
"In post","2021","AA/AO","Declared non-disabled","Portsmouth","750","680","22540","20920"
"In post","2021","AA/AO","Declared non-disabled","Powys","160","150","21260","20920"
"In post","2021","AA/AO","Declared non-disabled","Redbridge and Waltham Forest","260","230","24080","25110"
"In post","2021","AA/AO","Declared non-disabled","Sandwell","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Scottish Borders","70","60","23820","24110"
"In post","2021","AA/AO","Declared non-disabled","Sefton","1300","1120","20610","21010"
"In post","2021","AA/AO","Declared non-disabled","Sheffield","1160","1010","20970","21430"
"In post","2021","AA/AO","Declared non-disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","Shropshire CC","320","300","23480","21580"
"In post","2021","AA/AO","Declared non-disabled","Solihull","180","160","21100","21430"
"In post","2021","AA/AO","Declared non-disabled","Somerset","370","330","20530","20920"
"In post","2021","AA/AO","Declared non-disabled","South and West Derbyshire","230","210","23930","22160"
"In post","2021","AA/AO","Declared non-disabled","South Ayrshire","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared non-disabled","South Hampshire","660","470","20230","19520"
