"Status","Year","Region_ITL1","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","HM Revenue and Customs","220","200","32230","31810"
"In post","2021","East Midlands (England)","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Defence","140","130","28540","26670"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Ministry of Justice","750","680","28910","29060"
"In post","2021","East Midlands (England)","Unknown","Attorney General's Departments","110","100","33780","27470"
"In post","2021","East Midlands (England)","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Business, Energy and Industrial Strategy","100","90","29440","30950"
"In post","2021","East Midlands (England)","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Transport","110","110","31760","26700"
"In post","2021","East Midlands (England)","Unknown","Department for Work and Pensions","150","140","26040","27570"
"In post","2021","East Midlands (England)","Unknown","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","HM Land Registry","240","230","26970","22350"
"In post","2021","East Midlands (England)","Unknown","HM Revenue and Customs","1190","1120","27860","25560"
"In post","2021","East Midlands (England)","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Defence","260","250","27870","21580"
"In post","2021","East Midlands (England)","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Justice","560","530","23040","22850"
"In post","2021","East Midlands (England)","Unknown","National Crime Agency","90","90","34570","36410"
"In post","2021","East Midlands (England)","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Attorney General's Departments","50","40","[c]","[c]"
"In post","2021","East of England","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Department for Environment, Food and Rural Affairs","70","70","31800","29270"
"In post","2021","East of England","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Department for Transport","40","30","[c]","[c]"
"In post","2021","East of England","Declared disabled","Department for Work and Pensions","870","770","28150","27570"
"In post","2021","East of England","Declared disabled","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","East of England","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","HM Revenue and Customs","190","170","31530","28130"
"In post","2021","East of England","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Home Office","160","150","25300","25040"
"In post","2021","East of England","Declared disabled","Ministry of Defence","360","350","32920","33000"
"In post","2021","East of England","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Ministry of Justice","710","650","28720","27850"
"In post","2021","East of England","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Attorney General's Departments","340","300","42160","36240"
"In post","2021","East of England","Declared non-disabled","Cabinet Office","50","40","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Department for Business, Energy and Industrial Strategy","120","110","36520","38510"
"In post","2021","East of England","Declared non-disabled","Department for Education","60","50","47410","46180"
"In post","2021","East of England","Declared non-disabled","Department for Environment, Food and Rural Affairs","590","560","33240","29750"
"In post","2021","East of England","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Department for Transport","270","250","30760","27680"
"In post","2021","East of England","Declared non-disabled","Department for Work and Pensions","3530","3160","28590","27570"
"In post","2021","East of England","Declared non-disabled","Department of Health and Social Care","370","340","43360","38200"
"In post","2021","East of England","Declared non-disabled","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","HM Land Registry","180","160","32890","33840"
"In post","2021","East of England","Declared non-disabled","HM Revenue and Customs","1060","970","32690","31810"
"In post","2021","East of England","Declared non-disabled","HM Treasury","50","50","31070","24960"
"In post","2021","East of England","Declared non-disabled","Home Office","1570","1400","26620","25310"
"In post","2021","East of England","Declared non-disabled","Ministry of Defence","2570","2490","31710","29200"
"In post","2021","East of England","Declared non-disabled","Ministry of Housing, Communities and Local Government","50","50","39790","37160"
"In post","2021","East of England","Declared non-disabled","Ministry of Justice","4470","4200","28890","27700"
"In post","2021","East of England","Declared non-disabled","National Crime Agency","40","40","[c]","[c]"
"In post","2021","East of England","Declared non-disabled","Office for Standards in Education","80","80","62110","64500"
"In post","2021","East of England","Declared non-disabled","Other Cabinet Office Agencies","50","50","[c]","[c]"
"In post","2021","East of England","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Transport","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Work and Pensions","190","170","29890","29290"
"In post","2021","East of England","Undeclared","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","East of England","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","HM Revenue and Customs","150","140","33170","31810"
"In post","2021","East of England","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Home Office","130","120","28100","26910"
"In post","2021","East of England","Undeclared","Ministry of Defence","300","290","32350","33000"
"In post","2021","East of England","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Ministry of Justice","800","730","30360","31610"
"In post","2021","East of England","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Attorney General's Departments","90","90","33550","26970"
"In post","2021","East of England","Unknown","Cabinet Office","50","50","[c]","[c]"
"In post","2021","East of England","Unknown","Department for Business, Energy and Industrial Strategy","70","70","28840","26000"
"In post","2021","East of England","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Department for Environment, Food and Rural Affairs","150","140","39090","36970"
"In post","2021","East of England","Unknown","Department for Transport","70","60","27590","26700"
"In post","2021","East of England","Unknown","Department for Work and Pensions","120","110","29110","27570"
"In post","2021","East of England","Unknown","Department of Health and Social Care","280","260","45160","40670"
"In post","2021","East of England","Unknown","HM Land Registry","70","70","25390","22350"
"In post","2021","East of England","Unknown","HM Revenue and Customs","440","400","30660","28130"
"In post","2021","East of England","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Home Office","100","100","23480","21430"
"In post","2021","East of England","Unknown","Ministry of Defence","580","560","30640","26930"
"In post","2021","East of England","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Ministry of Justice","550","530","25080","24440"
"In post","2021","East of England","Unknown","National Crime Agency","90","90","37240","36740"
"In post","2021","East of England","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Other Cabinet Office Agencies","110","100","33760","31670"
"In post","2021","London","Declared disabled","Attorney General's Departments","380","360","49660","51250"
"In post","2021","London","Declared disabled","Cabinet Office","490","480","48060","43890"
"In post","2021","London","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","London","Declared disabled","Department for Business, Energy and Industrial Strategy","490","480","46800","41100"
"In post","2021","London","Declared disabled","Department for Digital, Culture, Media and Sport","110","110","47390","40690"
"In post","2021","London","Declared disabled","Department for Education","220","210","49700","45940"
"In post","2021","London","Declared disabled","Department for Environment, Food and Rural Affairs","260","250","41640","38750"
"In post","2021","London","Declared disabled","Department for International Trade","170","170","44700","38540"
"In post","2021","London","Declared disabled","Department for Transport","220","220","43520","36650"
"In post","2021","London","Declared disabled","Department for Work and Pensions","1560","1440","33390","31060"
"In post","2021","London","Declared disabled","Department of Health and Social Care","250","230","44680","38910"
"In post","2021","London","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Foreign, Commonwealth and Development Office","420","410","45850","39010"
"In post","2021","London","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","HM Revenue and Customs","750","700","42400","37490"
"In post","2021","London","Declared disabled","HM Treasury","200","200","46630","42900"
"In post","2021","London","Declared disabled","Home Office","1200","1110","37940","34630"
"In post","2021","London","Declared disabled","Ministry of Defence","390","390","40420","37640"
"In post","2021","London","Declared disabled","Ministry of Housing, Communities and Local Government","200","200","45490","40910"
"In post","2021","London","Declared disabled","Ministry of Justice","1530","1470","34820","31390"
"In post","2021","London","Declared disabled","National Crime Agency","60","60","40420","36950"
"In post","2021","London","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","London","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","The National Archives","30","30","[c]","[c]"
"In post","2021","London","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","London","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared non-disabled","Attorney General's Departments","3290","3090","50320","51250"
"In post","2021","London","Declared non-disabled","Cabinet Office","3430","3370","52450","54700"
"In post","2021","London","Declared non-disabled","Chancellor's other departments","290","280","61070","50060"
"In post","2021","London","Declared non-disabled","Charity Commission","40","40","[c]","[c]"
"In post","2021","London","Declared non-disabled","Competition and Markets Authority","660","640","59810","56360"
"In post","2021","London","Declared non-disabled","Department for Business, Energy and Industrial Strategy","3750","3660","49880","53380"
"In post","2021","London","Declared non-disabled","Department for Digital, Culture, Media and Sport","1270","1250","49920","51730"
"In post","2021","London","Declared non-disabled","Department for Education","1830","1760","51390","53760"
"In post","2021","London","Declared non-disabled","Department for Environment, Food and Rural Affairs","1810","1750","45080","39910"
"In post","2021","London","Declared non-disabled","Department for International Trade","1180","1160","46100","39460"
"In post","2021","London","Declared non-disabled","Department for Transport","2280","2220","48470","43800"
"In post","2021","London","Declared non-disabled","Department for Work and Pensions","7640","7150","33730","31060"
"In post","2021","London","Declared non-disabled","Department of Health and Social Care","2930","2740","47430","41040"
"In post","2021","London","Declared non-disabled","Food Standards Agency","260","260","42630","40960"
"In post","2021","London","Declared non-disabled","Foreign, Commonwealth and Development Office","2800","2730","49600","44820"
"In post","2021","London","Declared non-disabled","HM Land Registry","240","220","42320","37290"
"In post","2021","London","Declared non-disabled","HM Revenue and Customs","5130","4880","44250","37480"
"In post","2021","London","Declared non-disabled","HM Treasury","1560","1530","49300","52500"
"In post","2021","London","Declared non-disabled","Home Office","10600","10000","40050","35070"
"In post","2021","London","Declared non-disabled","Ministry of Defence","2590","2530","41780","37640"
"In post","2021","London","Declared non-disabled","Ministry of Housing, Communities and Local Government","1400","1380","48910","53130"
"In post","2021","London","Declared non-disabled","Ministry of Justice","9570","9180","36530","32950"
"In post","2021","London","Declared non-disabled","National Crime Agency","500","490","47210","45210"
"In post","2021","London","Declared non-disabled","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","London","Declared non-disabled","Office for Standards in Education","360","350","57980","51360"
"In post","2021","London","Declared non-disabled","Office of Gas and Electricity Markets","590","570","51150","46590"
"In post","2021","London","Declared non-disabled","Office of Rail and Road","180","180","56260","55430"
"In post","2021","London","Declared non-disabled","Other Cabinet Office Agencies","80","80","54390","54700"
"In post","2021","London","Declared non-disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared non-disabled","The National Archives","340","330","35890","34260"
"In post","2021","London","Declared non-disabled","UK Export Finance","380","370","54030","49200"
"In post","2021","London","Declared non-disabled","UK Supreme Court","50","50","37580","32770"
"In post","2021","London","Declared non-disabled","United Kingdom Statistics Authority","140","140","46980","39030"
"In post","2021","London","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Declared non-disabled","Water Services Regulation Authority","50","40","[c]","[c]"
"In post","2021","London","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Attorney General's Departments","130","120","55510","56320"
"In post","2021","London","Undeclared","Cabinet Office","190","190","50830","54700"
"In post","2021","London","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Department for Business, Energy and Industrial Strategy","270","270","50560","53380"
"In post","2021","London","Undeclared","Department for Digital, Culture, Media and Sport","70","70","46430","51440"
"In post","2021","London","Undeclared","Department for Education","110","110","52470","53420"
"In post","2021","London","Undeclared","Department for Environment, Food and Rural Affairs","90","90","42830","38750"
"In post","2021","London","Undeclared","Department for International Trade","60","60","47060","47870"
"In post","2021","London","Undeclared","Department for Transport","680","660","42750","36180"
"In post","2021","London","Undeclared","Department for Work and Pensions","430","410","33440","31060"
"In post","2021","London","Undeclared","Department of Health and Social Care","250","220","51590","45750"
"In post","2021","London","Undeclared","Food Standards Agency","180","180","42910","40350"
"In post","2021","London","Undeclared","Foreign, Commonwealth and Development Office","180","180","51030","44880"
"In post","2021","London","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","HM Revenue and Customs","530","500","44020","37610"
"In post","2021","London","Undeclared","HM Treasury","360","350","45070","38000"
"In post","2021","London","Undeclared","Home Office","690","650","39250","35070"
"In post","2021","London","Undeclared","Ministry of Defence","270","270","40370","37640"
"In post","2021","London","Undeclared","Ministry of Housing, Communities and Local Government","100","100","46440","46120"
"In post","2021","London","Undeclared","Ministry of Justice","1440","1370","36240","34100"
"In post","2021","London","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Attorney General's Departments","890","840","48120","50520"
"In post","2021","London","Unknown","Cabinet Office","2390","2370","46220","34290"
"In post","2021","London","Unknown","Chancellor's other departments","50","40","[c]","[c]"
"In post","2021","London","Unknown","Charity Commission","30","30","[c]","[c]"
"In post","2021","London","Unknown","Competition and Markets Authority","80","70","72600","74650"
"In post","2021","London","Unknown","Department for Business, Energy and Industrial Strategy","1100","1080","44430","40050"
"In post","2021","London","Unknown","Department for Digital, Culture, Media and Sport","260","250","48770","51730"
"In post","2021","London","Unknown","Department for Education","470","460","45750","40230"
"In post","2021","London","Unknown","Department for Environment, Food and Rural Affairs","440","430","46700","39910"
"In post","2021","London","Unknown","Department for International Trade","910","900","44080","38540"
"In post","2021","London","Unknown","Department for Transport","260","250","42830","37660"
"In post","2021","London","Unknown","Department for Work and Pensions","550","540","36890","31060"
"In post","2021","London","Unknown","Department of Health and Social Care","3000","2910","48540","41080"
"In post","2021","London","Unknown","Foreign, Commonwealth and Development Office","860","840","49900","52430"
"In post","2021","London","Unknown","HM Land Registry","120","110","39680","30600"
"In post","2021","London","Unknown","HM Revenue and Customs","2320","2210","40800","36160"
"In post","2021","London","Unknown","HM Treasury","200","200","54940","52500"
"In post","2021","London","Unknown","Home Office","850","840","39780","35050"
"In post","2021","London","Unknown","Ministry of Defence","650","630","40310","37640"
"In post","2021","London","Unknown","Ministry of Housing, Communities and Local Government","160","160","47510","42910"
"In post","2021","London","Unknown","Ministry of Justice","2070","2050","32760","30220"
"In post","2021","London","Unknown","National Crime Agency","1080","1060","42480","40170"
"In post","2021","London","Unknown","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","London","Unknown","Office for Standards in Education","50","50","[c]","[c]"
"In post","2021","London","Unknown","Office of Gas and Electricity Markets","70","60","52720","48810"
"In post","2021","London","Unknown","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","London","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","The National Archives","170","160","36230","32200"
"In post","2021","London","Unknown","United Kingdom Statistics Authority","210","200","40410","32540"
"In post","2021","London","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Attorney General's Departments","50","40","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Cabinet Office","60","50","28220","23850"
"In post","2021","North East (England)","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Department for Education","80","70","36420","36500"
"In post","2021","North East (England)","Declared disabled","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Department for Work and Pensions","1540","1330","25910","27570"
"In post","2021","North East (England)","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","HM Land Registry","60","50","28310","27130"
"In post","2021","North East (England)","Declared disabled","HM Revenue and Customs","900","780","26580","21440"
"In post","2021","North East (England)","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Home Office","130","110","24370","21430"
"In post","2021","North East (England)","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Ministry of Justice","490","450","28170","26300"
"In post","2021","North East (England)","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Attorney General's Departments","230","210","39800","34480"
"In post","2021","North East (England)","Declared non-disabled","Cabinet Office","260","240","28780","24870"
"In post","2021","North East (England)","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Department for Business, Energy and Industrial Strategy","80","80","32340","30360"
"In post","2021","North East (England)","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Department for Education","570","550","38840","36780"
"In post","2021","North East (England)","Declared non-disabled","Department for Environment, Food and Rural Affairs","450","420","31740","27090"
"In post","2021","North East (England)","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Department for Transport","270","240","27970","26780"
"In post","2021","North East (England)","Declared non-disabled","Department for Work and Pensions","7320","6480","27410","27570"
"In post","2021","North East (England)","Declared non-disabled","Department of Health and Social Care","90","80","44550","38590"
"In post","2021","North East (England)","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","HM Land Registry","400","360","30170","27130"
"In post","2021","North East (England)","Declared non-disabled","HM Revenue and Customs","6240","5570","28990","25560"
"In post","2021","North East (England)","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Home Office","1070","930","25190","21430"
"In post","2021","North East (England)","Declared non-disabled","Ministry of Defence","160","150","24180","21130"
"In post","2021","North East (England)","Declared non-disabled","Ministry of Housing, Communities and Local Government","50","50","40230","36340"
"In post","2021","North East (England)","Declared non-disabled","Ministry of Justice","3040","2810","28470","26300"
"In post","2021","North East (England)","Declared non-disabled","National Crime Agency","30","30","[c]","[c]"
"In post","2021","North East (England)","Declared non-disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
