"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","3790","3540","31950","31810"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","220","210","28000","25390"
"In post","2021","East Midlands (England)","Insolvency Service","70","70","31350","28130"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","180","160","23080","19970"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","1580","1530","27100","21580"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","160","150","36710","34590"
"In post","2021","East Midlands (England)","National Crime Agency","160","160","36870","36520"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","170","160","44560","39850"
"In post","2021","East Midlands (England)","Office of the Public Guardian","420","390","21360","20280"
"In post","2021","East Midlands (England)","Public Health England","190","170","44240","37190"
"In post","2021","East Midlands (England)","Rural Payments Agency","70","70","25880","25190"
"In post","2021","East Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Valuation Office Agency","160","140","33770","31100"
"In post","2021","East Midlands (England)","Vehicle Certification Agency","70","70","36000","34290"
"In post","2021","East of England","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","East of England","Animal and Plant Health Agency","150","140","31340","29180"
"In post","2021","East of England","Cabinet Office (excl. agencies)","120","110","46760","38460"
"In post","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","460","440","34620","30220"
"In post","2021","East of England","Crown Commercial Service","170","160","35020","33340"
"In post","2021","East of England","Crown Prosecution Service","480","430","40480","34480"
"In post","2021","East of England","Defence Equipment and Support","220","220","34470","33530"
"In post","2021","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education (excl. agencies)","70","60","46080","46180"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","180","170","37450","36190"
"In post","2021","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions (excl. agencies)","4570","4090","28120","27570"
"In post","2021","East of England","Driver and Vehicle Standards Agency","380","360","28740","26780"
"In post","2021","East of England","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","60","60","27660","26750"
"In post","2021","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Health and Safety Executive","130","120","44430","44820"
"In post","2021","East of England","HM Courts and Tribunals Service","1080","950","23410","20230"
"In post","2021","East of England","HM Land Registry","280","260","31050","27130"
"In post","2021","East of England","HM Prison and Probation Service","5360","5080","29650","28880"
"In post","2021","East of England","HM Revenue and Customs (excl. agencies)","1680","1530","31990","31810"
"In post","2021","East of England","HM Treasury (excl. agencies)","70","60","29430","23780"
"In post","2021","East of England","Home Office (incl. agencies)","1960","1770","26450","25220"
"In post","2021","East of England","Insolvency Service","130","120","30970","27300"
"In post","2021","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicines and Healthcare Products Regulatory Agency","320","310","44060","41010"
"In post","2021","East of England","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence (excl. agencies)","3570","3450","31480","28890"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","80","70","40140","37050"
"In post","2021","East of England","Ministry of Justice (excl. agencies)","70","70","39530","36670"
"In post","2021","East of England","National Crime Agency","140","130","38530","37800"
"In post","2021","East of England","Office for Standards in Education, Children's Services and Skills","100","100","62230","64500"
"In post","2021","East of England","Public Health England","410","370","44130","36250"
"In post","2021","East of England","Rural Payments Agency","60","50","27470","25190"
"In post","2021","East of England","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Valuation Office Agency","160","150","33560","31100"
"In post","2021","London","Advisory, Conciliation and Arbitration Service","200","190","42390","38670"
"In post","2021","London","Animal and Plant Health Agency","110","100","37060","31800"
"In post","2021","London","Attorney General's Office","50","50","[c]","[c]"
"In post","2021","London","Cabinet Office (excl. agencies)","6500","6410","49780","42260"
"In post","2021","London","Charity Commission","70","70","42950","37910"
"In post","2021","London","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","London","Competition and Markets Authority","790","760","60810","56630"
"In post","2021","London","Crown Commercial Service","70","70","50350","49300"
"In post","2021","London","Crown Prosecution Service","1690","1600","44520","39750"
"In post","2021","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","London","Debt Management Office","110","110","58680","51550"
"In post","2021","London","Defence Equipment and Support","200","190","25910","21960"
"In post","2021","London","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","4900","4800","49450","53380"
"In post","2021","London","Department for Digital, Culture, Media and Sport","1710","1680","49440","51730"
"In post","2021","London","Department for Education (excl. agencies)","2170","2090","50130","53420"
"In post","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","2490","2410","45270","39830"
"In post","2021","London","Department for International Trade","2320","2290","45240","38950"
"In post","2021","London","Department for Transport (excl. agencies)","3070","3000","48330","43800"
"In post","2021","London","Department for Work and Pensions (excl. agencies)","10030","9390","33600","31060"
"In post","2021","London","Department of Health and Social Care (excl. agencies)","2440","2390","48400","41890"
"In post","2021","London","Driver and Vehicle Standards Agency","360","350","32170","30780"
"In post","2021","London","Education and Skills Funding Agency","310","300","50270","53420"
"In post","2021","London","FCDO Services","170","160","47700","44410"
"In post","2021","London","Food Standards Agency","470","460","42510","40350"
"In post","2021","London","Foreign, Commonwealth and Development Office (excl. agencies)","4090","3990","49420","44880"
"In post","2021","London","Government Actuary's Department","200","190","64910","57250"
"In post","2021","London","Government Internal Audit Agency","180","170","52670","51290"
"In post","2021","London","Government Legal Department","2440","2270","54510","52040"
"In post","2021","London","Government Property Agency","80","80","50750","54180"
"In post","2021","London","Health and Safety Executive","150","150","49050","45610"
"In post","2021","London","HM Courts and Tribunals Service","4450","4200","28770","23500"
"In post","2021","London","HM Land Registry","380","360","41430","37290"
"In post","2021","London","HM Prison and Probation Service","6460","6260","35690","33260"
"In post","2021","London","HM Revenue and Customs (excl. agencies)","8060","7660","43380","36240"
"In post","2021","London","HM Treasury (excl. agencies)","1960","1920","47850","52500"
"In post","2021","London","Home Office (incl. agencies)","13330","12600","39800","35070"
"In post","2021","London","Insolvency Service","320","300","40670","38510"
"In post","2021","London","Institute for Apprenticeships and Technical Education","110","110","53820","53950"
"In post","2021","London","Legal Aid Agency","170","170","44760","40530"
"In post","2021","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Medicines and Healthcare Products Regulatory Agency","1000","970","49410","41770"
"In post","2021","London","Met Office","40","40","[c]","[c]"
"In post","2021","London","Ministry of Defence (excl. agencies)","3710","3630","42120","37940"
"In post","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","1820","1790","48450","53130"
"In post","2021","London","Ministry of Justice (excl. agencies)","3520","3440","44400","39530"
"In post","2021","London","National Crime Agency","1650","1610","43860","40170"
"In post","2021","London","National Infrastructure Commission","40","40","[c]","[c]"
"In post","2021","London","National Savings and Investments","160","160","52510","47410"
"In post","2021","London","Northern Ireland Office","80","80","50360","47630"
"In post","2021","London","Office for Budget Responsibility","40","30","[c]","[c]"
"In post","2021","London","Office for Standards in Education, Children's Services and Skills","450","440","56860","51360"
"In post","2021","London","Office of Gas and Electricity Markets","670","660","51150","47180"
"In post","2021","London","Office of Rail and Road","210","200","55460","55430"
"In post","2021","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","London","Public Health England","2980","2740","47200","40810"
"In post","2021","London","Queen Elizabeth II Centre","40","40","[c]","[c]"
"In post","2021","London","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","Scotland Office (incl. Office of the Advocate General for Scotland)","40","30","[c]","[c]"
"In post","2021","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","London","Serious Fraud Office","490","480","46240","40700"
"In post","2021","London","Standards and Testing Agency","40","40","[c]","[c]"
"In post","2021","London","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","The National Archives","540","520","35580","33330"
"In post","2021","London","UK Export Finance","400","390","53500","48830"
"In post","2021","London","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","London","UK Space Agency","140","130","47220","40220"
"In post","2021","London","UK Supreme Court","60","50","38600","35150"
"In post","2021","London","United Kingdom Statistics Authority","390","380","42630","32540"
"In post","2021","London","Valuation Office Agency","670","630","40560","36400"
"In post","2021","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Water Services Regulation Authority","70","70","69430","66360"
"In post","2021","London","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Advisory, Conciliation and Arbitration Service","140","130","29960","30950"
"In post","2021","North East (England)","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","North East (England)","Cabinet Office (excl. agencies)","420","390","29430","24570"
"In post","2021","North East (England)","Crown Prosecution Service","340","310","38010","32370"
"In post","2021","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Education (excl. agencies)","570","540","38500","36780"
"In post","2021","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","200","190","39170","36520"
"In post","2021","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Work and Pensions (excl. agencies)","9550","8460","27110","27570"
"In post","2021","North East (England)","Driver and Vehicle Standards Agency","330","310","27020","26580"
"In post","2021","North East (England)","Education and Skills Funding Agency","210","210","37330","36500"
"In post","2021","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Health and Safety Executive","70","70","42660","43830"
"In post","2021","North East (England)","HM Courts and Tribunals Service","690","600","23800","20100"
"In post","2021","North East (England)","HM Land Registry","710","650","28370","27130"
"In post","2021","North East (England)","HM Prison and Probation Service","3400","3170","29330","27700"
"In post","2021","North East (England)","HM Revenue and Customs (excl. agencies)","10830","9600","27590","25560"
"In post","2021","North East (England)","Home Office (incl. agencies)","1290","1130","25210","21430"
"In post","2021","North East (England)","Insolvency Service","50","50","31030","27720"
"In post","2021","North East (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal Aid Agency","280","260","24020","21170"
"In post","2021","North East (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Ministry of Defence (excl. agencies)","220","210","23980","21130"
"In post","2021","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","60","60","40230","36340"
"In post","2021","North East (England)","Ministry of Justice (excl. agencies)","90","90","37460","33690"
"In post","2021","North East (England)","National Crime Agency","100","100","35520","36410"
"In post","2021","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Public Health England","150","130","45700","38890"
"In post","2021","North East (England)","Rural Payments Agency","310","290","27530","24920"
"In post","2021","North East (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Valuation Office Agency","450","420","28510","24500"
"In post","2021","North West (England)","Advisory, Conciliation and Arbitration Service","140","130","29840","30950"
"In post","2021","North West (England)","Animal and Plant Health Agency","280","260","27980","24920"
"In post","2021","North West (England)","Cabinet Office (excl. agencies)","450","450","46810","42410"
"In post","2021","North West (England)","Charity Commission","310","290","32780","29160"
"In post","2021","North West (England)","Crown Commercial Service","400","390","38230","34800"
"In post","2021","North West (England)","Crown Prosecution Service","960","890","39360","34480"
"In post","2021","North West (England)","Defence Equipment and Support","140","140","28800","24160"
"In post","2021","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","North West (England)","Department for Education (excl. agencies)","930","910","40660","36780"
"In post","2021","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","290","280","40760","36970"
"In post","2021","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Work and Pensions (excl. agencies)","17710","15930","26890","27570"
"In post","2021","North West (England)","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2021","North West (England)","Driver and Vehicle Standards Agency","430","410","28340","26780"
"In post","2021","North West (England)","Education and Skills Funding Agency","200","200","38940","36780"
"In post","2021","North West (England)","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","North West (England)","Government Internal Audit Agency","50","50","45840","42810"
"In post","2021","North West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Health and Safety Executive","910","860","40170","35910"
"In post","2021","North West (England)","HM Courts and Tribunals Service","2200","1980","23820","20650"
"In post","2021","North West (England)","HM Land Registry","900","810","29390","27130"
"In post","2021","North West (England)","HM Prison and Probation Service","6870","6410","29420","27380"
"In post","2021","North West (England)","HM Revenue and Customs (excl. agencies)","12550","11580","30050","25560"
"In post","2021","North West (England)","Home Office (incl. agencies)","7160","6640","27050","24890"
"In post","2021","North West (England)","Insolvency Service","290","280","33370","32060"
"In post","2021","North West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Legal Aid Agency","250","230","25480","22570"
"In post","2021","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Ministry of Defence (excl. agencies)","1580","1490","28080","26350"
"In post","2021","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","140","140","36440","33770"
"In post","2021","North West (England)","Ministry of Justice (excl. agencies)","240","230","37180","33980"
"In post","2021","North West (England)","National Crime Agency","1280","1250","36300","36410"
"In post","2021","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Office for Standards in Education, Children's Services and Skills","500","480","39650","32010"
"In post","2021","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Public Health England","550","510","37390","31370"
"In post","2021","North West (England)","Rural Payments Agency","870","770","24970","21050"
"In post","2021","North West (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Submarine Delivery Agency","150","150","42610","41000"
"In post","2021","North West (England)","Valuation Office Agency","340","310","35110","31100"
"In post","2021","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Food Standards Agency","80","80","38880","37910"
"In post","2021","Northern Ireland","HM Revenue and Customs (excl. agencies)","2000","1850","28510","25560"
"In post","2021","Northern Ireland","Home Office (incl. agencies)","540","490","25380","24890"
"In post","2021","Northern Ireland","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Ministry of Defence (excl. agencies)","910","890","24280","20310"
"In post","2021","Northern Ireland","National Crime Agency","110","110","39890","39200"
"In post","2021","Northern Ireland","Northern Ireland Office","90","80","38110","34990"
"In post","2021","Overseas","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Overseas","Department for International Trade","160","160","56610","54470"
"In post","2021","Overseas","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","FCDO Services","130","130","40180","39870"
"In post","2021","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","2140","2140","52770","54080"
"In post","2021","Overseas","Home Office (incl. agencies)","330","320","28290","27370"
"In post","2021","Overseas","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Ministry of Defence (excl. agencies)","720","720","42550","40580"
"In post","2021","Overseas","National Crime Agency","130","130","66390","64330"
"In post","2021","Overseas","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Accountant in Bankruptcy","120","100","31670","29190"
"In post","2021","Scotland","Advisory, Conciliation and Arbitration Service","100","100","30430","30950"
"In post","2021","Scotland","Animal and Plant Health Agency","130","120","31770","26520"
"In post","2021","Scotland","Cabinet Office (excl. agencies)","80","80","48190","49700"
"In post","2021","Scotland","Companies House","40","40","[c]","[c]"
"In post","2021","Scotland","Competition and Markets Authority","50","50","56490","55860"
"In post","2021","Scotland","Criminal Injuries Compensation Authority","300","280","26120","22640"
"In post","2021","Scotland","Crown Office and Procurator Fiscal Service","2020","1880","35720","29040"
"In post","2021","Scotland","Defence Equipment and Support","510","490","29100","26000"
"In post","2021","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","50140","47350"
"In post","2021","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Work and Pensions (excl. agencies)","8820","7790","25210","27570"
"In post","2021","Scotland","Disclosure Scotland","310","290","28110","23170"
"In post","2021","Scotland","Driver and Vehicle Standards Agency","300","280","28820","26780"
"In post","2021","Scotland","Education Scotland","320","300","55840","61010"
"In post","2021","Scotland","Food Standards Scotland","250","240","35100","30650"
"In post","2021","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","970","930","40570","34530"
"In post","2021","Scotland","Forestry and Land Scotland","990","960","31490","29140"
"In post","2021","Scotland","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Health and Safety Executive","220","210","59820","53360"
"In post","2021","Scotland","HM Courts and Tribunals Service","230","210","22910","20650"
"In post","2021","Scotland","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","HM Revenue and Customs (excl. agencies)","7730","6960","26980","25560"
"In post","2021","Scotland","Home Office (incl. agencies)","1040","960","27140","25040"
"In post","2021","Scotland","Insolvency Service","70","70","25540","20880"
"In post","2021","Scotland","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Maritime and Coastguard Agency","160","150","37400","35040"
"In post","2021","Scotland","Met Office","80","80","37190","36730"
"In post","2021","Scotland","Ministry of Defence (excl. agencies)","3500","3370","29330","25440"
"In post","2021","Scotland","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Scotland","National Crime Agency","60","60","37540","36410"
"In post","2021","Scotland","National Records of Scotland","440","410","34520","32140"
"In post","2021","Scotland","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Office of Gas and Electricity Markets","510","500","36370","31720"
"In post","2021","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Office of the Scottish Charity Regulator","50","50","[c]","[c]"
"In post","2021","Scotland","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Registers of Scotland","1160","1110","32880","30080"
"In post","2021","Scotland","Revenue Scotland","60","50","43440","38540"
"In post","2021","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","80","80","47970","46600"
"In post","2021","Scotland","Scottish Courts and Tribunals Service","1800","1630","27930","22820"
"In post","2021","Scotland","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Scottish Forestry","190","180","35290","35330"
"In post","2021","Scotland","Scottish Government (excl. agencies)","7780","7460","43000","38540"
"In post","2021","Scotland","Scottish Housing Regulator","50","50","[c]","[c]"
"In post","2021","Scotland","Scottish Prison Service","4490","4200","31750","33650"
"In post","2021","Scotland","Scottish Public Pensions Agency","290","260","29650","26160"
"In post","2021","Scotland","Social Security Scotland","1140","1100","31620","26650"
"In post","2021","Scotland","Student Awards Agency for Scotland","240","230","29770","26160"
"In post","2021","Scotland","Submarine Delivery Agency","90","90","39910","41000"
"In post","2021","Scotland","Transport Scotland","490","480","44230","42190"
"In post","2021","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Valuation Office Agency","40","40","[c]","[c]"
"In post","2021","South East (England)","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","South East (England)","Animal and Plant Health Agency","680","640","32940","28630"
"In post","2021","South East (England)","Cabinet Office (excl. agencies)","220","210","42660","33950"
"In post","2021","South East (England)","Crown Prosecution Service","690","650","42200","37890"
"In post","2021","South East (England)","Defence Equipment and Support","460","440","29860","27230"
"In post","2021","South East (England)","Defence Science and Technology Laboratory","1700","1620","41250","40600"
"In post","2021","South East (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","330","310","41520","37410"
"In post","2021","South East (England)","Department for International Trade","120","120","46620","51710"
"In post","2021","South East (England)","Department for Transport (excl. agencies)","250","230","47370","39040"
"In post","2021","South East (England)","Department for Work and Pensions (excl. agencies)","6660","6020","27390","27570"
"In post","2021","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Driver and Vehicle Standards Agency","510","480","29870","27680"
"In post","2021","South East (England)","FCDO Services","770","740","38770","34760"
"In post","2021","South East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","280","270","31540","27060"
"In post","2021","South East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Health and Safety Executive","90","80","42090","41810"
"In post","2021","South East (England)","HM Courts and Tribunals Service","1360","1200","24320","21170"
"In post","2021","South East (England)","HM Prison and Probation Service","8120","7720","30490","30400"
"In post","2021","South East (England)","HM Revenue and Customs (excl. agencies)","2340","2110","29780","28130"
"In post","2021","South East (England)","Home Office (incl. agencies)","3790","3450","27740","26250"
"In post","2021","South East (England)","Insolvency Service","120","120","30080","26290"
"In post","2021","South East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Maritime and Coastguard Agency","720","690","36910","32120"
"In post","2021","South East (England)","Met Office","90","80","40080","39130"
"In post","2021","South East (England)","Ministry of Defence (excl. agencies)","8200","7960","32440","30890"
"In post","2021","South East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Ministry of Justice (excl. agencies)","120","110","41930","41930"
"In post","2021","South East (England)","National Crime Agency","460","440","39850","39840"
"In post","2021","South East (England)","Public Health England","510","460","46070","40210"
"In post","2021","South East (England)","Rural Payments Agency","200","190","30450","25950"
"In post","2021","South East (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","United Kingdom Statistics Authority","2430","1990","28660","23520"
"In post","2021","South East (England)","Valuation Office Agency","210","190","35140","32110"
