"Status","Year","Ethnicity","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","SEO/HEO","Yorkshire and The Humber","490","480","34070","31870"
"In post","2021","Asian","Unknown","East Midlands (England)","70","60","29420","28200"
"In post","2021","Asian","Unknown","East of England","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","London","130","120","32150","32090"
"In post","2021","Asian","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","North West (England)","70","60","28330","27100"
"In post","2021","Asian","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","South East (England)","40","30","[c]","[c]"
"In post","2021","Asian","Unknown","South West (England)","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","West Midlands (England)","130","120","28570","28200"
"In post","2021","Asian","Unknown","Yorkshire and The Humber","60","50","29350","28200"
"In post","2021","Black","AA/AO","East Midlands (England)","210","190","21610","21010"
"In post","2021","Black","AA/AO","East of England","150","140","23650","22750"
"In post","2021","Black","AA/AO","London","2290","2150","25710","25110"
"In post","2021","Black","AA/AO","North East (England)","60","60","20860","21010"
"In post","2021","Black","AA/AO","North West (England)","240","220","20990","21010"
"In post","2021","Black","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Scotland","80","70","21090","20140"
"In post","2021","Black","AA/AO","South East (England)","300","280","25310","23580"
"In post","2021","Black","AA/AO","South West (England)","80","70","21630","21010"
"In post","2021","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","Wales","70","60","21010","20140"
"In post","2021","Black","AA/AO","West Midlands (England)","420","390","21260","20880"
"In post","2021","Black","AA/AO","Yorkshire and The Humber","170","150","21710","21010"
"In post","2021","Black","EO","East Midlands (England)","160","150","26820","27570"
"In post","2021","Black","EO","East of England","270","260","28810","29290"
"In post","2021","Black","EO","London","3540","3390","30170","31060"
"In post","2021","Black","EO","North East (England)","40","40","[c]","[c]"
"In post","2021","Black","EO","North West (England)","250","240","26650","27570"
"In post","2021","Black","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Scotland","70","60","27680","27570"
"In post","2021","Black","EO","South East (England)","320","300","28540","28670"
"In post","2021","Black","EO","South West (England)","120","110","25740","27130"
"In post","2021","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","Wales","60","60","26800","26470"
"In post","2021","Black","EO","West Midlands (England)","380","360","26660","27570"
"In post","2021","Black","EO","Yorkshire and The Humber","180","170","26740","27570"
"In post","2021","Black","G6/G7","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","London","970","960","58870","57460"
"In post","2021","Black","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","North West (England)","40","40","[c]","[c]"
"In post","2021","Black","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","South East (England)","40","40","[c]","[c]"
"In post","2021","Black","G6/G7","South West (England)","40","40","[c]","[c]"
"In post","2021","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","Black","G6/G7","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Black","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","London","60","60","90840","80230"
"In post","2021","Black","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","East Midlands (England)","80","70","35140","32730"
"In post","2021","Black","SEO/HEO","East of England","110","100","36120","34800"
"In post","2021","Black","SEO/HEO","London","2650","2620","38110","36800"
"In post","2021","Black","SEO/HEO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","North West (England)","160","150","35010","33300"
"In post","2021","Black","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Scotland","70","70","38650","33460"
"In post","2021","Black","SEO/HEO","South East (England)","140","140","37410","36970"
"In post","2021","Black","SEO/HEO","South West (England)","270","260","35240","33950"
"In post","2021","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Wales","40","40","[c]","[c]"
"In post","2021","Black","SEO/HEO","West Midlands (England)","210","210","35410","32740"
"In post","2021","Black","SEO/HEO","Yorkshire and The Humber","110","110","34590","33860"
"In post","2021","Black","Unknown","East Midlands (England)","50","40","[c]","[c]"
"In post","2021","Black","Unknown","East of England","30","30","[c]","[c]"
"In post","2021","Black","Unknown","London","450","440","32720","30670"
"In post","2021","Black","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","North West (England)","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","South East (England)","50","40","[c]","[c]"
"In post","2021","Black","Unknown","South West (England)","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","West Midlands (England)","130","120","28600","28200"
"In post","2021","Black","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","London","50","50","25390","24520"
"In post","2021","Chinese","AA/AO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","North West (England)","50","50","20910","21010"
"In post","2021","Chinese","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","South East (England)","40","40","[c]","[c]"
"In post","2021","Chinese","AA/AO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","London","120","120","29560","29500"
"In post","2021","Chinese","EO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","North West (England)","50","50","25610","25410"
"In post","2021","Chinese","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","London","190","190","59200","57850"
"In post","2021","Chinese","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","London","220","210","38450","37680"
"In post","2021","Chinese","SEO/HEO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","North West (England)","30","30","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA/AO","East Midlands (England)","120","110","22020","21010"
"In post","2021","Mixed","AA/AO","East of England","130","120","23900","22390"
"In post","2021","Mixed","AA/AO","London","430","410","25760","25110"
"In post","2021","Mixed","AA/AO","North East (England)","100","90","22110","21010"
"In post","2021","Mixed","AA/AO","North West (England)","260","240","21420","21010"
"In post","2021","Mixed","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA/AO","Scotland","80","70","21730","21010"
"In post","2021","Mixed","AA/AO","South East (England)","230","210","24100","21710"
"In post","2021","Mixed","AA/AO","South West (England)","120","110","22460","21010"
"In post","2021","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA/AO","Wales","120","100","21320","21010"
"In post","2021","Mixed","AA/AO","West Midlands (England)","190","170","21780","21010"
"In post","2021","Mixed","AA/AO","Yorkshire and The Humber","150","140","21950","21010"
"In post","2021","Mixed","EO","East Midlands (England)","110","100","26790","27570"
"In post","2021","Mixed","EO","East of England","140","130","28410","27570"
"In post","2021","Mixed","EO","London","780","750","29690","29970"
"In post","2021","Mixed","EO","North East (England)","50","40","[c]","[c]"
"In post","2021","Mixed","EO","North West (England)","250","230","26520","27130"
"In post","2021","Mixed","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","EO","Scotland","60","60","27380","27570"
"In post","2021","Mixed","EO","South East (England)","200","190","28630","27570"
"In post","2021","Mixed","EO","South West (England)","150","140","26380","27540"
"In post","2021","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","EO","Wales","110","110","26830","27150"
"In post","2021","Mixed","EO","West Midlands (England)","180","170","27290","27570"
"In post","2021","Mixed","EO","Yorkshire and The Humber","160","150","26900","27570"
"In post","2021","Mixed","G6/G7","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","G6/G7","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","G6/G7","London","840","810","58750","57430"
"In post","2021","Mixed","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","G6/G7","North West (England)","60","60","57430","53580"
"In post","2021","Mixed","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","G6/G7","Overseas","40","40","[c]","[c]"
"In post","2021","Mixed","G6/G7","Scotland","40","40","[c]","[c]"
"In post","2021","Mixed","G6/G7","South East (England)","40","40","[c]","[c]"
"In post","2021","Mixed","G6/G7","South West (England)","80","70","55350","54270"
"In post","2021","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","G6/G7","Wales","30","30","[c]","[c]"
"In post","2021","Mixed","G6/G7","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Mixed","G6/G7","Yorkshire and The Humber","60","60","55600","52150"
"In post","2021","Mixed","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","London","100","100","83580","78630"
"In post","2021","Mixed","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SEO/HEO","East Midlands (England)","70","60","35920","35790"
"In post","2021","Mixed","SEO/HEO","East of England","90","90","36510","35270"
"In post","2021","Mixed","SEO/HEO","London","1150","1130","37800","36800"
"In post","2021","Mixed","SEO/HEO","North East (England)","50","50","[c]","[c]"
"In post","2021","Mixed","SEO/HEO","North West (England)","140","130","35380","34620"
"In post","2021","Mixed","SEO/HEO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SEO/HEO","Overseas","40","40","[c]","[c]"
"In post","2021","Mixed","SEO/HEO","Scotland","80","80","37570","35110"
"In post","2021","Mixed","SEO/HEO","South East (England)","160","160","36990","35070"
"In post","2021","Mixed","SEO/HEO","South West (England)","230","220","35200","34290"
"In post","2021","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SEO/HEO","Wales","90","90","36030","35800"
"In post","2021","Mixed","SEO/HEO","West Midlands (England)","90","80","34990","33150"
"In post","2021","Mixed","SEO/HEO","Yorkshire and The Humber","110","100","34930","33300"
"In post","2021","Mixed","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","London","100","90","33020","33490"
"In post","2021","Mixed","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","North West (England)","50","50","30530","30440"
"In post","2021","Mixed","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","South East (England)","40","40","[c]","[c]"
"In post","2021","Mixed","Unknown","South West (England)","30","30","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Mixed","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","East of England","40","30","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","London","180","160","25440","25110"
"In post","2021","Other ethnicity","AA/AO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","North West (England)","50","50","21830","21010"
"In post","2021","Other ethnicity","AA/AO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","Scotland","30","30","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","South East (England)","80","70","23900","21590"
"In post","2021","Other ethnicity","AA/AO","South West (England)","40","40","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","Wales","30","30","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","West Midlands (England)","50","40","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Other ethnicity","EO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","EO","East of England","40","40","[c]","[c]"
"In post","2021","Other ethnicity","EO","London","340","320","29850","30270"
"In post","2021","Other ethnicity","EO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","EO","North West (England)","60","60","26670","27470"
"In post","2021","Other ethnicity","EO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","EO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","EO","South East (England)","70","70","28430","27570"
"In post","2021","Other ethnicity","EO","South West (England)","40","40","[c]","[c]"
"In post","2021","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","EO","Wales","30","30","[c]","[c]"
"In post","2021","Other ethnicity","EO","West Midlands (England)","50","40","[c]","[c]"
"In post","2021","Other ethnicity","EO","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Other ethnicity","G6/G7","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","G6/G7","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","G6/G7","London","310","290","60940","59160"
"In post","2021","Other ethnicity","G6/G7","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","G6/G7","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
