"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Attorney General's Departments","110","100","23240","23520"
"In post","2021","AA/AO","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","AA/AO","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","AA/AO","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Department for Transport","30","30","[c]","[c]"
"In post","2021","AA/AO","Black","Department for Work and Pensions","860","780","22760","22720"
"In post","2021","AA/AO","Black","Department of Health and Social Care","70","70","22110","22720"
"In post","2021","AA/AO","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Foreign, Commonwealth and Development Office","50","50","[c]","[c]"
"In post","2021","AA/AO","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","HM Revenue and Customs","380","350","22010","20140"
"In post","2021","AA/AO","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Home Office","440","380","24110","25630"
"In post","2021","AA/AO","Black","Ministry of Defence","190","190","22490","21800"
"In post","2021","AA/AO","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Ministry of Justice","1730","1650","25700","23500"
"In post","2021","AA/AO","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Department for Work and Pensions","60","50","21380","21010"
"In post","2021","AA/AO","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","AA/AO","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Home Office","40","30","[c]","[c]"
"In post","2021","AA/AO","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Ministry of Justice","60","60","23490","21710"
"In post","2021","AA/AO","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","AA/AO","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Department for Transport","40","40","[c]","[c]"
"In post","2021","AA/AO","Mixed","Department for Work and Pensions","480","440","21720","21010"
"In post","2021","AA/AO","Mixed","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","AA/AO","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","HM Land Registry","30","30","[c]","[c]"
"In post","2021","AA/AO","Mixed","HM Revenue and Customs","190","170","20780","20140"
"In post","2021","AA/AO","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Home Office","160","140","22670","21430"
"In post","2021","AA/AO","Mixed","Ministry of Defence","130","120","23370","21580"
"In post","2021","AA/AO","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Ministry of Justice","680","640","24970","23970"
"In post","2021","AA/AO","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Department for Work and Pensions","120","110","22030","21010"
"In post","2021","AA/AO","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","HM Revenue and Customs","60","50","21490","20140"
"In post","2021","AA/AO","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Home Office","40","40","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Ministry of Defence","70","60","22610","20920"
"In post","2021","AA/AO","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Ministry of Justice","190","180","25420","23640"
"In post","2021","AA/AO","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Department for Business, Energy and Industrial Strategy","50","50","22060","22490"
"In post","2021","AA/AO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Department for Environment, Food and Rural Affairs","60","60","21380","21050"
"In post","2021","AA/AO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Department for Transport","330","310","23650","21590"
"In post","2021","AA/AO","Undeclared","Department for Work and Pensions","1570","1330","21270","21010"
"In post","2021","AA/AO","Undeclared","Department of Health and Social Care","60","50","21300","21570"
"In post","2021","AA/AO","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","HM Revenue and Customs","640","550","21330","21440"
"In post","2021","AA/AO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Home Office","290","260","22630","21430"
"In post","2021","AA/AO","Undeclared","Ministry of Defence","710","690","24040","21130"
"In post","2021","AA/AO","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Ministry of Justice","1000","930","23860","21710"
"In post","2021","AA/AO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Scottish Government","140","130","24430","25870"
"In post","2021","AA/AO","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","United Kingdom Statistics Authority","30","20","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Attorney General's Departments","190","170","21820","21950"
"In post","2021","AA/AO","Unknown","Cabinet Office","180","170","21470","20920"
"In post","2021","AA/AO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Business, Energy and Industrial Strategy","450","440","21110","20880"
"In post","2021","AA/AO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Environment, Food and Rural Affairs","540","510","21250","21050"
"In post","2021","AA/AO","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Transport","850","770","22360","21590"
"In post","2021","AA/AO","Unknown","Department for Work and Pensions","2090","1820","21140","21010"
"In post","2021","AA/AO","Unknown","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Foreign, Commonwealth and Development Office","50","50","23550","23000"
"In post","2021","AA/AO","Unknown","HM Land Registry","640","620","22440","22350"
"In post","2021","AA/AO","Unknown","HM Revenue and Customs","7210","6460","20530","20140"
"In post","2021","AA/AO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Home Office","500","480","21800","21430"
"In post","2021","AA/AO","Unknown","Ministry of Defence","1470","1430","24110","20920"
"In post","2021","AA/AO","Unknown","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Ministry of Justice","6290","6050","24070","22850"
"In post","2021","AA/AO","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Scottish Government","2610","2420","22660","22430"
"In post","2021","AA/AO","Unknown","The National Archives","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","United Kingdom Statistics Authority","350","270","19750","19130"
"In post","2021","AA/AO","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Welsh Government","60","50","22120","22160"
"In post","2021","AA/AO","White","Attorney General's Departments","990","910","22190","21950"
"In post","2021","AA/AO","White","Cabinet Office","310","290","21770","20920"
"In post","2021","AA/AO","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Department for Business, Energy and Industrial Strategy","830","740","21770","21140"
"In post","2021","AA/AO","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Department for Education","70","70","21430","21000"
"In post","2021","AA/AO","White","Department for Environment, Food and Rural Affairs","1300","1160","21520","21050"
"In post","2021","AA/AO","White","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Department for Transport","4350","3720","21480","21590"
"In post","2021","AA/AO","White","Department for Work and Pensions","22180","18960","21040","21010"
"In post","2021","AA/AO","White","Department of Health and Social Care","630","570","20970","20150"
"In post","2021","AA/AO","White","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Foreign, Commonwealth and Development Office","390","380","25280","24750"
"In post","2021","AA/AO","White","HM Land Registry","1050","990","22420","22350"
"In post","2021","AA/AO","White","HM Revenue and Customs","11670","9880","20790","20140"
"In post","2021","AA/AO","White","HM Treasury","40","40","[c]","[c]"
"In post","2021","AA/AO","White","Home Office","5650","4990","21480","21430"
"In post","2021","AA/AO","White","Ministry of Defence","13000","12460","22600","20920"
"In post","2021","AA/AO","White","Ministry of Housing, Communities and Local Government","170","150","22600","22560"
"In post","2021","AA/AO","White","Ministry of Justice","28760","26430","24570","23240"
"In post","2021","AA/AO","White","National Crime Agency","220","200","23640","22760"
"In post","2021","AA/AO","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Office for Standards in Education","190","170","21260","21160"
"In post","2021","AA/AO","White","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","AA/AO","White","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Scottish Government","3270","3050","23250","22230"
"In post","2021","AA/AO","White","The National Archives","40","40","[c]","[c]"
"In post","2021","AA/AO","White","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","United Kingdom Statistics Authority","990","680","19470","19520"
"In post","2021","AA/AO","White","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Welsh Government","860","780","23440","23830"
"In post","2021","EO","Asian","Attorney General's Departments","170","160","27960","27580"
"In post","2021","EO","Asian","Cabinet Office","80","80","27800","27500"
"In post","2021","EO","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Department for Business, Energy and Industrial Strategy","120","120","27610","27680"
"In post","2021","EO","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Department for Education","130","130","26530","25000"
"In post","2021","EO","Asian","Department for Environment, Food and Rural Affairs","80","70","27560","28170"
"In post","2021","EO","Asian","Department for International Trade","30","30","[c]","[c]"
"In post","2021","EO","Asian","Department for Transport","120","110","28950","29970"
"In post","2021","EO","Asian","Department for Work and Pensions","4510","4160","29010","27570"
"In post","2021","EO","Asian","Department of Health and Social Care","220","210","26880","27150"
"In post","2021","EO","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Foreign, Commonwealth and Development Office","100","100","30230","30500"
"In post","2021","EO","Asian","HM Land Registry","70","60","27940","27130"
"In post","2021","EO","Asian","HM Revenue and Customs","1080","1020","27270","25560"
"In post","2021","EO","Asian","HM Treasury","30","30","[c]","[c]"
"In post","2021","EO","Asian","Home Office","1880","1740","28090","28760"
"In post","2021","EO","Asian","Ministry of Defence","270","260","26200","26670"
"In post","2021","EO","Asian","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","EO","Asian","Ministry of Justice","560","540","25800","26410"
"In post","2021","EO","Asian","National Crime Agency","110","110","33520","32770"
"In post","2021","EO","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
