"Status","Year","Region_ITL3","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bristol, City of","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","4400","4100","36600","31810"
"In post","2021","Bristol, City of","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","300","290","34870","31510"
"In post","2021","Bristol, City of","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","570","520","36050","31810"
"In post","2021","Bristol, City of","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","1340","1220","33560","28000"
"In post","2021","Bromley","Heterosexual / straight","Outer London - South","310","290","29270","31060"
"In post","2021","Bromley","LGBO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Undeclared","Outer London - South","50","40","[c]","[c]"
"In post","2021","Bromley","Unknown","Outer London - South","90","80","29210","31060"
"In post","2021","Buckinghamshire CC","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","1240","1190","32220","29440"
"In post","2021","Buckinghamshire CC","LGBO","Berkshire, Buckinghamshire and Oxfordshire","70","60","29740","27850"
"In post","2021","Buckinghamshire CC","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","160","150","31560","31250"
"In post","2021","Buckinghamshire CC","Unknown","Berkshire, Buckinghamshire and Oxfordshire","210","190","32900","29920"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Heterosexual / straight","Highlands and Islands","110","110","29690","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Undeclared","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Unknown","Highlands and Islands","80","70","28520","27570"
"In post","2021","Calderdale and Kirklees","Heterosexual / straight","West Yorkshire","690","610","27310","27570"
"In post","2021","Calderdale and Kirklees","LGBO","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Undeclared","West Yorkshire","100","90","27260","27570"
"In post","2021","Calderdale and Kirklees","Unknown","West Yorkshire","240","200","26080","27570"
"In post","2021","Cambridgeshire CC","Heterosexual / straight","East Anglia","2380","2260","34390","31290"
"In post","2021","Cambridgeshire CC","LGBO","East Anglia","110","110","29190","27570"
"In post","2021","Cambridgeshire CC","Undeclared","East Anglia","360","350","34910","33170"
"In post","2021","Cambridgeshire CC","Unknown","East Anglia","520","480","32490","30450"
"In post","2021","Camden and City of London","Heterosexual / straight","Inner London - West","2170","2080","38020","32510"
"In post","2021","Camden and City of London","LGBO","Inner London - West","130","120","38960","36160"
"In post","2021","Camden and City of London","Undeclared","Inner London - West","410","390","38220","35200"
"In post","2021","Camden and City of London","Unknown","Inner London - West","940","890","38770","32520"
"In post","2021","Cardiff and Vale of Glamorgan","Heterosexual / straight","East Wales","8110","7580","34240","28850"
"In post","2021","Cardiff and Vale of Glamorgan","LGBO","East Wales","560","540","31850","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Undeclared","East Wales","1020","950","35320","30480"
"In post","2021","Cardiff and Vale of Glamorgan","Unknown","East Wales","2380","2190","27800","25560"
"In post","2021","Causeway Coast and Glens","Heterosexual / straight","Northern Ireland","50","50","20870","20310"
"In post","2021","Causeway Coast and Glens","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Heterosexual / straight","Bedfordshire and Hertfordshire","330","320","30150","27570"
"In post","2021","Central Bedfordshire","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Undeclared","Bedfordshire and Hertfordshire","60","60","32440","30600"
"In post","2021","Central Bedfordshire","Unknown","Bedfordshire and Hertfordshire","30","30","[c]","[c]"
"In post","2021","Central Hampshire","Heterosexual / straight","Hampshire and Isle of Wight","3080","2960","35720","33300"
"In post","2021","Central Hampshire","LGBO","Hampshire and Isle of Wight","130","130","32890","29680"
"In post","2021","Central Hampshire","Undeclared","Hampshire and Isle of Wight","430","410","36240","33400"
"In post","2021","Central Hampshire","Unknown","Hampshire and Isle of Wight","550","530","39580","37320"
"In post","2021","Central Valleys","Heterosexual / straight","West Wales and The Valleys","1260","1180","35110","28850"
"In post","2021","Central Valleys","LGBO","West Wales and The Valleys","60","50","35430","27570"
"In post","2021","Central Valleys","Undeclared","West Wales and The Valleys","160","150","36000","30860"
"In post","2021","Central Valleys","Unknown","West Wales and The Valleys","240","210","30540","27570"
"In post","2021","Cheshire East","Heterosexual / straight","Cheshire","440","410","31250","27570"
"In post","2021","Cheshire East","LGBO","Cheshire","50","40","[c]","[c]"
"In post","2021","Cheshire East","Undeclared","Cheshire","80","70","30470","28690"
"In post","2021","Cheshire East","Unknown","Cheshire","190","170","27160","25350"
"In post","2021","Cheshire West and Chester","Heterosexual / straight","Cheshire","340","310","25690","26120"
"In post","2021","Cheshire West and Chester","LGBO","Cheshire","30","30","[c]","[c]"
"In post","2021","Cheshire West and Chester","Undeclared","Cheshire","50","40","[c]","[c]"
"In post","2021","Cheshire West and Chester","Unknown","Cheshire","40","40","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Heterosexual / straight","Lancashire","860","800","29990","27570"
"In post","2021","Chorley and West Lancashire","LGBO","Lancashire","50","40","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Undeclared","Lancashire","80","80","30430","27570"
"In post","2021","Chorley and West Lancashire","Unknown","Lancashire","340","310","28820","27470"
"In post","2021","City of Edinburgh","Heterosexual / straight","Eastern Scotland","7040","6730","39570","34190"
"In post","2021","City of Edinburgh","LGBO","Eastern Scotland","570","560","36760","31810"
"In post","2021","City of Edinburgh","Undeclared","Eastern Scotland","1410","1340","33280","29350"
"In post","2021","City of Edinburgh","Unknown","Eastern Scotland","3780","3570","34970","30650"
"In post","2021","Clackmannanshire and Fife","Heterosexual / straight","Eastern Scotland","810","750","30470","27570"
"In post","2021","Clackmannanshire and Fife","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Clackmannanshire and Fife","Undeclared","Eastern Scotland","170","150","29090","27170"
"In post","2021","Clackmannanshire and Fife","Unknown","Eastern Scotland","350","330","29130","27570"
"In post","2021","Conwy and Denbighshire","Heterosexual / straight","West Wales and The Valleys","550","520","34990","31420"
"In post","2021","Conwy and Denbighshire","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Conwy and Denbighshire","Undeclared","West Wales and The Valleys","70","60","39500","37410"
"In post","2021","Conwy and Denbighshire","Unknown","West Wales and The Valleys","50","40","28700","27570"
"In post","2021","Cornwall and Isles of Scilly","Heterosexual / straight","Cornwall and Isles of Scilly","1120","1030","26720","26670"
"In post","2021","Cornwall and Isles of Scilly","LGBO","Cornwall and Isles of Scilly","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Cornwall and Isles of Scilly","160","140","27340","26670"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Cornwall and Isles of Scilly","320","280","25940","25260"
"In post","2021","Coventry","Heterosexual / straight","West Midlands","1560","1480","36840","32300"
"In post","2021","Coventry","LGBO","West Midlands","90","80","34730","31000"
"In post","2021","Coventry","Undeclared","West Midlands","170","150","35200","31000"
"In post","2021","Coventry","Unknown","West Midlands","620","580","37670","33840"
"In post","2021","Croydon","Heterosexual / straight","Outer London - South","6860","6500","38670","35070"
"In post","2021","Croydon","LGBO","Outer London - South","260","250","40690","36160"
"In post","2021","Croydon","Undeclared","Outer London - South","1060","990","38250","35070"
"In post","2021","Croydon","Unknown","Outer London - South","1440","1380","36490","32520"
"In post","2021","Darlington","Heterosexual / straight","Tees Valley and Durham","770","730","35640","31990"
"In post","2021","Darlington","LGBO","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Darlington","Undeclared","Tees Valley and Durham","60","60","36110","30800"
"In post","2021","Darlington","Unknown","Tees Valley and Durham","110","100","35710","30200"
"In post","2021","Derby","Heterosexual / straight","Derbyshire and Nottinghamshire","640","570","27020","26470"
"In post","2021","Derby","LGBO","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Derby","Undeclared","Derbyshire and Nottinghamshire","100","90","27590","21010"
"In post","2021","Derby","Unknown","Derbyshire and Nottinghamshire","240","210","24280","21010"
"In post","2021","Derry City and Strabane","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Derry City and Strabane","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
