"Status","Year","Responsibility_level","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","EO","Male","White","1730","1550","27690","27570"
"Leaver CS","2021","EO","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Asian","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Female","Unknown","240","200","61360","58740"
"Leaver CS","2021","G6/G7","Female","White","730","640","60010","57380"
"Leaver CS","2021","G6/G7","Male","Asian","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Male","Undeclared","90","80","59610","57680"
"Leaver CS","2021","G6/G7","Male","Unknown","300","260","59990","57780"
"Leaver CS","2021","G6/G7","Male","White","910","810","61500","59260"
"Leaver CS","2021","G6/G7","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
