"Status","Year","Function_of_post","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Greater Manchester South West","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Department of Health and Social Care (excl. agencies)","90","80","47560","49530"
"In post","2021","Analysis","Leeds","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Ministry of Justice (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Analysis","Leicester","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","HM Revenue and Customs (excl. agencies)","70","70","39900","38630"
"In post","2021","Analysis","Liverpool","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Manchester","HM Revenue and Customs (excl. agencies)","160","150","38490","33690"
"In post","2021","Analysis","Manchester","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Manchester","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","United Kingdom Statistics Authority","1020","980","36210","36030"
"In post","2021","Analysis","North Northamptonshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","Department for Education (excl. agencies)","120","110","44020","42420"
"In post","2021","Analysis","Sheffield","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sheffield","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Somerset","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Somerset","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","United Kingdom Statistics Authority","440","420","37170","36030"
"In post","2021","Analysis","South Nottinghamshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","Centre for Environment, Fisheries and Aquaculture Science","350","330","34300","30220"
"In post","2021","Analysis","Suffolk","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Swansea","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","Competition and Markets Authority","130","120","60780","56360"
"In post","2021","Analysis","Tower Hamlets","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","HM Revenue and Customs (excl. agencies)","120","110","47870","41760"
"In post","2021","Analysis","Tower Hamlets","Ministry of Justice (excl. agencies)","320","310","46810","41090"
"In post","2021","Analysis","Tower Hamlets","Office of Gas and Electricity Markets","60","60","54980","52000"
"In post","2021","Analysis","Tower Hamlets","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tyneside","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","290","43330","36220"
"In post","2021","Analysis","Westminster","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","Westminster","Department for Education (excl. agencies)","180","170","46830","45540"
"In post","2021","Analysis","Westminster","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Department for International Trade","230","230","42740","38540"
"In post","2021","Analysis","Westminster","Department for Transport (excl. agencies)","380","370","46950","43360"
"In post","2021","Analysis","Westminster","Department of Health and Social Care (excl. agencies)","200","190","53940","53360"
"In post","2021","Analysis","Westminster","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Foreign, Commonwealth and Development Office (excl. agencies)","70","60","57940","58370"
"In post","2021","Analysis","Westminster","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","HM Revenue and Customs (excl. agencies)","190","180","47980","41760"
"In post","2021","Analysis","Westminster","HM Treasury (excl. agencies)","120","120","50770","52680"
"In post","2021","Analysis","Westminster","Ministry of Defence (excl. agencies)","90","80","43990","40640"
"In post","2021","Analysis","Westminster","Ministry of Housing, Communities and Local Government (excl. agencies)","190","190","46840","46510"
"In post","2021","Analysis","Westminster","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Westminster","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Analysis","Westminster","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","United Kingdom Statistics Authority","230","220","40680","32540"
"In post","2021","Analysis","Wiltshire","Defence Science and Technology Laboratory","110","110","37730","37320"
"In post","2021","Analysis","Wiltshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wirral","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wirral","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Analysis","York","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Equipment and Support","220","220","45770","41790"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence (excl. agencies)","270","250","39740","40000"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Submarine Delivery Agency","110","110","40830","38240"
"In post","2021","Commercial","Bedford","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","Blackpool","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Ministry of Defence (excl. agencies)","60","60","35680","35300"
"In post","2021","Commercial","Cambridgeshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Ministry of Defence (excl. agencies)","110","110","34420","33300"
"In post","2021","Commercial","Camden and City of London","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","Government Actuary's Department","[c]","[c]","[c]","[c]"
