"Status","Year","Sexual_orientation","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Essex","20-29","450","440","26780","25560"
"In post","2021","Heterosexual / straight","Essex","30-39","610","570","29680","29290"
"In post","2021","Heterosexual / straight","Essex","40-49","900","840","31430","29290"
"In post","2021","Heterosexual / straight","Essex","50-59","1350","1250","32990","29290"
"In post","2021","Heterosexual / straight","Essex","60-64","350","280","30270","29200"
"In post","2021","Heterosexual / straight","Essex","65+","110","80","27800","26780"
"In post","2021","Heterosexual / straight","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","16-19","100","100","19110","19040"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","20-29","3800","3750","27730","27540"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","30-39","4920","4660","35760","33300"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","40-49","4890","4650","39950","37500"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","50-59","5720","5530","40210","37320"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","60-64","1490","1300","38210","34290"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","65+","480","390","36870","33300"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Greater Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Greater Manchester","20-29","1910","1880","27270","25560"
"In post","2021","Heterosexual / straight","Greater Manchester","30-39","2890","2770","31430","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","40-49","2910","2750","33730","28220"
"In post","2021","Heterosexual / straight","Greater Manchester","50-59","3730","3520","32870","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","60-64","820","650","30440","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","65+","220","160","29240","27280"
"In post","2021","Heterosexual / straight","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","20-29","1300","1280","27680","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","30-39","1890","1780","32850","30790"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","40-49","2300","2140","34880","32060"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","50-59","3630","3390","32730","28130"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","60-64","1210","1040","30480","27490"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","65+","530","410","28750","23380"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","20-29","360","360","23610","22920"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","30-39","540","510","27350","26670"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","40-49","660","620","29950","27570"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","50-59","940","890","29820","27570"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","60-64","230","200","26830","25560"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","65+","80","70","25350","23630"
"In post","2021","Heterosexual / straight","Highlands and Islands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","20-29","110","100","24480","22920"
"In post","2021","Heterosexual / straight","Highlands and Islands","30-39","180","170","28640","27570"
"In post","2021","Heterosexual / straight","Highlands and Islands","40-49","280","260","29650","27570"
"In post","2021","Heterosexual / straight","Highlands and Islands","50-59","420","400","29500","27570"
"In post","2021","Heterosexual / straight","Highlands and Islands","60-64","130","110","27590","27570"
"In post","2021","Heterosexual / straight","Highlands and Islands","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inner London - East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inner London - East","20-29","1980","1960","33580","31060"
"In post","2021","Heterosexual / straight","Inner London - East","30-39","2720","2600","42930","38890"
"In post","2021","Heterosexual / straight","Inner London - East","40-49","2550","2420","46470","40850"
"In post","2021","Heterosexual / straight","Inner London - East","50-59","2720","2610","44040","37460"
"In post","2021","Heterosexual / straight","Inner London - East","60-64","660","580","42740","36160"
"In post","2021","Heterosexual / straight","Inner London - East","65+","240","200","38670","31880"
"In post","2021","Heterosexual / straight","Inner London - West","16-19","70","70","25690","25170"
"In post","2021","Heterosexual / straight","Inner London - West","20-29","9430","9400","37690","34640"
"In post","2021","Heterosexual / straight","Inner London - West","30-39","10380","10080","49400","51970"
"In post","2021","Heterosexual / straight","Inner London - West","40-49","8710","8320","53690","53660"
"In post","2021","Heterosexual / straight","Inner London - West","50-59","8290","8100","50310","44330"
"In post","2021","Heterosexual / straight","Inner London - West","60-64","1750","1620","46610","39800"
"In post","2021","Heterosexual / straight","Inner London - West","65+","540","480","43380","35850"
"In post","2021","Heterosexual / straight","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Kent","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Kent","20-29","830","820","26880","26210"
"In post","2021","Heterosexual / straight","Kent","30-39","1200","1130","28910","29120"
"In post","2021","Heterosexual / straight","Kent","40-49","1440","1360","30310","29290"
"In post","2021","Heterosexual / straight","Kent","50-59","1890","1770","30870","29290"
"In post","2021","Heterosexual / straight","Kent","60-64","490","400","28510","27370"
"In post","2021","Heterosexual / straight","Kent","65+","130","100","28410","27370"
"In post","2021","Heterosexual / straight","Lancashire","16-19","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Lancashire","20-29","1020","990","24200","22850"
"In post","2021","Heterosexual / straight","Lancashire","30-39","1540","1440","27100","26810"
"In post","2021","Heterosexual / straight","Lancashire","40-49","2430","2240","29860","27570"
"In post","2021","Heterosexual / straight","Lancashire","50-59","3150","2910","30360","27570"
"In post","2021","Heterosexual / straight","Lancashire","60-64","750","580","28170","26930"
"In post","2021","Heterosexual / straight","Lancashire","65+","230","170","26750","22350"
"In post","2021","Heterosexual / straight","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","20-29","590","580","24190","22920"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","30-39","900","830","27480","26470"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","40-49","960","880","29460","27570"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","50-59","1250","1170","28790","27380"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","60-64","360","300","26770","25200"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","65+","80","60","26340","21550"
"In post","2021","Heterosexual / straight","Lincolnshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Lincolnshire","20-29","210","210","25370","26300"
"In post","2021","Heterosexual / straight","Lincolnshire","30-39","340","330","27360","26670"
"In post","2021","Heterosexual / straight","Lincolnshire","40-49","450","430","28490","27040"
"In post","2021","Heterosexual / straight","Lincolnshire","50-59","780","750","28760","27570"
"In post","2021","Heterosexual / straight","Lincolnshire","60-64","260","230","28040","26120"
"In post","2021","Heterosexual / straight","Lincolnshire","65+","70","60","26400","23240"
"In post","2021","Heterosexual / straight","Merseyside","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Merseyside","20-29","1800","1750","24860","24890"
"In post","2021","Heterosexual / straight","Merseyside","30-39","2950","2760","28500","25560"
"In post","2021","Heterosexual / straight","Merseyside","40-49","3210","2980","30640","27570"
"In post","2021","Heterosexual / straight","Merseyside","50-59","3890","3580","30900","27570"
"In post","2021","Heterosexual / straight","Merseyside","60-64","1110","880","27410","25260"
"In post","2021","Heterosexual / straight","Merseyside","65+","340","250","25830","21430"
"In post","2021","Heterosexual / straight","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North Eastern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North Eastern Scotland","20-29","110","110","27590","27150"
"In post","2021","Heterosexual / straight","North Eastern Scotland","30-39","240","230","34800","30680"
"In post","2021","Heterosexual / straight","North Eastern Scotland","40-49","270","260","42980","35110"
"In post","2021","Heterosexual / straight","North Eastern Scotland","50-59","340","330","40090","32700"
"In post","2021","Heterosexual / straight","North Eastern Scotland","60-64","80","70","35850","27570"
"In post","2021","Heterosexual / straight","North Eastern Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North Yorkshire","20-29","330","320","26460","26370"
"In post","2021","Heterosexual / straight","North Yorkshire","30-39","560","530","33730","30870"
"In post","2021","Heterosexual / straight","North Yorkshire","40-49","800","770","36750","32390"
"In post","2021","Heterosexual / straight","North Yorkshire","50-59","1210","1160","35100","30810"
"In post","2021","Heterosexual / straight","North Yorkshire","60-64","330","290","32500","26750"
"In post","2021","Heterosexual / straight","North Yorkshire","65+","90","80","28130","25260"
"In post","2021","Heterosexual / straight","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","20-29","200","190","24420","21430"
"In post","2021","Heterosexual / straight","Northern Ireland","30-39","530","510","28980","25560"
"In post","2021","Heterosexual / straight","Northern Ireland","40-49","710","670","28590","25560"
"In post","2021","Heterosexual / straight","Northern Ireland","50-59","920","880","29680","26660"
"In post","2021","Heterosexual / straight","Northern Ireland","60-64","200","170","27340","22330"
"In post","2021","Heterosexual / straight","Northern Ireland","65+","70","50","27150","21430"
"In post","2021","Heterosexual / straight","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","16-19","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","20-29","1500","1470","25640","25560"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","30-39","2820","2640","29080","26370"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","40-49","3480","3200","30820","27570"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","50-59","3890","3480","30090","27570"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","60-64","1270","950","26840","21440"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","65+","280","200","24590","21440"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Outer London - East and North East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Outer London - East and North East","20-29","460","460","29580","31060"
"In post","2021","Heterosexual / straight","Outer London - East and North East","30-39","500","480","31160","31060"
"In post","2021","Heterosexual / straight","Outer London - East and North East","40-49","480","450","31480","31060"
"In post","2021","Heterosexual / straight","Outer London - East and North East","50-59","700","660","31780","31060"
"In post","2021","Heterosexual / straight","Outer London - East and North East","60-64","170","150","30430","30740"
"In post","2021","Heterosexual / straight","Outer London - East and North East","65+","70","60","27220","25110"
"In post","2021","Heterosexual / straight","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Outer London - South","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Outer London - South","20-29","860","860","32750","30880"
"In post","2021","Heterosexual / straight","Outer London - South","30-39","1450","1380","38030","35070"
"In post","2021","Heterosexual / straight","Outer London - South","40-49","1890","1790","40550","35860"
"In post","2021","Heterosexual / straight","Outer London - South","50-59","2520","2410","38780","35070"
"In post","2021","Heterosexual / straight","Outer London - South","60-64","630","560","35860","30600"
"In post","2021","Heterosexual / straight","Outer London - South","65+","270","220","30660","26340"
"In post","2021","Heterosexual / straight","Outer London - West and North West","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Outer London - West and North West","20-29","990","980","29640","29250"
"In post","2021","Heterosexual / straight","Outer London - West and North West","30-39","1330","1280","32470","31060"
"In post","2021","Heterosexual / straight","Outer London - West and North West","40-49","1420","1320","33920","31060"
"In post","2021","Heterosexual / straight","Outer London - West and North West","50-59","1730","1600","34030","31060"
"In post","2021","Heterosexual / straight","Outer London - West and North West","60-64","550","450","32020","30500"
"In post","2021","Heterosexual / straight","Outer London - West and North West","65+","220","170","31070","29080"
"In post","2021","Heterosexual / straight","Overseas","20-29","180","180","36290","33860"
"In post","2021","Heterosexual / straight","Overseas","30-39","690","690","46250","49370"
"In post","2021","Heterosexual / straight","Overseas","40-49","790","790","52090","54470"
"In post","2021","Heterosexual / straight","Overseas","50-59","670","670","53410","50990"
"In post","2021","Heterosexual / straight","Overseas","60-64","140","140","56460","55000"
"In post","2021","Heterosexual / straight","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","20-29","740","730","25230","25300"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","30-39","1080","1030","29310","27570"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","40-49","1300","1220","31540","27570"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","50-59","2010","1890","31810","27570"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","60-64","570","480","29550","27570"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","65+","140","120","29250","26780"
"In post","2021","Heterosexual / straight","South Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South Yorkshire","20-29","980","960","26790","25000"
"In post","2021","Heterosexual / straight","South Yorkshire","30-39","1680","1540","30950","27570"
"In post","2021","Heterosexual / straight","South Yorkshire","40-49","1750","1600","34220","30200"
"In post","2021","Heterosexual / straight","South Yorkshire","50-59","2120","1950","32650","27570"
"In post","2021","Heterosexual / straight","South Yorkshire","60-64","490","380","27950","26050"
"In post","2021","Heterosexual / straight","South Yorkshire","65+","130","90","27710","25000"
"In post","2021","Heterosexual / straight","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Southern Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Southern Scotland","20-29","320","320","26940","26120"
"In post","2021","Heterosexual / straight","Southern Scotland","30-39","730","690","30920","27570"
"In post","2021","Heterosexual / straight","Southern Scotland","40-49","730","680","32920","27740"
"In post","2021","Heterosexual / straight","Southern Scotland","50-59","1130","1030","31440","27570"
"In post","2021","Heterosexual / straight","Southern Scotland","60-64","370","290","28080","26530"
"In post","2021","Heterosexual / straight","Southern Scotland","65+","80","60","24710","22500"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","20-29","720","710","27050","27570"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","30-39","990","920","30210","28170"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","40-49","1260","1150","32600","28350"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","50-59","1760","1630","31740","28060"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","60-64","540","450","29870","27570"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","65+","200","150","27760","26030"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","20-29","820","800","24340","22850"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","30-39","1250","1160","27160","25560"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","40-49","1510","1390","29310","27150"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","50-59","2070","1890","30020","27570"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","60-64","540","410","26750","25310"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","65+","150","110","25210","21950"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","20-29","160","160","30220","27570"
"In post","2021","Heterosexual / straight","Unknown","30-39","190","180","34330","27570"
"In post","2021","Heterosexual / straight","Unknown","40-49","220","210","33670","27570"
"In post","2021","Heterosexual / straight","Unknown","50-59","320","300","34340","30330"
"In post","2021","Heterosexual / straight","Unknown","60-64","90","80","34980","31060"
"In post","2021","Heterosexual / straight","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Central Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Central Scotland","20-29","1400","1370","26130","24890"
"In post","2021","Heterosexual / straight","West Central Scotland","30-39","2320","2200","31290","27570"
"In post","2021","Heterosexual / straight","West Central Scotland","40-49","2490","2350","33710","27980"
"In post","2021","Heterosexual / straight","West Central Scotland","50-59","3780","3510","32050","27570"
"In post","2021","Heterosexual / straight","West Central Scotland","60-64","970","760","29070","26160"
"In post","2021","Heterosexual / straight","West Central Scotland","65+","240","170","27230","22220"
"In post","2021","Heterosexual / straight","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Midlands","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Midlands","20-29","1630","1600","26340","25480"
"In post","2021","Heterosexual / straight","West Midlands","30-39","2810","2630","29840","27570"
"In post","2021","Heterosexual / straight","West Midlands","40-49","2910","2690","33670","27570"
"In post","2021","Heterosexual / straight","West Midlands","50-59","3300","3070","32920","27570"
"In post","2021","Heterosexual / straight","West Midlands","60-64","860","710","29960","27570"
"In post","2021","Heterosexual / straight","West Midlands","65+","190","140","29800","26840"
"In post","2021","Heterosexual / straight","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","16-19","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","20-29","1210","1160","23960","22100"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","30-39","2560","2350","27500","26350"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","40-49","2680","2510","31560","27570"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","50-59","2940","2720","31530","27570"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","60-64","870","680","29780","26780"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","65+","230","160","27560","23830"
"In post","2021","Heterosexual / straight","West Yorkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","West Yorkshire","20-29","1750","1720","26970","25560"
"In post","2021","Heterosexual / straight","West Yorkshire","30-39","2250","2100","31080","27570"
