"Status","Year","Age","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","65+","Female","Legal","130","100","37690","28620"
"In post","2021","65+","Female","No function","1990","1450","27440","22720"
"In post","2021","65+","Female","Project Delivery","130","110","34600","31810"
"In post","2021","65+","Female","Property","90","70","25760","26000"
"In post","2021","65+","Female","Security","30","30","[c]","[c]"
"In post","2021","65+","Female","Unknown","2530","1840","26660","25630"
"In post","2021","65+","Male","Analysis","40","30","[c]","[c]"
"In post","2021","65+","Male","Commercial","70","60","44560","37960"
"In post","2021","65+","Male","Communications","60","50","30440","27140"
"In post","2021","65+","Male","Counter Fraud","110","80","37270","35000"
"In post","2021","65+","Male","Debt","60","50","26230","24120"
"In post","2021","65+","Male","Digital, Data & Technology","150","120","43450","38450"
"In post","2021","65+","Male","Finance","90","80","35490","33630"
"In post","2021","65+","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","65+","Male","Human Resources","60","50","33950","31180"
"In post","2021","65+","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","65+","Male","Legal","160","130","49170","55130"
"In post","2021","65+","Male","No function","2390","1760","32570","27380"
"In post","2021","65+","Male","Project Delivery","410","350","40660","37800"
"In post","2021","65+","Male","Property","280","250","32770","31100"
"In post","2021","65+","Male","Security","190","160","26210","20920"
"In post","2021","65+","Male","Unknown","2120","1720","30080","27370"
"In post","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Debt","30","30","[c]","[c]"
"In post","2022","16-19","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","No function","360","340","22150","21260"
"In post","2022","16-19","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Female","Unknown","80","80","22340","21680"
"In post","2022","16-19","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","No function","320","300","21860","21260"
"In post","2022","16-19","Male","Project Delivery","90","90","18350","17930"
"In post","2022","16-19","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Male","Unknown","80","80","21120","21050"
"In post","2022","16-19","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Female","Analysis","1430","1420","35590","33710"
"In post","2022","20-29","Female","Commercial","600","590","35420","33000"
"In post","2022","20-29","Female","Communications","1210","1190","31600","27500"
"In post","2022","20-29","Female","Counter Fraud","1070","1050","29370","27570"
"In post","2022","20-29","Female","Debt","670","630","22120","21250"
"In post","2022","20-29","Female","Digital, Data & Technology","1290","1280","34120","32810"
"In post","2022","20-29","Female","Finance","880","860","32390","30090"
"In post","2022","20-29","Female","Grants Management","210","200","22430","21300"
"In post","2022","20-29","Female","Human Resources","1160","1140","30870","28310"
"In post","2022","20-29","Female","Internal Audit","40","40","[c]","[c]"
"In post","2022","20-29","Female","Legal","1180","1170","31290","26970"
"In post","2022","20-29","Female","No function","28690","28070","28680","27570"
"In post","2022","20-29","Female","Project Delivery","1670","1650","32450","31600"
"In post","2022","20-29","Female","Property","550","540","28780","26270"
"In post","2022","20-29","Female","Security","520","520","29520","27680"
"In post","2022","20-29","Female","Unknown","5920","5810","29740","27230"
"In post","2022","20-29","Male","Analysis","1570","1560","36340","33880"
"In post","2022","20-29","Male","Commercial","500","500","34720","32710"
"In post","2022","20-29","Male","Communications","1020","1020","30440","26820"
"In post","2022","20-29","Male","Counter Fraud","960","960","29400","27570"
"In post","2022","20-29","Male","Debt","620","610","22420","21250"
"In post","2022","20-29","Male","Digital, Data & Technology","1940","1930","33390","32000"
"In post","2022","20-29","Male","Finance","880","870","32720","30420"
"In post","2022","20-29","Male","Grants Management","170","170","22450","21300"
"In post","2022","20-29","Male","Human Resources","510","510","31550","28520"
"In post","2022","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Male","Legal","520","520","33040","27570"
"In post","2022","20-29","Male","No function","20280","20130","29240","27570"
"In post","2022","20-29","Male","Project Delivery","2110","2110","30880","29340"
"In post","2022","20-29","Male","Property","570","570","29470","27650"
"In post","2022","20-29","Male","Security","1000","1000","28060","26670"
"In post","2022","20-29","Male","Unknown","4810","4770","29600","27230"
"In post","2022","20-29","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Female","Analysis","1130","1050","45570","42070"
"In post","2022","30-39","Female","Commercial","880","830","42850","39190"
"In post","2022","30-39","Female","Communications","1410","1340","37760","33370"
"In post","2022","30-39","Female","Counter Fraud","1540","1430","31660","27570"
"In post","2022","30-39","Female","Debt","730","620","23190","21260"
"In post","2022","30-39","Female","Digital, Data & Technology","2060","1980","41090","38580"
"In post","2022","30-39","Female","Finance","1340","1250","38820","35310"
"In post","2022","30-39","Female","Grants Management","270","230","24160","21300"
"In post","2022","30-39","Female","Human Resources","1820","1710","36910","33080"
"In post","2022","30-39","Female","Internal Audit","70","70","42010","40180"
"In post","2022","30-39","Female","Legal","1890","1760","46910","50500"
"In post","2022","30-39","Female","No function","32970","30050","32150","27570"
"In post","2022","30-39","Female","Project Delivery","2900","2730","40950","38650"
"In post","2022","30-39","Female","Property","730","680","35510","33000"
"In post","2022","30-39","Female","Security","600","580","34690","33300"
"In post","2022","30-39","Female","Unknown","9470","8750","34690","30820"
"In post","2022","30-39","Male","Analysis","1220","1200","46240","43430"
"In post","2022","30-39","Male","Commercial","750","750","46270","41030"
"In post","2022","30-39","Male","Communications","1290","1280","35110","33080"
"In post","2022","30-39","Male","Counter Fraud","1630","1620","33830","31990"
"In post","2022","30-39","Male","Debt","570","560","23100","21250"
"In post","2022","30-39","Male","Digital, Data & Technology","3200","3180","41990","39640"
"In post","2022","30-39","Male","Finance","1160","1160","41960","39750"
"In post","2022","30-39","Male","Grants Management","170","170","24080","21300"
"In post","2022","30-39","Male","Human Resources","810","800","37170","33370"
"In post","2022","30-39","Male","Internal Audit","50","50","45370","42360"
"In post","2022","30-39","Male","Legal","990","980","48180","50500"
"In post","2022","30-39","Male","No function","26400","26100","33570","29950"
"In post","2022","30-39","Male","Project Delivery","3130","3110","41620","40050"
"In post","2022","30-39","Male","Property","820","810","36590","33370"
"In post","2022","30-39","Male","Security","1480","1470","33830","33200"
"In post","2022","30-39","Male","Unknown","8040","7960","35340","30830"
"In post","2022","30-39","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Female","Analysis","800","710","49220","47550"
"In post","2022","40-49","Female","Commercial","940","890","50470","43640"
"In post","2022","40-49","Female","Communications","1010","930","41180","36730"
"In post","2022","40-49","Female","Counter Fraud","1980","1770","31960","28920"
"In post","2022","40-49","Female","Debt","830","690","23890","21260"
"In post","2022","40-49","Female","Digital, Data & Technology","2200","2080","42730","39750"
"In post","2022","40-49","Female","Finance","1780","1650","40410","36740"
"In post","2022","40-49","Female","Grants Management","420","360","25650","24920"
"In post","2022","40-49","Female","Human Resources","2060","1910","40150","36050"
"In post","2022","40-49","Female","Internal Audit","110","100","45910","43710"
"In post","2022","40-49","Female","Legal","2260","1990","50410","53050"
"In post","2022","40-49","Female","No function","35700","31760","32900","27570"
"In post","2022","40-49","Female","Project Delivery","3010","2800","44460","40520"
"In post","2022","40-49","Female","Property","970","910","37270","33370"
"In post","2022","40-49","Female","Security","640","610","35870","33300"
"In post","2022","40-49","Female","Unknown","10610","9710","37350","31540"
"In post","2022","40-49","Male","Analysis","860","850","50910","49240"
"In post","2022","40-49","Male","Commercial","790","790","55360","50620"
"In post","2022","40-49","Male","Communications","900","890","38800","33370"
"In post","2022","40-49","Male","Counter Fraud","1800","1780","34900","33080"
"In post","2022","40-49","Male","Debt","480","460","24080","21260"
"In post","2022","40-49","Male","Digital, Data & Technology","3770","3750","45790","41100"
"In post","2022","40-49","Male","Finance","1380","1370","45010","40520"
"In post","2022","40-49","Male","Grants Management","270","260","25730","21300"
"In post","2022","40-49","Male","Human Resources","880","880","41910","37300"
"In post","2022","40-49","Male","Internal Audit","80","80","49890","48780"
"In post","2022","40-49","Male","Legal","1110","1090","51870","53050"
"In post","2022","40-49","Male","No function","24140","23730","35460","30840"
"In post","2022","40-49","Male","Project Delivery","3260","3240","46870","42770"
"In post","2022","40-49","Male","Property","1130","1120","40290","37280"
"In post","2022","40-49","Male","Security","1550","1540","35520","36480"
"In post","2022","40-49","Male","Unknown","8800","8700","38440","32700"
"In post","2022","40-49","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Female","Analysis","480","440","46460","40580"
"In post","2022","50-59","Female","Commercial","820","800","47820","42000"
"In post","2022","50-59","Female","Communications","760","710","38050","33370"
"In post","2022","50-59","Female","Counter Fraud","3200","2900","31740","28920"
"In post","2022","50-59","Female","Debt","1290","1100","24490","21680"
"In post","2022","50-59","Female","Digital, Data & Technology","2160","2060","40840","37500"
"In post","2022","50-59","Female","Finance","2210","2050","37800","33710"
"In post","2022","50-59","Female","Grants Management","320","290","26430","24920"
"In post","2022","50-59","Female","Human Resources","2360","2230","39230","34370"
"In post","2022","50-59","Female","Internal Audit","160","150","47370","43770"
"In post","2022","50-59","Female","Legal","2170","1970","47180","48080"
"In post","2022","50-59","Female","No function","44560","39900","30640","27570"
"In post","2022","50-59","Female","Project Delivery","3400","3210","43130","40150"
"In post","2022","50-59","Female","Property","1390","1320","36110","33000"
"In post","2022","50-59","Female","Security","820","790","33170","31870"
"In post","2022","50-59","Female","Unknown","11640","10910","35010","29370"
"In post","2022","50-59","Male","Analysis","610","600","52330","48080"
"In post","2022","50-59","Male","Commercial","910","900","57910","50760"
"In post","2022","50-59","Male","Communications","590","580","37960","33300"
"In post","2022","50-59","Male","Counter Fraud","2620","2560","35430","33080"
"In post","2022","50-59","Male","Debt","640","610","25520","22080"
"In post","2022","50-59","Male","Digital, Data & Technology","3780","3730","43950","40520"
"In post","2022","50-59","Male","Finance","1600","1570","44120","40520"
"In post","2022","50-59","Male","Grants Management","250","240","28630","25470"
"In post","2022","50-59","Male","Human Resources","1100","1080","40730","36270"
"In post","2022","50-59","Male","Internal Audit","160","150","51510","49310"
"In post","2022","50-59","Male","Legal","1280","1260","53340","55610"
"In post","2022","50-59","Male","No function","31120","30040","35010","31650"
"In post","2022","50-59","Male","Project Delivery","4470","4410","47320","42950"
"In post","2022","50-59","Male","Property","1900","1870","41230","38000"
"In post","2022","50-59","Male","Security","2820","2790","33800","33300"
"In post","2022","50-59","Male","Unknown","11480","11200","36920","31520"
"In post","2022","50-59","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Female","Analysis","90","70","39630","36840"
"In post","2022","60-64","Female","Commercial","150","130","40780","39630"
"In post","2022","60-64","Female","Communications","140","120","34260","30950"
"In post","2022","60-64","Female","Counter Fraud","940","690","29800","27570"
"In post","2022","60-64","Female","Debt","490","360","24100","22080"
"In post","2022","60-64","Female","Digital, Data & Technology","410","350","38000","33430"
"In post","2022","60-64","Female","Finance","520","430","32920","28920"
"In post","2022","60-64","Female","Grants Management","100","80","23910","21300"
