"Status","Year","Age","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","40","40","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","110","110","26570","24250"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","450","450","25390","24920"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","3400","3390","33960","29250"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","90","90","25350","24920"
"In post","2021","20-29","Charity Commission","Charity Commission","50","50","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","130","130","26600","24500"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","150","150","38650","33610"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","140","140","28670","27770"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","390","380","26170","22220"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","890","880","27470","25480"
"In post","2021","20-29","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Ministry of Defence","2050","2040","26700","26590"
"In post","2021","20-29","Defence Science and Technology Laboratory","Ministry of Defence","910","900","29050","28650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","1830","1820","40660","39080"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","680","670","41060","34840"
"In post","2021","20-29","Department for Education (excl. agencies)","Department for Education","1250","1250","36120","33190"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1120","1110","34890","32560"
"In post","2021","20-29","Department for International Trade","Department for International Trade","950","950","37340","33000"
"In post","2021","20-29","Department for Transport (excl. agencies)","Department for Transport","930","920","38180","35060"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10300","10110","26630","27570"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1240","1230","37260","32790"
"In post","2021","20-29","Disclosure Scotland","Scottish Government","70","70","23040","21150"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Department for Transport","790","750","22730","21590"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Department for Transport","280","270","26440","26130"
"In post","2021","20-29","Education and Skills Funding Agency","Department for Education","300","300","32760","30090"
"In post","2021","20-29","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","FCDO Services","Foreign, Commonwealth and Development Office","130","130","27540","26590"
"In post","2021","20-29","Food Standards Agency","Food Standards Agency","110","110","32770","32350"
"In post","2021","20-29","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","1340","1340","35370","34640"
"In post","2021","20-29","Forestry and Land Scotland","Scottish Government","100","100","25870","25140"
"In post","2021","20-29","Government Actuary's Department","Chancellor's other departments","60","60","35910","33380"
"In post","2021","20-29","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Government Legal Department","Attorney General's Departments","340","330","36510","33460"
"In post","2021","20-29","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Health and Safety Executive","Department for Work and Pensions","250","240","28880","26410"
"In post","2021","20-29","HM Courts and Tribunals Service","Ministry of Justice","2180","2140","21940","19930"
"In post","2021","20-29","HM Land Registry","HM Land Registry","1110","1090","25370","22350"
"In post","2021","20-29","HM Prison and Probation Service","Ministry of Justice","10470","10340","26120","25380"
"In post","2021","20-29","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","9850","9640","26860","25560"
"In post","2021","20-29","HM Treasury (excl. agencies)","HM Treasury","980","970","38620","32960"
"In post","2021","20-29","Home Office (incl. agencies)","Home Office","5280","5150","28310","24890"
"In post","2021","20-29","Insolvency Service","Department for Business, Energy and Industrial Strategy","220","210","23780","20880"
"In post","2021","20-29","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal Aid Agency","Ministry of Justice","110","100","20840","19930"
"In post","2021","20-29","Maritime and Coastguard Agency","Department for Transport","190","190","29010","26590"
"In post","2021","20-29","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","220","220","32840","32640"
"In post","2021","20-29","Met Office","Department for Business, Energy and Industrial Strategy","290","290","30860","31580"
"In post","2021","20-29","Ministry of Defence (excl. agencies)","Ministry of Defence","3750","3720","29360","26670"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","650","650","37660","33210"
"In post","2021","20-29","Ministry of Justice (excl. agencies)","Ministry of Justice","950","940","33950","31000"
"In post","2021","20-29","National Crime Agency","National Crime Agency","940","940","31970","32260"
"In post","2021","20-29","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","National Records of Scotland","Scottish Government","50","40","[c]","[c]"
"In post","2021","20-29","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","160","150","28760","25880"
"In post","2021","20-29","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","350","340","31040","29160"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office of the Public Guardian","Ministry of Justice","320","310","20590","19930"
"In post","2021","20-29","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning Inspectorate","Ministry of Housing, Communities and Local Government","70","70","24150","21270"
"In post","2021","20-29","Public Health England","Department of Health and Social Care","1230","1160","28120","26880"
"In post","2021","20-29","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Registers of Scotland","Scottish Government","180","180","27570","24130"
"In post","2021","20-29","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Royal Fleet Auxiliary","Ministry of Defence","360","360","29000","28980"
"In post","2021","20-29","Rural Payments Agency","Department for Environment, Food and Rural Affairs","260","260","22660","21050"
"In post","2021","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Courts and Tribunals Service","Scottish Government","230","230","24600","22820"
"In post","2021","20-29","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scottish Government (excl. agencies)","Scottish Government","1310","1300","30270","29190"
"In post","2021","20-29","Scottish Prison Service","Scottish Government","650","640","25530","25650"
"In post","2021","20-29","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Serious Fraud Office","Attorney General's Departments","80","80","32710","33100"
"In post","2021","20-29","Social Security Scotland","Scottish Government","240","240","25770","24290"
"In post","2021","20-29","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Student Awards Agency for Scotland","Scottish Government","70","70","23190","22230"
"In post","2021","20-29","Submarine Delivery Agency","Ministry of Defence","370","370","29170","28450"
"In post","2021","20-29","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","The National Archives","The National Archives","80","70","26800","23960"
"In post","2021","20-29","Transport Scotland","Scottish Government","70","70","29840","30650"
"In post","2021","20-29","UK Export Finance","UK Export Finance","70","70","35960","33000"
"In post","2021","20-29","UK Hydrographic Office","Ministry of Defence","120","120","27480","26740"
"In post","2021","20-29","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","290","280","28890","26860"
"In post","2021","20-29","UK Space Agency","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","20-29","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","United Kingdom Statistics Authority","United Kingdom Statistics Authority","1220","1190","29860","29540"
"In post","2021","20-29","Valuation Office Agency","HM Revenue and Customs","490","470","26990","25500"
"In post","2021","20-29","Vehicle Certification Agency","Department for Transport","40","40","[c]","[c]"
"In post","2021","20-29","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Welsh Government (excl. agencies)","Welsh Government","550","530","26960","23830"
"In post","2021","20-29","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Accountant in Bankruptcy","Scottish Government","40","30","[c]","[c]"
"In post","2021","30-39","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","230","220","30190","30950"
"In post","2021","30-39","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","510","480","29310","28170"
"In post","2021","30-39","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Cabinet Office (excl. agencies)","Cabinet Office","2370","2320","49080","54700"
"In post","2021","30-39","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","170","160","31720","29270"
"In post","2021","30-39","Charity Commission","Charity Commission","110","100","34770","29160"
"In post","2021","30-39","Companies House","Department for Business, Energy and Industrial Strategy","250","230","30780","27460"
"In post","2021","30-39","Competition and Markets Authority","Competition and Markets Authority","300","290","59800","56630"
"In post","2021","30-39","Criminal Injuries Compensation Authority","Ministry of Justice","80","80","25520","22710"
"In post","2021","30-39","Crown Commercial Service","Other Cabinet Office Agencies","240","230","35730","34800"
"In post","2021","30-39","Crown Office and Procurator Fiscal Service","Scottish Government","510","490","36880","33040"
"In post","2021","30-39","Crown Prosecution Service","Attorney General's Departments","1160","1090","40010","39750"
"In post","2021","30-39","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt Management Office","HM Treasury","30","30","[c]","[c]"
"In post","2021","30-39","Defence Electronics and Components Agency","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","30-39","Defence Equipment and Support","Ministry of Defence","2230","2140","35660","34770"
"In post","2021","30-39","Defence Science and Technology Laboratory","Ministry of Defence","1030","1000","39410","37320"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","1470","1440","52480","53600"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","610","590","52420","52070"
"In post","2021","30-39","Department for Education (excl. agencies)","Department for Education","1560","1500","45320","44320"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","1360","1300","43040","39110"
"In post","2021","30-39","Department for International Trade","Department for International Trade","740","740","49740","51970"
"In post","2021","30-39","Department for Transport (excl. agencies)","Department for Transport","920","900","49270","50400"
"In post","2021","30-39","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","14790","13560","27620","27570"
"In post","2021","30-39","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","850","820","50190","53360"
"In post","2021","30-39","Disclosure Scotland","Scottish Government","100","90","26650","24110"
"In post","2021","30-39","Driver and Vehicle Licensing Agency","Department for Transport","1740","1550","25140","21590"
"In post","2021","30-39","Driver and Vehicle Standards Agency","Department for Transport","650","630","29590","26780"
"In post","2021","30-39","Education and Skills Funding Agency","Department for Education","430","410","39600","36780"
"In post","2021","30-39","Education Scotland","Scottish Government","50","50","44590","44930"
"In post","2021","30-39","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","30-39","FCDO Services","Foreign, Commonwealth and Development Office","210","210","36650","34520"
"In post","2021","30-39","Food Standards Agency","Food Standards Agency","260","250","38280","37910"
"In post","2021","30-39","Food Standards Scotland","Scottish Government","70","70","33530","32140"
"In post","2021","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","2100","2070","47930","51500"
"In post","2021","30-39","Forestry and Land Scotland","Scottish Government","210","210","30000","28120"
"In post","2021","30-39","Government Actuary's Department","Chancellor's other departments","60","60","68060","65470"
"In post","2021","30-39","Government Internal Audit Agency","HM Treasury","60","60","45830","43800"
"In post","2021","30-39","Government Legal Department","Attorney General's Departments","830","780","51730","51250"
"In post","2021","30-39","Government Property Agency","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","30-39","Health and Safety Executive","Department for Work and Pensions","360","350","38800","39390"
"In post","2021","30-39","HM Courts and Tribunals Service","Ministry of Justice","2990","2690","24200","21300"
"In post","2021","30-39","HM Land Registry","HM Land Registry","900","850","29860","27130"
"In post","2021","30-39","HM Prison and Probation Service","Ministry of Justice","12950","12360","29440","28200"
"In post","2021","30-39","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","13350","12680","31130","25560"
"In post","2021","30-39","HM Treasury (excl. agencies)","HM Treasury","620","610","56220","58050"
"In post","2021","30-39","Home Office (incl. agencies)","Home Office","8580","8090","32030","26910"
"In post","2021","30-39","Insolvency Service","Department for Business, Energy and Industrial Strategy","390","370","30950","28280"
"In post","2021","30-39","Institute for Apprenticeships and Technical Education","Department for Education","70","70","47570","50470"
"In post","2021","30-39","Legal Aid Agency","Ministry of Justice","360","330","25040","21900"
"In post","2021","30-39","Maritime and Coastguard Agency","Department for Transport","320","310","35130","31780"
"In post","2021","30-39","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","350","340","44190","40900"
"In post","2021","30-39","Met Office","Department for Business, Energy and Industrial Strategy","610","590","38150","39650"
"In post","2021","30-39","Ministry of Defence (excl. agencies)","Ministry of Defence","6150","5920","33810","33180"
"In post","2021","30-39","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","690","670","47980","53130"
"In post","2021","30-39","Ministry of Justice (excl. agencies)","Ministry of Justice","1420","1380","41930","37430"
"In post","2021","30-39","National Crime Agency","National Crime Agency","1280","1250","38210","36740"
"In post","2021","30-39","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","30-39","National Records of Scotland","Scottish Government","90","90","35410","33620"
"In post","2021","30-39","National Savings and Investments","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","30-39","Northern Ireland Office","Northern Ireland Office","50","50","47050","40500"
"In post","2021","30-39","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","400","390","41570","39070"
"In post","2021","30-39","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","410","400","45380","41910"
"In post","2021","30-39","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","90","80","43030","38760"
"In post","2021","30-39","Office of Rail and Road","Office of Rail and Road","90","90","50380","51310"
"In post","2021","30-39","Office of the Public Guardian","Ministry of Justice","490","450","21710","19930"
"In post","2021","30-39","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Planning Inspectorate","Ministry of Housing, Communities and Local Government","170","160","38300","34860"
"In post","2021","30-39","Public Health England","Department of Health and Social Care","1590","1470","39570","37450"
"In post","2021","30-39","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Registers of Scotland","Scottish Government","240","240","33590","30080"
"In post","2021","30-39","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Royal Fleet Auxiliary","Ministry of Defence","410","410","37420","34460"
"In post","2021","30-39","Rural Payments Agency","Department for Environment, Food and Rural Affairs","420","380","25100","24920"
"In post","2021","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","40","40","[c]","[c]"
"In post","2021","30-39","Scottish Courts and Tribunals Service","Scottish Government","400","380","28120","29350"
"In post","2021","30-39","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scottish Forestry","Scottish Government","40","40","[c]","[c]"
"In post","2021","30-39","Scottish Government (excl. agencies)","Scottish Government","1930","1860","41610","38540"
"In post","2021","30-39","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Scottish Prison Service","Scottish Government","1080","1050","29900","30930"
"In post","2021","30-39","Scottish Public Pensions Agency","Scottish Government","80","70","29520","27150"
"In post","2021","30-39","Serious Fraud Office","Attorney General's Departments","150","150","45740","41280"
"In post","2021","30-39","Social Security Scotland","Scottish Government","310","300","31320","27150"
"In post","2021","30-39","Standards and Testing Agency","Department for Education","50","40","[c]","[c]"
"In post","2021","30-39","Student Awards Agency for Scotland","Scottish Government","50","50","[c]","[c]"
"In post","2021","30-39","Submarine Delivery Agency","Ministry of Defence","430","420","39430","39860"
"In post","2021","30-39","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","30-39","The National Archives","The National Archives","110","110","34520","34260"
"In post","2021","30-39","Transport Scotland","Scottish Government","110","110","41420","39660"
"In post","2021","30-39","UK Export Finance","UK Export Finance","90","90","52590","50120"
"In post","2021","30-39","UK Hydrographic Office","Ministry of Defence","220","210","33580","33290"
"In post","2021","30-39","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","390","370","36140","30630"
"In post","2021","30-39","UK Space Agency","Department for Business, Energy and Industrial Strategy","100","100","45100","40220"
"In post","2021","30-39","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","30-39","United Kingdom Statistics Authority","United Kingdom Statistics Authority","1310","1230","35070","36030"
"In post","2021","30-39","Valuation Office Agency","HM Revenue and Customs","640","590","33300","31100"
"In post","2021","30-39","Vehicle Certification Agency","Department for Transport","60","60","35920","34290"
"In post","2021","30-39","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","30-39","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Water Services Regulation Authority","Water Services Regulation Authority","70","60","51520","48000"
"In post","2021","30-39","Welsh Government (excl. agencies)","Welsh Government","1260","1190","37440","37410"
"In post","2021","30-39","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Accountant in Bankruptcy","Scottish Government","40","30","[c]","[c]"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","260","250","34180","31040"
"In post","2021","40-49","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","690","640","32290","29180"
"In post","2021","40-49","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Cabinet Office (excl. agencies)","Cabinet Office","1850","1790","58180","54700"
"In post","2021","40-49","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","180","160","35290","31070"
"In post","2021","40-49","Charity Commission","Charity Commission","130","120","37350","29550"
"In post","2021","40-49","Companies House","Department for Business, Energy and Industrial Strategy","260","240","34310","30660"
"In post","2021","40-49","Competition and Markets Authority","Competition and Markets Authority","220","210","71280","72430"
"In post","2021","40-49","Criminal Injuries Compensation Authority","Ministry of Justice","80","70","26610","22710"
"In post","2021","40-49","Crown Commercial Service","Other Cabinet Office Agencies","190","190","42120","36870"
"In post","2021","40-49","Crown Office and Procurator Fiscal Service","Scottish Government","440","400","42020","34150"
"In post","2021","40-49","Crown Prosecution Service","Attorney General's Departments","1910","1750","43610","48080"
"In post","2021","40-49","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
