"Status","Year","Function_of_post","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data & Technology","London","The National Archives","130","130","40430","40000"
"In post","2022","Digital, Data & Technology","London","UK Debt Management Office","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","UK Health Security Agency","80","80","47390","41310"
"In post","2022","Digital, Data & Technology","London","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","UK Statistics Authority","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Department for Education (excl. agencies)","140","130","38910","37100"
"In post","2022","Digital, Data & Technology","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","39020","35900"
"In post","2022","Digital, Data & Technology","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Department for Work and Pensions (excl. agencies)","1420","1370","41700","37000"
"In post","2022","Digital, Data & Technology","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","HM Revenue and Customs (excl. agencies)","600","580","42940","40520"
"In post","2022","Digital, Data & Technology","North East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Ministry of Justice (excl. agencies)","40","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Cabinet Office (excl. agencies)","70","70","43210","37300"
"In post","2022","Digital, Data & Technology","North West (England)","Charity Commission","50","50","34430","29160"
"In post","2022","Digital, Data & Technology","North West (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Crown Commercial Service","50","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Department for Education (excl. agencies)","190","180","40930","36780"
"In post","2022","Digital, Data & Technology","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","43960","47550"
"In post","2022","Digital, Data & Technology","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Department for Work and Pensions (excl. agencies)","1490","1440","43310","37650"
"In post","2022","Digital, Data & Technology","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Health and Safety Executive","70","70","39860","32770"
"In post","2022","Digital, Data & Technology","North West (England)","HM Courts and Tribunals Service","50","50","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","HM Land Registry","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","HM Revenue and Customs (excl. agencies)","420","410","39610","33370"
"In post","2022","Digital, Data & Technology","North West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Ministry of Defence (excl. agencies)","190","180","32020","33000"
"In post","2022","Digital, Data & Technology","North West (England)","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","National Crime Agency","60","50","38100","36740"
"In post","2022","Digital, Data & Technology","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Crown Office and Procurator Fiscal Service","60","60","41540","38600"
"In post","2022","Digital, Data & Technology","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Department for Work and Pensions (excl. agencies)","80","70","29380","27570"
"In post","2022","Digital, Data & Technology","Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","210","200","41300","38500"
"In post","2022","Digital, Data & Technology","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","HM Revenue and Customs (excl. agencies)","160","150","39270","33370"
"In post","2022","Digital, Data & Technology","Scotland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Met Office","60","60","33670","32810"
"In post","2022","Digital, Data & Technology","Scotland","Ministry of Defence (excl. agencies)","80","80","29380","26670"
"In post","2022","Digital, Data & Technology","Scotland","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","Registers of Scotland","80","80","39520","37710"
"In post","2022","Digital, Data & Technology","Scotland","Scottish Courts and Tribunals Service","80","70","36910","32000"
"In post","2022","Digital, Data & Technology","Scotland","Scottish Prison Service","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scotland","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","42670","40750"
"In post","2022","Digital, Data & Technology","South East (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Department for Transport (excl. agencies)","40","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","FCDO Services","100","100","44270","41910"
"In post","2022","Digital, Data & Technology","South East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","HM Revenue and Customs (excl. agencies)","210","200","40790","40180"
"In post","2022","Digital, Data & Technology","South East (England)","Maritime and Coastguard Agency","100","100","37900","33890"
"In post","2022","Digital, Data & Technology","South East (England)","Met Office","70","70","35930","35670"
"In post","2022","Digital, Data & Technology","South East (England)","Ministry of Defence (excl. agencies)","450","440","32240","33000"
"In post","2022","Digital, Data & Technology","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","UK Statistics Authority","170","170","41150","37190"
"In post","2022","Digital, Data & Technology","South East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Cabinet Office (excl. agencies)","50","50","47400","49700"
"In post","2022","Digital, Data & Technology","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Defence Equipment and Support","380","360","36480","33310"
"In post","2022","Digital, Data & Technology","South West (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","230","220","44980","47550"
"In post","2022","Digital, Data & Technology","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","HM Land Registry","520","500","37840","38450"
"In post","2022","Digital, Data & Technology","South West (England)","HM Revenue and Customs (excl. agencies)","80","80","41980","40180"
"In post","2022","Digital, Data & Technology","South West (England)","Met Office","1070","1020","39430","39650"
"In post","2022","Digital, Data & Technology","South West (England)","Ministry of Defence (excl. agencies)","890","870","36110","33300"
"In post","2022","Digital, Data & Technology","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Planning Inspectorate","40","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Submarine Delivery Agency","60","60","36110","34430"
"In post","2022","Digital, Data & Technology","South West (England)","UK Health Security Agency","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","UK Hydrographic Office","190","180","40580","42510"
"In post","2022","Digital, Data & Technology","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Companies House","210","210","39840","38000"
"In post","2022","Digital, Data & Technology","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Driver and Vehicle Licensing Agency","810","790","40460","38870"
"In post","2022","Digital, Data & Technology","Wales","Driver and Vehicle Standards Agency","90","80","33170","30730"
"In post","2022","Digital, Data & Technology","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","HM Revenue and Customs (excl. agencies)","100","100","36670","33370"
"In post","2022","Digital, Data & Technology","Wales","Intellectual Property Office","220","210","45660","45070"
"In post","2022","Digital, Data & Technology","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","UK Statistics Authority","450","440","41890","37570"
"In post","2022","Digital, Data & Technology","Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Department for Education (excl. agencies)","170","160","39230","36500"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","60","50","41730","36970"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Department for Work and Pensions (excl. agencies)","60","50","30270","27570"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","HM Courts and Tribunals Service","50","50","36250","36050"
"In post","2022","Digital, Data & Technology","West Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","HM Revenue and Customs (excl. agencies)","420","410","43420","40520"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Ministry of Defence (excl. agencies)","250","240","31320","26930"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Ministry of Justice (excl. agencies)","90","90","43610","37440"
"In post","2022","Digital, Data & Technology","West Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","The Insolvency Service","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Crown Prosecution Service","60","60","35950","32050"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Department for Education (excl. agencies)","170","160","39260","36500"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","43690","47550"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","540","520","44700","40130"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","360","340","38850","33370"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","60","50","29720","26670"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","110","110","50320","50430"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Yorkshire and The Humber","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
