"Status","Year","Responsibility_level","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SCS","Asian","Male","150","140","92470","89810"
"In post","2021","SCS","Black","Female","50","50","90660","86320"
"In post","2021","SCS","Black","Male","40","40","[c]","[c]"
"In post","2021","SCS","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Female","70","70","83150","79590"
"In post","2021","SCS","Mixed","Male","70","70","84890","78420"
"In post","2021","SCS","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Male","40","30","[c]","[c]"
"In post","2021","SCS","Undeclared","Female","70","60","88830","82100"
"In post","2021","SCS","Undeclared","Male","120","120","90720","84580"
"In post","2021","SCS","Unknown","Female","550","530","88220","78810"
"In post","2021","SCS","Unknown","Male","610","600","93080","80920"
"In post","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","White","Female","2470","2340","88000","80590"
"In post","2021","SCS","White","Male","2850","2800","92610","83860"
"In post","2021","SCS","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Female","3900","3740","36670","36160"
"In post","2021","SEO/HEO","Asian","Male","3520","3450","37220","36160"
"In post","2021","SEO/HEO","Black","Female","2440","2390","37090","36160"
"In post","2021","SEO/HEO","Black","Male","1460","1440","37760","36620"
"In post","2021","SEO/HEO","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Female","230","220","37750","37410"
"In post","2021","SEO/HEO","Chinese","Male","170","170","37280","36160"
"In post","2021","SEO/HEO","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Female","1300","1250","36420","35700"
"In post","2021","SEO/HEO","Mixed","Male","1010","990","37290","36650"
"In post","2021","SEO/HEO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Female","380","370","37640","36650"
"In post","2021","SEO/HEO","Other ethnicity","Male","330","320","38480","37450"
"In post","2021","SEO/HEO","Undeclared","Female","2190","2060","36680","36170"
"In post","2021","SEO/HEO","Undeclared","Male","3910","3790","37750","37320"
"In post","2021","SEO/HEO","Unknown","Female","7990","7680","35240","33930"
"In post","2021","SEO/HEO","Unknown","Male","8450","8290","36120","35050"
"In post","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","White","Female","47540","44630","36350","35310"
"In post","2021","SEO/HEO","White","Male","44220","43140","37500","36740"
"In post","2021","SEO/HEO","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Female","420","380","29430","28200"
"In post","2021","Unknown","Asian","Male","200","190","31070","30210"
"In post","2021","Unknown","Black","Female","600","580","31370","28690"
"In post","2021","Unknown","Black","Male","220","210","30820","28200"
"In post","2021","Unknown","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Female","290","260","30750","30210"
"In post","2021","Unknown","Mixed","Male","100","100","31670","30210"
"In post","2021","Unknown","Other ethnicity","Female","50","50","29980","28200"
"In post","2021","Unknown","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Female","250","230","31710","31980"
"In post","2021","Unknown","Undeclared","Male","300","290","38320","37170"
"In post","2021","Unknown","Unknown","Female","1010","910","28840","28200"
"In post","2021","Unknown","Unknown","Male","2100","2070","36560","33570"
"In post","2021","Unknown","White","Female","7700","7060","30440","30210"
"In post","2021","Unknown","White","Male","3310","3220","35960","34320"
"In post","2022","AA/AO","Asian","Female","4870","4060","22520","21410"
"In post","2022","AA/AO","Asian","Male","3640","3460","22850","21260"
"In post","2022","AA/AO","Black","Female","2500","2260","23800","23720"
"In post","2022","AA/AO","Black","Male","1650","1590","25720","24310"
"In post","2022","AA/AO","Mixed","Female","1160","1030","22880","21430"
"In post","2022","AA/AO","Mixed","Male","860","830","24420","22570"
"In post","2022","AA/AO","Other ethnicity","Female","290","250","23100","22080"
"In post","2022","AA/AO","Other ethnicity","Male","270","270","24970","23350"
"In post","2022","AA/AO","Undeclared","Female","2210","1840","22190","21300"
"In post","2022","AA/AO","Undeclared","Male","2430","2300","23750","21680"
"In post","2022","AA/AO","Unknown","Female","12080","10790","22320","21300"
"In post","2022","AA/AO","Unknown","Male","10720","10360","23390","21640"
"In post","2022","AA/AO","White","Female","54440","46530","22140","21260"
"In post","2022","AA/AO","White","Male","40050","38230","23880","21680"
"In post","2022","EO","Asian","Female","6110","5530","28450","27570"
"In post","2022","EO","Asian","Male","4710","4610","28210","27570"
"In post","2022","EO","Black","Female","3820","3610","29280","29290"
"In post","2022","EO","Black","Male","1850","1810","29250","29080"
"In post","2022","EO","Mixed","Female","1440","1340","28170","27570"
"In post","2022","EO","Mixed","Male","880","860","28450","27570"
"In post","2022","EO","Other ethnicity","Female","430","400","28780","28310"
"In post","2022","EO","Other ethnicity","Male","290","290","28490","27570"
"In post","2022","EO","Undeclared","Female","2570","2280","28320","27570"
"In post","2022","EO","Undeclared","Male","3040","2880","28780","27570"
"In post","2022","EO","Unknown","Female","8030","7520","27770","27270"
"In post","2022","EO","Unknown","Male","7910","7690","28260","27230"
"In post","2022","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","White","Female","52480","46920","27540","27570"
"In post","2022","EO","White","Male","37710","36260","28180","27570"
"In post","2022","EO","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Asian","Female","2060","1990","58330","56140"
"In post","2022","G6/G7","Asian","Male","1770","1740","59430","57460"
"In post","2022","G6/G7","Black","Female","930","910","57610","55210"
"In post","2022","G6/G7","Black","Male","550","550","58740","56800"
"In post","2022","G6/G7","Mixed","Female","810","770","58200","56370"
"In post","2022","G6/G7","Mixed","Male","670","660","58860","57010"
"In post","2022","G6/G7","Other ethnicity","Female","210","200","59220","57460"
"In post","2022","G6/G7","Other ethnicity","Male","230","220","59870","57310"
"In post","2022","G6/G7","Undeclared","Female","920","880","59030","57150"
"In post","2022","G6/G7","Undeclared","Male","1970","1930","59490","57610"
"In post","2022","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Female","4410","4230","59020","56860"
"In post","2022","G6/G7","Unknown","Male","4690","4630","60070","57510"
"In post","2022","G6/G7","White","Female","24590","23240","58570","56130"
"In post","2022","G6/G7","White","Male","25630","25100","59570","57480"
"In post","2022","G6/G7","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Asian","Female","180","170","91070","83230"
"In post","2022","SCS","Asian","Male","150","150","92080","86480"
"In post","2022","SCS","Black","Female","60","60","88810","79140"
"In post","2022","SCS","Black","Male","40","40","[c]","[c]"
"In post","2022","SCS","Mixed","Female","80","70","82740","78530"
"In post","2022","SCS","Mixed","Male","70","70","87110","79620"
"In post","2022","SCS","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Female","70","70","86020","80000"
"In post","2022","SCS","Undeclared","Male","130","130","88340","80870"
"In post","2022","SCS","Unknown","Female","440","430","92250","83230"
"In post","2022","SCS","Unknown","Male","490","480","99380","93000"
"In post","2022","SCS","White","Female","2560","2440","87550","80000"
"In post","2022","SCS","White","Male","2890","2840","92310","83800"
"In post","2022","SEO/HEO","Asian","Female","4920","4750","37100","36520"
"In post","2022","SEO/HEO","Asian","Male","4400","4330","37540","36650"
"In post","2022","SEO/HEO","Black","Female","2780","2730","37500","36980"
"In post","2022","SEO/HEO","Black","Male","1720","1700","38050","37510"
"In post","2022","SEO/HEO","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Mixed","Female","1490","1440","36760","35880"
"In post","2022","SEO/HEO","Mixed","Male","1170","1150","37660","37000"
"In post","2022","SEO/HEO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Other ethnicity","Female","410","390","37720","37100"
"In post","2022","SEO/HEO","Other ethnicity","Male","360","360","38550","37560"
"In post","2022","SEO/HEO","Undeclared","Female","2220","2080","37320","36750"
"In post","2022","SEO/HEO","Undeclared","Male","4030","3900","38210","37610"
"In post","2022","SEO/HEO","Unknown","Female","8850","8540","35850","34340"
"In post","2022","SEO/HEO","Unknown","Male","9280","9120","36540","35290"
"In post","2022","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","White","Female","52200","49180","36770","35950"
"In post","2022","SEO/HEO","White","Male","47700","46600","37810","37100"
"In post","2022","SEO/HEO","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","Female","570","530","29190","27980"
"In post","2022","Unknown","Asian","Male","270","260","31540","28200"
"In post","2022","Unknown","Black","Female","840","800","31520","28690"
"In post","2022","Unknown","Black","Male","360","350","31810","28690"
"In post","2022","Unknown","Mixed","Female","420","390","30650","28690"
"In post","2022","Unknown","Mixed","Male","140","140","31430","28200"
"In post","2022","Unknown","Other ethnicity","Female","70","70","30930","28690"
"In post","2022","Unknown","Other ethnicity","Male","40","30","[c]","[c]"
"In post","2022","Unknown","Undeclared","Female","290","260","31630","31420"
"In post","2022","Unknown","Undeclared","Male","310","300","36860","35930"
"In post","2022","Unknown","Unknown","Female","2810","2540","28340","26310"
"In post","2022","Unknown","Unknown","Male","2770","2670","34570","32550"
"In post","2022","Unknown","White","Female","10440","9640","30500","28200"
"In post","2022","Unknown","White","Male","4130","3990","34770","31950"
"Leaver CS","2021","AA/AO","Asian","Female","320","270","21690","21010"
"Leaver CS","2021","AA/AO","Asian","Male","210","200","21700","21010"
"Leaver CS","2021","AA/AO","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Black","Female","150","140","22630","22680"
"Leaver CS","2021","AA/AO","Black","Male","110","110","22680","22220"
"Leaver CS","2021","AA/AO","Chinese","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Chinese","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Mixed","Female","100","90","21310","21010"
"Leaver CS","2021","AA/AO","Mixed","Male","70","70","[c]","[c]"
"Leaver CS","2021","AA/AO","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Female","270","210","20620","20180"
"Leaver CS","2021","AA/AO","Undeclared","Male","220","200","21740","20180"
"Leaver CS","2021","AA/AO","Unknown","Female","1490","1310","20960","21010"
"Leaver CS","2021","AA/AO","Unknown","Male","1370","1300","21430","21010"
"Leaver CS","2021","AA/AO","White","Female","4260","3420","20820","21010"
"Leaver CS","2021","AA/AO","White","Male","3260","2970","21680","21010"
"Leaver CS","2021","AA/AO","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Asian","Female","170","140","27770","27570"
"Leaver CS","2021","EO","Asian","Male","150","140","27800","27570"
"Leaver CS","2021","EO","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Black","Female","80","70","28270","28050"
"Leaver CS","2021","EO","Black","Male","50","50","[c]","[c]"
"Leaver CS","2021","EO","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Chinese","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Chinese","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Mixed","Female","50","50","[c]","[c]"
"Leaver CS","2021","EO","Mixed","Male","40","40","[c]","[c]"
"Leaver CS","2021","EO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Female","150","120","27590","27150"
"Leaver CS","2021","EO","Undeclared","Male","170","150","28730","27570"
"Leaver CS","2021","EO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Female","720","630","27020","27570"
"Leaver CS","2021","EO","Unknown","Male","660","600","27340","27570"
"Leaver CS","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","White","Female","2160","1750","27020","27570"
"Leaver CS","2021","EO","White","Male","1730","1550","27690","27570"
"Leaver CS","2021","EO","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Asian","Female","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Asian","Male","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Black","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Black","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Chinese","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Chinese","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Mixed","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Mixed","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Female","40","30","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Male","90","80","59610","57680"
"Leaver CS","2021","G6/G7","Unknown","Female","240","200","61360","58740"
"Leaver CS","2021","G6/G7","Unknown","Male","300","260","59990","57780"
"Leaver CS","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","White","Female","730","640","60010","57380"
"Leaver CS","2021","G6/G7","White","Male","910","810","61500","59260"
"Leaver CS","2021","G6/G7","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Asian","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Asian","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Black","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Black","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Chinese","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Chinese","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Mixed","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Mixed","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Female","50","40","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Male","50","40","[c]","[c]"
"Leaver CS","2021","SCS","White","Female","130","110","92860","87630"
"Leaver CS","2021","SCS","White","Male","180","160","101270","96920"
"Leaver CS","2021","SCS","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Asian","Female","110","100","36740","36340"
"Leaver CS","2021","SEO/HEO","Asian","Male","100","90","37140","37210"
"Leaver CS","2021","SEO/HEO","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Black","Female","70","60","37150","35750"
"Leaver CS","2021","SEO/HEO","Black","Male","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Chinese","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Chinese","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Mixed","Female","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Mixed","Male","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Female","130","110","36650","35610"
"Leaver CS","2021","SEO/HEO","Undeclared","Male","230","210","37450","36100"
"Leaver CS","2021","SEO/HEO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Female","470","410","35460","34550"
"Leaver CS","2021","SEO/HEO","Unknown","Male","560","510","36890","35900"
"Leaver CS","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","White","Female","1770","1560","36680","36030"
"Leaver CS","2021","SEO/HEO","White","Male","1880","1710","37980","37100"
"Leaver CS","2021","SEO/HEO","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Asian","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Asian","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Black","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Black","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Chinese","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Chinese","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","340","310","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","310","300","35460","32400"
"Leaver CS","2021","Unknown","White","Female","360","310","[c]","[c]"
"Leaver CS","2021","Unknown","White","Male","160","140","38570","35530"
"Leaver CS","2022","AA/AO","Asian","Female","460","390","21960","21300"
"Leaver CS","2022","AA/AO","Asian","Male","380","350","22060","21260"
"Leaver CS","2022","AA/AO","Black","Female","260","230","22610","22530"
"Leaver CS","2022","AA/AO","Black","Male","170","160","22500","22570"
"Leaver CS","2022","AA/AO","Mixed","Female","170","160","21520","21260"
"Leaver CS","2022","AA/AO","Mixed","Male","130","120","21630","21260"
"Leaver CS","2022","AA/AO","Other ethnicity","Female","50","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Other ethnicity","Male","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Female","260","210","21140","21010"
"Leaver CS","2022","AA/AO","Undeclared","Male","310","280","22780","21260"
"Leaver CS","2022","AA/AO","Unknown","Female","2100","1890","21350","21260"
"Leaver CS","2022","AA/AO","Unknown","Male","1990","1900","22100","21260"
"Leaver CS","2022","AA/AO","White","Female","6040","5000","21290","21260"
"Leaver CS","2022","AA/AO","White","Male","5060","4680","22270","21260"
"Leaver CS","2022","EO","Asian","Female","410","360","28200","27570"
"Leaver CS","2022","EO","Asian","Male","310","290","28220","27570"
"Leaver CS","2022","EO","Black","Female","340","320","29220","29520"
"Leaver CS","2022","EO","Black","Male","170","160","28880","28670"
"Leaver CS","2022","EO","Mixed","Female","160","160","27790","27570"
"Leaver CS","2022","EO","Mixed","Male","110","100","28300","27570"
"Leaver CS","2022","EO","Other ethnicity","Female","40","40","[c]","[c]"
"Leaver CS","2022","EO","Other ethnicity","Male","40","30","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Female","210","170","27800","27570"
"Leaver CS","2022","EO","Undeclared","Male","250","210","28640","27570"
"Leaver CS","2022","EO","Unknown","Female","900","790","27290","27570"
"Leaver CS","2022","EO","Unknown","Male","900","840","27290","27570"
"Leaver CS","2022","EO","White","Female","3850","3230","27390","27570"
"Leaver CS","2022","EO","White","Male","2920","2660","27960","27570"
"Leaver CS","2022","EO","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Asian","Female","100","90","58470","55380"
"Leaver CS","2022","G6/G7","Asian","Male","120","110","59910","58460"
"Leaver CS","2022","G6/G7","Black","Female","60","50","[c]","[c]"
"Leaver CS","2022","G6/G7","Black","Male","60","50","57690","54700"
"Leaver CS","2022","G6/G7","Mixed","Female","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Mixed","Male","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Female","70","60","58040","56950"
"Leaver CS","2022","G6/G7","Undeclared","Male","140","130","59000","58550"
"Leaver CS","2022","G6/G7","Unknown","Female","340","260","60610","57190"
"Leaver CS","2022","G6/G7","Unknown","Male","440","380","60390","57430"
"Leaver CS","2022","G6/G7","White","Female","1390","1220","59270","56330"
"Leaver CS","2022","G6/G7","White","Male","1470","1340","61280","59630"
"Leaver CS","2022","SCS","Asian","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Asian","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Black","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Black","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Mixed","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Mixed","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Female","60","50","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Male","70","50","[c]","[c]"
"Leaver CS","2022","SCS","White","Female","220","190","95300","92500"
"Leaver CS","2022","SCS","White","Male","270","240","98680","94050"
"Leaver CS","2022","SEO/HEO","Asian","Female","270","250","37070","36770"
"Leaver CS","2022","SEO/HEO","Asian","Male","250","230","37160","36710"
"Leaver CS","2022","SEO/HEO","Black","Female","190","180","37610","36500"
"Leaver CS","2022","SEO/HEO","Black","Male","120","110","37880","36440"
"Leaver CS","2022","SEO/HEO","Mixed","Female","100","90","36690","35480"
"Leaver CS","2022","SEO/HEO","Mixed","Male","70","70","37840","37340"
"Leaver CS","2022","SEO/HEO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Other ethnicity","Female","40","30","[c]","[c]"
