"Status","Year","Sex","Age","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","30-39","Kent","840","750","28510","27850"
"In post","2021","Female","30-39","Lancashire","1220","1080","26800","26830"
"In post","2021","Female","30-39","Leicestershire, Rutland and Northamptonshire","760","660","26830","25310"
"In post","2021","Female","30-39","Lincolnshire","230","210","26960","26070"
"In post","2021","Female","30-39","Merseyside","2350","2100","27970","25310"
"In post","2021","Female","30-39","North Eastern Scotland","240","210","32190","30360"
"In post","2021","Female","30-39","North Yorkshire","440","400","32540","30560"
"In post","2021","Female","30-39","Northern Ireland","390","350","28700","25560"
"In post","2021","Female","30-39","Northumberland and Tyne and Wear","2440","2150","27510","25560"
"In post","2021","Female","30-39","Outer London - East and North East","400","370","30490","31060"
"In post","2021","Female","30-39","Outer London - South","1090","1010","36770","33900"
"In post","2021","Female","30-39","Outer London - West and North West","960","900","32840","31060"
"In post","2021","Female","30-39","Overseas","450","450","47480","51500"
"In post","2021","Female","30-39","Shropshire and Staffordshire","830","760","28670","27380"
"In post","2021","Female","30-39","South Yorkshire","1220","1070","30590","27570"
"In post","2021","Female","30-39","Southern Scotland","720","650","30110","27570"
"In post","2021","Female","30-39","Surrey, East and West Sussex","820","730","29700","27570"
"In post","2021","Female","30-39","Tees Valley and Durham","1010","890","26900","25040"
"In post","2021","Female","30-39","Unknown","230","220","35420","30940"
"In post","2021","Female","30-39","West Central Scotland","1970","1800","30240","27570"
"In post","2021","Female","30-39","West Midlands","2320","2090","29490","27570"
"In post","2021","Female","30-39","West Wales and The Valleys","2230","1930","26290","23830"
"In post","2021","Female","30-39","West Yorkshire","1940","1730","30710","27570"
"In post","2021","Female","40-49","Bedfordshire and Hertfordshire","580","520","34220","29570"
"In post","2021","Female","40-49","Berkshire, Buckinghamshire and Oxfordshire","1070","980","34100","29290"
"In post","2021","Female","40-49","Cheshire","530","490","32590","30640"
"In post","2021","Female","40-49","Cornwall and Isles of Scilly","220","190","27230","27570"
"In post","2021","Female","40-49","Cumbria","400","340","27580","25190"
"In post","2021","Female","40-49","Derbyshire and Nottinghamshire","1710","1520","32300","27940"
"In post","2021","Female","40-49","Devon","1110","950","31400","27570"
"In post","2021","Female","40-49","Dorset and Somerset","580","510","29520","27570"
"In post","2021","Female","40-49","East Anglia","1560","1360","30790","27570"
"In post","2021","Female","40-49","East Wales","2610","2350","34770","30130"
"In post","2021","Female","40-49","East Yorkshire and Northern Lincolnshire","550","480","27470","27370"
"In post","2021","Female","40-49","Eastern Scotland","2670","2410","36840","30650"
"In post","2021","Female","40-49","Essex","790","690","30340","29290"
"In post","2021","Female","40-49","Gloucestershire, Wiltshire and Bath/Bristol area","3250","2940","37440","33630"
"In post","2021","Female","40-49","Greater Manchester","2500","2270","32400","27570"
"In post","2021","Female","40-49","Hampshire and Isle of Wight","1710","1530","33280","29540"
"In post","2021","Female","40-49","Herefordshire, Worcestershire and Warwickshire","510","460","29690","27570"
"In post","2021","Female","40-49","Highlands and Islands","260","230","28810","27570"
"In post","2021","Female","40-49","Inner London - East","2270","2070","44700","39800"
"In post","2021","Female","40-49","Inner London - West","6960","6430","52860","53380"
"In post","2021","Female","40-49","Kent","1010","900","29900","27850"
"In post","2021","Female","40-49","Lancashire","2300","2010","28860","27570"
"In post","2021","Female","40-49","Leicestershire, Rutland and Northamptonshire","920","800","28530","26930"
"In post","2021","Female","40-49","Lincolnshire","310","280","27640","25800"
"In post","2021","Female","40-49","Merseyside","2840","2500","29090","26160"
"In post","2021","Female","40-49","North Eastern Scotland","220","200","37760","30650"
"In post","2021","Female","40-49","North Yorkshire","630","590","35890","31660"
"In post","2021","Female","40-49","Northern Ireland","460","420","28620","25560"
"In post","2021","Female","40-49","Northumberland and Tyne and Wear","3120","2710","28750","25560"
"In post","2021","Female","40-49","Outer London - East and North East","470","420","30290","31060"
"In post","2021","Female","40-49","Outer London - South","1410","1290","38830","35070"
"In post","2021","Female","40-49","Outer London - West and North West","1170","1050","34640","31060"
"In post","2021","Female","40-49","Overseas","500","500","51950","54390"
"In post","2021","Female","40-49","Shropshire and Staffordshire","1080","980","31120","27570"
"In post","2021","Female","40-49","South Yorkshire","1380","1180","32910","27570"
"In post","2021","Female","40-49","Southern Scotland","760","670","30540","27570"
"In post","2021","Female","40-49","Surrey, East and West Sussex","1120","980","31980","27760"
"In post","2021","Female","40-49","Tees Valley and Durham","1330","1170","28520","26810"
"In post","2021","Female","40-49","Unknown","230","210","34550","30780"
"In post","2021","Female","40-49","West Central Scotland","2110","1910","32340","27570"
"In post","2021","Female","40-49","West Midlands","2780","2450","32300","27570"
"In post","2021","Female","40-49","West Wales and The Valleys","2410","2140","29340","26780"
"In post","2021","Female","40-49","West Yorkshire","2310","2050","33160","28130"
"In post","2021","Female","50-59","Bedfordshire and Hertfordshire","780","720","32130","29290"
"In post","2021","Female","50-59","Berkshire, Buckinghamshire and Oxfordshire","1460","1360","32480","29290"
"In post","2021","Female","50-59","Cheshire","640","580","29960","27570"
"In post","2021","Female","50-59","Cornwall and Isles of Scilly","350","320","26770","27570"
"In post","2021","Female","50-59","Cumbria","370","330","27300","25190"
"In post","2021","Female","50-59","Derbyshire and Nottinghamshire","2250","2040","31540","27570"
"In post","2021","Female","50-59","Devon","1350","1190","29810","27570"
"In post","2021","Female","50-59","Dorset and Somerset","900","800","29080","27570"
"In post","2021","Female","50-59","East Anglia","2060","1890","29620","27570"
"In post","2021","Female","50-59","East Wales","2930","2660","32170","27570"
"In post","2021","Female","50-59","East Yorkshire and Northern Lincolnshire","830","730","27410","27330"
"In post","2021","Female","50-59","Eastern Scotland","2860","2640","35530","29040"
"In post","2021","Female","50-59","Essex","1150","1040","30810","29290"
"In post","2021","Female","50-59","Gloucestershire, Wiltshire and Bath/Bristol area","3420","3190","36110","32700"
"In post","2021","Female","50-59","Greater Manchester","3410","3120","30750","27570"
"In post","2021","Female","50-59","Hampshire and Isle of Wight","2510","2260","30210","27380"
"In post","2021","Female","50-59","Herefordshire, Worcestershire and Warwickshire","720","650","27660","26600"
"In post","2021","Female","50-59","Highlands and Islands","350","320","28380","27570"
"In post","2021","Female","50-59","Inner London - East","2480","2340","41010","32520"
"In post","2021","Female","50-59","Inner London - West","6070","5820","47890","41760"
"In post","2021","Female","50-59","Kent","1330","1230","29550","28080"
"In post","2021","Female","50-59","Lancashire","3000","2680","28720","27570"
"In post","2021","Female","50-59","Leicestershire, Rutland and Northamptonshire","1110","990","26960","26120"
"In post","2021","Female","50-59","Lincolnshire","540","490","27100","26670"
"In post","2021","Female","50-59","Merseyside","3540","3130","29040","26370"
"In post","2021","Female","50-59","North Eastern Scotland","240","220","32640","27570"
"In post","2021","Female","50-59","North Yorkshire","830","770","35420","30210"
"In post","2021","Female","50-59","Northern Ireland","550","510","30380","27650"
"In post","2021","Female","50-59","Northumberland and Tyne and Wear","3970","3350","27730","23130"
"In post","2021","Female","50-59","Outer London - East and North East","720","650","30340","30810"
"In post","2021","Female","50-59","Outer London - South","2130","1990","36630","31210"
"In post","2021","Female","50-59","Outer London - West and North West","1360","1240","33650","31060"
"In post","2021","Female","50-59","Overseas","340","340","51910","46620"
"In post","2021","Female","50-59","Shropshire and Staffordshire","1520","1380","30000","27570"
"In post","2021","Female","50-59","South Yorkshire","1800","1590","30930","27570"
"In post","2021","Female","50-59","Southern Scotland","1160","1010","28690","26120"
"In post","2021","Female","50-59","Surrey, East and West Sussex","1500","1350","30430","27570"
"In post","2021","Female","50-59","Tees Valley and Durham","1780","1560","27970","27130"
"In post","2021","Female","50-59","Unknown","300","280","34020","30130"
"In post","2021","Female","50-59","West Central Scotland","3140","2780","30060","27370"
"In post","2021","Female","50-59","West Midlands","3210","2870","30580","27570"
"In post","2021","Female","50-59","West Wales and The Valleys","2800","2480","28840","26780"
"In post","2021","Female","50-59","West Yorkshire","2760","2490","32210","27570"
"In post","2021","Female","60-64","Bedfordshire and Hertfordshire","230","190","29470","28200"
"In post","2021","Female","60-64","Berkshire, Buckinghamshire and Oxfordshire","410","340","30990","27920"
"In post","2021","Female","60-64","Cheshire","140","110","26580","26120"
"In post","2021","Female","60-64","Cornwall and Isles of Scilly","100","70","24840","22080"
"In post","2021","Female","60-64","Cumbria","110","80","25090","21050"
"In post","2021","Female","60-64","Derbyshire and Nottinghamshire","470","370","27390","26630"
"In post","2021","Female","60-64","Devon","390","300","26870","24980"
"In post","2021","Female","60-64","Dorset and Somerset","250","200","26890","27130"
"In post","2021","Female","60-64","East Anglia","540","460","27040","24920"
"In post","2021","Female","60-64","East Wales","760","590","29400","25560"
"In post","2021","Female","60-64","East Yorkshire and Northern Lincolnshire","180","140","25550","26760"
"In post","2021","Female","60-64","Eastern Scotland","720","570","30610","27350"
"In post","2021","Female","60-64","Essex","290","240","28780","28130"
"In post","2021","Female","60-64","Gloucestershire, Wiltshire and Bath/Bristol area","790","650","32700","27570"
"In post","2021","Female","60-64","Greater Manchester","780","600","28390","26380"
"In post","2021","Female","60-64","Hampshire and Isle of Wight","720","580","26800","22780"
"In post","2021","Female","60-64","Herefordshire, Worcestershire and Warwickshire","180","150","24890","22780"
"In post","2021","Female","60-64","Highlands and Islands","100","80","26770","27570"
"In post","2021","Female","60-64","Inner London - East","570","500","38810","31880"
"In post","2021","Female","60-64","Inner London - West","1230","1120","42120","35390"
"In post","2021","Female","60-64","Kent","340","280","27490","25990"
"In post","2021","Female","60-64","Lancashire","700","530","26020","23240"
"In post","2021","Female","60-64","Leicestershire, Rutland and Northamptonshire","330","260","24850","21590"
"In post","2021","Female","60-64","Lincolnshire","160","130","25640","22640"
"In post","2021","Female","60-64","Merseyside","1100","820","25860","22080"
"In post","2021","Female","60-64","North Eastern Scotland","70","60","27000","22920"
"In post","2021","Female","60-64","North Yorkshire","200","170","31500","26670"
"In post","2021","Female","60-64","Northern Ireland","120","90","26110","22330"
"In post","2021","Female","60-64","Northumberland and Tyne and Wear","1370","970","24900","21440"
"In post","2021","Female","60-64","Outer London - East and North East","180","140","28900","29800"
"In post","2021","Female","60-64","Outer London - South","490","420","32980","29370"
"In post","2021","Female","60-64","Outer London - West and North West","420","350","32160","30330"
"In post","2021","Female","60-64","Overseas","40","40","[c]","[c]"
"In post","2021","Female","60-64","Shropshire and Staffordshire","380","290","27140","26670"
"In post","2021","Female","60-64","South Yorkshire","410","300","26820","25200"
"In post","2021","Female","60-64","Southern Scotland","400","290","26170","25560"
"In post","2021","Female","60-64","Surrey, East and West Sussex","460","370","27590","26780"
"In post","2021","Female","60-64","Tees Valley and Durham","450","320","25470","21920"
"In post","2021","Female","60-64","Unknown","70","60","32150","27570"
"In post","2021","Female","60-64","West Central Scotland","790","590","27030","22820"
"In post","2021","Female","60-64","West Midlands","840","650","28460","26780"
"In post","2021","Female","60-64","West Wales and The Valleys","920","660","25890","21590"
"In post","2021","Female","60-64","West Yorkshire","690","510","28400","27460"
"In post","2021","Female","65+","Bedfordshire and Hertfordshire","60","50","26630","25620"
"In post","2021","Female","65+","Berkshire, Buckinghamshire and Oxfordshire","170","140","28540","25660"
"In post","2021","Female","65+","Cheshire","30","20","[c]","[c]"
"In post","2021","Female","65+","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Derbyshire and Nottinghamshire","100","70","28730","23730"
"In post","2021","Female","65+","Devon","80","60","25390","22260"
"In post","2021","Female","65+","Dorset and Somerset","70","50","25570","26120"
"In post","2021","Female","65+","East Anglia","160","120","25420","22260"
"In post","2021","Female","65+","East Wales","220","160","28890","23830"
"In post","2021","Female","65+","East Yorkshire and Northern Lincolnshire","40","20","[c]","[c]"
"In post","2021","Female","65+","Eastern Scotland","160","120","29230","26930"
"In post","2021","Female","65+","Essex","90","60","25940","25110"
"In post","2021","Female","65+","Gloucestershire, Wiltshire and Bath/Bristol area","230","170","30850","27130"
"In post","2021","Female","65+","Greater Manchester","180","120","26540","21590"
"In post","2021","Female","65+","Hampshire and Isle of Wight","260","190","24690","21580"
"In post","2021","Female","65+","Herefordshire, Worcestershire and Warwickshire","50","40","23880","21050"
"In post","2021","Female","65+","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Inner London - East","230","190","36610","29570"
"In post","2021","Female","65+","Inner London - West","400","340","37400","31060"
"In post","2021","Female","65+","Kent","80","60","26390","24800"
"In post","2021","Female","65+","Lancashire","190","130","24840","21130"
"In post","2021","Female","65+","Leicestershire, Rutland and Northamptonshire","60","40","24820","21010"
"In post","2021","Female","65+","Lincolnshire","40","30","[c]","[c]"
"In post","2021","Female","65+","Merseyside","290","200","24330","21430"
"In post","2021","Female","65+","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","North Yorkshire","50","30","[c]","[c]"
"In post","2021","Female","65+","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Northumberland and Tyne and Wear","290","200","23650","21440"
"In post","2021","Female","65+","Outer London - East and North East","80","60","26980","25110"
"In post","2021","Female","65+","Outer London - South","220","170","29010","25630"
"In post","2021","Female","65+","Outer London - West and North West","170","130","29510","25640"
"In post","2021","Female","65+","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Shropshire and Staffordshire","80","60","24590","21580"
"In post","2021","Female","65+","South Yorkshire","100","60","25950","25000"
"In post","2021","Female","65+","Southern Scotland","80","50","24240","22220"
"In post","2021","Female","65+","Surrey, East and West Sussex","150","120","26990","25960"
"In post","2021","Female","65+","Tees Valley and Durham","110","80","25360","21720"
"In post","2021","Female","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","West Central Scotland","190","140","25090","21440"
"In post","2021","Female","65+","West Midlands","180","130","26960","25440"
"In post","2021","Female","65+","West Wales and The Valleys","230","160","25040","21590"
"In post","2021","Female","65+","West Yorkshire","160","110","26960","27070"
"In post","2021","Female","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","East Wales","40","40","[c]","[c]"
"In post","2021","Male","16-19","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Male","16-19","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","100","100","18230","17780"
"In post","2021","Male","16-19","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Inner London - West","50","50","[c]","[c]"
"In post","2021","Male","16-19","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Northumberland and Tyne and Wear","40","40","[c]","[c]"
"In post","2021","Male","16-19","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Unknown","30","30","[c]","[c]"
"In post","2021","Male","16-19","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Male","20-29","Bedfordshire and Hertfordshire","300","300","29420","29290"
"In post","2021","Male","20-29","Berkshire, Buckinghamshire and Oxfordshire","720","720","28010","27570"
"In post","2021","Male","20-29","Cheshire","250","250","26780","26810"
"In post","2021","Male","20-29","Cornwall and Isles of Scilly","50","50","[c]","[c]"
"In post","2021","Male","20-29","Cumbria","100","100","24690","23540"
"In post","2021","Male","20-29","Derbyshire and Nottinghamshire","870","860","26500","25560"
"In post","2021","Male","20-29","Devon","530","530","26340","25380"
"In post","2021","Male","20-29","Dorset and Somerset","280","270","25820","25850"
"In post","2021","Male","20-29","East Anglia","700","690","26110","25850"
"In post","2021","Male","20-29","East Wales","1640","1630","26400","25560"
"In post","2021","Male","20-29","East Yorkshire and Northern Lincolnshire","340","340","24300","24440"
