"Status","Year","Age","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","No function","30","30","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","80","80","17830","17780"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","No function","40","40","[c]","[c]"
"In post","2021","16-19","Inner London - West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","No function","30","30","[c]","[c]"
"In post","2021","16-19","Merseyside","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","No function","30","30","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","No function","40","30","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","No function","40","40","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","No function","360","350","27080","27850"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Unknown","240","230","28700","27570"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Finance","40","40","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Legal","30","30","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","No function","770","760","27420","27850"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","40","40","[c]","[c]"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Property","50","50","25580","26550"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Security","200","200","27580","26610"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Unknown","240","240","26250","27570"
"In post","2021","20-29","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","No function","450","440","27200","26300"
"In post","2021","20-29","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cheshire","Unknown","130","130","25380","27570"
"In post","2021","20-29","Cornwall and Isles of Scilly","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cornwall and Isles of Scilly","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cornwall and Isles of Scilly","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cornwall and Isles of Scilly","Unknown","100","100","23420","21010"
"In post","2021","20-29","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cumbria","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cumbria","Grants Management","80","80","21380","21050"
"In post","2021","20-29","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cumbria","No function","70","60","24190","22920"
"In post","2021","20-29","Cumbria","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Communications","160","160","26830","25560"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Counter Fraud","70","70","29140","25560"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Debt","70","60","20690","20140"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Human Resources","70","70","30310","29730"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Legal","60","60","26200","23470"
"In post","2021","20-29","Derbyshire and Nottinghamshire","No function","1090","1070","25390","24440"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Unknown","200","200","25460","27570"
"In post","2021","20-29","Devon","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","Digital, Data & Technology","180","180","29350","29760"
"In post","2021","20-29","Devon","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Devon","No function","380","370","24960","23840"
"In post","2021","20-29","Devon","Project Delivery","90","90","27450","26070"
"In post","2021","20-29","Devon","Property","70","70","23120","21100"
"In post","2021","20-29","Devon","Security","60","60","23610","24080"
"In post","2021","20-29","Devon","Unknown","200","180","24380","21010"
"In post","2021","20-29","Dorset and Somerset","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","No function","340","340","24540","23970"
"In post","2021","20-29","Dorset and Somerset","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Unknown","110","100","24730","27120"
"In post","2021","20-29","East Anglia","Analysis","50","50","[c]","[c]"
"In post","2021","20-29","East Anglia","Commercial","30","30","[c]","[c]"
"In post","2021","20-29","East Anglia","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","Counter Fraud","40","40","[c]","[c]"
"In post","2021","20-29","East Anglia","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","No function","850","840","25710","25400"
"In post","2021","20-29","East Anglia","Project Delivery","30","30","[c]","[c]"
"In post","2021","20-29","East Anglia","Property","30","30","[c]","[c]"
"In post","2021","20-29","East Anglia","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Anglia","Unknown","350","330","25000","26350"
"In post","2021","20-29","East Wales","Analysis","350","350","31480","29540"
"In post","2021","20-29","East Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Wales","Communications","230","230","27180","25560"
"In post","2021","20-29","East Wales","Counter Fraud","50","40","[c]","[c]"
"In post","2021","20-29","East Wales","Debt","110","110","22850","20140"
"In post","2021","20-29","East Wales","Digital, Data & Technology","170","170","30140","29540"
"In post","2021","20-29","East Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Wales","Human Resources","60","60","28180","24570"
"In post","2021","20-29","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Wales","Legal","40","40","[c]","[c]"
"In post","2021","20-29","East Wales","No function","1600","1570","24750","23050"
"In post","2021","20-29","East Wales","Project Delivery","40","40","[c]","[c]"
"In post","2021","20-29","East Wales","Property","40","40","[c]","[c]"
"In post","2021","20-29","East Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Wales","Unknown","740","730","26460","27570"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","No function","450","440","24070","24120"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Unknown","160","160","23910","21430"
"In post","2021","20-29","Eastern Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
