"Status","Year","Age","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","Analysis","AA/AO","120","120","21720","21050"
"In post","2021","20-29","Analysis","EO","300","290","26620","26410"
"In post","2021","20-29","Analysis","G6/G7","370","370","54180","54110"
"In post","2021","20-29","Analysis","SEO/HEO","1690","1690","34670","33930"
"In post","2021","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","AA/AO","110","110","21280","20920"
"In post","2021","20-29","Commercial","EO","220","220","26010","26440"
"In post","2021","20-29","Commercial","G6/G7","80","80","54940","54700"
"In post","2021","20-29","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","SEO/HEO","440","440","34910","34550"
"In post","2021","20-29","Commercial","Unknown","60","60","28200","26670"
"In post","2021","20-29","Communications","AA/AO","100","100","22470","21630"
"In post","2021","20-29","Communications","EO","1130","1120","25850","25560"
"In post","2021","20-29","Communications","G6/G7","70","70","54220","54620"
"In post","2021","20-29","Communications","SEO/HEO","770","760","35080","33210"
"In post","2021","20-29","Counter Fraud","AA/AO","70","70","20430","20140"
"In post","2021","20-29","Counter Fraud","EO","670","660","26610","25560"
"In post","2021","20-29","Counter Fraud","G6/G7","60","60","54120","52580"
"In post","2021","20-29","Counter Fraud","SEO/HEO","300","300","33580","31810"
"In post","2021","20-29","Debt","AA/AO","910","880","20350","20140"
"In post","2021","20-29","Debt","EO","140","130","25140","25560"
"In post","2021","20-29","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AA/AO","110","110","21520","21040"
"In post","2021","20-29","Digital, Data & Technology","EO","690","680","26670","26130"
"In post","2021","20-29","Digital, Data & Technology","G6/G7","210","210","54170","54700"
"In post","2021","20-29","Digital, Data & Technology","SEO/HEO","1040","1030","35100","33930"
"In post","2021","20-29","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","AA/AO","220","200","20780","20140"
"In post","2021","20-29","Finance","EO","370","370","25350","25560"
"In post","2021","20-29","Finance","G6/G7","130","130","55120","54420"
"In post","2021","20-29","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SEO/HEO","570","570","35490","33930"
"In post","2021","20-29","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","AA/AO","170","170","20860","21050"
"In post","2021","20-29","Grants Management","EO","60","60","24800","24920"
"In post","2021","20-29","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","AA/AO","270","270","21260","20920"
"In post","2021","20-29","Human Resources","EO","420","410","25980","26410"
"In post","2021","20-29","Human Resources","G6/G7","130","130","54960","54070"
"In post","2021","20-29","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","SEO/HEO","570","570","33230","32120"
"In post","2021","20-29","Human Resources","Unknown","40","30","[c]","[c]"
"In post","2021","20-29","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","SEO/HEO","40","40","[c]","[c]"
"In post","2021","20-29","Legal","AA/AO","600","590","21680","21950"
"In post","2021","20-29","Legal","EO","540","530","27430","26970"
"In post","2021","20-29","Legal","G6/G7","200","200","51950","51250"
"In post","2021","20-29","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","SEO/HEO","510","510","35020","35230"
"In post","2021","20-29","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","AA/AO","15590","15190","23010","21590"
"In post","2021","20-29","No function","EO","5940","5880","27140","26510"
"In post","2021","20-29","No function","G6/G7","2330","2320","54510","53380"
"In post","2021","20-29","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","SEO/HEO","10050","9990","33540","32790"
"In post","2021","20-29","No function","Unknown","2120","2070","25280","22920"
"In post","2021","20-29","Project Delivery","AA/AO","140","140","21590","21080"
"In post","2021","20-29","Project Delivery","EO","1370","1350","23890","25310"
"In post","2021","20-29","Project Delivery","G6/G7","290","280","52800","53380"
"In post","2021","20-29","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","SEO/HEO","2120","2110","33480","33000"
"In post","2021","20-29","Project Delivery","Unknown","290","290","29410","28630"
"In post","2021","20-29","Property","AA/AO","330","320","21470","21050"
"In post","2021","20-29","Property","EO","300","290","26160","25860"
"In post","2021","20-29","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","SEO/HEO","290","290","34210","33300"
"In post","2021","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","AA/AO","870","860","24620","24610"
"In post","2021","20-29","Security","EO","160","160","26900","26670"
"In post","2021","20-29","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","SEO/HEO","190","190","35400","34550"
"In post","2021","20-29","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","6850","6620","21620","21010"
"In post","2021","20-29","Unknown","EO","9300","9180","27810","27570"
"In post","2021","20-29","Unknown","G6/G7","460","460","56400","57430"
"In post","2021","20-29","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","3390","3370","35790","35070"
"In post","2021","20-29","Unknown","Unknown","410","410","29070","28980"
"In post","2021","30-39","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","EO","130","120","25490","24920"
"In post","2021","30-39","Analysis","G6/G7","890","850","57730","55840"
"In post","2021","30-39","Analysis","SCS","30","30","[c]","[c]"
"In post","2021","30-39","Analysis","SEO/HEO","990","950","36400","36790"
"In post","2021","30-39","Commercial","AA/AO","60","60","21530","21020"
"In post","2021","30-39","Commercial","EO","160","150","26430","26670"
"In post","2021","30-39","Commercial","G6/G7","340","340","58520","54700"
"In post","2021","30-39","Commercial","SCS","110","110","74700","68000"
"In post","2021","30-39","Commercial","SEO/HEO","790","770","37460","37240"
"In post","2021","30-39","Commercial","Unknown","60","60","38410","38260"
"In post","2021","30-39","Communications","AA/AO","90","70","20910","20660"
"In post","2021","30-39","Communications","EO","870","840","25570","25560"
"In post","2021","30-39","Communications","G6/G7","380","370","57290","55140"
"In post","2021","30-39","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","SEO/HEO","1090","1070","35930","33580"
"In post","2021","30-39","Counter Fraud","AA/AO","90","80","20730","20140"
"In post","2021","30-39","Counter Fraud","EO","870","840","26310","25560"
"In post","2021","30-39","Counter Fraud","G6/G7","240","240","55120","52580"
"In post","2021","30-39","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","SEO/HEO","860","840","33840","31810"
"In post","2021","30-39","Debt","AA/AO","670","610","20390","20140"
"In post","2021","30-39","Debt","EO","140","140","25280","25560"
"In post","2021","30-39","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","SEO/HEO","40","40","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","AA/AO","90","80","21510","21440"
"In post","2021","30-39","Digital, Data & Technology","EO","490","470","27160","26590"
"In post","2021","30-39","Digital, Data & Technology","G6/G7","1010","990","56730","54700"
"In post","2021","30-39","Digital, Data & Technology","SCS","40","40","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","SEO/HEO","1830","1790","36710","36520"
"In post","2021","30-39","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","AA/AO","170","150","21040","20700"
"In post","2021","30-39","Finance","EO","300","280","26170","26320"
"In post","2021","30-39","Finance","G6/G7","560","550","57990","56510"
"In post","2021","30-39","Finance","SCS","40","40","[c]","[c]"
"In post","2021","30-39","Finance","SEO/HEO","840","810","36480","36520"
"In post","2021","30-39","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","AA/AO","190","170","21010","21050"
"In post","2021","30-39","Grants Management","EO","120","110","25070","25190"
"In post","2021","30-39","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","SEO/HEO","50","50","31610","30040"
"In post","2021","30-39","Human Resources","AA/AO","340","300","21130","20920"
"In post","2021","30-39","Human Resources","EO","410","390","26240","26350"
"In post","2021","30-39","Human Resources","G6/G7","430","410","57140","54990"
"In post","2021","30-39","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","SEO/HEO","960","920","35550","34720"
"In post","2021","30-39","Human Resources","Unknown","50","50","32830","30680"
"In post","2021","30-39","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","G6/G7","40","40","[c]","[c]"
"In post","2021","30-39","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","SEO/HEO","80","80","37800","38630"
"In post","2021","30-39","Legal","AA/AO","400","350","22140","22820"
"In post","2021","30-39","Legal","EO","480","440","27720","27440"
"In post","2021","30-39","Legal","G6/G7","1660","1580","56510","52580"
"In post","2021","30-39","Legal","SCS","40","40","[c]","[c]"
"In post","2021","30-39","Legal","SEO/HEO","810","770","37450","36630"
"In post","2021","30-39","No function","AA/AO","14680","13510","23350","21590"
"In post","2021","30-39","No function","EO","6930","6640","27970","26780"
"In post","2021","30-39","No function","G6/G7","6140","5990","56690","54560"
"In post","2021","30-39","No function","SCS","610","590","78270","74100"
"In post","2021","30-39","No function","SEO/HEO","10820","10500","35920","35080"
"In post","2021","30-39","No function","Unknown","2850","2620","29150","30210"
"In post","2021","30-39","Project Delivery","AA/AO","70","60","21330","21050"
"In post","2021","30-39","Project Delivery","EO","750","710","24780","25560"
"In post","2021","30-39","Project Delivery","G6/G7","1800","1760","55590","54540"
"In post","2021","30-39","Project Delivery","SCS","90","80","81730","76980"
"In post","2021","30-39","Project Delivery","SEO/HEO","3270","3180","35920","36160"
"In post","2021","30-39","Project Delivery","Unknown","330","320","40860","39910"
"In post","2021","30-39","Property","AA/AO","340","310","22240","21100"
"In post","2021","30-39","Property","EO","330","310","26930","26220"
"In post","2021","30-39","Property","G6/G7","190","190","55320","54540"
"In post","2021","30-39","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","SEO/HEO","660","650","36300","35900"
"In post","2021","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","AA/AO","970","960","28580","26610"
"In post","2021","30-39","Security","EO","210","210","33510","29980"
"In post","2021","30-39","Security","G6/G7","80","80","59140","57240"
"In post","2021","30-39","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","SEO/HEO","320","310","37780","36670"
"In post","2021","30-39","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","AA/AO","7670","6760","21470","21010"
"In post","2021","30-39","Unknown","EO","13480","12640","27640","27570"
"In post","2021","30-39","Unknown","G6/G7","2750","2670","59120","57460"
"In post","2021","30-39","Unknown","SCS","150","140","80830","77050"
"In post","2021","30-39","Unknown","SEO/HEO","6930","6700","36770","35310"
"In post","2021","30-39","Unknown","Unknown","540","540","37740","34460"
"In post","2021","40-49","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Analysis","EO","120","110","26270","25560"
"In post","2021","40-49","Analysis","G6/G7","670","630","59990","57780"
"In post","2021","40-49","Analysis","SCS","70","70","84370","78830"
"In post","2021","40-49","Analysis","SEO/HEO","550","510","37250","37320"
"In post","2021","40-49","Commercial","AA/AO","110","100","22210","21580"
"In post","2021","40-49","Commercial","EO","170","160","27000","26670"
"In post","2021","40-49","Commercial","G6/G7","590","580","62220","59370"
"In post","2021","40-49","Commercial","SCS","220","220","93110","74000"
"In post","2021","40-49","Commercial","SEO/HEO","730","700","38350","38200"
"In post","2021","40-49","Commercial","Unknown","60","60","45680","41930"
"In post","2021","40-49","Communications","AA/AO","110","100","21250","21130"
"In post","2021","40-49","Communications","EO","530","500","25850","25560"
"In post","2021","40-49","Communications","G6/G7","380","360","58410","56660"
"In post","2021","40-49","Communications","SCS","70","70","86170","80790"
"In post","2021","40-49","Communications","SEO/HEO","760","730","36170","35900"
"In post","2021","40-49","Counter Fraud","AA/AO","180","160","21360","21440"
"In post","2021","40-49","Counter Fraud","EO","710","660","26770","25560"
"In post","2021","40-49","Counter Fraud","G6/G7","260","250","57300","54410"
"In post","2021","40-49","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Counter Fraud","SEO/HEO","1110","1080","34950","32390"
"In post","2021","40-49","Debt","AA/AO","560","500","20960","20140"
"In post","2021","40-49","Debt","EO","220","200","26530","25560"
"In post","2021","40-49","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Debt","SEO/HEO","60","60","33340","31810"
"In post","2021","40-49","Digital, Data & Technology","AA/AO","80","70","21820","21580"
"In post","2021","40-49","Digital, Data & Technology","EO","450","430","27660","26750"
"In post","2021","40-49","Digital, Data & Technology","G6/G7","1290","1260","57890","56340"
"In post","2021","40-49","Digital, Data & Technology","SCS","120","120","91690","84450"
"In post","2021","40-49","Digital, Data & Technology","SEO/HEO","1880","1830","37850","38450"
"In post","2021","40-49","Digital, Data & Technology","Unknown","30","30","[c]","[c]"
"In post","2021","40-49","Finance","AA/AO","270","230","21240","21180"
"In post","2021","40-49","Finance","EO","370","350","26690","26670"
"In post","2021","40-49","Finance","G6/G7","680","670","58650","57540"
"In post","2021","40-49","Finance","SCS","120","110","88720","81780"
"In post","2021","40-49","Finance","SEO/HEO","1030","990","37460","37100"
"In post","2021","40-49","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Grants Management","AA/AO","280","240","21050","21050"
"In post","2021","40-49","Grants Management","EO","170","150","25610","25600"
"In post","2021","40-49","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Grants Management","SEO/HEO","120","120","32610","31040"
"In post","2021","40-49","Human Resources","AA/AO","310","270","21420","21130"
"In post","2021","40-49","Human Resources","EO","370","340","26910","26570"
"In post","2021","40-49","Human Resources","G6/G7","620","600","57170","55550"
"In post","2021","40-49","Human Resources","SCS","100","90","88360","81330"
"In post","2021","40-49","Human Resources","SEO/HEO","990","950","37050","36800"
"In post","2021","40-49","Human Resources","Unknown","60","60","41580","39860"
"In post","2021","40-49","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","G6/G7","50","50","58410","57010"
"In post","2021","40-49","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","SEO/HEO","100","100","40950","41300"
"In post","2021","40-49","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","AA/AO","500","440","22430","22820"
"In post","2021","40-49","Legal","EO","530","480","28260","28430"
"In post","2021","40-49","Legal","G6/G7","1980","1800","59640","58590"
"In post","2021","40-49","Legal","SCS","180","170","85320","80620"
"In post","2021","40-49","Legal","SEO/HEO","830","760","39120","38300"
"In post","2021","40-49","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","No function","AA/AO","13150","11910","23270","21500"
"In post","2021","40-49","No function","EO","6740","6380","28220","27130"
"In post","2021","40-49","No function","G6/G7","5870","5650","58500","56350"
"In post","2021","40-49","No function","SCS","1160","1110","87850","80000"
"In post","2021","40-49","No function","SEO/HEO","9770","9370","37840","36960"
"In post","2021","40-49","No function","Unknown","2960","2710","32010","32690"
"In post","2021","40-49","Project Delivery","AA/AO","100","80","21760","21440"
"In post","2021","40-49","Project Delivery","EO","730","690","25580","26350"
"In post","2021","40-49","Project Delivery","G6/G7","2350","2290","57610","56240"
"In post","2021","40-49","Project Delivery","SCS","260","250","88490","81000"
"In post","2021","40-49","Project Delivery","SEO/HEO","3040","2940","36830","37530"
"In post","2021","40-49","Project Delivery","Unknown","280","270","47900","45490"
"In post","2021","40-49","Property","AA/AO","430","400","21840","21100"
"In post","2021","40-49","Property","EO","410","390","27580","26670"
"In post","2021","40-49","Property","G6/G7","320","320","56590","54990"
"In post","2021","40-49","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","SEO/HEO","850","830","36790","36150"
"In post","2021","40-49","Security","AA/AO","1040","1030","28430","22650"
"In post","2021","40-49","Security","EO","230","230","33700","30550"
"In post","2021","40-49","Security","G6/G7","110","110","60320","58060"
"In post","2021","40-49","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","SEO/HEO","330","320","38820","36480"
"In post","2021","40-49","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","AA/AO","10120","8780","21370","21010"
"In post","2021","40-49","Unknown","EO","16640","15310","27820","27570"
"In post","2021","40-49","Unknown","G6/G7","3950","3790","61050","60740"
"In post","2021","40-49","Unknown","SCS","550","530","87880","81760"
"In post","2021","40-49","Unknown","SEO/HEO","8520","8190","37210","36300"
"In post","2021","40-49","Unknown","Unknown","560","550","39620","35380"
"In post","2021","50-59","Analysis","AA/AO","40","30","[c]","[c]"
"In post","2021","50-59","Analysis","EO","120","110","27090","26780"
"In post","2021","50-59","Analysis","G6/G7","400","380","60740","58130"
"In post","2021","50-59","Analysis","SCS","50","40","[c]","[c]"
"In post","2021","50-59","Analysis","SEO/HEO","380","360","37230","37280"
"In post","2021","50-59","Commercial","AA/AO","170","160","22780","21890"
"In post","2021","50-59","Commercial","EO","220","210","27560","26930"
"In post","2021","50-59","Commercial","G6/G7","610","610","62600","60110"
"In post","2021","50-59","Commercial","SCS","210","210","104650","94480"
"In post","2021","50-59","Commercial","SEO/HEO","880","870","40000","40000"
"In post","2021","50-59","Commercial","Unknown","50","50","51860","48230"
"In post","2021","50-59","Communications","AA/AO","140","130","21090","21370"
"In post","2021","50-59","Communications","EO","480","460","25990","25560"
"In post","2021","50-59","Communications","G6/G7","200","190","59710","59160"
"In post","2021","50-59","Communications","SCS","40","40","[c]","[c]"
"In post","2021","50-59","Communications","SEO/HEO","570","550","35730","34320"
"In post","2021","50-59","Counter Fraud","AA/AO","340","300","21820","21440"
"In post","2021","50-59","Counter Fraud","EO","870","820","27700","28130"
"In post","2021","50-59","Counter Fraud","G6/G7","420","410","58470","58130"
"In post","2021","50-59","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Counter Fraud","SEO/HEO","1550","1500","36050","36160"
"In post","2021","50-59","Debt","AA/AO","830","720","21580","21440"
"In post","2021","50-59","Debt","EO","320","290","27840","28130"
"In post","2021","50-59","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Debt","SEO/HEO","90","90","35370","35000"
"In post","2021","50-59","Digital, Data & Technology","AA/AO","110","100","22310","21580"
"In post","2021","50-59","Digital, Data & Technology","EO","470","450","28450","27300"
"In post","2021","50-59","Digital, Data & Technology","G6/G7","990","970","57870","56100"
"In post","2021","50-59","Digital, Data & Technology","SCS","80","80","91080","85650"
"In post","2021","50-59","Digital, Data & Technology","SEO/HEO","1660","1620","38190","38450"
"In post","2021","50-59","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Finance","AA/AO","550","460","21200","21440"
"In post","2021","50-59","Finance","EO","470","440","27190","26710"
"In post","2021","50-59","Finance","G6/G7","600","600","59970","59000"
"In post","2021","50-59","Finance","SCS","100","100","94960","89140"
"In post","2021","50-59","Finance","SEO/HEO","1090","1060","38120","38200"
"In post","2021","50-59","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Grants Management","AA/AO","210","190","21050","21050"
"In post","2021","50-59","Grants Management","EO","130","120","25930","26320"
"In post","2021","50-59","Grants Management","G6/G7","30","30","[c]","[c]"
"In post","2021","50-59","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Grants Management","SEO/HEO","120","110","33010","31780"
"In post","2021","50-59","Human Resources","AA/AO","470","430","21470","21440"
"In post","2021","50-59","Human Resources","EO","450","420","27160","26700"
"In post","2021","50-59","Human Resources","G6/G7","640","630","59070","58130"
"In post","2021","50-59","Human Resources","SCS","90","90","90650","84850"
"In post","2021","50-59","Human Resources","SEO/HEO","1080","1040","37740","37000"
"In post","2021","50-59","Human Resources","Unknown","70","70","45090","39280"
"In post","2021","50-59","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Internal Audit","G6/G7","100","90","60670","59730"
"In post","2021","50-59","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Internal Audit","SEO/HEO","180","180","42130","41400"
"In post","2021","50-59","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Legal","AA/AO","730","650","22170","21950"
"In post","2021","50-59","Legal","EO","700","650","28550","28430"
"In post","2021","50-59","Legal","G6/G7","1730","1610","62020","61750"
"In post","2021","50-59","Legal","SCS","210","200","92410","84710"
"In post","2021","50-59","Legal","SEO/HEO","960","900","39940","38760"
"In post","2021","50-59","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","No function","AA/AO","18010","16120","23350","21440"
"In post","2021","50-59","No function","EO","9990","9430","28860","27460"
"In post","2021","50-59","No function","G6/G7","5460","5340","60550","58810"
"In post","2021","50-59","No function","SCS","940","910","97560","93000"
"In post","2021","50-59","No function","SEO/HEO","11570","11110","38510","37650"
"In post","2021","50-59","No function","Unknown","2810","2630","31490","30210"
"In post","2021","50-59","Project Delivery","AA/AO","200","190","22000","21490"
"In post","2021","50-59","Project Delivery","EO","1150","1100","25840","26670"
"In post","2021","50-59","Project Delivery","G6/G7","2480","2450","58490","56730"
"In post","2021","50-59","Project Delivery","SCS","300","290","95020","86660"
"In post","2021","50-59","Project Delivery","SEO/HEO","4020","3920","37330","37860"
"In post","2021","50-59","Project Delivery","Unknown","320","320","50640","47170"
"In post","2021","50-59","Property","AA/AO","760","720","21430","21100"
"In post","2021","50-59","Property","EO","640","620","27980","26670"
"In post","2021","50-59","Property","G6/G7","590","580","58330","56360"
"In post","2021","50-59","Property","SCS","50","50","93510","82150"
"In post","2021","50-59","Property","SEO/HEO","1290","1250","38240","37380"
"In post","2021","50-59","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Security","AA/AO","1920","1900","26890","20920"
"In post","2021","50-59","Security","EO","440","430","34640","32270"
"In post","2021","50-59","Security","G6/G7","130","130","60810","57400"
"In post","2021","50-59","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Security","SEO/HEO","610","600","41850","38160"
"In post","2021","50-59","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","AA/AO","16010","14240","21300","21010"
"In post","2021","50-59","Unknown","EO","22720","20780","28030","27570"
"In post","2021","50-59","Unknown","G6/G7","4030","3920","61640","60830"
"In post","2021","50-59","Unknown","SCS","520","510","93040","84710"
"In post","2021","50-59","Unknown","SEO/HEO","10230","9910","37190","35530"
"In post","2021","50-59","Unknown","Unknown","700","700","42140","37310"
"In post","2021","60-64","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Analysis","G6/G7","60","50","60890","56780"
"In post","2021","60-64","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Analysis","SEO/HEO","80","60","37740","37320"
"In post","2021","60-64","Commercial","AA/AO","50","40","[c]","[c]"
"In post","2021","60-64","Commercial","EO","70","60","27520","26780"
"In post","2021","60-64","Commercial","G6/G7","100","80","64560","61480"
"In post","2021","60-64","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Commercial","SEO/HEO","160","150","40370","40380"
"In post","2021","60-64","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Communications","AA/AO","50","40","21530","21440"
"In post","2021","60-64","Communications","EO","140","110","25980","26700"
"In post","2021","60-64","Communications","G6/G7","30","30","[c]","[c]"
"In post","2021","60-64","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Communications","SEO/HEO","90","80","35920","35030"
