"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Cabinet Office","130","120","36850","34550"
"In post","2021","Human Resources","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for Business, Energy and Industrial Strategy","110","100","37630","33860"
"In post","2021","Human Resources","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for Transport","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department of Health and Social Care","60","60","37610","32790"
"In post","2021","Human Resources","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","HM Revenue and Customs","400","370","32330","28130"
"In post","2021","Human Resources","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Ministry of Defence","150","140","30290","26670"
"In post","2021","Human Resources","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Ministry of Justice","80","80","39450","33520"
"In post","2021","Human Resources","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Scottish Government","90","90","29010","28120"
"In post","2021","Human Resources","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","United Kingdom Statistics Authority","50","50","34480","30130"
"In post","2021","Human Resources","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","HM Revenue and Customs","60","50","43630","41350"
"In post","2021","Internal Audit","Heterosexual / straight","HM Treasury","300","280","50340","48780"
"In post","2021","Internal Audit","Heterosexual / straight","Ministry of Defence","110","110","38420","33810"
"In post","2021","Internal Audit","Heterosexual / straight","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","HM Treasury","40","30","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Attorney General's Departments","5910","5520","44500","48080"
"In post","2021","Legal","Heterosexual / straight","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Competition and Markets Authority","130","130","68500","72430"
"In post","2021","Legal","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Department for Education","60","50","54220","55530"
"In post","2021","Legal","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Foreign, Commonwealth and Development Office","90","70","56230","57760"
"In post","2021","Legal","Heterosexual / straight","HM Land Registry","160","140","50870","57000"
"In post","2021","Legal","Heterosexual / straight","HM Revenue and Customs","710","680","40090","32100"
"In post","2021","Legal","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Ministry of Justice","910","820","42930","43090"
"In post","2021","Legal","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Scottish Government","570","530","50740","52490"
"In post","2021","Legal","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","UK Supreme Court","40","30","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Attorney General's Departments","390","370","45730","50500"
"In post","2021","Legal","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","HM Revenue and Customs","60","60","49300","41760"
"In post","2021","Legal","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Ministry of Justice","50","50","43270","39490"
"In post","2021","Legal","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Scottish Government","30","30","[c]","[c]"
"In post","2021","Legal","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Attorney General's Departments","350","330","48330","51250"
"In post","2021","Legal","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Legal","Undeclared","HM Revenue and Customs","90","80","41930","32520"
"In post","2021","Legal","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Ministry of Justice","230","210","45070","43710"
"In post","2021","Legal","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Scottish Government","1600","1440","27750","22820"
"In post","2021","Legal","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Attorney General's Departments","2080","1870","47690","52100"
"In post","2021","Legal","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Legal","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","HM Land Registry","60","50","49070","57000"
"In post","2021","Legal","Unknown","HM Revenue and Customs","410","380","38870","31810"
"In post","2021","Legal","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Ministry of Justice","250","230","37880","35490"
"In post","2021","Legal","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Office of Gas and Electricity Markets","50","40","[c]","[c]"
"In post","2021","Legal","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Scottish Government","70","60","56060","54890"
"In post","2021","Legal","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","No function","Heterosexual / straight","Attorney General's Departments","60","60","42330","40000"
"In post","2021","No function","Heterosexual / straight","Cabinet Office","1520","1500","47360","41760"
"In post","2021","No function","Heterosexual / straight","Chancellor's other departments","80","70","53230","45080"
"In post","2021","No function","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","5140","4910","42760","40050"
"In post","2021","No function","Heterosexual / straight","Department for Digital, Culture, Media and Sport","810","790","48360","51730"
"In post","2021","No function","Heterosexual / straight","Department for Education","2870","2760","42860","37100"
"In post","2021","No function","Heterosexual / straight","Department for Environment, Food and Rural Affairs","3750","3590","37080","33120"
"In post","2021","No function","Heterosexual / straight","Department for International Trade","1040","1030","47180","42030"
"In post","2021","No function","Heterosexual / straight","Department for Transport","7270","6730","31560","26780"
"In post","2021","No function","Heterosexual / straight","Department for Work and Pensions","1540","1450","43450","41330"
"In post","2021","No function","Heterosexual / straight","Department of Health and Social Care","5040","4630","43190","37510"
"In post","2021","No function","Heterosexual / straight","ESTYN","80","70","62210","74730"
"In post","2021","No function","Heterosexual / straight","Food Standards Agency","590","570","36410","32830"
"In post","2021","No function","Heterosexual / straight","Foreign, Commonwealth and Development Office","2730","2700","47790","39350"
"In post","2021","No function","Heterosexual / straight","HM Land Registry","2770","2480","29080","27130"
"In post","2021","No function","Heterosexual / straight","HM Revenue and Customs","16560","14990","30050","25560"
"In post","2021","No function","Heterosexual / straight","HM Treasury","1210","1190","48080","52500"
"In post","2021","No function","Heterosexual / straight","Ministry of Defence","2050","1980","39190","37320"
"In post","2021","No function","Heterosexual / straight","Ministry of Housing, Communities and Local Government","1900","1820","45970","44020"
"In post","2021","No function","Heterosexual / straight","Ministry of Justice","49690","46460","28390","26300"
"In post","2021","No function","Heterosexual / straight","National Crime Agency","3530","3460","39690","37330"
"In post","2021","No function","Heterosexual / straight","Northern Ireland Office","60","60","46800","39160"
"In post","2021","No function","Heterosexual / straight","Office for Standards in Education","1090","1050","52460","51360"
"In post","2021","No function","Heterosexual / straight","Office of Gas and Electricity Markets","350","340","40270","35180"
"In post","2021","No function","Heterosexual / straight","Office of Qualifications and Examinations Regulation","130","120","45700","40250"
"In post","2021","No function","Heterosexual / straight","Office of Rail and Road","100","100","53140","51810"
"In post","2021","No function","Heterosexual / straight","Other Cabinet Office Agencies","130","130","41300","36360"
"In post","2021","No function","Heterosexual / straight","Scottish Government","2930","2730","30590","30080"
"In post","2021","No function","Heterosexual / straight","The National Archives","120","120","34950","30930"
"In post","2021","No function","Heterosexual / straight","United Kingdom Statistics Authority","1690","1360","26180","23050"
"In post","2021","No function","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Heterosexual / straight","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","No function","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Cabinet Office","180","170","46130","40600"
"In post","2021","No function","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Department for Business, Energy and Industrial Strategy","510","510","43450","40050"
"In post","2021","No function","LGBO","Department for Digital, Culture, Media and Sport","130","130","46240","39000"
"In post","2021","No function","LGBO","Department for Education","220","210","42910","37030"
"In post","2021","No function","LGBO","Department for Environment, Food and Rural Affairs","340","330","37340","32750"
"In post","2021","No function","LGBO","Department for International Trade","130","120","47630","49370"
"In post","2021","No function","LGBO","Department for Transport","420","410","33160","27750"
"In post","2021","No function","LGBO","Department for Work and Pensions","90","90","40120","31710"
"In post","2021","No function","LGBO","Department of Health and Social Care","360","340","42090","36330"
"In post","2021","No function","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Foreign, Commonwealth and Development Office","210","210","47760","40050"
"In post","2021","No function","LGBO","HM Land Registry","120","110","27660","22350"
"In post","2021","No function","LGBO","HM Revenue and Customs","1020","970","28850","25560"
"In post","2021","No function","LGBO","HM Treasury","130","130","47730","52500"
"In post","2021","No function","LGBO","Ministry of Defence","110","110","34180","28660"
"In post","2021","No function","LGBO","Ministry of Housing, Communities and Local Government","180","170","45130","42440"
"In post","2021","No function","LGBO","Ministry of Justice","3200","3120","28560","26410"
"In post","2021","No function","LGBO","National Crime Agency","150","150","36550","36410"
"In post","2021","No function","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Office for Standards in Education","90","90","53310","51360"
"In post","2021","No function","LGBO","Office of Gas and Electricity Markets","50","50","35260","31790"
"In post","2021","No function","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Scottish Government","160","150","29990","28410"
"In post","2021","No function","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","United Kingdom Statistics Authority","70","60","25240","23050"
"In post","2021","No function","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Cabinet Office","190","180","45420","40600"
"In post","2021","No function","Undeclared","Chancellor's other departments","30","30","[c]","[c]"
"In post","2021","No function","Undeclared","Department for Business, Energy and Industrial Strategy","650","620","44310","40050"
"In post","2021","No function","Undeclared","Department for Digital, Culture, Media and Sport","80","80","47880","51730"
"In post","2021","No function","Undeclared","Department for Education","270","260","44450","40940"
"In post","2021","No function","Undeclared","Department for Environment, Food and Rural Affairs","540","510","36340","33510"
"In post","2021","No function","Undeclared","Department for International Trade","100","100","45370","39630"
"In post","2021","No function","Undeclared","Department for Transport","2340","2000","27380","26470"
"In post","2021","No function","Undeclared","Department for Work and Pensions","380","360","44850","44820"
"In post","2021","No function","Undeclared","Department of Health and Social Care","750","660","45070","38890"
"In post","2021","No function","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Food Standards Agency","90","90","39150","34730"
"In post","2021","No function","Undeclared","Foreign, Commonwealth and Development Office","400","390","48400","40120"
"In post","2021","No function","Undeclared","HM Land Registry","570","490","30340","27130"
"In post","2021","No function","Undeclared","HM Revenue and Customs","2120","1900","31010","28130"
"In post","2021","No function","Undeclared","HM Treasury","220","210","43710","36500"
"In post","2021","No function","Undeclared","Ministry of Defence","250","240","40870","41240"
"In post","2021","No function","Undeclared","Ministry of Housing, Communities and Local Government","190","180","45300","42580"
"In post","2021","No function","Undeclared","Ministry of Justice","6000","5550","28660","26630"
"In post","2021","No function","Undeclared","National Crime Agency","300","290","37620","36410"
"In post","2021","No function","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Office for Standards in Education","70","70","52060","51360"
"In post","2021","No function","Undeclared","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","No function","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Scottish Government","160","150","30970","30080"
"In post","2021","No function","Undeclared","The National Archives","30","30","[c]","[c]"
"In post","2021","No function","Undeclared","United Kingdom Statistics Authority","100","80","25590","19520"
"In post","2021","No function","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Cabinet Office","2280","2280","35460","29250"
"In post","2021","No function","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Department for Business, Energy and Industrial Strategy","2310","2210","33650","30170"
"In post","2021","No function","Unknown","Department for Digital, Culture, Media and Sport","170","170","47620","51730"
"In post","2021","No function","Unknown","Department for Education","800","770","43460","40230"
"In post","2021","No function","Unknown","Department for Environment, Food and Rural Affairs","900","850","39260","35900"
"In post","2021","No function","Unknown","Department for International Trade","620","610","44810","38540"
"In post","2021","No function","Unknown","Department for Transport","1940","1820","29450","26580"
"In post","2021","No function","Unknown","Department for Work and Pensions","200","180","43980","41480"
"In post","2021","No function","Unknown","Department of Health and Social Care","2250","2130","48810","41970"
"In post","2021","No function","Unknown","Food Standards Agency","250","240","31440","26750"
"In post","2021","No function","Unknown","Foreign, Commonwealth and Development Office","340","340","48460","48840"
"In post","2021","No function","Unknown","HM Land Registry","1580","1440","26280","22350"
"In post","2021","No function","Unknown","HM Revenue and Customs","11830","10540","25680","21440"
"In post","2021","No function","Unknown","HM Treasury","70","70","49600","42200"
"In post","2021","No function","Unknown","Ministry of Defence","730","700","39210","37320"
"In post","2021","No function","Unknown","Ministry of Housing, Communities and Local Government","270","240","40400","33210"
"In post","2021","No function","Unknown","Ministry of Justice","12300","11400","27430","25790"
"In post","2021","No function","Unknown","National Crime Agency","740","720","41240","39820"
"In post","2021","No function","Unknown","Northern Ireland Office","60","50","41200","36800"
"In post","2021","No function","Unknown","Office for Standards in Education","80","80","41990","42850"
"In post","2021","No function","Unknown","Office of Gas and Electricity Markets","430","420","44010","37100"
"In post","2021","No function","Unknown","Office of Qualifications and Examinations Regulation","50","40","[c]","[c]"
"In post","2021","No function","Unknown","Office of Rail and Road","100","90","59280","60020"
"In post","2021","No function","Unknown","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","No function","Unknown","Scottish Government","2880","2690","30490","30930"
"In post","2021","No function","Unknown","The National Archives","160","150","33980","30300"
"In post","2021","No function","Unknown","United Kingdom Statistics Authority","720","590","25280","22130"
"In post","2021","No function","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Water Services Regulation Authority","80","70","56830","51630"
"In post","2021","Project Delivery","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Cabinet Office","150","150","70290","64500"
"In post","2021","Project Delivery","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Competition and Markets Authority","310","290","59990","56360"
"In post","2021","Project Delivery","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","310","300","46850","43440"
"In post","2021","Project Delivery","Heterosexual / straight","Department for Digital, Culture, Media and Sport","150","150","49030","51730"
"In post","2021","Project Delivery","Heterosexual / straight","Department for Education","390","370","46970","49860"
"In post","2021","Project Delivery","Heterosexual / straight","Department for Environment, Food and Rural Affairs","320","310","38910","35900"
"In post","2021","Project Delivery","Heterosexual / straight","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Department for Transport","430","420","50830","44480"
"In post","2021","Project Delivery","Heterosexual / straight","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
