"Status","Year","Region_ITL2","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","EO","50","50","29250","27060"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","G6/G7","70","60","56510","53160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","SEO/HEO","130","120","38890","37670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","EO","80","80","27750","27510"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","G6/G7","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","SEO/HEO","140","130","38750","36150"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","AA/AO","70","60","21050","21050"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","EO","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","AA/AO","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","AA/AO","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","G6/G7","110","90","58690","57760"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","SEO/HEO","50","50","39810","40540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","AA/AO","1770","1680","26260","25400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","EO","700","670","29890","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","G6/G7","230","220","59100","56500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","SEO/HEO","670","630","38080","38160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Unknown","370","340","28490","24940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","EO","90","80","25770","26670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","G6/G7","90","90","59080","56540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","SEO/HEO","290","280","37000","35390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","AA/AO","60","60","18940","18240"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","EO","80","80","26990","26700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","G6/G7","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","SEO/HEO","160","160","39440","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","AA/AO","710","710","30170","27680"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","EO","160","150","37910","42660"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","SEO/HEO","180","170","40850","36460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","AA/AO","810","760","21470","21130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","EO","1070","990","28510","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","G6/G7","60","50","70640","69160"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","SEO/HEO","360","340","37750","35400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","80","80","40200","40620"
"In post","2021","Cheshire","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","G6/G7","60","60","51420","48990"
"In post","2021","Cheshire","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","SEO/HEO","50","50","37160","36740"
"In post","2021","Cheshire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","AA/AO","50","40","[c]","[c]"
"In post","2021","Cheshire","Grants Management","EO","40","40","[c]","[c]"
"In post","2021","Cheshire","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","AA/AO","780","730","24420","23240"
"In post","2021","Cheshire","No function","EO","790","770","31290","31470"
"In post","2021","Cheshire","No function","G6/G7","70","70","60380","57360"
"In post","2021","Cheshire","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","SEO/HEO","580","560","40800","40210"
"In post","2021","Cheshire","No function","Unknown","190","180","29280","28200"
"In post","2021","Cheshire","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cheshire","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","AA/AO","370","320","20810","21010"
"In post","2021","Cheshire","Unknown","EO","550","500","27470","27570"
"In post","2021","Cheshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","SEO/HEO","60","50","33410","32480"
"In post","2021","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","AA/AO","80","70","20930","20260"
"In post","2021","Cornwall and Isles of Scilly","No function","EO","60","60","26660","26750"
"In post","2021","Cornwall and Isles of Scilly","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","SEO/HEO","60","50","37550","36180"
"In post","2021","Cornwall and Isles of Scilly","No function","Unknown","50","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Security","AA/AO","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","AA/AO","540","490","20850","21010"
"In post","2021","Cornwall and Isles of Scilly","Unknown","EO","510","470","27340","27570"
"In post","2021","Cornwall and Isles of Scilly","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","SEO/HEO","100","90","34350","33300"
"In post","2021","Cumbria","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Grants Management","AA/AO","430","370","20990","21050"
"In post","2021","Cumbria","Grants Management","EO","130","120","25420","25190"
"In post","2021","Cumbria","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Grants Management","SEO/HEO","80","70","32700","30860"
"In post","2021","Cumbria","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","No function","AA/AO","300","270","22490","21050"
"In post","2021","Cumbria","No function","EO","110","110","27190","26700"
"In post","2021","Cumbria","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","No function","SEO/HEO","80","80","38120","37240"
"In post","2021","Cumbria","No function","Unknown","90","80","29580","28200"
"In post","2021","Cumbria","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Project Delivery","EO","80","80","21780","20730"
"In post","2021","Cumbria","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Project Delivery","SEO/HEO","60","60","33690","33300"
"In post","2021","Cumbria","Project Delivery","Unknown","130","120","43530","41610"
"In post","2021","Cumbria","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","AA/AO","80","80","26380","23540"
"In post","2021","Cumbria","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","AA/AO","70","60","20840","21010"
"In post","2021","Cumbria","Unknown","EO","190","160","27460","27570"
