"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","20-29","110","110","30950","28650"
"In post","2021","Analysis","Defence Science and Technology Laboratory","30-39","140","140","40340","37340"
"In post","2021","Analysis","Defence Science and Technology Laboratory","40-49","110","100","44740","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","50-59","70","60","46180","46130"
"In post","2021","Analysis","Defence Science and Technology Laboratory","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","180","180","37580","34090"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","50","50","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","20-29","80","80","46680","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","30-39","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","20-29","140","140","40080","38100"
"In post","2021","Analysis","Department for Education (excl. agencies)","30-39","120","110","46710","45850"
"In post","2021","Analysis","Department for Education (excl. agencies)","40-49","90","80","48580","49860"
"In post","2021","Analysis","Department for Education (excl. agencies)","50-59","50","50","44500","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","20-29","140","140","36180","31800"
"In post","2021","Analysis","Department for International Trade","30-39","60","60","52510","51970"
"In post","2021","Analysis","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","20-29","190","180","38680","35060"
"In post","2021","Analysis","Department for Transport (excl. agencies)","30-39","100","100","51240","54650"
"In post","2021","Analysis","Department for Transport (excl. agencies)","40-49","80","70","56440","56760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","20-29","90","90","45700","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","30-39","90","90","53990","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","40-49","70","60","56740","55680"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","50-59","40","40","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","20-29","50","50","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","30-39","60","50","70510","65470"
"In post","2021","Analysis","Government Actuary's Department","40-49","40","40","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","20-29","250","240","36600","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","30-39","170","160","48180","52580"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","40-49","120","110","49730","49270"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","50-59","90","80","51210","45960"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","20-29","80","70","41280","35540"
"In post","2021","Analysis","HM Treasury (excl. agencies)","30-39","40","40","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","20-29","90","90","35590","36000"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","30-39","50","50","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","20-29","90","90","37390","34000"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","30-39","40","40","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","40-49","40","40","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","20-29","140","140","36440","33930"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","30-39","120","110","48190","46550"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","40-49","90","90","51630","52850"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","50-59","50","50","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","30-39","70","60","40250","35010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","40-49","30","30","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","20-29","630","630","32050","30130"
"In post","2021","Analysis","United Kingdom Statistics Authority","30-39","490","470","38130","37020"
"In post","2021","Analysis","United Kingdom Statistics Authority","40-49","300","280","42850","37910"
"In post","2021","Analysis","United Kingdom Statistics Authority","50-59","200","190","42000","37020"
"In post","2021","Analysis","United Kingdom Statistics Authority","60-64","40","30","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","20-29","120","120","47920","54700"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","30-39","300","290","63420","61710"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","40-49","500","490","73350","67430"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","50-59","450","440","78090","66940"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","60-64","40","40","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","20-29","70","70","28230","27770"
"In post","2021","Commercial","Crown Commercial Service","30-39","110","110","32990","34800"
"In post","2021","Commercial","Crown Commercial Service","40-49","90","80","36690","35290"
"In post","2021","Commercial","Crown Commercial Service","50-59","90","90","36250","34800"
"In post","2021","Commercial","Crown Commercial Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","20-29","50","50","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","30-39","60","60","40690","40600"
"In post","2021","Commercial","Defence Equipment and Support","40-49","70","70","50230","43030"
"In post","2021","Commercial","Defence Equipment and Support","50-59","90","90","50820","43970"
"In post","2021","Commercial","Defence Equipment and Support","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
